晶宏,	3141
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,936000,20.50,20.70,20.25,20.60,+0.20,425,19219350
104/01/06,1170000,20.45,20.55,19.70,20.00,-0.60,559,23477250
104/01/07,1048666,20.10,20.20,19.80,19.80,-0.20,471,20922119
104/01/08,1121000,19.95,20.15,19.35,19.55,-0.25,525,22104950
104/01/09,749001,19.90,19.95,19.55,19.70,+0.15,350,14787869
104/01/12,772662,19.55,19.85,19.50,19.50,-0.20,302,15169842
104/01/13,413000,19.60,19.75,19.45,19.45,-0.05,224,8085450
104/01/14,765000,19.45,19.60,19.25,19.55,+0.10,357,14826000
104/01/15,1949050,19.90,20.50,19.60,20.20,+0.65,820,39198120
104/01/16,996010,20.30,20.40,19.70,19.70,-0.50,428,19890647
104/01/19,654200,19.75,20.00,19.20,19.20,-0.50,307,12727070
104/01/20,345512,19.35,19.75,19.30,19.40,+0.20,169,6735009
104/01/21,378000,19.40,19.55,19.30,19.30,-0.10,172,7331350
104/01/22,337000,19.40,19.60,19.40,19.60,+0.30,156,6569400
104/01/23,1061000,19.95,20.35,19.80,19.90,+0.30,476,21302700
104/01/26,1043000,20.30,20.35,20.00,20.10,+0.20,472,21056150
104/01/27,678000,20.25,20.25,19.75,19.75,-0.35,316,13516300
104/01/28,582000,19.60,19.90,19.60,19.65,-0.10,189,11496600
104/01/29,459000,19.70,20.05,19.70,19.85,+0.20,214,9125700
104/01/30,543000,20.05,20.10,19.55,19.65,-0.20,215,10731300
104/02/02,455000,19.65,19.75,19.20,19.30,-0.35,200,8856100
104/02/03,503000,19.35,19.65,19.30,19.30,0.00,185,9760400
104/02/04,659000,19.60,19.85,19.50,19.75,+0.45,325,13011550
104/02/05,2275000,20.40,20.80,20.25,20.30,+0.55,967,46597050
104/02/06,727100,20.30,20.45,19.85,20.00,-0.30,302,14581369
104/02/09,415000,20.20,20.20,19.85,19.85,-0.15,184,8280900
104/02/10,562000,19.85,19.85,19.50,19.50,-0.35,257,11012450
104/02/11,344171,19.65,19.75,19.55,19.60,+0.10,177,6752184
104/02/12,335000,19.70,19.80,19.40,19.60,0.00,167,6556750
104/02/13,407000,19.60,19.95,19.60,19.60,0.00,201,8019600
104/02/24,1171134,20.00,20.35,19.80,20.30,+0.70,529,23622897
104/02/25,426000,20.60,20.60,20.10,20.15,-0.15,223,8608650
104/02/26,595199,20.30,20.35,20.10,20.15,0.00,262,12038609
104/03/02,1933327,20.35,21.20,20.15,20.90,+0.75,890,40096951
104/03/03,8081934,21.25,22.35,21.10,22.35,+1.45,2727,178229765
104/03/04,5786063,22.45,22.90,21.80,21.80,-0.55,2489,129766579
104/03/05,4638279,21.55,22.80,21.10,22.45,+0.65,2022,103009913
104/03/06,4353963,22.60,23.45,22.55,22.75,+0.30,1824,99968698
104/03/09,1513548,23.00,23.10,22.50,22.75,0.00,822,34510234
104/03/10,2457000,22.75,22.85,21.70,22.00,-0.75,1117,54420550
104/03/11,1114700,21.50,22.30,21.50,22.00,0.00,539,24515078
104/03/12,2644706,22.20,23.00,22.00,22.75,+0.75,1082,59867840
104/03/13,2185360,23.00,23.35,22.55,22.55,-0.20,958,50094381
104/03/16,1352080,22.20,22.65,22.20,22.60,+0.05,641,30331100
104/03/17,1233500,22.80,22.80,22.05,22.05,-0.55,520,27540698
104/03/18,1419150,22.30,22.75,22.15,22.20,+0.15,590,31796760
104/03/19,1827000,22.40,22.90,22.40,22.55,+0.35,759,41387650
104/03/20,1394109,22.55,22.75,22.20,22.55,0.00,586,31307591
104/03/23,3509010,22.70,23.25,22.60,22.70,+0.15,1207,80694479
104/03/24,11648959,23.40,24.25,23.40,23.60,+0.90,3069,279145285
