F-達輝,	5276
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,17000,24.30,24.55,24.15,24.55,+0.40,14,415300
104/01/06,15000,24.05,24.50,24.05,24.15,-0.40,12,365000
104/01/07,6000,24.30,24.30,24.15,24.15,0.00,5,145300
104/01/08,54000,24.20,24.30,24.00,24.05,-0.10,21,1302300
104/01/09,18000,24.00,24.15,23.80,24.00,-0.05,13,430550
104/01/12,21000,23.80,24.00,23.80,23.80,-0.20,10,500400
104/01/13,37000,23.55,23.80,23.50,23.70,-0.10,19,871300
104/01/14,27000,23.75,23.75,23.30,23.65,-0.05,12,637850
104/01/15,20000,23.30,23.40,23.30,23.35,-0.30,11,466500
104/01/16,13000,23.00,23.30,23.00,23.30,-0.05,10,300700
104/01/19,26000,23.50,23.90,23.50,23.50,+0.20,15,612500
104/01/20,7000,23.50,23.90,23.50,23.90,+0.40,3,164900
104/01/21,9000,23.60,23.90,23.60,23.60,-0.30,7,212800
104/01/22,15000,23.70,24.00,23.70,23.80,+0.20,8,357100
104/01/23,8000,24.00,24.00,23.80,23.90,+0.10,4,190700
104/01/26,27000,23.70,23.70,23.65,23.65,-0.25,6,639700
104/01/27,30000,23.60,23.60,23.15,23.40,-0.25,21,698750
104/01/28,3000,23.20,23.40,23.20,23.40,0.00,2,69800
104/01/29,8000,23.30,23.40,23.20,23.20,-0.20,4,186100
104/01/30,19000,23.30,23.65,23.20,23.40,+0.20,14,442450
104/02/02,2000,23.10,23.10,23.10,23.10,-0.30,2,46200
104/02/03,1000,23.35,23.35,23.35,23.35,+0.25,1,23350
104/02/04,2000,23.35,23.45,23.35,23.45,+0.10,2,46800
104/02/05,9000,23.00,23.05,23.00,23.00,-0.45,8,207100
104/02/06,4000,23.30,23.30,22.90,23.10,+0.10,4,92200
104/02/09,19000,23.40,23.60,22.70,22.70,-0.40,14,439350
104/02/10,30000,22.60,22.75,22.50,22.60,-0.10,21,677350
104/02/11,46000,22.90,23.25,22.90,23.20,+0.60,32,1065400
104/02/12,13000,23.20,23.50,23.20,23.45,+0.25,8,304700
104/02/13,18011,23.45,23.50,23.35,23.50,+0.05,16,422820
104/02/24,3000,23.10,23.40,23.05,23.40,-0.10,3,69550
104/02/25,4000,23.40,23.65,23.40,23.60,+0.20,4,94300
104/02/26,15000,23.10,23.20,23.00,23.05,-0.55,15,346150
104/03/02,4000,23.00,23.00,23.00,23.00,-0.05,3,92000
104/03/03,19000,23.00,23.30,22.95,23.00,0.00,10,437400
104/03/04,25000,23.00,23.00,22.80,23.00,0.00,14,573400
104/03/05,4051,22.95,23.20,22.95,23.05,+0.05,5,93408
104/03/06,13000,22.70,23.20,22.70,23.00,-0.05,11,296200
104/03/09,5000,22.90,23.00,22.90,23.00,0.00,5,114800
104/03/10,3000,22.90,22.90,22.85,22.85,-0.15,3,68600
104/03/11,13000,22.75,22.95,22.40,22.60,-0.25,9,293750
104/03/12,1000,22.65,22.65,22.65,22.65,+0.05,1,22650
104/03/13,15000,22.65,22.90,22.50,22.70,+0.05,10,339700
104/03/16,11000,22.55,22.90,22.50,22.50,-0.20,6,248650
104/03/17,6001,22.50,22.55,22.50,22.50,0.00,6,135122
104/03/18,2000,22.85,22.85,22.60,22.60,+0.10,2,45450
104/03/19,33000,22.60,22.65,22.60,22.65,+0.05,12,746950
104/03/20,1000,22.90,22.90,22.90,22.90,+0.25,1,22900
104/03/23,87800,24.50,24.50,24.50,24.50,+1.60,46,2151100
104/03/24,210410,26.10,26.10,25.00,25.20,+0.70,156,5413905
104/03/25,49000,25.20,25.45,24.40,24.50,-0.70,45,1210550
104/03/26,19200,23.90,24.15,23.90,24.10,-0.40,18,460780
104/03/27,41093,24.10,24.10,23.70,23.70,-0.40,38,982417
104/03/30,24011,23.70,24.30,23.70,23.90,+0.20,23,573365
104/03/31,5000,23.90,24.10,23.90,24.10,+0.20,5,119900
104/04/01,3074,23.80,23.80,23.80,23.80,-0.30,4,73176
104/04/02,9000,23.70,24.15,23.70,24.15,+0.35,8,213750
104/04/07,20006,24.00,24.20,23.50,23.65,-0.50,22,475238
104/04/08,9019,24.20,24.20,23.95,23.95,+0.30,11,216854
104/04/09,23014,23.95,24.00,23.80,23.95,0.00,20,548888
104/04/10,16000,23.95,23.95,23.60,23.60,-0.35,14,379000
104/04/13,12161,23.90,24.00,23.80,24.00,+0.40,5,289731
104/04/14,9002,23.90,23.95,23.90,23.95,-0.05,10,215248
104/04/15,36148,24.00,24.00,23.90,24.00,+0.05,23,864881
104/04/16,32000,24.05,24.20,24.05,24.15,+0.15,24,773500
104/04/17,21100,24.15,24.15,24.00,24.00,-0.15,19,507680
104/04/20,18000,24.20,24.20,24.00,24.05,+0.05,12,433850
104/04/21,7000,24.05,24.05,23.85,23.85,-0.20,7,167950
104/04/22,21000,23.90,23.95,23.50,23.50,-0.35,18,497450
104/04/23,6000,23.60,23.85,23.60,23.85,+0.35,4,142100
104/04/24,25000,24.00,24.05,23.90,24.05,+0.20,14,600100
104/04/27,38000,24.05,24.10,24.00,24.00,-0.05,28,913700
104/04/28,17000,24.00,24.45,24.00,24.15,+0.15,15,412200
104/04/29,31000,24.30,24.50,24.05,24.10,-0.05,20,753600
104/04/30,30000,24.15,24.40,24.10,24.40,+0.30,18,726450
104/05/04,74000,24.40,25.50,24.20,25.45,+1.05,47,1814650
104/05/05,28000,25.40,25.40,24.85,24.85,-0.60,24,707650
104/05/06,46000,25.00,25.25,25.00,25.20,+0.35,34,1156750
104/05/07,144000,25.50,26.15,25.00,25.10,-0.10,108,3692400
104/05/08,27006,25.15,25.15,24.55,24.55,-0.55,23,668155
104/05/11,55000,24.70,24.70,23.10,23.10,-1.45,42,1290100
104/05/12,20060,22.50,22.80,22.50,22.70,-0.40,19,453007
104/05/13,16015,22.40,22.85,22.40,22.85,+0.15,15,361405
104/05/14,14000,23.00,23.30,22.85,22.85,0.00,12,324250
104/05/15,43015,24.00,24.00,23.30,23.65,+0.80,39,1026813
104/05/18,23000,23.65,23.65,23.40,23.60,-0.05,16,541550
104/05/19,17000,23.60,23.75,23.60,23.70,+0.10,9,402750
104/05/20,28000,23.85,24.45,23.80,24.25,+0.55,24,674600
104/05/21,1016,24.30,24.30,24.30,24.30,+0.05,2,24685
104/05/22,22000,24.30,24.30,23.65,23.75,-0.55,16,524350
104/05/25,8000,23.65,24.10,23.60,23.65,-0.10,7,189750
104/05/26,2000,23.95,23.95,23.65,23.65,0.00,2,47600
104/05/27,6000,23.75,23.75,23.60,23.65,0.00,6,141900
104/05/28,20000,23.70,23.75,23.70,23.75,+0.10,13,474300
104/05/29,9000,23.75,23.95,23.65,23.95,+0.20,9,214250
104/06/01,7016,23.95,24.00,23.90,24.00,+0.05,4,168238
104/06/02,22000,23.80,24.00,23.50,23.80,-0.20,14,519500
104/06/03,26000,24.15,24.20,23.75,23.95,+0.15,19,623450
104/06/04,16000,24.20,24.20,23.70,23.70,-0.25,14,381000
104/06/05,13000,24.00,24.00,23.45,23.70,0.00,9,307650
104/06/08,6000,23.40,23.80,23.35,23.80,+0.10,4,140600
104/06/09,16000,23.25,23.30,22.65,23.15,-0.65,11,370600
104/06/10,16000,22.50,22.95,22.50,22.95,-0.20,12,362350
104/06/11,12500,22.95,22.95,22.50,22.50,-0.45,8,282200
104/06/12,56100,22.50,24.40,22.50,24.20,+1.70,34,1316700
104/06/15,9000,24.10,24.10,23.55,23.55,-0.65,7,213400
104/06/16,6000,23.55,23.60,23.50,23.60,+0.05,6,141200
104/06/17,11000,23.60,23.70,23.10,23.50,-0.10,10,256900
104/06/18,14000,23.50,23.60,23.50,23.50,0.00,11,329550
104/06/22,6069,23.45,23.95,23.45,23.90,+0.40,12,144312
104/06/23,59002,23.45,24.50,23.45,24.50,+0.60,38,1423349
104/06/24,89003,24.50,25.00,24.40,25.00,+0.50,59,2197525
104/06/25,147005,25.00,25.40,23.65,25.00,0.00,108,3608826
104/06/26,156010,24.90,25.80,24.80,25.10,+0.10,91,3922903
104/06/29,48450,23.40,23.40,22.55,22.55,,36,1122437
