點晶,	3288
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,43137,12.45,12.65,12.40,12.40,-0.05,19,538034
104/01/06,49023,12.35,12.35,12.00,12.25,-0.15,50,593026
104/01/07,33013,12.00,12.40,12.00,12.35,+0.10,34,403106
104/01/08,615002,12.30,12.35,11.70,12.20,-0.15,49,7483324
104/01/09,73902,11.80,12.20,11.80,12.10,-0.10,33,888624
104/01/12,390780,12.10,12.60,12.10,12.40,+0.30,47,4777143
104/01/13,40208,12.30,12.40,12.10,12.15,-0.25,34,494575
104/01/14,27129,12.15,12.40,12.15,12.40,+0.25,31,333484
104/01/15,53204,12.30,12.50,12.15,12.40,0.00,29,654758
104/01/16,28005,12.20,12.25,12.10,12.20,-0.20,24,340910
104/01/19,54009,12.30,12.30,11.80,12.10,-0.10,41,654558
104/01/20,200429,11.90,12.10,11.60,12.00,-0.10,70,2351782
104/01/21,20225,11.75,12.00,11.70,11.95,-0.05,18,241648
104/01/22,12003,11.95,12.00,11.75,11.80,-0.15,15,142583
104/01/23,42748,11.80,12.00,11.70,11.90,+0.10,40,508919
104/01/26,21574,11.80,12.00,11.75,12.00,+0.10,24,257174
104/01/27,7388,11.80,11.95,11.80,11.95,-0.05,13,87323
104/01/28,42003,11.80,11.95,11.70,11.80,-0.15,20,498283
104/01/29,52710,11.80,12.05,11.70,12.00,+0.20,41,625344
104/01/30,24002,12.00,12.05,11.80,11.95,-0.05,17,287574
104/02/02,43001,12.00,12.05,11.90,12.05,+0.10,18,515762
104/02/03,46002,12.40,12.40,11.65,11.90,-0.15,32,544322
104/02/04,23458,11.80,12.10,11.80,12.00,+0.10,19,280847
104/02/05,17005,11.95,11.95,11.75,11.90,-0.10,21,201255
104/02/06,23007,11.80,11.90,11.80,11.80,-0.10,21,271677
104/02/09,37819,11.80,12.00,11.80,11.85,+0.05,19,448627
104/02/10,46079,11.75,11.95,11.70,11.70,-0.15,28,542612
104/02/11,20440,11.90,11.90,11.65,11.80,+0.10,51,240320
104/02/12,11225,11.75,11.80,11.70,11.80,0.00,13,131979
104/02/13,37367,11.75,11.75,11.60,11.75,-0.05,25,437104
104/02/24,10012,11.75,11.80,11.65,11.80,+0.05,20,117482
104/02/25,25008,11.65,11.80,11.60,11.80,0.00,23,291538
104/02/26,64006,11.55,11.80,11.45,11.65,-0.15,33,738766
104/03/02,39225,11.45,11.65,11.45,11.55,-0.10,42,453254
104/03/03,57300,11.50,11.65,11.50,11.65,+0.10,33,665570
104/03/04,28559,11.85,11.85,11.50,11.60,-0.05,27,334724
104/03/05,65007,11.60,11.75,11.40,11.75,+0.15,33,749627
104/03/06,59024,11.75,11.80,11.60,11.80,+0.05,30,691222
104/03/09,48027,11.80,11.95,11.50,11.80,0.00,52,564549
104/03/10,52012,11.85,11.85,11.70,11.80,0.00,34,611682
104/03/11,37247,11.65,11.80,11.50,11.50,-0.30,51,431055
104/03/12,132431,11.60,11.60,11.25,11.40,-0.10,75,1507215
104/03/13,58633,11.25,11.55,11.25,11.50,+0.10,58,667708
104/03/16,36026,11.35,11.65,11.35,11.55,+0.05,43,415639
104/03/17,57571,11.55,11.60,11.30,11.40,-0.15,46,656997
104/03/18,42775,11.30,11.40,11.15,11.20,-0.20,36,482101
104/03/19,68026,11.20,11.35,11.15,11.20,0.00,38,763887
104/03/20,49276,11.20,11.50,11.20,11.20,0.00,49,554861
104/03/23,39389,11.45,11.45,11.20,11.40,+0.20,45,442144
104/03/24,26367,11.40,11.40,11.20,11.35,-0.05,39,296456
104/03/25,12021,11.40,11.40,11.20,11.20,-0.15,30,135331
104/03/26,9015,11.20,11.20,11.20,11.20,0.00,20,100965
104/03/27,12118,11.20,11.35,11.20,11.30,+0.10,121,136498
