萬年清,	6624
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
108/05/28,991000,63.00,65.50,61.80,63.60,+13.60,624,63102800
108/05/29,416500,62.40,64.80,62.00,62.60,-1.00,298,26372600
108/05/30,168400,62.60,63.30,61.80,62.10,-0.50,140,10507980
108/05/31,133000,62.50,62.60,61.20,61.70,-0.40,110,8208800
108/06/03,132000,61.00,61.00,57.80,58.40,-3.30,115,7777700
108/06/04,160260,58.40,58.40,54.90,55.80,-2.60,140,9000305
108/06/05,144100,56.10,57.30,56.00,56.30,+0.50,106,8162940
108/06/06,185000,61.00,61.00,58.20,58.60,+2.30,148,11026400
108/06/10,95100,59.20,59.50,58.40,58.90,+0.30,85,5611430
108/06/11,109030,58.90,59.10,57.60,58.90,0.00,75,6370667
108/06/12,40200,58.90,58.90,58.00,58.90,0.00,37,2350300
108/06/13,26100,58.20,58.90,58.20,58.70,-0.20,23,1528500
108/06/14,91200,59.00,59.60,58.80,59.20,+0.50,67,5399200
108/06/17,42200,59.50,60.20,59.50,59.70,+0.50,35,2524600
108/06/18,44000,59.70,59.70,58.10,58.20,-1.50,42,2582500
108/06/19,38349,58.50,58.50,58.10,58.20,0.00,41,2235321
108/06/20,90048,58.20,58.40,57.70,58.30,+0.10,80,5230908
108/06/21,41000,58.30,59.10,58.10,59.00,+0.70,39,2412000
108/06/24,99000,59.20,62.00,59.10,61.90,+2.90,92,6058200
108/06/25,67000,60.50,62.00,60.30,60.80,-1.10,63,4076500
108/06/26,20000,60.50,60.50,60.10,60.20,-0.60,16,1206000
108/06/27,76072,60.50,61.30,60.10,60.90,+0.70,54,4595208
108/06/28,33000,60.70,60.80,60.20,60.40,-0.50,32,1993100
108/07/01,39001,59.40,60.00,58.90,59.50,,39,2308159
108/07/02,10000,60.00,60.00,59.60,59.80,+0.30,10,598500
108/07/03,20000,59.80,60.10,59.80,59.90,+0.10,19,1199300
108/07/04,37000,59.60,60.10,59.20,59.50,-0.40,33,2199400
108/07/05,19000,60.00,60.00,59.20,59.80,+0.30,19,1131600
108/07/08,66000,59.40,59.40,58.60,58.80,-1.00,50,3889700
108/07/09,23005,58.50,59.50,58.30,58.30,-0.50,21,1350799
108/07/10,20033,58.30,59.00,58.30,59.00,+0.70,15,1170263
108/07/11,9030,59.50,59.80,58.70,58.70,-0.30,10,535276
108/07/12,18000,58.70,58.70,58.30,58.30,-0.40,17,1053900
108/07/15,12000,58.30,58.60,58.30,58.60,+0.30,6,700900
108/07/16,10195,58.60,58.60,58.50,58.50,-0.10,11,596907
108/07/17,12000,58.40,58.80,58.40,58.80,+0.30,9,702700
108/07/18,6000,58.30,58.30,58.30,58.30,-0.50,5,349800
108/07/19,9000,58.50,59.00,58.30,58.30,0.00,8,527500
108/07/22,4100,58.30,58.90,58.30,58.90,+0.60,6,240300
108/07/23,13095,58.90,59.00,58.50,58.60,-0.30,15,769956
108/07/24,11000,58.30,58.50,58.10,58.50,-0.10,10,641500
108/07/25,7000,58.50,58.60,58.20,58.60,+0.10,6,408100
108/07/26,16000,58.60,58.60,58.20,58.20,-0.40,14,932900
108/07/29,17000,58.20,58.40,58.00,58.20,0.00,16,988700
108/07/30,21000,58.20,59.80,58.20,58.50,+0.30,18,1227400
108/07/31,26010,58.50,58.50,57.70,57.70,-0.80,19,1519079
108/08/01,18000,57.10,58.00,57.00,58.00,+0.30,15,1030600
108/08/02,8200,58.60,58.60,58.30,58.30,+0.30,9,479360
108/08/05,34034,59.00,59.00,57.70,58.00,-0.30,20,1976672
108/08/06,28000,57.10,57.10,56.00,57.00,-1.00,27,1591800
108/08/07,10066,57.80,57.80,57.00,57.00,0.00,9,575262
108/08/08,71032,56.40,57.00,56.40,56.70,-0.30,38,4034914
108/08/12,8158,57.00,57.00,56.70,56.80,+0.10,11,464089
108/08/13,8100,56.50,56.90,56.50,56.90,+0.10,8,459140
108/08/14,21000,57.00,57.70,56.90,57.00,+0.10,17,1201200
108/08/15,29000,57.00,57.00,55.00,55.80,-1.20,25,1618400
108/08/16,15000,58.00,58.00,55.90,56.20,+0.40,13,853000
108/08/19,23000,56.50,56.60,56.10,56.30,+0.10,14,1298300
108/08/20,27000,56.80,56.80,56.40,56.50,+0.20,15,1528700
108/08/21,15000,56.60,56.70,56.60,56.70,+0.20,10,849400
108/08/22,34000,56.90,58.00,56.90,58.00,+1.30,26,1946900
108/08/23,10084,57.70,58.00,57.60,57.60,-0.40,9,584032
108/08/26,9000,57.40,57.40,56.80,56.80,-0.80,6,516000
108/08/27,10000,57.30,57.30,56.10,56.60,-0.20,9,567000
108/08/28,6000,57.70,57.70,56.90,56.90,+0.30,6,343300
108/08/29,6053,56.90,57.10,56.80,57.10,+0.20,8,345126
108/08/30,10000,57.50,57.50,57.20,57.30,+0.20,10,573400
