旭源,	8421
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,10000,12.15,12.20,12.15,12.15,0.00,6,121700
104/01/06,13038,12.15,12.20,12.15,12.15,0.00,10,158665
104/01/07,45000,12.10,12.20,12.00,12.00,-0.15,19,540850
104/01/08,485020,12.10,12.80,12.10,12.25,+0.25,235,6159093
104/01/09,107010,12.20,12.40,12.05,12.05,-0.20,55,1306420
104/01/12,47700,12.05,12.20,12.00,12.05,0.00,25,575000
104/01/13,59024,12.05,12.20,12.05,12.15,+0.10,20,716992
104/01/14,28000,12.15,12.15,12.10,12.15,0.00,13,339350
104/01/15,12028,12.15,12.15,12.10,12.10,-0.05,10,146089
104/01/16,22080,12.05,12.10,12.00,12.00,-0.10,13,265356
104/01/19,11000,12.00,12.10,11.90,11.90,-0.10,9,131550
104/01/20,48482,12.15,12.40,11.95,12.15,+0.25,28,589182
104/01/21,14000,12.15,12.20,12.10,12.20,+0.05,9,170100
104/01/22,5000,12.15,12.25,12.15,12.25,+0.05,4,60950
104/01/23,33010,12.20,12.30,12.10,12.30,+0.05,22,401922
104/01/26,26000,12.20,12.30,12.20,12.20,-0.10,12,317900
104/01/27,27000,12.20,12.20,12.20,12.20,0.00,8,329400
104/01/28,73100,12.20,12.45,12.20,12.20,0.00,38,898270
104/01/29,166161,12.25,12.80,12.10,12.60,+0.40,104,2072112
104/01/30,138000,12.75,12.75,12.40,12.60,0.00,79,1730550
104/02/02,42000,12.40,12.60,12.30,12.30,-0.30,27,523400
104/02/03,10000,12.40,12.40,12.30,12.30,0.00,5,123450
104/02/04,37000,12.25,12.30,12.10,12.10,-0.20,23,450500
104/02/05,15438,12.10,12.15,12.05,12.10,0.00,10,186499
104/02/06,23000,12.10,12.35,12.10,12.25,+0.15,18,281000
104/02/09,18010,12.20,12.50,12.20,12.50,+0.25,10,221024
104/02/10,21000,12.40,12.55,12.20,12.40,-0.10,12,258000
104/02/11,25000,12.15,12.50,12.15,12.40,0.00,18,306000
104/02/12,34000,12.40,12.45,12.05,12.10,-0.30,25,413350
104/02/13,13000,12.15,12.20,12.10,12.15,+0.05,9,158050
104/02/24,28000,12.10,12.10,12.00,12.00,-0.15,17,336300
104/02/25,49000,12.10,12.45,12.10,12.15,+0.15,21,603700
104/02/26,97000,12.10,12.10,12.00,12.05,-0.10,24,1167550
104/03/02,67000,12.05,12.10,12.00,12.00,-0.05,27,804900
104/03/03,15000,12.05,12.30,12.00,12.30,+0.30,11,181500
104/03/04,17000,12.05,12.05,12.00,12.00,-0.30,13,204300
104/03/05,124000,12.05,12.50,12.05,12.25,+0.25,47,1532950
104/03/06,69711,12.25,12.40,12.15,12.30,+0.05,27,854273
104/03/09,10000,12.40,12.40,12.15,12.40,+0.10,9,122850
104/03/10,28020,12.40,12.40,12.15,12.30,-0.10,19,342848
104/03/11,19000,12.30,12.40,12.30,12.40,+0.10,10,235400
104/03/12,22000,12.50,12.50,12.45,12.50,+0.10,9,274750
104/03/13,46050,12.50,12.70,12.50,12.55,+0.05,19,576920
104/03/16,51010,12.55,12.75,12.55,12.60,+0.05,21,643375
104/03/17,26007,12.60,12.60,12.50,12.50,-0.10,11,327287
104/03/18,19000,12.35,12.55,12.25,12.45,-0.05,12,234850
104/03/19,25000,12.40,12.50,12.15,12.30,-0.15,14,306900
104/03/20,33000,12.60,12.60,12.20,12.40,+0.10,22,405800
104/03/23,17024,12.30,12.45,12.00,12.40,0.00,14,207698
104/03/24,3026,12.20,12.45,12.20,12.45,+0.05,4,37169
104/03/25,0,---,---,---,---,---,0,0
104/03/26,18006,12.45,12.50,12.20,12.25,-0.20,9,221372
104/03/27,14000,12.25,12.35,12.20,12.35,+0.10,10,172100
104/03/30,2000,12.40,12.40,12.40,12.40,+0.05,2,24800
104/03/31,40048,12.40,12.40,12.15,12.25,-0.15,23,487892
104/04/01,49000,12.35,12.35,11.90,12.00,-0.25,26,589150
104/04/02,26000,12.00,12.15,11.90,12.15,+0.15,13,311850
104/04/07,76030,12.00,12.10,11.90,12.10,-0.05,20,911860
104/04/08,128000,12.10,12.25,12.00,12.15,+0.05,25,1543750
104/04/09,18000,12.20,12.20,12.05,12.10,-0.05,9,218900
104/04/10,80666,12.10,12.35,12.05,12.30,+0.20,32,976575
104/04/13,95000,12.35,12.35,12.05,12.25,-0.05,25,1158900
104/04/14,217671,12.30,13.10,12.30,13.10,+0.85,75,2822889
104/04/15,614409,13.50,13.70,12.90,12.90,-0.20,265,8205076
104/04/16,129000,13.10,13.25,12.70,12.90,0.00,84,1659800
104/04/17,94464,13.00,13.05,12.70,12.70,-0.20,54,1202796
104/04/20,1213290,12.70,13.55,12.50,13.55,+0.85,355,16366078
104/04/21,611290,13.65,13.75,12.65,12.80,-0.75,306,7952783
104/04/22,141000,12.70,13.10,12.65,12.85,+0.05,74,1823000
104/04/23,130003,13.05,13.10,12.65,12.80,-0.05,53,1663386
104/04/24,132000,12.75,12.80,12.60,12.80,0.00,48,1680150
104/04/27,152000,12.95,13.60,12.80,13.00,+0.20,91,1979150
104/04/28,88000,13.20,13.20,12.60,13.00,0.00,52,1128200
104/04/29,107000,12.90,12.90,12.50,12.55,-0.45,56,1348100
104/04/30,73000,12.70,12.80,12.60,12.65,+0.10,31,926850
104/05/04,70000,12.65,12.80,12.45,12.45,-0.20,35,878400
104/05/05,77000,12.40,12.55,12.30,12.30,-0.15,31,953050
104/05/06,34000,12.50,12.50,12.30,12.30,0.00,15,419200
104/05/07,45000,12.40,12.70,12.40,12.55,+0.25,22,563450
104/05/08,31300,12.50,12.90,12.50,12.60,+0.05,25,397400
104/05/11,129020,12.45,12.45,11.90,11.95,-0.65,55,1566438
104/05/12,32000,11.95,12.00,11.80,11.90,-0.05,24,381050
104/05/13,29050,11.85,12.10,11.85,12.10,+0.20,12,348955
104/05/14,43001,12.05,12.20,11.90,11.90,-0.20,10,513462
104/05/15,64060,12.00,12.20,11.20,11.20,-0.70,38,746190
104/05/18,277000,11.60,11.95,11.05,11.65,+0.45,145,3189800
104/05/19,260000,11.35,12.25,11.35,11.80,+0.15,168,3085400
104/05/20,385000,11.60,12.35,11.60,12.00,+0.20,236,4555950
104/05/21,116020,11.80,12.20,11.30,11.45,-0.55,76,1340231
104/05/22,42020,11.40,11.55,11.40,11.55,+0.10,14,480083
104/05/25,38000,11.30,11.65,11.30,11.55,0.00,20,438650
104/05/26,333000,11.50,12.35,11.45,11.50,-0.05,156,4021350
104/05/27,32030,11.40,11.60,11.40,11.55,+0.05,28,368098
104/05/28,52000,11.65,11.65,11.30,11.30,-0.25,31,593700
104/05/29,106000,11.45,11.45,11.20,11.30,0.00,45,1196000
104/06/01,43040,11.30,11.50,11.25,11.25,-0.05,21,487302
104/06/02,86000,11.30,11.35,11.05,11.25,0.00,31,966500
104/06/03,91020,11.20,11.20,10.85,11.00,-0.25,45,1005268
104/06/04,60020,10.95,11.20,10.60,10.70,-0.30,22,645817
104/06/05,61000,10.70,10.70,10.00,10.10,-0.60,38,623300
104/06/08,38000,10.35,10.35,10.00,10.30,+0.20,26,386100
104/06/09,64000,10.55,10.55,9.74,10.00,-0.30,37,641740
104/06/10,28000,10.05,10.35,9.94,10.00,0.00,18,283080
104/06/11,6020,10.00,10.00,10.00,10.00,0.00,5,60202
104/06/12,21000,9.89,10.20,9.89,10.10,+0.10,20,210460
104/06/15,14010,10.05,10.10,9.86,10.00,-0.10,13,140101
104/06/16,41000,10.00,10.65,9.96,10.15,+0.15,28,414710
104/06/17,3000,10.20,10.20,9.98,10.15,0.00,3,30330
104/06/18,17000,10.15,10.15,9.92,10.05,-0.10,13,170600
104/06/22,34000,10.10,10.10,10.00,10.10,+0.05,12,340500
104/06/23,46100,10.10,10.40,10.10,10.15,+0.05,23,472205
104/06/24,16000,10.25,10.30,10.15,10.25,+0.10,9,163350
104/06/25,7000,10.25,10.25,10.05,10.05,-0.20,3,71050
104/06/26,3000,10.15,10.15,10.05,10.05,0.00,3,30250
104/06/29,322,---,---,---,---,---,2,3236
104/06/30,8000,10.15,10.40,10.05,10.20,+0.20,8,81450
104/07/01,5000,10.35,10.35,10.20,10.35,+0.15,5,51550
104/07/02,34000,10.35,10.85,10.35,10.75,+0.40,29,362150
104/07/03,27000,10.45,10.80,10.40,10.80,+0.05,21,285400
104/07/06,12000,10.40,10.70,10.25,10.65,-0.15,8,125050
104/07/07,8000,10.50,10.60,10.50,10.55,-0.10,8,84300
104/07/08,38000,10.70,10.70,9.83,10.05,-0.50,30,389550
104/07/09,38000,10.05,10.15,9.83,10.15,+0.10,19,379810
104/07/13,9000,10.20,10.20,10.05,10.20,+0.05,8,91450
104/07/14,9000,10.20,10.25,10.05,10.20,0.00,9,91500
104/07/15,25000,10.10,10.25,9.96,10.20,0.00,21,252100
104/07/16,34000,10.20,10.55,10.20,10.35,+0.15,26,352850
104/07/17,48000,10.50,10.50,10.30,10.45,+0.10,22,499100
104/07/20,31285,10.50,10.60,10.35,10.35,-0.10,25,327877
104/07/21,31100,10.35,10.45,10.20,10.25,-0.10,19,319260
104/07/22,5000,10.15,10.15,10.05,10.05,-0.20,4,50500
104/07/23,44000,10.05,10.10,9.91,10.10,+0.05,22,439840
104/07/24,26010,10.00,10.00,9.81,10.00,-0.10,15,259808
104/07/27,43002,9.96,9.96,9.61,9.80,-0.20,24,422079
104/07/28,20757,10.00,10.25,9.31,9.94,+0.14,13,204258
104/07/29,28130,10.10,10.10,9.80,9.96,+0.02,18,278376
104/07/30,25010,9.82,9.98,9.80,9.98,+0.02,15,247539
104/07/31,39000,9.86,10.00,9.67,9.94,-0.04,22,386010
104/08/03,231000,10.00,10.65,9.68,10.30,+0.36,117,2352780
104/08/04,274465,10.60,11.00,10.60,10.75,+0.45,144,2948795
104/08/05,149000,11.60,11.60,10.80,10.85,+0.10,85,1673350
104/08/06,171000,10.70,11.30,10.30,10.95,+0.10,77,1851150
104/08/07,144434,10.65,11.85,10.65,11.35,+0.40,100,1626469
104/08/10,118000,11.55,11.55,11.00,11.35,0.00,77,1321050
104/08/11,149150,11.15,11.75,11.15,11.50,+0.15,86,1696467
