友銓,	5321
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,18508,20.10,20.45,20.00,20.45,+0.20,15,370678
104/01/06,44033,20.30,21.00,20.00,21.00,+0.55,30,898333
104/01/07,13316,21.00,21.00,20.30,20.40,-0.60,13,273750
104/01/08,12437,20.40,20.60,20.30,20.60,+0.20,13,253907
104/01/09,45625,20.40,22.00,20.25,21.05,+0.45,32,970262
104/01/12,35710,21.00,22.30,21.00,21.35,+0.30,18,764547
104/01/13,18466,21.50,21.95,21.30,21.30,-0.05,16,395395
104/01/14,43000,21.40,21.80,21.15,21.20,-0.10,23,918550
104/01/15,13289,21.60,21.85,21.25,21.25,+0.05,13,286166
104/01/16,15600,21.50,21.50,21.20,21.20,-0.05,10,333259
104/01/19,15680,21.25,21.25,21.15,21.15,-0.05,12,332331
104/01/20,10081,21.25,21.25,21.25,21.25,+0.10,6,214176
104/01/21,31031,21.55,21.75,21.00,21.00,-0.25,16,668929
104/01/22,22000,21.00,21.20,21.00,21.20,+0.20,8,464450
104/01/23,14184,21.20,21.50,21.20,21.50,+0.30,9,303625
104/01/26,1094,21.55,21.55,21.55,21.55,+0.05,3,23528
104/01/27,2070,22.90,22.90,22.90,22.90,+1.35,6,46224
104/01/28,21060,21.50,22.10,21.30,21.30,-1.60,18,452228
104/01/29,6266,20.75,21.25,20.70,21.25,-0.05,7,130375
104/01/30,10277,21.25,21.25,20.80,20.80,-0.45,8,216478
104/02/02,10372,20.80,20.80,20.80,20.80,0.00,6,215532
104/02/03,23227,21.25,21.80,21.10,21.10,+0.30,12,495091
104/02/04,6200,21.10,21.10,20.80,20.85,-0.25,7,129968
104/02/05,17030,21.00,21.35,20.50,20.50,-0.35,14,356407
104/02/06,28140,20.60,20.90,20.20,20.90,+0.40,21,576440
104/02/09,19075,20.65,21.25,20.50,21.20,+0.30,18,398588
104/02/10,2040,21.20,21.20,21.20,21.20,0.00,4,43247
104/02/11,21958,20.85,21.10,20.60,21.10,-0.10,13,456288
104/02/12,170,---,---,---,---,---,3,3501
104/02/13,29054,20.85,20.85,20.60,20.60,-0.45,23,601157
104/02/24,8099,20.60,20.60,20.50,20.60,0.00,9,166505
104/02/25,20380,20.45,20.45,19.65,19.80,-0.80,20,410829
104/02/26,12121,19.80,19.80,19.60,19.65,-0.15,10,238659
104/03/02,5050,19.65,19.65,19.65,19.65,0.00,5,99225
104/03/03,1579,19.65,19.65,19.65,19.65,0.00,6,30940
104/03/04,8908,19.65,19.80,19.60,19.60,-0.05,8,174527
104/03/05,0,---,---,---,---,---,0,0
104/03/06,3000,19.15,19.15,19.15,19.15,-0.35,3,57450
104/03/09,15019,19.00,19.00,18.90,19.00,-0.15,8,284950
104/03/10,3000,19.00,19.20,19.00,19.20,+0.20,3,57200
104/03/11,16318,19.10,19.10,18.80,18.80,-0.40,10,308855
104/03/12,1163,18.85,18.85,18.85,18.85,+0.05,3,21800
104/03/13,317,---,---,---,---,---,7,5706
104/03/16,2204,19.00,19.00,19.00,19.00,+0.05,7,41834
104/03/17,8159,19.15,19.20,19.15,19.20,+0.20,7,156483
104/03/18,89627,19.25,20.50,19.25,20.50,+1.30,60,1821547
104/03/19,72702,20.95,21.90,20.80,21.90,+1.40,64,1563278
104/03/20,79990,21.90,23.00,20.85,22.40,+0.50,52,1780880
104/03/23,85659,22.15,23.70,21.60,22.20,-0.20,50,1936603
104/03/24,53000,22.00,22.90,21.20,21.30,-0.90,32,1148250
104/03/25,32023,21.30,21.30,20.50,20.50,-0.80,19,669012
104/03/26,12398,20.25,20.85,19.70,20.85,+0.35,14,249060
104/03/27,128906,20.75,22.30,20.70,22.30,+1.45,86,2808224
104/03/30,23174,22.20,23.00,21.50,22.45,+0.15,21,519528
