三圓,	4416
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1000,103.50,103.50,103.50,103.50,-0.50,1,103500
104/01/06,10000,102.00,103.00,102.00,103.00,-0.50,3,1021000
104/01/07,1000,102.00,102.00,102.00,102.00,-1.00,1,102000
104/01/08,1000,105.00,105.00,105.00,105.00,+3.00,1,105000
104/01/09,10,---,---,---,---,---,1,1030
104/01/12,1000,103.50,103.50,103.50,103.50,-1.00,1,103500
104/01/13,13000,96.30,102.00,96.30,102.00,-1.50,5,1316800
104/01/14,0,---,---,---,---,---,0,0
104/01/15,0,---,---,---,---,---,0,0
104/01/16,0,---,---,---,---,---,0,0
104/01/19,10,---,---,---,---,---,1,1020
104/01/20,0,---,---,---,---,---,0,0
104/01/21,0,---,---,---,---,---,0,0
104/01/22,2000,104.50,105.00,104.50,105.00,+3.00,2,209500
104/01/23,4000,102.00,102.00,102.00,102.00,-3.00,2,408000
104/01/26,1000,102.00,102.00,102.00,102.00,0.00,1,102000
104/01/27,1000,103.50,103.50,103.50,103.50,+1.50,1,103500
104/01/28,3000,102.00,102.00,102.00,102.00,-1.50,1,306000
104/01/29,3055,101.00,102.50,101.00,102.50,+0.50,4,311582
104/01/30,3000,102.00,102.00,102.00,102.00,-0.50,1,306000
104/02/02,3000,102.00,102.00,102.00,102.00,0.00,1,306000
104/02/03,3000,101.00,101.00,101.00,101.00,-1.00,3,303000
104/02/04,0,---,---,---,---,---,0,0
104/02/05,0,---,---,---,---,---,0,0
104/02/06,0,---,---,---,---,---,0,0
104/02/09,10,---,---,---,---,---,1,1000
104/02/10,1000,102.00,102.00,102.00,102.00,+1.00,1,102000
104/02/11,0,---,---,---,---,---,0,0
104/02/12,2025,101.50,101.50,101.00,101.00,-1.00,3,205050
104/02/13,176,---,---,---,---,---,3,17776
104/02/24,0,---,---,---,---,---,0,0
104/02/25,2000,101.00,101.00,101.00,101.00,0.00,2,202000
104/02/26,0,---,---,---,---,---,0,0
104/03/02,0,---,---,---,---,---,0,0
104/03/03,6000,105.00,105.00,105.00,105.00,+4.00,6,630000
104/03/04,0,---,---,---,---,---,0,0
104/03/05,0,---,---,---,---,---,0,0
104/03/06,1000,104.50,104.50,104.50,104.50,0.00,1,104500
104/03/09,3000,102.00,103.50,102.00,103.00,-1.50,3,308500
104/03/10,1014,101.50,101.50,101.50,101.50,-1.50,4,102942
104/03/11,16000,102.00,104.00,101.50,101.50,0.00,5,1634000
104/03/12,4000,102.00,104.50,101.00,104.50,+3.00,4,409500
104/03/13,4000,102.50,102.50,102.00,102.00,-2.50,3,408500
104/03/16,1000,102.50,102.50,102.50,102.50,+0.50,1,102500
104/03/17,20001,102.00,102.00,102.00,102.00,-0.50,3,2040103
104/03/18,0,---,---,---,---,---,0,0
104/03/19,38000,102.00,104.50,101.00,102.00,0.00,10,3876000
104/03/20,13002,102.00,102.00,101.00,101.00,-1.00,6,1319207
104/03/23,4000,103.00,103.00,101.00,101.00,0.00,4,407500
104/03/24,6000,101.00,101.00,101.00,101.00,0.00,5,606000
104/03/25,6007,102.50,102.50,102.00,102.00,+1.00,3,613228
104/03/26,20003,102.00,102.00,102.00,102.00,0.00,5,2040306
104/03/27,2075,100.00,100.00,99.70,99.70,-2.30,4,207275
104/03/30,4002,97.40,100.00,97.30,100.00,+0.30,6,394904
104/03/31,3000,103.50,103.50,98.40,101.50,+1.50,3,303400
104/04/01,7010,98.40,101.00,97.50,101.00,-0.50,8,693410
104/04/02,5040,98.70,99.10,98.20,98.20,-2.80,7,496628
104/04/07,16120,101.50,101.50,98.20,99.00,+0.80,16,1612560
104/04/08,19021,100.00,100.00,98.50,98.50,-0.50,12,1893958
104/04/09,7000,98.60,100.00,98.50,99.10,+0.60,7,694500
104/04/10,10011,99.30,101.00,99.20,101.00,+1.90,11,998811
104/04/13,0,---,---,---,---,---,0,0
104/04/14,2000,101.50,101.50,101.50,101.50,+0.50,2,203000
104/04/15,13000,102.00,104.50,102.00,103.00,+1.50,12,1337000
104/04/16,1,---,---,---,---,---,1,103
104/04/17,4989,110.00,110.00,110.00,110.00,+7.00,6,548790
104/04/20,22000,117.50,117.50,117.50,117.50,+7.50,22,2585000
104/04/21,45128,119.00,119.00,110.00,113.50,-4.00,43,5220580
104/04/22,14000,107.50,107.50,106.00,106.00,-7.50,14,1489500
104/04/23,13000,106.50,109.00,106.50,109.00,+3.00,12,1400500
104/04/24,11000,109.00,110.00,106.00,106.00,-3.00,11,1183000
104/04/27,4000,102.00,105.00,102.00,105.00,-1.00,4,413000
104/04/28,5000,102.50,102.50,102.50,102.50,-2.50,5,512500
104/04/29,1000,102.00,102.00,102.00,102.00,-0.50,1,102000
104/04/30,2000,102.00,103.00,102.00,103.00,+1.00,2,205000
104/05/04,1000,102.00,102.00,102.00,102.00,-1.00,1,102000
104/05/05,3000,100.50,100.50,100.50,100.50,-1.50,3,301500
104/05/06,7000,100.50,103.00,100.50,103.00,+2.50,6,716500
104/05/07,1002,102.00,102.00,102.00,102.00,-1.00,2,102215
104/05/08,3060,102.00,102.00,102.00,102.00,0.00,3,312120
104/05/11,1002,105.50,105.50,105.50,105.50,+3.50,2,105711
104/05/12,12000,102.00,103.50,100.50,103.50,-2.00,3,1224000
104/05/13,2000,101.00,101.00,100.50,100.50,-3.00,2,201500
104/05/14,12029,102.00,102.50,100.00,100.00,-0.50,6,1225371
104/05/15,1362,100.00,100.00,100.00,100.00,0.00,5,135838
104/05/18,1475,100.00,100.00,100.00,100.00,0.00,4,145837
104/05/19,3000,93.10,100.50,93.10,100.50,+0.50,3,289600
104/05/20,2204,100.50,100.50,100.50,100.50,0.00,2,221298
