擎邦,	6122
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,105402,11.40,11.50,11.30,11.35,+0.05,54,1204655
104/01/06,75070,11.40,11.40,11.05,11.05,-0.30,43,841170
104/01/07,145006,11.15,11.40,11.15,11.20,+0.15,33,1636166
104/01/08,124060,11.30,11.50,11.10,11.20,0.00,64,1408571
104/01/09,1090769,11.20,11.90,11.05,11.80,+0.60,278,12716941
104/01/12,443543,11.90,12.05,11.55,11.60,-0.20,170,5264767
104/01/13,206957,11.95,11.95,11.55,11.55,-0.05,84,2422292
104/01/14,103009,11.60,11.90,11.50,11.70,+0.15,57,1200851
104/01/15,90344,11.80,11.80,11.60,11.70,0.00,30,1054337
104/01/16,39104,11.60,11.60,11.50,11.50,-0.20,25,451433
104/01/19,589231,11.50,11.50,10.70,10.70,-0.80,228,6415886
104/01/20,166001,10.40,10.70,10.40,10.60,-0.10,75,1748810
104/01/21,168006,10.65,10.95,10.55,10.55,-0.05,70,1802310
104/01/22,181056,10.75,10.75,10.45,10.50,-0.05,78,1909241
104/01/23,538483,10.60,10.60,10.30,10.30,-0.20,170,5590595
104/01/26,128073,10.30,10.40,10.25,10.30,0.00,55,1319808
104/01/27,36674,10.45,10.45,10.35,10.40,+0.10,28,381388
104/01/28,75379,10.40,10.45,10.40,10.40,0.00,31,785101
104/01/29,235723,10.40,10.45,10.35,10.40,0.00,56,2452392
104/01/30,22980,10.40,10.45,10.35,10.45,+0.05,14,239040
104/02/02,101545,10.45,10.45,10.35,10.35,-0.10,36,1053411
104/02/03,70485,10.35,10.40,10.25,10.30,-0.05,45,726841
104/02/04,70297,10.30,10.40,10.30,10.40,+0.10,27,726357
104/02/05,47014,10.40,10.40,10.30,10.35,-0.05,21,487642
104/02/06,53052,10.25,10.35,10.25,10.35,0.00,32,546182
104/02/09,132007,10.25,10.30,10.10,10.25,-0.10,33,1340920
104/02/10,86261,10.25,10.25,10.10,10.15,-0.10,37,878059
104/02/11,166091,10.15,10.15,10.05,10.10,-0.05,63,1674963
104/02/12,68479,10.10,10.10,10.05,10.05,-0.05,28,688590
104/02/13,119003,10.10,10.15,10.00,10.15,+0.10,43,1195130
104/02/24,7423,10.10,10.25,10.10,10.15,0.00,24,75419
104/02/25,63980,10.15,10.30,10.00,10.15,0.00,46,646696
104/02/26,52253,10.15,10.15,10.10,10.15,0.00,21,528604
104/03/02,28121,10.15,10.15,10.05,10.10,-0.05,41,284914
104/03/03,23196,10.10,10.20,10.10,10.20,+0.10,20,236178
104/03/04,36047,10.15,10.15,10.15,10.15,-0.05,17,365876
104/03/05,50422,10.10,10.20,10.10,10.15,0.00,31,512761
104/03/06,56532,10.15,10.20,10.10,10.20,+0.05,38,573517
104/03/09,236200,10.15,10.15,10.00,10.10,-0.10,81,2372268
104/03/10,113011,10.10,10.10,10.00,10.10,0.00,48,1136510
104/03/11,3146892,10.45,10.80,10.30,10.80,+0.70,763,33812580
104/03/12,4428016,11.00,11.55,11.00,11.55,+0.75,1020,50586030
104/03/13,3446710,11.75,11.90,11.30,11.50,-0.05,1165,40021879
104/03/16,1198597,11.70,11.70,11.20,11.40,-0.10,446,13638440
104/03/17,753283,11.50,11.50,11.00,11.05,-0.35,310,8426463
104/03/18,660527,11.05,11.35,10.85,10.90,-0.15,301,7297730
104/03/19,714981,11.10,11.20,10.80,11.15,+0.25,294,7868434
104/03/20,808907,11.20,11.20,10.55,10.65,-0.50,315,8745104
104/03/23,283551,10.70,10.80,10.60,10.65,0.00,138,3037299
104/03/24,198688,10.65,10.75,10.60,10.60,-0.05,121,2114378
104/03/25,229156,10.75,10.75,10.60,10.65,+0.05,120,2447048
104/03/26,308026,10.55,10.80,10.45,10.55,-0.10,147,3258013
104/03/27,231017,10.55,10.65,10.40,10.50,-0.05,122,2428070
104/03/30,209901,10.55,10.65,10.40,10.45,-0.05,146,2210699
104/03/31,1549898,10.50,10.95,10.50,10.80,+0.35,367,16715195
104/04/01,172586,10.85,10.85,10.55,10.55,-0.25,92,1837199
104/04/02,354213,10.55,10.55,10.45,10.55,0.00,134,3718135
104/04/07,141229,10.55,10.60,10.45,10.50,-0.05,99,1486664
104/04/08,243704,10.50,10.50,10.40,10.40,-0.10,125,2541625
104/04/09,247744,10.40,10.50,10.40,10.40,0.00,102,2584615
104/04/10,639716,10.25,10.35,10.15,10.15,-0.25,220,6534130
104/04/13,196590,10.15,10.30,10.10,10.15,0.00,137,1996728
104/04/14,172636,10.15,10.20,10.10,10.15,0.00,133,1747666
104/04/15,81044,10.15,10.25,10.15,10.25,+0.10,75,827890
104/04/16,153340,10.20,10.30,10.10,10.10,-0.15,76,1560715
104/04/17,172021,10.20,10.20,10.10,10.20,+0.10,74,1744260
104/04/20,122067,10.15,10.15,10.05,10.15,-0.05,111,1234220
104/04/21,145083,10.15,10.15,10.05,10.10,-0.05,84,1466734
104/04/22,232054,10.10,10.15,9.97,10.10,0.00,130,2327580
104/04/23,92815,10.10,10.10,10.05,10.10,0.00,56,935450
104/04/24,742100,10.10,10.75,10.00,10.55,+0.45,212,7719342
104/04/27,340466,10.50,10.50,10.25,10.30,-0.25,136,3536147
104/04/28,89180,10.35,10.40,10.25,10.40,+0.10,57,922298
104/04/29,105002,10.35,10.40,10.25,10.35,-0.05,45,1086120
104/04/30,95372,10.45,10.45,10.30,10.45,+0.10,36,989617
104/05/04,19246,10.40,10.40,10.30,10.30,-0.15,23,198707
104/05/05,56413,10.30,10.35,10.15,10.35,+0.05,31,578201
104/05/06,22104,10.30,10.35,10.25,10.35,0.00,18,227469
104/05/07,32002,10.30,10.30,10.20,10.20,-0.15,18,328020
104/05/08,376483,10.20,10.20,9.99,10.00,-0.20,85,3794170
104/05/11,221893,10.00,10.00,9.85,9.94,-0.06,80,2196435
104/05/12,270560,9.81,9.90,9.70,9.82,-0.12,90,2644329
104/05/13,14361,9.85,9.85,9.76,9.76,-0.06,18,140363
104/05/14,30059,9.77,9.80,9.73,9.79,+0.03,19,293612
104/05/15,51509,9.74,9.81,9.72,9.81,+0.02,31,501636
104/05/18,121063,9.42,9.69,9.42,9.64,-0.17,74,1165040
104/05/19,96433,9.70,9.70,9.52,9.63,-0.01,88,923479
104/05/20,91337,9.56,9.62,9.54,9.54,-0.09,34,874201
104/05/21,88292,9.52,9.52,9.40,9.42,-0.12,41,833651
104/05/22,50285,9.39,9.50,9.39,9.40,-0.02,32,472877
104/05/25,119395,9.35,9.35,9.24,9.28,-0.12,47,1107089
104/05/26,86204,9.28,9.28,9.16,9.19,-0.09,43,792851
104/05/27,98779,9.19,9.19,9.10,9.19,0.00,44,902977
104/05/28,54083,9.15,9.18,9.14,9.18,-0.01,26,495137
104/05/29,90449,9.18,9.18,9.14,9.17,-0.01,35,828132
104/06/01,62515,9.17,9.24,9.17,9.22,+0.05,26,576705
104/06/02,63702,9.22,9.23,9.22,9.22,0.00,17,587391
104/06/03,41001,9.18,9.24,9.16,9.20,-0.02,22,376919
104/06/04,51499,9.25,9.30,9.19,9.29,+0.09,28,475253
104/06/05,61105,9.15,9.15,9.10,9.13,-0.16,29,557635
104/06/08,48000,9.00,9.05,9.00,9.00,-0.13,28,432230
104/06/09,165100,9.00,9.00,8.30,8.33,-0.67,71,1413112
104/06/10,53499,8.35,8.50,8.33,8.46,+0.13,27,450425
104/06/11,64262,8.60,8.60,8.34,8.41,-0.05,23,541810
104/06/12,20582,8.40,8.40,8.36,8.39,-0.02,10,172469
104/06/15,28499,8.39,8.40,8.39,8.40,+0.01,13,239140
104/06/16,40640,8.40,8.40,8.02,8.27,-0.13,22,333827
