亞帝歐,	3516
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,18000,11.00,11.00,10.90,10.95,-0.10,12,197550
104/01/06,106666,10.90,11.00,10.70,10.85,-0.10,63,1151242
104/01/07,59000,11.00,11.00,10.75,10.75,-0.10,32,636800
104/01/08,136011,10.75,10.90,10.75,10.75,0.00,53,1469968
104/01/09,74000,10.75,10.85,10.70,10.75,0.00,40,796200
104/01/12,84000,10.70,11.00,10.65,10.65,-0.10,47,905000
104/01/13,75000,10.65,10.70,10.60,10.60,-0.05,49,799750
104/01/14,58000,10.55,10.85,10.55,10.85,+0.25,50,622500
104/01/15,115000,10.65,10.75,10.60,10.70,-0.15,57,1221750
104/01/16,49060,10.70,10.70,10.50,10.50,-0.20,36,520177
104/01/19,95100,10.55,10.60,10.45,10.50,0.00,42,1000455
104/01/20,35000,10.55,10.65,10.55,10.65,+0.15,26,370250
104/01/21,249049,10.65,11.30,10.65,10.95,+0.30,145,2757186
104/01/22,209000,10.90,11.30,10.90,11.00,+0.05,110,2335950
104/01/23,132416,10.90,11.15,10.90,11.10,+0.10,72,1463876
104/01/26,99012,11.30,11.30,10.95,10.95,-0.15,54,1097382
104/01/27,145000,11.00,11.00,10.80,10.90,-0.05,60,1577650
104/01/28,82000,10.85,11.00,10.80,10.80,-0.10,54,888850
104/01/29,67000,10.85,10.95,10.85,10.85,+0.05,44,728650
104/01/30,125001,10.90,11.00,10.80,11.00,+0.15,67,1362211
104/02/02,113000,11.00,11.25,10.95,10.95,-0.05,58,1247700
104/02/03,90000,10.95,10.95,10.80,10.95,0.00,44,977500
104/02/04,80000,10.95,11.00,10.85,10.95,0.00,39,873050
104/02/05,84000,10.90,10.95,10.80,10.90,-0.05,38,911350
104/02/06,52030,10.90,10.90,10.80,10.80,-0.10,32,565322
104/02/09,100000,10.80,10.90,10.80,10.80,0.00,46,1080400
104/02/10,78000,10.80,10.85,10.70,10.70,-0.10,36,839350
104/02/11,76000,10.80,10.90,10.70,10.75,+0.05,35,820950
104/02/12,143255,11.25,11.25,10.80,10.85,+0.10,62,1554741
104/02/13,170000,10.85,11.10,10.75,11.10,+0.25,56,1855400
104/02/24,191000,11.40,11.40,11.05,11.15,+0.05,79,2139650
104/02/25,116000,11.20,11.20,11.05,11.10,-0.05,47,1286500
104/02/26,83000,11.10,11.10,11.00,11.00,-0.10,42,915000
104/03/02,188000,11.00,11.25,10.85,10.90,-0.10,83,2061400
104/03/03,86000,10.90,11.00,10.90,11.00,+0.10,42,940550
104/03/04,150000,10.90,11.05,10.90,10.90,-0.10,48,1645400
104/03/05,106000,10.90,11.05,10.80,11.05,+0.15,61,1154650
104/03/06,121090,10.95,11.15,10.95,11.00,-0.05,58,1332035
104/03/09,101000,11.00,11.30,10.90,11.10,+0.10,59,1116750
104/03/10,346040,10.95,11.25,10.80,10.90,-0.20,121,3801786
104/03/11,135000,10.80,10.90,10.75,10.90,0.00,53,1459050
104/03/12,89000,10.95,11.00,10.85,10.95,+0.05,33,970000
104/03/13,110000,10.95,11.00,10.85,10.95,0.00,60,1199350
104/03/16,85030,10.90,10.90,10.80,10.80,-0.15,44,920972
104/03/17,134001,10.90,10.95,10.70,10.75,-0.05,64,1446360
104/03/18,153008,10.75,10.85,10.70,10.80,+0.05,72,1646836
104/03/19,123000,10.80,10.90,10.60,10.75,-0.05,53,1317400
104/03/20,37030,10.80,10.80,10.70,10.80,+0.05,28,397171
104/03/23,88000,10.80,11.00,10.70,10.85,+0.05,45,953600
104/03/24,266000,10.80,11.10,10.75,10.90,+0.05,81,2900750
104/03/25,167000,10.95,10.95,10.75,10.80,-0.10,67,1813200
104/03/26,36000,10.75,10.85,10.75,10.85,+0.05,32,388950
104/03/27,91000,10.85,10.85,10.70,10.70,-0.15,49,979900
104/03/30,44000,10.70,10.80,10.60,10.75,+0.05,32,470850
104/03/31,105000,10.90,10.90,10.60,10.60,-0.15,50,1120700
104/04/01,111000,10.60,10.65,10.45,10.65,+0.05,52,1173900
104/04/02,97001,10.80,10.80,10.50,10.55,-0.10,58,1023260
104/04/07,168000,10.50,10.60,10.30,10.50,-0.05,64,1748550
104/04/08,98001,10.35,10.60,10.35,10.50,0.00,45,1023010
104/04/09,184030,10.70,10.70,10.30,10.40,-0.10,68,1912908
104/04/10,58000,10.40,10.50,10.35,10.45,+0.05,42,602200
104/04/13,37000,10.60,10.60,10.35,10.40,-0.05,30,385450
104/04/14,48002,10.40,10.40,10.35,10.40,0.00,35,497320
104/04/15,89000,10.40,10.40,10.30,10.35,-0.05,41,919050
104/04/16,91000,10.35,10.45,10.25,10.35,0.00,45,937300
104/04/17,79001,10.30,10.40,10.20,10.40,+0.05,46,810960
104/04/20,115000,10.35,10.35,10.15,10.15,-0.25,58,1173150
