艾訊,	3088
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,529200,78.40,78.40,76.50,76.50,-1.40,409,40761900
104/01/06,492000,75.60,75.90,74.00,74.60,-1.90,387,36797300
104/01/07,384580,74.50,75.00,73.30,74.10,-0.50,318,28523745
104/01/08,1298549,75.90,78.40,74.80,77.60,+3.50,918,100014045
104/01/09,872100,78.40,78.40,75.90,76.20,-1.40,608,66940230
104/01/12,555244,76.80,76.80,74.60,74.80,-1.40,418,42002400
104/01/13,249000,74.80,76.00,74.80,75.00,+0.20,196,18778200
104/01/14,226165,75.80,75.80,75.00,75.00,0.00,193,17028409
104/01/15,214000,74.10,74.90,74.10,74.30,-0.70,181,15921300
104/01/16,331200,74.90,75.00,73.20,73.40,-0.90,271,24410558
104/01/19,456419,73.60,74.20,71.60,72.40,-1.00,350,33133477
104/01/20,249344,72.40,73.50,72.10,73.10,+0.70,205,18174706
104/01/21,313020,73.40,73.70,72.30,72.80,-0.30,223,22772058
104/01/22,291019,73.80,73.80,73.10,73.30,+0.50,255,21327300
104/01/23,405895,72.50,73.50,72.30,72.70,-0.60,353,29519387
104/01/26,297045,72.90,72.90,71.80,71.90,-0.80,233,21442348
104/01/27,475600,72.00,73.30,71.90,72.20,+0.30,402,34459480
104/01/28,658103,71.70,72.10,71.10,71.30,-0.90,539,46936073
104/01/29,639000,71.10,71.10,70.00,70.50,-0.80,473,44981800
104/01/30,578000,71.00,71.30,69.90,70.50,0.00,471,40720400
104/02/02,333123,70.10,70.60,69.70,70.20,-0.30,266,23365970
104/02/03,791937,71.80,71.80,70.50,71.30,+1.10,337,56120072
104/02/04,541123,72.10,72.30,71.40,71.70,+0.40,453,38818068
104/02/05,237438,72.10,72.10,71.20,71.70,0.00,181,16958127
104/02/06,476361,71.60,72.50,71.20,71.90,+0.20,355,34161354
104/02/09,248000,71.50,71.70,70.70,71.10,-0.80,210,17645000
104/02/10,171205,71.20,71.70,70.70,70.80,-0.30,158,12170116
104/02/11,125031,71.20,71.70,71.10,71.40,+0.60,109,8920813
104/02/12,111527,71.40,71.50,70.80,71.20,-0.20,99,7941909
104/02/13,255100,71.20,71.80,70.90,71.00,-0.20,221,18188109
104/02/24,258445,72.00,72.00,71.40,71.80,+0.80,200,18509240
104/02/25,391296,72.60,72.70,71.80,72.50,+0.70,300,28275159
104/02/26,289059,72.80,72.80,72.00,72.50,0.00,208,20920177
104/03/02,460302,72.50,73.60,72.50,73.40,+0.90,358,33705748
104/03/03,641440,74.00,75.60,74.00,74.10,+0.70,518,47872626
104/03/04,554767,74.10,75.40,73.70,74.70,+0.60,413,41351088
104/03/05,256080,75.00,75.00,74.10,74.10,-0.60,210,19067860
104/03/06,236330,74.40,74.60,73.70,74.00,-0.10,160,17509818
104/03/09,455829,73.10,73.50,72.80,72.90,-1.10,320,33332501
104/03/10,528300,73.00,74.00,72.40,73.90,+1.00,335,38530470
104/03/11,281046,73.50,74.10,73.00,73.90,0.00,185,20704799
104/03/12,472300,74.60,74.80,72.90,73.00,-0.90,335,34651360
104/03/13,394736,73.40,73.50,72.30,72.50,-0.50,310,28758305
104/03/16,142250,72.80,73.00,72.10,72.50,0.00,122,10313725
104/03/17,375142,73.90,73.90,70.80,71.40,-1.10,276,27007594
104/03/18,202137,72.00,73.00,72.00,72.80,+1.40,154,14650417
104/03/19,355199,73.10,73.10,72.30,72.30,-0.50,300,25800627
104/03/20,634731,72.30,72.50,71.00,71.50,-0.80,435,45381576
104/03/23,366040,71.90,72.00,70.90,71.90,+0.40,240,26131880
104/03/24,460920,71.90,71.90,70.90,71.50,-0.40,285,32830479
104/03/25,1969710,71.90,75.00,71.70,75.00,+3.50,1466,146025978
104/03/26,1132343,75.00,75.70,74.20,75.70,+0.70,845,85014824
104/03/27,829406,75.60,75.60,72.60,73.50,-2.20,591,61334521
104/03/30,448536,73.40,73.40,71.40,71.60,-1.90,360,32322374
104/03/31,466100,72.00,72.90,71.30,72.20,+0.60,346,33508089
104/04/01,190109,72.00,72.70,71.60,71.70,-0.50,163,13672448
104/04/02,216100,71.80,72.70,71.70,72.20,+0.50,160,15608550
104/04/07,726337,72.70,74.60,72.40,73.80,+1.60,371,53539395
104/04/08,561761,74.00,74.90,73.60,74.50,+0.70,414,41770994
104/04/09,520722,74.80,74.80,73.10,73.20,-1.30,354,38500860
104/04/10,229000,73.70,74.20,73.30,73.80,+0.60,141,16877300
104/04/13,585451,73.80,75.50,73.80,75.00,+1.20,431,43830932
104/04/14,2580461,75.00,78.40,75.00,77.50,+2.50,1837,199558042
104/04/15,1186552,78.00,78.40,76.30,76.30,-1.20,808,91760815
104/04/16,2029090,76.50,80.20,76.50,79.20,+2.90,1368,160004724
104/04/17,893705,79.40,80.20,78.10,78.90,-0.30,633,70826540
104/04/20,879850,78.50,78.50,75.30,75.90,-3.00,636,67398975
104/04/21,588262,76.80,76.90,74.60,74.60,-1.30,388,44551465
104/04/22,624122,74.80,77.80,74.60,77.20,+2.60,432,47911569
104/04/23,2117718,77.20,81.30,77.20,78.40,+1.20,1555,168779516
104/04/24,962845,79.40,80.20,78.50,79.90,+1.50,655,76575877
104/04/27,470335,80.90,80.90,78.90,79.10,-0.80,372,37494865
104/04/28,413178,79.10,79.50,77.90,78.20,-0.90,299,32473271
104/04/29,501263,78.20,78.20,76.30,76.50,-1.70,346,38601388
104/04/30,207202,76.50,77.30,76.40,77.00,+0.50,136,15892453
104/05/04,278038,77.50,77.60,74.10,75.40,-1.60,195,20959369
104/05/05,366598,75.50,77.40,75.50,76.10,+0.70,239,27972465
104/05/06,329637,76.00,77.30,75.90,76.80,+0.70,198,25310264
104/05/07,354870,77.00,78.30,76.80,77.20,+0.40,233,27454415
104/05/08,1002821,75.00,77.40,74.30,76.90,-0.30,675,76320824
104/05/11,387389,77.70,78.30,76.70,77.40,+0.50,250,30004153
104/05/12,338389,77.60,78.70,77.60,78.00,+0.60,212,26398985
104/05/13,129428,78.50,78.50,76.90,77.80,-0.20,107,10041683
104/05/14,174080,77.20,78.40,76.90,77.30,-0.50,136,13445843
104/05/15,258952,77.40,77.40,76.10,76.60,-0.70,201,19856242
104/05/18,107013,76.90,76.90,76.00,76.30,-0.30,77,8176386
104/05/19,183081,77.00,77.10,75.30,76.70,+0.40,144,14017872
104/05/20,200041,76.70,76.70,75.30,75.90,-0.80,176,15166491
104/05/21,92470,75.40,76.70,75.00,75.60,-0.30,75,7016583
104/05/22,117100,76.00,76.00,75.00,75.10,-0.50,104,8816600
104/05/25,196037,75.10,75.70,73.70,73.80,-1.30,152,14554841
104/05/26,263172,74.00,74.20,72.50,72.50,-1.30,186,19233456
104/05/27,189760,72.10,73.80,71.80,73.00,+0.50,146,13893980
104/05/28,145501,73.50,74.70,73.50,74.10,+1.10,119,10778274
104/05/29,117030,74.20,74.70,74.00,74.20,+0.10,89,8692447
104/06/01,153212,75.50,75.50,74.20,74.50,+0.30,131,11468709
104/06/02,559378,74.50,78.00,74.50,77.00,+2.50,439,43014092
104/06/03,1368007,77.50,80.50,77.50,77.50,+0.50,1042,108336338
104/06/04,692398,78.50,78.70,73.00,73.20,-4.30,493,52380352
104/06/05,387190,73.20,75.00,72.00,75.00,+1.80,281,28528250
104/06/08,225240,75.00,76.80,74.20,74.40,-0.60,201,16980683
104/06/09,536307,73.10,73.60,69.20,69.50,-4.90,429,38101834
104/06/10,283030,70.20,72.20,70.20,71.50,+2.00,193,20110445
104/06/11,89000,71.50,72.00,71.40,71.40,-0.10,74,6369500
104/06/12,100070,71.40,72.70,71.40,71.90,+0.50,79,7218905
104/06/15,66144,72.50,72.80,71.00,71.00,-0.90,58,4744766
104/06/16,133100,71.00,71.00,69.80,70.70,-0.30,106,9336370
104/06/17,50000,70.90,71.40,70.50,70.70,0.00,40,3539300
104/06/18,80000,71.20,72.30,70.80,72.30,+1.60,61,5708700
104/06/22,81000,72.10,73.60,71.60,71.80,-0.50,61,5850300
104/06/23,73040,72.60,72.60,71.90,72.20,+0.40,53,5266600
104/06/24,99058,72.20,72.20,70.80,71.00,-1.20,84,7065840
104/06/25,74125,72.00,72.00,70.20,71.30,+0.30,54,5263437
104/06/26,152000,71.40,71.50,70.60,71.00,-0.30,60,10780000
104/06/29,174000,70.50,70.50,68.30,68.30,-2.70,136,12025900
104/06/30,279000,68.00,68.00,66.50,67.10,-1.20,194,18737500
104/07/01,260000,68.00,68.60,66.50,66.80,-0.30,179,17557200
104/07/02,173110,67.00,68.30,66.10,67.30,+0.50,125,11621080
104/07/03,163000,68.00,68.00,67.30,68.00,+0.70,129,11059100
104/07/06,95000,68.00,68.30,67.50,67.50,-0.50,74,6442600
104/07/07,76059,67.80,67.90,66.50,66.50,-1.00,59,5095476
104/07/08,767200,66.50,66.90,59.90,60.00,-6.50,506,46903660
104/07/09,384050,60.00,60.90,56.00,58.60,-1.40,244,22549400
104/07/13,133500,60.00,60.80,59.50,60.30,+1.70,122,8012950
104/07/14,231100,60.50,61.50,60.00,60.00,-0.30,182,14047700
104/07/15,216150,60.80,60.80,59.50,60.50,+0.50,174,12951250
104/07/16,245000,60.50,61.00,59.10,59.60,-0.90,201,14651800
104/07/17,272210,59.20,59.20,57.10,57.80,-1.80,203,15817090
104/07/20,197230,58.30,58.50,55.10,56.00,-1.80,172,11181510
104/07/21,183000,56.00,56.30,54.60,54.80,-1.20,156,10091800
104/07/22,145000,54.00,55.00,54.00,55.00,+0.20,118,7889100
104/07/23,263014,54.70,54.70,53.20,53.20,-1.80,191,14151870
104/07/24,247110,53.50,54.00,51.30,52.70,-0.50,159,12933695
104/07/27,311000,53.50,54.30,51.00,51.50,-1.20,186,16232100
104/07/28,309059,52.80,52.80,50.50,51.50,0.00,186,15904997
104/07/29,523212,51.60,52.00,51.00,51.00,-0.50,279,26853736
104/07/30,313381,48.20,48.80,47.00,48.30,,189,15059658
104/07/31,62000,48.50,48.55,48.00,48.00,-0.30,49,2987450
104/08/03,177116,48.40,48.40,45.00,45.80,-2.20,135,8140693
104/08/04,251000,46.60,48.00,45.90,46.00,+0.20,218,11739850
104/08/05,217509,46.00,47.70,46.00,47.55,+1.55,176,10199725
104/08/06,163000,47.00,47.55,46.85,47.50,-0.05,86,7699200
104/08/07,89000,47.00,47.80,46.60,47.80,+0.30,86,4210700
104/08/10,139239,47.80,50.10,47.80,50.10,+2.30,123,6882552
104/08/11,170425,51.00,52.00,50.40,50.40,+0.30,151,8684619
104/08/12,149100,51.00,51.30,50.40,51.30,+0.90,116,7577249
104/08/13,380105,51.70,55.50,51.60,54.80,+3.50,311,20328106
104/08/14,317170,55.90,56.20,55.00,56.20,+1.40,289,17587239
