環泰,	4207
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,151554,13.25,13.30,13.15,13.30,+0.05,72,2004162
104/01/06,279156,13.10,13.30,13.05,13.20,-0.10,99,3676293
104/01/07,114850,13.15,13.45,13.15,13.30,+0.10,50,1523403
104/01/08,111100,13.40,13.40,13.20,13.20,-0.10,38,1472759
104/01/09,129941,13.25,13.30,13.20,13.20,0.00,61,1721426
104/01/12,153264,13.20,13.20,12.95,12.95,-0.25,70,1996632
104/01/13,111792,13.00,13.05,12.90,12.90,-0.05,47,1445986
104/01/14,160238,12.75,12.95,12.75,12.90,0.00,67,2057545
104/01/15,102292,12.80,13.00,12.80,12.90,0.00,50,1322833
104/01/16,83574,13.00,13.00,12.70,12.70,-0.20,42,1069388
104/01/19,64438,12.60,12.75,12.60,12.75,+0.05,37,818561
104/01/20,51968,12.75,12.85,12.75,12.75,0.00,32,665438
104/01/21,63472,12.70,12.85,12.70,12.80,+0.05,32,810940
104/01/22,72638,12.85,12.90,12.75,12.80,0.00,37,928765
104/01/23,98137,12.70,12.90,12.70,12.80,0.00,35,1253339
104/01/26,165827,12.85,13.10,12.80,12.90,+0.10,72,2147901
104/01/27,85197,12.90,13.00,12.75,12.75,-0.15,40,1096200
104/01/28,26172,12.75,12.85,12.70,12.75,0.00,17,333901
104/01/29,78502,12.75,12.75,12.65,12.65,-0.10,22,997374
104/01/30,119834,12.70,12.70,12.60,12.65,0.00,42,1510913
104/02/02,81334,12.60,12.65,12.50,12.50,-0.15,32,1021658
104/02/03,38076,12.55,12.55,12.50,12.55,+0.05,19,477090
104/02/04,223943,12.60,12.95,12.50,12.70,+0.15,88,2841130
104/02/05,15060,12.60,12.70,12.60,12.65,-0.05,10,190556
104/02/06,13958,12.65,12.65,12.55,12.55,-0.10,8,175775
104/02/09,79964,12.55,12.55,12.40,12.55,0.00,37,996799
104/02/10,29599,12.55,12.55,12.45,12.50,-0.05,21,369425
104/02/11,55079,12.50,12.55,12.40,12.40,-0.10,35,686271
104/02/12,104427,12.45,12.45,12.40,12.40,0.00,35,1295443
104/02/13,71789,12.45,12.45,12.40,12.45,+0.05,32,890868
104/02/24,40808,12.60,12.60,12.50,12.55,+0.10,18,511619
104/02/25,70529,12.20,12.55,12.20,12.35,-0.20,34,873028
104/02/26,122118,12.35,12.50,12.35,12.50,+0.15,38,1517052
104/03/02,64281,12.50,12.60,12.50,12.50,0.00,35,806616
104/03/03,43293,12.45,12.50,12.40,12.45,-0.05,29,538182
104/03/04,41169,12.40,12.50,12.40,12.45,0.00,28,513744
104/03/05,45207,12.45,12.50,12.40,12.45,0.00,23,562566
104/03/06,43710,12.45,12.50,12.40,12.45,0.00,29,544101
104/03/09,96426,12.50,12.55,12.40,12.55,+0.10,44,1202772
104/03/10,99350,12.55,12.60,12.50,12.50,-0.05,33,1246625
104/03/11,54759,12.50,12.60,12.45,12.55,+0.05,33,687558
104/03/12,50792,12.60,12.60,12.45,12.50,-0.05,33,636969
104/03/13,89027,12.55,12.55,12.40,12.50,0.00,47,1113230
104/03/16,39061,12.50,12.50,12.40,12.45,-0.05,24,486204
104/03/17,184991,12.50,12.50,12.30,12.30,-0.15,76,2291435
104/03/18,117681,12.25,12.35,12.25,12.25,-0.05,52,1446138
104/03/19,102688,12.25,12.45,12.25,12.35,+0.10,48,1272910
104/03/20,136326,12.30,12.45,12.15,12.25,-0.10,62,1675475
104/03/23,133238,12.25,12.30,12.25,12.25,0.00,53,1636951
104/03/24,68836,12.30,12.30,12.20,12.25,0.00,39,842946
104/03/25,119313,12.25,12.25,12.05,12.15,-0.10,58,1446368
104/03/26,60138,12.15,12.25,12.15,12.25,+0.10,38,732981
104/03/27,77529,12.15,12.25,12.10,12.20,-0.05,24,941602
104/03/30,153157,12.05,12.15,12.05,12.05,-0.15,56,1851448
104/03/31,209421,12.05,12.10,11.95,11.95,-0.10,75,2521058
104/04/01,107451,12.00,12.05,11.95,11.95,0.00,51,1286865
104/04/02,212422,12.00,12.05,11.90,11.90,-0.05,54,2539328
104/04/07,193690,11.85,11.90,11.60,11.70,-0.20,95,2280335
104/04/08,247382,11.60,11.65,11.50,11.55,-0.15,91,2858770
104/04/09,68459,11.55,11.65,11.50,11.60,+0.05,34,793450
104/04/10,93393,11.65,11.70,11.60,11.60,0.00,42,1086358
104/04/13,46127,11.65,11.65,11.60,11.65,+0.05,24,536522
104/04/14,74177,11.65,11.75,11.65,11.70,+0.05,27,866102
104/04/15,69289,11.70,11.70,11.60,11.60,-0.10,34,807172
104/04/16,140745,11.65,11.70,11.65,11.70,+0.10,36,1646140
104/04/17,60324,11.75,11.75,11.70,11.70,0.00,32,706255
104/04/20,346491,11.70,11.90,11.70,11.80,+0.10,96,4090168
104/04/21,194534,11.85,11.85,11.70,11.75,-0.05,65,2287946
104/04/22,64871,11.70,11.70,11.60,11.65,-0.10,35,755195
104/04/23,131768,11.70,11.75,11.60,11.65,0.00,53,1540494
104/04/24,125785,11.70,11.90,11.65,11.85,+0.20,49,1478181
104/04/27,125843,11.85,11.95,11.80,11.80,-0.05,44,1491710
104/04/28,179522,11.80,11.95,11.80,11.90,+0.10,67,2132256
104/04/29,197574,11.95,12.05,11.90,11.90,0.00,72,2363119
104/04/30,75495,11.85,11.95,11.85,11.90,0.00,30,899139
104/05/04,171374,11.80,11.80,11.70,11.70,-0.20,57,2016756
