新鼎,	5209
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,7493,53.80,54.50,53.70,54.50,-0.20,11,403966
104/01/06,3000,53.60,54.40,53.60,54.40,-0.10,3,161600
104/01/07,9043,53.70,54.10,53.60,54.10,-0.30,9,485739
104/01/08,16000,54.30,54.50,54.10,54.50,+0.40,12,868500
104/01/09,2000,53.80,54.50,53.80,54.50,0.00,2,108300
104/01/12,28000,54.20,54.50,54.10,54.40,-0.10,22,1519100
104/01/13,11000,54.40,54.50,54.20,54.50,+0.10,10,598400
104/01/14,5000,54.20,54.40,54.10,54.40,-0.10,5,271100
104/01/15,3000,54.20,54.50,54.20,54.20,-0.20,3,162900
104/01/16,8000,54.00,54.30,53.80,54.30,+0.10,8,431900
104/01/19,20000,54.00,54.00,53.60,53.60,-0.70,20,1075800
104/01/20,12000,54.00,54.20,53.60,53.70,+0.10,12,645700
104/01/21,9000,53.70,53.90,53.50,53.50,-0.20,9,482900
104/01/22,3000,53.60,53.60,53.60,53.60,+0.10,3,160800
104/01/23,11000,53.70,54.00,53.70,54.00,+0.40,11,592200
104/01/26,2000,54.00,54.00,54.00,54.00,0.00,2,108000
104/01/27,2000,54.00,54.00,54.00,54.00,0.00,2,108000
104/01/28,16000,53.60,53.90,53.50,53.90,-0.10,9,857700
104/01/29,10000,53.70,53.90,53.40,53.50,-0.40,10,536000
104/01/30,10031,53.50,53.80,52.00,53.60,+0.10,10,536361
104/02/02,3000,53.60,53.60,53.50,53.50,-0.10,3,160700
104/02/03,22000,53.50,53.90,53.10,53.90,+0.40,19,1172000
104/02/04,0,---,---,---,---,---,0,0
104/02/05,3080,53.90,53.90,53.60,53.60,-0.30,5,165720
104/02/06,11500,53.80,54.00,53.60,53.60,0.00,8,619200
104/02/09,8750,52.90,53.20,52.90,53.20,-0.40,9,463500
104/02/10,11000,53.20,53.20,53.00,53.20,0.00,11,583800
104/02/11,15000,53.80,53.90,53.80,53.80,+0.60,11,807100
104/02/12,8000,53.80,53.80,53.00,53.60,-0.20,7,425400
104/02/13,9050,53.60,53.60,53.20,53.20,-0.40,9,482760
104/02/24,11494,53.30,53.30,53.00,53.20,0.00,12,611082
104/02/25,4100,53.80,53.80,53.10,53.50,+0.30,4,218780
104/02/26,2000,53.50,53.50,53.50,53.50,0.00,2,107000
104/03/02,11000,53.40,53.40,53.10,53.30,-0.20,10,585500
104/03/03,0,---,---,---,---,---,0,0
104/03/04,1000,53.30,53.30,53.30,53.30,0.00,1,53300
104/03/05,1000,53.30,53.30,53.30,53.30,0.00,1,53300
104/03/06,17000,53.30,56.40,53.30,54.90,+1.60,15,923100
104/03/09,7000,54.90,55.00,54.90,54.90,0.00,7,384500
104/03/10,11000,54.90,54.90,54.30,54.80,-0.10,11,600200
104/03/11,8053,54.80,55.80,54.70,55.80,+1.00,10,442257
104/03/12,14100,54.90,55.50,54.80,55.00,-0.80,15,777810
104/03/13,44262,55.00,55.00,53.20,53.90,-1.10,35,2382810
104/03/16,80000,53.00,53.00,52.00,52.00,-1.90,64,4198200
104/03/17,22014,52.20,52.40,51.50,52.40,+0.40,23,1143256
104/03/18,46400,52.40,52.90,52.00,52.90,+0.50,25,2417660
104/03/19,61000,52.10,52.20,51.80,51.90,-1.00,53,3172400
104/03/20,34000,52.00,52.30,51.80,52.20,+0.30,32,1765800
104/03/23,98100,52.00,52.00,50.90,51.00,-1.20,72,5015719
104/03/24,12000,51.50,51.70,51.30,51.30,+0.30,11,618400
104/03/25,10014,51.30,51.30,51.00,51.00,-0.30,8,512328
104/03/26,40000,51.00,51.00,49.80,50.20,-0.80,33,2014100
104/03/27,29400,50.00,50.90,50.00,50.90,+0.70,34,1480678
104/03/30,27010,50.80,50.80,50.00,50.30,-0.60,20,1356133
104/03/31,4000,50.80,50.80,50.70,50.70,+0.40,4,203000
104/04/01,2000,50.20,50.20,50.20,50.20,-0.50,1,100400
104/04/02,5000,50.20,50.20,50.10,50.10,-0.10,4,250900
104/04/07,5000,50.20,50.90,50.10,50.90,+0.80,5,251400
104/04/08,11000,50.90,50.90,50.30,50.40,-0.50,10,556500
104/04/09,6255,50.80,50.80,50.60,50.80,+0.40,8,317377
104/04/10,13320,50.90,51.40,50.90,51.30,+0.50,12,681840
104/04/13,33047,52.00,52.50,51.50,52.00,+0.70,23,1723448
104/04/14,14101,52.30,52.30,51.80,51.80,-0.20,16,733052
104/04/15,11000,51.80,51.80,51.80,51.80,0.00,6,569800
104/04/16,13000,51.50,52.20,51.50,52.20,+0.40,9,671500
104/04/17,36,---,---,---,---,---,1,1882
104/04/20,11001,51.50,52.20,51.50,52.00,0.00,11,570955
104/04/21,9000,51.60,51.60,51.00,51.00,-1.00,8,460000
104/04/22,2000,50.90,51.80,50.90,51.80,+0.80,2,102700
104/04/23,15000,51.80,51.80,50.90,51.50,-0.30,13,767900
104/04/24,8485,51.50,51.50,51.10,51.10,-0.40,11,434735
104/04/27,17007,51.10,51.60,51.10,51.20,+0.10,12,874780
104/04/28,12295,51.20,51.60,51.20,51.20,0.00,5,629697
104/04/29,3002,51.20,51.20,51.20,51.20,0.00,3,153701
104/04/30,3000,51.20,51.40,51.20,51.40,+0.20,3,153800
104/05/04,24000,51.40,51.40,51.00,51.10,-0.30,14,1225100
104/05/05,13158,50.90,50.90,50.80,50.80,-0.30,15,669379
104/05/06,12071,50.50,50.60,50.20,50.60,-0.20,14,608692
104/05/07,7000,50.90,51.70,50.80,50.90,+0.30,7,357000
104/05/08,13000,50.90,51.20,50.90,51.20,+0.30,5,662000
104/05/11,29000,51.10,51.20,50.50,50.70,-0.50,13,1476900
104/05/12,13000,50.70,51.30,50.70,51.30,+0.60,7,660200
104/05/13,3047,51.30,51.30,51.30,51.30,0.00,4,156264
104/05/14,5001,51.20,51.30,51.00,51.00,-0.30,6,255751
104/05/15,4000,50.00,50.50,50.00,50.50,-0.50,4,201500
104/05/18,15281,50.50,50.50,50.10,50.40,-0.10,16,768931
104/05/19,32000,50.50,51.00,50.40,51.00,+0.60,15,1613900
104/05/20,7000,51.00,51.00,51.00,51.00,0.00,5,357000
104/05/21,4000,51.00,51.00,51.00,51.00,0.00,3,204000
104/05/22,5000,51.00,51.00,51.00,51.00,0.00,5,255000
104/05/25,0,---,---,---,---,---,0,0
104/05/26,2000,50.30,51.00,50.30,51.00,0.00,2,101300
104/05/27,8000,50.50,51.30,50.30,51.30,+0.30,7,403700
104/05/28,0,---,---,---,---,---,0,0
104/05/29,0,---,---,---,---,---,0,0
104/06/01,4000,51.00,51.00,50.60,50.60,-0.60,3,202800
104/06/02,13000,50.60,50.60,50.60,50.60,0.00,4,657800
104/06/03,2000,50.40,50.50,50.40,50.50,-0.10,2,100900
104/06/04,13000,50.00,50.00,49.75,49.80,-0.70,13,648950
