沛波,	6248
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,3006,29.00,29.00,27.45,27.45,-1.90,4,84068
104/01/06,5034,28.00,29.00,28.00,28.00,+0.55,6,141934
104/01/07,2702,28.80,28.95,28.80,28.95,+0.95,8,77965
104/01/08,911,---,---,---,---,---,3,25553
104/01/09,4001,28.50,28.50,28.00,28.50,-0.30,4,113528
104/01/12,2149,28.05,28.05,28.05,28.05,-0.45,10,59185
104/01/13,10611,27.00,28.30,27.00,28.30,+0.25,15,290456
104/01/14,2719,28.10,28.10,27.00,27.00,-1.30,12,74363
104/01/15,5905,27.00,28.00,27.00,28.00,+1.00,12,160435
104/01/16,0,---,---,---,---,---,0,0
104/01/19,7727,28.00,28.50,28.00,28.50,+0.55,7,218201
104/01/20,547,---,---,---,---,---,25,15030
104/01/21,3390,28.00,28.00,28.00,28.00,-0.40,12,94645
104/01/22,4311,28.00,28.00,28.00,28.00,0.00,6,120458
104/01/23,1026,---,---,---,---,-28.00,12,27336
104/01/26,8560,28.50,28.50,28.50,28.50,+0.20,9,242555
104/01/27,5,---,---,---,---,---,5,140
104/01/28,182,---,---,---,---,---,4,4893
104/01/29,2006,27.00,28.45,27.00,28.45,+0.45,8,55618
104/01/30,824,---,---,---,---,---,4,22453
104/02/02,8107,26.10,27.90,26.10,27.90,-0.10,10,219894
104/02/03,3083,27.30,27.30,27.30,27.30,-0.60,6,83352
104/02/04,2455,28.00,28.00,28.00,28.00,+0.70,7,68420
104/02/05,3736,26.70,27.75,26.55,27.75,-0.25,11,100720
104/02/06,2477,26.20,26.20,26.20,26.20,-1.55,5,65325
104/02/09,1401,26.20,26.20,26.20,26.20,0.00,5,37066
104/02/10,4501,25.30,27.85,25.30,27.85,+1.65,8,116875
104/02/11,0,---,---,---,---,---,0,0
104/02/12,1362,---,---,---,---,-27.85,8,35546
104/02/13,10736,27.00,27.90,26.50,27.90,+0.05,12,289866
104/02/24,2,---,---,---,---,---,2,54
104/02/25,2,---,---,---,---,---,2,54
104/02/26,1,---,---,---,---,---,1,27
104/03/02,259,---,---,---,---,---,5,7146
104/03/03,1911,30.80,30.80,30.80,30.80,+1.35,8,55940
104/03/04,1202,28.70,28.70,28.70,28.70,-2.10,8,34483
104/03/05,9314,26.75,28.55,26.75,27.00,-1.70,27,251321
104/03/06,9,---,---,---,---,---,9,243
104/03/09,19,---,---,---,---,---,13,519
104/03/10,16094,27.50,28.70,27.50,28.70,+1.70,15,455696
104/03/11,4453,28.50,28.50,28.50,28.50,-0.20,9,125455
104/03/12,1506,28.00,28.00,28.00,28.00,-0.50,6,41711
104/03/13,1096,28.10,28.10,28.10,28.10,+0.10,10,30788
104/03/16,7166,28.00,28.00,28.00,28.00,-0.10,6,200515
104/03/17,8666,27.90,27.90,26.05,27.00,-1.00,16,233394
104/03/18,12024,27.80,27.80,26.85,26.90,-0.10,9,331135
104/03/19,14912,27.80,27.80,26.50,26.50,-0.40,12,410612
104/03/20,4464,26.50,27.75,26.50,27.50,+1.00,13,121656
104/03/23,30077,25.60,28.00,25.60,28.00,+0.50,23,829812
104/03/24,155398,28.00,29.95,28.00,29.95,+1.95,88,4558499
104/03/25,68512,30.50,31.50,29.00,31.00,+1.05,56,2074660
104/03/26,14571,30.95,31.50,30.95,31.50,+0.50,21,452730
104/03/27,7974,30.50,31.50,30.05,31.50,0.00,44,246690
104/03/30,7500,30.50,31.95,30.50,31.00,-0.50,75,235917
104/03/31,40557,30.90,31.90,30.35,31.90,+0.90,32,1256877
104/04/01,18562,33.10,33.10,31.55,31.70,-0.20,20,598249
104/04/02,76338,32.50,33.50,32.50,33.50,+1.80,67,2525395
104/04/07,170449,35.80,35.80,34.00,35.80,+2.30,119,6053458
104/04/08,197012,36.20,38.30,36.00,38.30,+2.50,133,7471496
104/04/09,149183,38.30,40.95,38.30,40.95,+2.65,121,6010922
104/04/10,74159,41.80,43.80,41.80,43.80,+2.85,78,3204501
104/04/13,256090,46.85,46.85,43.80,44.80,+1.00,222,11776660
104/04/14,101309,45.45,45.80,42.25,42.50,-2.30,102,4447115
104/04/15,178653,39.65,41.80,39.55,39.55,-2.95,128,7131218
104/04/16,129884,39.00,39.00,37.00,37.30,-2.25,91,4914814
104/04/17,74554,37.30,38.50,37.00,37.25,-0.05,60,2794078
104/04/20,30209,37.50,38.70,37.50,37.80,+0.55,39,1144341
104/04/21,53704,37.80,37.95,36.50,36.50,-1.30,39,2002196
104/04/22,57719,35.05,37.50,34.05,37.50,+1.00,45,2073474
104/04/23,7100,35.15,38.00,35.15,38.00,+0.50,7,255199
104/04/24,3516,37.00,37.50,37.00,37.50,-0.50,15,130641
104/04/27,21896,37.50,37.85,37.10,37.50,0.00,24,821289
104/04/28,11504,37.50,37.50,36.60,36.70,-0.80,17,424893
104/04/29,65002,35.50,36.50,35.00,35.50,-1.20,47,2307270
104/04/30,8106,36.05,36.80,36.05,36.50,+1.00,11,294675
104/05/04,10000,36.50,36.50,35.90,35.90,-0.60,9,360950
104/05/05,5880,35.90,36.40,35.90,36.25,+0.35,7,212435
104/05/06,5820,35.05,36.00,35.05,36.00,-0.25,8,207141
104/05/07,5682,36.45,36.50,36.45,36.50,+0.50,6,207070
104/05/08,15182,39.00,39.00,36.55,38.10,+1.60,16,584360
104/05/11,6002,36.75,37.90,36.75,37.90,-0.20,10,223723
104/05/12,8001,37.95,37.95,36.80,36.80,-1.10,9,296586
104/05/13,7560,37.00,37.25,37.00,37.00,+0.20,10,276157
104/05/14,9596,37.00,38.00,37.00,37.95,+0.95,14,362608
104/05/15,31188,35.30,35.30,35.30,35.30,-2.65,35,1100932
