天良,	4127
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,142002,23.10,23.50,22.95,23.50,+0.40,92,3300246
104/01/06,101004,23.15,23.30,22.90,23.10,-0.40,69,2327042
104/01/07,79041,23.15,23.20,23.05,23.05,-0.05,46,1825494
104/01/08,82006,23.15,23.15,22.95,23.00,-0.05,61,1888338
104/01/09,46024,23.10,23.10,23.00,23.05,+0.05,38,1061007
104/01/12,116003,23.30,23.40,23.15,23.25,+0.20,72,2700619
104/01/13,43009,23.35,23.35,23.05,23.15,-0.10,39,995357
104/01/14,126040,23.10,23.10,22.95,23.00,-0.15,62,2900123
104/01/15,358174,23.25,23.25,22.50,22.50,-0.50,155,8144302
104/01/16,106003,22.50,22.65,22.30,22.35,-0.15,74,2382066
104/01/19,60006,22.45,22.60,22.35,22.35,0.00,44,1346038
104/01/20,166001,22.40,22.60,22.15,22.20,-0.15,91,3705673
104/01/21,45552,22.40,22.45,22.25,22.35,+0.15,42,1016751
104/01/22,94004,22.35,22.45,22.35,22.45,+0.10,55,2106138
104/01/23,97280,22.55,22.60,22.45,22.50,+0.05,50,2192399
104/01/26,40298,22.50,22.55,22.40,22.50,0.00,34,905941
104/01/27,78332,22.30,22.75,22.30,22.70,+0.20,65,1772933
104/01/28,48000,22.70,22.70,22.50,22.55,-0.15,29,1083500
104/01/29,44002,22.55,22.70,22.40,22.60,+0.05,34,989996
104/01/30,25001,22.70,22.70,22.50,22.60,0.00,17,563673
104/02/02,41001,22.60,22.60,22.30,22.30,-0.30,31,919673
104/02/03,32120,22.50,22.50,22.30,22.30,0.00,25,718613
104/02/04,29002,22.35,22.55,22.30,22.30,0.00,28,648796
104/02/05,73001,22.40,22.50,22.40,22.50,+0.20,40,1638873
104/02/06,54003,22.55,22.60,22.35,22.35,-0.15,40,1214769
104/02/09,45004,22.40,22.60,22.35,22.35,0.00,31,1011692
104/02/10,68503,22.35,22.40,22.00,22.30,-0.05,46,1518365
104/02/11,215037,22.50,22.75,22.50,22.65,+0.35,146,4871564
104/02/12,55012,22.90,22.90,22.50,22.55,-0.10,55,1248514
104/02/13,186030,22.65,23.00,22.60,23.00,+0.45,134,4241843
104/02/24,127018,23.50,23.50,23.05,23.10,+0.10,108,2948514
104/02/25,94014,23.10,23.30,23.05,23.15,+0.05,68,2172772
104/02/26,210009,23.10,23.35,23.10,23.30,+0.15,143,4887807
104/03/02,147045,23.45,23.45,22.85,22.90,-0.40,134,3394085
104/03/03,73200,22.95,23.15,22.85,22.90,0.00,61,1678021
104/03/04,83011,22.90,23.00,22.80,22.85,-0.05,67,1897453
104/03/05,125005,22.95,23.15,22.85,22.90,+0.05,83,2873115
104/03/06,126600,23.15,23.15,23.00,23.05,+0.15,91,2917721
104/03/09,124019,23.05,23.30,22.90,23.15,+0.10,87,2860537
104/03/10,125559,23.20,23.35,23.05,23.10,-0.05,98,2910594
104/03/11,107020,23.00,23.10,22.90,23.10,0.00,72,2462382
104/03/12,92024,23.20,23.20,23.05,23.15,+0.05,76,2127132
104/03/13,999220,23.30,24.15,23.25,23.80,+0.65,506,23700712
104/03/16,216080,23.90,24.10,23.55,23.55,-0.25,156,5126813
104/03/17,149312,23.55,23.65,23.40,23.50,-0.05,112,3511663
104/03/18,197015,23.50,23.65,23.30,23.40,-0.10,118,4614345
