訊達,	6140
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,24000,12.50,12.60,12.50,12.60,+0.15,16,300600
104/01/06,26993,12.40,12.40,12.00,12.20,-0.40,23,329565
104/01/07,11680,12.15,12.40,12.10,12.40,+0.20,9,143131
104/01/08,15118,12.40,12.40,12.25,12.25,-0.15,12,186501
104/01/09,10000,12.25,12.25,12.20,12.20,-0.05,9,122300
104/01/12,31120,12.25,12.40,12.20,12.20,0.00,19,382476
104/01/13,34716,12.25,12.40,12.15,12.15,-0.05,22,424863
104/01/14,15000,12.15,12.15,12.00,12.10,-0.05,12,181600
104/01/15,21542,12.10,12.50,12.10,12.20,+0.10,16,265011
104/01/16,13000,12.40,12.40,12.15,12.20,0.00,8,159150
104/01/19,16188,12.30,12.30,12.00,12.05,-0.15,13,197384
104/01/20,42000,12.05,12.15,12.00,12.00,-0.05,18,505700
104/01/21,34100,12.25,12.25,11.95,12.00,0.00,17,413500
104/01/22,72000,12.10,12.70,12.10,12.20,+0.20,48,888200
104/01/23,18152,12.20,12.20,12.05,12.15,-0.05,17,220388
104/01/26,7033,12.05,12.05,12.05,12.05,-0.10,6,84747
104/01/27,167198,12.35,12.85,12.35,12.85,+0.80,64,2139643
104/01/28,207052,12.85,12.85,12.35,12.40,-0.45,110,2610044
104/01/29,24000,12.40,12.55,12.30,12.40,0.00,23,296600
104/01/30,53000,12.65,12.65,12.45,12.45,+0.05,30,665350
104/02/02,80165,12.60,13.25,12.60,12.95,+0.50,58,1040079
104/02/03,47462,12.95,13.00,12.50,12.60,-0.35,28,604424
104/02/04,20049,12.85,12.85,12.55,12.55,-0.05,14,252162
104/02/05,14152,12.40,12.50,12.40,12.50,-0.05,11,176134
104/02/06,13000,12.35,12.35,12.35,12.35,-0.15,8,160550
104/02/09,0,---,---,---,---,---,0,0
104/02/10,33168,12.40,12.65,12.20,12.40,0.00,17,412550
104/02/11,31000,12.40,12.40,12.25,12.30,-0.10,6,382250
104/02/12,13055,12.30,12.60,12.30,12.35,+0.05,11,160926
104/02/13,33388,12.55,12.55,12.45,12.45,+0.10,13,417718
104/02/24,11001,12.55,12.55,12.50,12.50,+0.05,7,137562
104/02/25,11158,12.30,12.30,12.30,12.30,-0.20,11,137258
104/02/26,12000,12.30,12.60,12.30,12.60,+0.30,9,149050
104/03/02,12000,12.40,12.40,12.30,12.30,-0.30,7,148150
104/03/03,26000,12.35,12.45,12.30,12.45,+0.15,12,320150
104/03/04,10152,12.40,12.40,12.40,12.40,-0.05,5,125868
104/03/05,277071,12.80,13.25,12.60,13.00,+0.60,167,3613373
104/03/06,121000,13.00,13.85,12.65,13.10,+0.10,68,1593950
104/03/09,23162,12.70,13.20,12.70,13.00,-0.10,24,300036
104/03/10,35302,12.80,12.90,12.70,12.75,-0.25,32,451294
104/03/11,37000,12.65,12.80,12.65,12.70,-0.05,19,470200
104/03/12,233000,12.75,13.50,12.75,13.20,+0.50,114,3094150
104/03/13,392038,13.20,14.05,13.20,13.35,+0.15,200,5382361
104/03/16,97000,13.90,13.90,13.20,13.35,0.00,55,1309200
104/03/17,248002,13.35,13.70,12.75,12.75,-0.60,144,3262228
104/03/18,36000,12.70,12.80,12.50,12.70,-0.05,29,457050
104/03/19,60801,12.75,12.85,12.70,12.85,+0.15,40,775921
104/03/20,169987,13.20,13.50,12.85,13.40,+0.55,94,2233124
104/03/23,142152,13.25,13.55,13.10,13.35,-0.05,56,1900236
104/03/24,157000,13.30,13.65,13.20,13.20,-0.15,104,2102900
104/03/25,552082,13.25,14.00,13.20,14.00,+0.80,284,7441139
104/03/26,191011,13.75,13.90,13.30,13.30,-0.70,108,2591504
104/03/27,299295,13.30,13.85,13.20,13.80,+0.50,157,4036954
104/03/30,397000,13.90,14.45,13.65,13.65,-0.15,201,5541850
104/03/31,253188,13.60,13.65,12.70,12.70,-0.95,123,3311837
104/04/01,201378,12.70,12.80,12.50,12.55,-0.15,101,2546449
104/04/02,357300,12.65,13.10,12.60,12.65,+0.10,214,4565279
104/04/07,82000,12.80,12.90,12.60,12.75,+0.10,58,1043650
104/04/08,45000,12.70,12.80,12.55,12.80,+0.05,28,570350
104/04/09,79188,12.80,13.00,12.65,12.65,-0.15,56,1012425
104/04/10,96169,12.70,12.90,12.50,12.55,-0.10,66,1217086
104/04/13,101188,12.65,12.70,12.40,12.40,-0.15,66,1262649
104/04/14,161382,12.45,12.65,12.30,12.55,+0.15,90,2008324
104/04/15,66001,12.60,12.65,12.35,12.35,-0.20,45,822962
104/04/16,82000,12.40,12.55,12.25,12.25,-0.10,56,1013750
