兆利,	3548
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,144050,38.70,38.80,38.35,38.40,0.00,76,5548720
104/01/06,202107,38.40,38.40,37.25,37.55,-0.85,132,7620578
104/01/07,184249,37.60,37.70,37.20,37.35,-0.20,115,6888949
104/01/08,427141,37.50,38.40,37.50,38.00,+0.65,187,16296678
104/01/09,201295,38.00,38.00,37.40,37.50,-0.50,131,7565782
104/01/12,262154,37.50,37.50,36.75,36.75,-0.75,190,9701782
104/01/13,68030,36.75,37.05,36.75,36.90,+0.15,52,2510713
104/01/14,139020,37.20,37.20,36.75,36.75,-0.15,93,5122192
104/01/15,449000,36.80,37.60,36.75,37.30,+0.55,216,16761500
104/01/16,250200,37.30,37.50,36.20,36.40,-0.90,182,9191780
104/01/19,166000,36.40,36.60,35.80,36.20,-0.20,108,6016200
104/01/20,393100,36.20,36.20,35.30,35.70,-0.50,238,14041105
104/01/21,155000,35.70,36.00,35.70,35.95,+0.25,88,5564900
104/01/22,148100,36.00,36.25,35.95,36.00,+0.05,93,5341335
104/01/23,139000,36.00,36.45,35.90,36.10,+0.10,100,5015550
104/01/26,122000,36.50,36.60,36.05,36.25,+0.15,69,4426450
104/01/27,126000,36.50,36.50,36.15,36.20,-0.05,83,4571150
104/01/28,132000,36.20,36.40,35.95,36.05,-0.15,80,4777050
104/01/29,86060,35.95,36.30,35.90,36.30,+0.25,67,3103115
104/01/30,90000,36.20,36.35,35.90,36.00,-0.30,58,3247250
104/02/02,135520,36.30,36.30,35.40,35.50,-0.50,94,4829027
104/02/03,122015,35.55,35.75,35.40,35.65,+0.15,66,4336581
104/02/04,108000,35.65,35.80,35.60,35.65,0.00,58,3852850
104/02/05,98112,35.70,35.80,35.55,35.60,-0.05,60,3498937
104/02/06,130000,35.65,36.05,35.60,35.85,+0.25,70,4658500
104/02/09,106060,36.20,36.20,35.60,35.70,-0.15,48,3794380
104/02/10,864000,35.90,36.80,35.90,36.20,+0.50,365,31495950
104/02/11,243000,36.35,36.35,35.60,35.60,-0.60,140,8705000
104/02/12,308000,35.60,35.60,34.85,34.85,-0.75,190,10824650
104/02/13,332450,34.85,35.50,34.85,35.30,+0.45,177,11709545
104/02/24,99450,35.45,35.45,35.00,35.10,-0.20,65,3499554
104/02/25,121216,35.05,35.70,35.05,35.55,+0.45,84,4284111
104/02/26,122000,35.75,35.95,35.50,35.80,+0.25,89,4366000
104/03/02,87191,36.00,36.00,35.60,35.70,-0.10,57,3113595
104/03/03,118000,35.80,35.90,35.60,35.90,+0.20,79,4220050
104/03/04,289000,36.10,36.45,35.70,36.30,+0.40,161,10426900
104/03/05,768000,36.30,37.30,36.30,36.90,+0.60,424,28361100
104/03/06,364160,37.20,37.50,36.45,36.90,0.00,223,13404662
104/03/09,129000,36.90,37.15,36.60,36.85,-0.05,75,4745600
104/03/10,171000,37.00,37.15,36.50,36.50,-0.35,117,6279350
104/03/11,198000,36.40,36.40,35.90,36.20,-0.30,119,7147550
104/03/12,141000,36.30,36.50,36.00,36.50,+0.30,94,5114050
104/03/13,150400,36.70,36.70,36.10,36.40,-0.10,91,5460430
104/03/16,189000,36.10,36.30,35.70,35.95,-0.45,122,6787950
104/03/17,166154,36.15,36.15,35.80,35.90,-0.05,105,5976935
104/03/18,165200,36.00,36.00,35.60,35.80,-0.10,95,5907880
104/03/19,167200,35.80,36.15,35.60,35.80,0.00,105,5999379
104/03/20,226020,36.00,36.75,35.90,36.40,+0.60,160,8212024
104/03/23,203000,36.50,36.65,36.40,36.40,0.00,105,7407750
104/03/24,182000,36.50,36.50,35.85,35.85,-0.55,114,6564350
104/03/25,116200,35.85,35.90,35.60,35.60,-0.25,77,4147249
104/03/26,168000,35.05,35.40,35.05,35.20,-0.40,116,5898250
104/03/27,145000,35.05,35.45,35.05,35.10,-0.10,56,5101650
104/03/30,116001,35.60,35.60,34.90,35.10,0.00,76,4073135
104/03/31,56300,35.10,35.20,34.90,34.95,-0.15,43,1971360
104/04/01,138300,34.90,35.00,34.50,34.65,-0.30,81,4806584
104/04/02,184069,34.65,35.35,34.50,35.00,+0.35,113,6429165
104/04/07,127000,35.00,35.00,34.70,34.75,-0.25,59,4418250
104/04/08,125655,34.80,35.00,34.75,34.80,+0.05,74,4373462
104/04/09,145000,34.80,35.10,34.65,34.70,-0.10,75,5046400
104/04/10,135300,34.85,35.00,34.65,34.80,+0.10,70,4708279
104/04/13,715103,35.30,36.85,35.30,36.35,+1.55,460,25897054
104/04/14,210000,36.10,36.65,36.10,36.30,-0.05,138,7629100
104/04/15,490201,36.35,36.70,36.20,36.30,0.00,255,17846266
104/04/16,255043,36.40,36.60,36.10,36.20,-0.10,128,9264256
104/04/17,227000,36.50,36.50,35.75,35.85,-0.35,135,8174650
104/04/20,161001,35.60,35.60,35.10,35.15,-0.70,80,5692285
104/04/21,160000,35.20,35.35,34.95,34.95,-0.20,81,5611650
104/04/22,538000,35.00,36.75,35.00,36.20,+1.25,309,19442750
104/04/23,300150,36.45,36.50,35.80,36.10,-0.10,189,10850415
104/04/24,184000,36.40,36.40,35.65,36.05,-0.05,99,6615850
104/04/27,188000,36.05,36.05,35.40,35.70,-0.35,115,6702700
104/04/28,86000,35.60,35.90,35.60,35.80,+0.10,47,3071000
104/04/29,116000,35.80,36.00,35.05,35.40,-0.40,66,4133050
104/04/30,183118,35.20,35.30,34.80,35.00,-0.40,144,6409910
104/05/04,79038,35.00,35.30,34.90,35.15,+0.15,84,2773730
104/05/05,1108009,34.60,34.80,32.70,32.70,-2.45,569,36654447
104/05/06,209315,32.60,32.95,32.10,32.90,+0.20,135,6825805
104/05/07,696049,32.65,32.65,30.60,31.00,-1.90,395,21883053
104/05/08,523013,31.10,31.15,29.90,30.45,-0.55,283,16003503
104/05/11,290042,30.65,30.80,30.30,30.65,+0.20,158,8854655
104/05/12,973343,29.00,29.80,28.55,29.00,-1.65,492,28042393
104/05/13,495083,29.00,29.30,28.00,28.50,-0.50,281,14097372
104/05/14,216492,28.50,29.05,28.15,28.60,+0.10,145,6207968
104/05/15,137200,29.00,29.00,28.00,28.50,-0.10,120,3887700
104/05/18,462367,28.20,28.50,26.70,27.00,-1.50,284,12718545
104/05/19,185294,27.00,27.55,26.75,27.40,+0.40,259,5047778
104/05/20,83028,27.40,27.60,27.00,27.45,+0.05,68,2272924
104/05/21,92015,27.20,27.35,27.05,27.20,-0.25,65,2500483
104/05/22,98000,27.30,27.85,27.30,27.45,+0.25,71,2700750
104/05/25,114000,27.90,28.35,27.45,27.80,+0.35,61,3169400
104/05/26,79000,28.30,28.30,27.65,27.75,-0.05,49,2203650
104/05/27,85002,27.60,27.70,27.40,27.45,-0.30,56,2337456
104/05/28,123000,27.45,27.95,27.40,27.80,+0.35,79,3405350
104/05/29,47240,27.80,27.90,27.60,27.80,0.00,31,1313070
104/06/01,35002,27.80,27.80,27.50,27.50,-0.30,30,966308
104/06/02,63001,27.40,27.65,27.40,27.40,-0.10,41,1732729
104/06/03,113000,27.50,27.50,26.20,26.20,-1.20,83,3038800
104/06/04,463001,26.10,26.40,24.85,25.10,-1.10,241,11784628
104/06/05,285004,23.50,25.70,23.50,24.70,-0.40,137,6962608
104/06/08,85000,24.70,25.00,24.40,24.65,-0.05,55,2087800
104/06/09,474060,23.80,24.50,22.20,22.30,-2.35,245,10937256
104/06/10,360000,22.10,23.45,21.85,23.35,+1.05,183,8167950
104/06/11,195010,23.55,23.80,23.35,23.80,+0.45,112,4607354
104/06/12,111000,23.70,24.00,23.70,23.90,+0.10,63,2653250
104/06/15,57139,23.95,24.40,23.95,24.10,+0.20,37,1383749
104/06/16,53230,24.00,24.00,23.85,23.85,-0.25,36,1273282
104/06/17,35648,23.85,24.10,23.80,23.90,+0.05,38,855557
104/06/18,64085,23.90,24.30,23.90,24.20,+0.30,58,1547760
104/06/22,67163,24.20,24.75,24.20,24.30,+0.10,48,1635651
104/06/23,94002,24.60,24.80,24.50,24.55,+0.25,68,2316052
104/06/24,122003,24.55,24.80,24.40,24.40,-0.15,43,2994778
