華祺,	5015
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,148137,25.10,25.25,24.85,25.10,-0.05,93,3722968
104/01/06,178137,24.90,25.05,24.80,24.90,-0.20,88,4428011
104/01/07,200100,24.90,25.15,24.90,24.95,+0.05,76,5002335
104/01/08,284607,25.20,25.30,25.00,25.05,+0.10,147,7151425
104/01/09,226378,25.05,25.10,24.60,24.85,-0.20,107,5630286
104/01/12,131000,24.80,24.80,24.65,24.65,-0.20,73,3237800
104/01/13,66000,24.65,24.95,24.65,24.70,+0.05,47,1638100
104/01/14,234060,24.70,24.80,24.50,24.55,-0.15,94,5755779
104/01/15,225000,24.55,24.60,24.20,24.45,-0.10,103,5476600
104/01/16,140000,24.45,24.45,24.20,24.20,-0.25,84,3398600
104/01/19,125000,24.20,24.50,24.10,24.20,0.00,54,3036700
104/01/20,68129,24.10,24.40,24.10,24.25,+0.05,43,1650927
104/01/21,61129,24.20,24.35,24.20,24.30,+0.05,32,1485421
104/01/22,217137,24.40,24.95,24.40,24.70,+0.40,133,5381070
104/01/23,119000,24.70,24.85,24.60,24.80,+0.10,50,2945100
104/01/26,53323,24.70,24.75,24.50,24.70,-0.10,41,1312277
104/01/27,33000,24.70,24.80,24.60,24.70,0.00,23,813600
104/01/28,39000,24.60,24.80,24.60,24.65,-0.05,16,962150
104/01/29,130000,24.60,24.90,24.50,24.70,+0.05,34,3218400
104/01/30,73000,24.70,24.70,24.50,24.65,-0.05,21,1795800
104/02/02,67000,24.80,24.80,24.50,24.70,+0.05,28,1654350
104/02/03,66000,24.75,24.75,24.50,24.60,-0.10,28,1621950
104/02/04,190000,24.65,24.80,24.40,24.55,-0.05,50,4680050
104/02/05,52000,24.60,24.60,24.45,24.60,+0.05,20,1275500
104/02/06,69200,24.50,24.60,24.45,24.45,-0.15,34,1696590
104/02/09,417200,24.30,24.35,23.40,23.50,-0.95,185,9928239
104/02/10,202000,23.40,23.70,23.20,23.20,-0.30,81,4724350
104/02/11,153071,23.30,23.50,23.00,23.05,-0.15,72,3555425
104/02/12,90000,22.95,23.20,22.90,23.20,+0.15,46,2068450
104/02/13,35400,23.10,23.35,23.10,23.15,-0.05,28,822500
104/02/24,75186,23.25,23.40,23.25,23.25,+0.10,31,1751505
104/02/25,70965,23.25,23.25,23.00,23.00,-0.25,53,1635787
104/02/26,130359,23.00,23.40,22.90,23.35,+0.35,73,3012577
104/03/02,33002,23.35,23.35,23.00,23.20,-0.15,25,762746
104/03/03,54010,23.20,23.20,23.00,23.00,-0.20,35,1246581
104/03/04,95544,23.40,23.40,23.00,23.05,+0.05,46,2211057
104/03/05,47000,23.20,23.20,23.10,23.15,+0.10,23,1089050
104/03/06,142000,23.20,23.45,23.20,23.30,+0.15,72,3315300
104/03/09,444095,23.00,23.20,22.80,23.00,-0.30,177,10204304
104/03/10,190192,23.00,24.20,22.90,23.40,+0.40,114,4467872
104/03/11,164050,23.40,23.75,23.30,23.70,+0.30,79,3868730
104/03/12,1164200,23.70,25.35,23.70,24.85,+1.15,593,28932749
104/03/13,346002,25.00,25.10,24.70,24.75,-0.10,134,8599499
104/03/16,418500,24.80,25.10,24.50,24.90,+0.15,177,10395125
104/03/17,502250,24.90,25.40,24.75,25.10,+0.20,184,12616236
104/03/18,256608,25.30,25.35,25.00,25.10,0.00,96,6464750
104/03/19,477089,25.30,25.65,24.90,25.55,+0.45,216,12049828
104/03/20,2420766,25.70,27.30,25.50,26.75,+1.20,882,64538140
104/03/23,3239036,27.00,27.95,26.90,27.90,+1.15,1143,88861808
104/03/24,7468146,28.15,29.60,27.10,28.60,+0.70,2804,211864024
104/03/25,1692990,28.40,28.95,27.70,28.65,+0.05,869,47851763
104/03/26,693180,28.00,28.65,28.00,28.55,-0.10,361,19667896
104/03/27,622000,28.55,28.75,28.25,28.30,-0.25,283,17702950
104/03/30,1031461,28.60,28.70,27.50,27.60,-0.70,449,28745236
104/03/31,391079,28.00,28.10,27.80,27.95,+0.35,229,10921362
104/04/01,241933,27.90,27.95,27.70,27.85,-0.10,140,6736792
104/04/02,404000,27.85,27.95,27.80,27.80,-0.05,171,11255450
104/04/07,472324,28.00,28.10,27.45,27.60,-0.20,226,13064322
104/04/08,326001,27.95,27.95,27.65,27.80,+0.20,159,9046428
104/04/09,528110,27.50,27.65,27.30,27.40,-0.40,264,14500436
104/04/10,363300,27.35,27.40,26.85,26.90,-0.50,225,9828500
104/04/13,361100,26.90,26.90,26.45,26.75,-0.15,188,9604890
104/04/14,163500,26.55,27.00,26.55,26.95,+0.20,96,4387400
104/04/15,299390,26.70,27.00,26.70,26.95,0.00,124,8050580
104/04/16,182000,26.95,27.10,26.95,26.95,0.00,100,4917300
104/04/17,163100,26.95,27.00,26.80,26.80,-0.15,82,4379055
104/04/20,266500,26.55,26.70,26.30,26.50,-0.30,129,7053450
104/04/21,477300,26.50,26.50,25.50,25.75,-0.75,269,12354500
104/04/22,312157,25.70,25.70,25.30,25.40,-0.35,172,7940203
104/04/23,279331,25.50,25.75,25.50,25.65,+0.25,140,7151506
104/04/24,244000,25.75,25.75,25.50,25.65,0.00,104,6261000
104/04/27,211600,25.80,25.85,25.60,25.75,+0.10,124,5447929
104/04/28,187663,25.75,25.90,25.75,25.90,+0.15,93,4847921
104/04/29,171348,25.95,26.00,25.50,25.65,-0.25,103,4401208
104/04/30,246445,25.60,25.90,25.50,25.50,-0.15,142,6307486
104/05/04,241100,25.50,25.55,25.30,25.40,-0.10,131,6129640
104/05/05,522280,25.40,25.40,24.70,24.70,-0.70,258,13032471
104/05/06,471164,24.85,25.50,24.60,25.15,+0.45,245,11852182
104/05/07,573000,24.90,24.90,24.30,24.30,-0.85,318,14041100
104/05/08,420304,24.35,24.50,23.70,23.80,-0.50,260,10052134
