福永生技,	4183
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,19000,18.25,18.50,18.20,18.35,+0.30,16,349700
107/06/04,14000,18.50,18.50,18.15,18.45,+0.10,12,255800
107/06/05,14000,18.25,18.45,18.15,18.20,-0.25,9,256050
107/06/06,9000,18.80,18.95,18.35,18.40,+0.20,7,168100
107/06/07,30000,18.20,18.60,17.90,18.60,+0.20,22,543800
107/06/08,23000,18.00,18.40,18.00,18.40,-0.20,16,415450
107/06/11,29000,18.35,18.50,17.95,18.30,-0.10,23,531450
107/06/12,33000,18.30,18.80,18.20,18.70,+0.40,27,611800
107/06/13,33000,18.85,19.05,18.35,18.35,-0.35,23,615650
107/06/14,68000,18.05,19.05,18.05,19.05,+0.70,51,1274650
107/06/15,22000,18.95,19.00,18.45,18.95,-0.10,20,415200
107/06/19,12000,18.35,18.35,18.30,18.30,-0.65,8,219800
107/06/20,19000,18.00,18.20,18.00,18.20,-0.10,15,342850
107/06/21,77000,18.40,18.50,17.75,18.00,-0.20,46,1383550
107/06/22,37000,17.80,17.80,17.70,17.70,-0.30,14,656700
107/06/25,47000,17.70,18.05,17.65,18.00,+0.30,25,834650
107/06/26,8000,17.70,17.70,17.70,17.70,-0.30,3,141600
107/06/27,6000,18.45,18.45,17.70,17.70,0.00,6,108650
107/06/28,6000,17.70,17.70,17.70,17.70,0.00,5,106200
107/06/29,5000,17.70,18.00,17.70,18.00,+0.30,4,89550
107/07/02,2000,18.15,18.15,18.10,18.10,+0.10,2,36250
107/07/03,17000,17.70,17.70,17.60,17.60,-0.50,9,300350
107/07/04,4000,17.60,17.60,17.60,17.60,0.00,3,70400
107/07/05,17000,17.70,17.80,17.60,17.60,0.00,8,300800
107/07/06,6000,17.60,17.60,17.60,17.60,0.00,5,105600
107/07/09,16000,16.65,17.50,16.65,17.25,-0.35,11,272300
107/07/10,10000,17.00,17.25,17.00,17.25,0.00,7,170500
107/07/11,13000,17.30,17.40,17.10,17.10,-0.15,7,223650
107/07/12,13000,17.45,17.60,17.15,17.60,+0.50,10,226950
107/07/13,10000,17.70,17.80,17.50,17.50,-0.10,9,177100
107/07/16,3000,17.95,17.95,17.95,17.95,+0.45,3,53850
107/07/17,26165,18.75,18.75,17.80,17.95,0.00,13,480461
107/07/18,22000,17.50,17.80,17.20,17.80,-0.15,5,390100
107/07/19,6000,17.80,17.80,17.50,17.50,-0.30,2,106500
107/07/20,9200,17.50,17.90,17.40,17.40,-0.10,9,162239
107/07/23,10007,17.30,17.70,17.25,17.70,+0.30,9,175824
107/07/24,10000,17.70,17.85,17.50,17.50,-0.20,3,175900
107/07/25,1000,17.40,17.40,17.40,17.40,-0.10,1,17400
107/07/26,10000,17.95,17.95,17.50,17.50,+0.10,5,176800
107/07/27,1000,17.90,17.90,17.90,17.90,+0.40,1,17900
107/07/30,5201,17.30,17.30,17.25,17.25,-0.65,7,89996
107/07/31,7000,17.65,17.85,17.30,17.30,+0.05,4,124200
107/08/01,7000,17.40,17.85,17.30,17.30,0.00,7,122300
107/08/02,16000,17.30,17.80,17.30,17.80,+0.50,7,282950
107/08/03,3000,17.80,18.05,17.50,18.05,+0.25,3,53350
107/08/06,1000,17.50,17.50,17.50,17.50,-0.55,1,17500
107/08/07,2000,17.45,17.45,17.45,17.45,-0.05,2,34900
107/08/08,6000,17.75,17.95,17.75,17.95,+0.50,4,107250
107/08/09,3000,17.50,18.20,17.50,18.15,+0.20,3,53850
107/08/10,8000,18.00,18.10,17.60,17.70,-0.45,8,142600
107/08/13,12000,17.75,17.80,17.20,17.20,-0.50,10,210600
107/08/14,7000,17.00,17.70,17.00,17.20,0.00,6,120100
107/08/15,15000,17.20,17.20,17.00,17.05,-0.15,9,255850
107/08/16,29000,17.05,17.05,16.90,17.05,0.00,13,492750
107/08/17,5000,17.30,17.30,17.30,17.30,+0.25,2,86500
107/08/20,21000,17.50,17.85,17.45,17.45,+0.15,14,369500
107/08/21,2000,17.90,17.90,17.90,17.90,+0.45,1,35800
