海德威,	3268
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,102001,26.25,26.25,25.80,25.80,-0.15,61,2643976
104/01/06,158100,25.50,25.70,25.20,25.20,-0.60,82,4001378
104/01/07,91005,25.50,26.00,25.25,25.75,+0.55,71,2326425
104/01/08,103009,25.75,26.50,25.75,26.00,+0.25,65,2696384
104/01/09,334155,26.70,27.15,26.00,26.70,+0.70,190,8931970
104/01/12,139122,26.65,26.65,26.10,26.10,-0.60,93,3663011
104/01/13,57092,26.10,26.35,26.10,26.20,+0.10,57,1498395
104/01/14,155165,26.40,27.20,26.20,27.10,+0.90,107,4133805
104/01/15,397070,27.10,28.95,27.10,28.95,+1.85,193,11377326
104/01/16,949457,30.90,30.90,29.00,29.00,+0.05,601,28495813
104/01/19,557005,29.80,31.00,29.50,31.00,+2.00,304,16989555
104/01/20,1113679,32.00,32.45,30.55,31.20,+0.20,732,35292181
104/01/21,344222,31.20,31.80,30.30,30.45,-0.75,253,10689517
104/01/22,421383,30.90,32.40,30.90,31.85,+1.40,309,13388639
104/01/23,395294,32.50,33.00,31.50,31.50,-0.35,267,12613663
104/01/26,201697,31.50,31.50,30.50,30.95,-0.55,153,6231116
104/01/27,249085,30.95,31.90,30.70,30.85,-0.10,176,7774356
104/01/28,269130,30.80,30.80,30.00,30.20,-0.65,174,8163106
104/01/29,125001,30.60,30.60,30.10,30.20,0.00,86,3787680
104/01/30,96003,30.40,30.85,30.30,30.30,+0.10,65,2928440
104/02/02,80003,30.80,30.80,30.00,30.00,-0.30,66,2408490
104/02/03,136001,29.30,30.35,29.00,29.50,-0.50,93,4026679
104/02/04,451194,29.70,29.80,28.40,28.40,-1.10,275,13084128
104/02/05,176700,28.40,29.50,28.40,29.00,+0.60,142,5098954
104/02/06,118007,29.50,29.50,28.80,28.80,-0.20,88,3440303
104/02/09,95105,29.20,29.25,28.75,28.75,-0.05,65,2757345
104/02/10,60001,28.75,29.15,28.65,28.80,+0.05,47,1736628
104/02/11,57040,29.35,29.35,28.80,29.05,+0.25,77,1648260
104/02/12,78015,29.20,29.20,28.55,28.60,-0.45,76,2247570
104/02/13,91012,28.80,29.00,28.60,28.70,+0.10,72,2622336
104/02/24,92011,29.05,29.35,29.00,29.00,+0.30,79,2686319
104/02/25,193031,29.00,31.00,29.00,31.00,+2.00,153,5813111
104/02/26,384050,31.85,32.25,31.10,31.50,+0.50,291,12149064
104/03/02,194025,32.00,32.00,30.00,30.25,-1.25,165,5973150
104/03/03,193825,30.50,30.50,29.50,29.60,-0.65,144,5768846
104/03/04,164422,29.50,30.00,29.40,29.65,+0.05,105,4868745
104/03/05,139158,29.80,30.85,29.80,30.50,+0.85,126,4235815
104/03/06,138343,30.55,30.75,30.00,30.00,-0.50,120,4182190
104/03/09,135025,30.00,30.50,29.90,30.10,+0.10,109,4075850
104/03/10,177035,30.40,30.45,29.80,29.80,-0.30,150,5338752
104/03/11,86022,29.60,30.00,29.50,29.65,-0.15,73,2558938
104/03/12,92009,29.50,30.25,29.50,29.75,+0.10,86,2752561
104/03/13,132016,29.90,30.00,29.50,29.50,-0.25,95,3923514
104/03/16,91022,29.50,29.80,29.20,29.65,+0.15,93,2693988
104/03/17,151014,29.90,30.95,29.70,29.80,+0.15,136,4549458
104/03/18,121341,29.80,30.40,29.70,30.00,+0.20,104,3639870
104/03/19,151247,30.40,30.40,29.85,29.85,-0.15,117,4541657
104/03/20,420931,30.05,31.60,30.00,31.30,+1.45,288,12971893
104/03/23,890150,32.60,33.45,32.05,33.45,+2.15,388,29463567
104/03/24,975396,35.75,35.75,34.60,35.75,+2.30,412,34827007
104/03/25,2644577,38.25,38.25,35.75,36.20,+0.45,1372,98425008
104/03/26,1772121,33.70,34.90,33.70,33.70,-2.50,923,60050963
104/03/27,1090087,32.70,34.30,31.35,31.45,-2.25,698,35130967
104/03/30,755252,31.45,31.45,29.25,29.30,-2.15,569,22471022
104/03/31,501171,30.30,30.90,29.60,30.65,+1.35,379,15226079
104/04/01,706001,30.90,32.50,30.60,31.70,+1.05,470,22358326
104/04/02,378000,32.35,32.35,30.65,30.80,-0.90,259,11930800
104/04/07,284132,30.60,30.70,29.90,30.05,-0.75,239,8594715
104/04/08,425327,29.80,31.80,29.80,31.00,+0.95,333,13236608
104/04/09,318010,30.80,31.00,29.80,29.80,-1.20,245,9651160
104/04/10,227005,30.00,30.35,29.45,29.90,+0.10,149,6760350
