緯軟,	4953
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,210016,41.20,42.15,40.90,41.60,+0.65,129,8751715
104/01/06,115000,41.50,41.50,40.85,40.85,-0.75,74,4717850
104/01/07,97560,40.80,41.05,40.80,41.00,+0.15,67,3991760
104/01/08,248180,41.70,42.05,41.50,41.80,+0.80,152,10393169
104/01/09,327003,41.80,42.20,41.80,41.95,+0.15,202,13722223
104/01/12,414050,42.50,43.00,42.20,42.40,+0.45,239,17638554
104/01/13,182304,42.35,42.40,41.65,41.85,-0.55,141,7625436
104/01/14,107494,41.85,42.00,41.45,41.45,-0.40,90,4471223
104/01/15,164040,41.45,41.60,40.70,40.90,-0.55,120,6745490
104/01/16,258345,40.70,41.00,39.80,39.80,-1.10,174,10347265
104/01/19,252000,39.90,40.40,39.40,39.45,-0.35,133,10031600
104/01/20,108080,39.60,40.00,39.40,39.75,+0.30,92,4293859
104/01/21,94100,39.80,40.10,39.80,39.85,+0.10,73,3759285
104/01/22,110059,39.85,40.25,39.85,39.90,+0.05,84,4405142
104/01/23,287120,40.00,40.90,39.95,40.30,+0.40,196,11565030
104/01/26,87060,40.40,40.70,40.10,40.10,-0.20,72,3507844
104/01/27,141383,40.20,40.50,39.85,40.25,+0.15,97,5665520
104/01/28,162000,40.00,40.25,39.65,39.75,-0.50,114,6449200
104/01/29,226420,39.55,39.80,39.20,39.30,-0.45,149,8921040
104/01/30,161240,39.40,39.70,39.05,39.05,-0.25,104,6345534
104/02/02,151080,39.05,39.10,38.40,38.50,-0.55,97,5844746
104/02/03,141160,38.50,39.20,38.50,38.80,+0.30,89,5502714
104/02/04,68000,39.00,39.30,39.00,39.00,+0.20,56,2661100
104/02/05,100000,39.00,39.00,38.65,38.95,-0.05,56,3895700
104/02/06,68220,38.95,39.10,38.75,38.75,-0.20,43,2658324
104/02/09,38000,38.50,39.00,38.50,38.75,0.00,30,1472050
104/02/10,46100,38.55,38.95,38.55,38.70,-0.05,37,1786850
104/02/11,62120,38.75,38.90,38.50,38.50,-0.20,50,2403056
104/02/12,91000,38.30,38.75,38.05,38.15,-0.35,72,3477700
104/02/13,44000,38.15,38.45,38.15,38.30,+0.15,35,1686800
104/02/24,158000,38.30,38.30,37.70,38.00,-0.30,103,6014350
104/02/25,241060,38.00,38.25,37.55,38.15,+0.15,151,9106598
104/02/26,188704,38.00,38.30,37.65,38.05,-0.10,159,7148860
104/03/02,227204,38.05,38.80,37.80,38.60,+0.55,158,8737584
104/03/03,125301,38.95,38.95,38.40,38.70,+0.10,100,4848939
104/03/04,61340,38.80,38.80,38.45,38.50,-0.20,45,2365889
104/03/05,186020,38.50,39.40,38.50,38.70,+0.20,110,7235720
104/03/06,131060,39.10,39.10,38.60,38.70,0.00,74,5093622
104/03/09,202260,39.10,39.60,39.10,39.20,+0.50,116,7956541
104/03/10,65212,38.80,39.30,38.70,38.80,-0.40,44,2535898
104/03/11,52560,38.60,39.15,38.60,38.75,-0.05,36,2037950
104/03/12,89200,38.75,39.00,38.55,38.80,+0.05,58,3453480
104/03/13,122004,38.85,39.05,38.50,38.60,-0.20,71,4726954
104/03/16,104300,38.60,38.60,38.25,38.25,-0.35,84,4004750
104/03/17,114520,38.35,38.65,38.15,38.30,+0.05,76,4387365
104/03/18,155060,38.25,38.30,38.00,38.00,-0.30,102,5909248
104/03/19,145801,38.10,38.65,38.00,38.35,+0.35,111,5589668
104/03/20,123280,38.60,38.85,38.30,38.60,+0.25,98,4759591
104/03/23,202200,38.90,39.20,38.60,38.65,+0.05,106,7869729
104/03/24,144140,38.65,38.80,38.35,38.35,-0.30,93,5553890
104/03/25,122130,38.60,38.60,38.05,38.05,-0.30,97,4661542
104/03/26,140140,38.00,38.40,37.60,37.90,-0.15,81,5306234
104/03/27,76560,37.90,38.20,37.70,37.75,-0.15,56,2897230
104/03/30,170900,37.90,38.20,37.50,37.60,-0.15,97,6448489
104/03/31,96020,37.60,37.95,37.60,37.70,+0.10,70,3622649
104/04/01,121000,38.00,38.00,37.65,37.70,0.00,49,4565300
104/04/02,165000,37.80,38.10,37.80,37.80,+0.10,84,6262550
104/04/07,130000,37.90,38.20,37.60,37.80,0.00,92,4921700
104/04/08,239333,38.00,38.50,38.00,38.40,+0.60,140,9165218
104/04/09,348068,38.50,38.60,38.10,38.45,+0.05,191,13389699
104/04/10,110250,38.60,38.60,38.15,38.30,-0.15,53,4223824
104/04/13,126251,38.40,38.45,38.20,38.20,-0.10,89,4837963
104/04/14,213141,38.15,38.80,38.15,38.35,+0.15,109,8190257
104/04/15,117428,38.30,38.55,38.20,38.20,-0.15,63,4505206
104/04/16,179160,38.25,38.50,38.15,38.15,-0.05,131,6869571
104/04/17,153000,38.05,38.50,37.70,38.10,-0.05,120,5828250
104/04/20,81458,37.80,38.20,37.80,37.90,-0.20,55,3089998
104/04/21,116465,38.00,38.00,37.60,37.65,-0.25,77,4398430
104/04/22,146000,37.60,37.95,37.60,37.65,0.00,63,5515850
104/04/23,102300,37.90,37.90,37.60,37.65,0.00,54,3856279
104/04/24,196650,37.70,37.90,37.30,37.30,-0.35,99,7385315
104/04/27,135052,37.40,37.75,37.15,37.40,+0.10,68,5053004
104/04/28,100900,37.40,37.70,37.25,37.25,-0.15,64,3771390
104/04/29,278040,37.40,37.55,36.65,36.70,-0.55,155,10262472
104/04/30,148319,36.90,37.20,36.80,36.80,+0.10,111,5481103
104/05/04,336250,36.90,36.90,35.50,35.65,-1.15,238,12110750
104/05/05,179000,35.50,36.20,35.50,35.60,-0.05,81,6405400
104/05/06,147210,35.60,35.60,35.20,35.30,-0.30,119,5203755
104/05/07,88000,35.30,35.70,35.25,35.25,-0.05,71,3121200
104/05/08,166047,35.35,35.70,35.05,35.70,+0.45,134,5856232
104/05/11,283150,35.30,35.70,33.70,33.95,-1.75,159,9708337
104/05/12,117032,33.85,33.95,33.00,33.35,-0.60,105,3909867
104/05/13,117500,33.35,33.50,33.10,33.45,+0.10,94,3913475
104/05/14,139020,33.45,33.75,33.10,33.40,-0.05,97,4621017
104/05/15,80689,33.15,33.70,33.10,33.35,-0.05,74,2688920
104/05/18,89610,33.35,33.50,33.00,33.00,-0.35,73,2973691
104/05/19,76044,33.00,33.40,33.00,33.15,+0.15,69,2519858
104/05/20,74000,33.15,33.60,33.00,33.35,+0.20,63,2464800
104/05/21,94080,33.35,33.35,33.00,33.15,-0.20,74,3112152
104/05/22,103040,33.15,33.75,33.15,33.40,+0.25,86,3443728
104/05/25,82100,33.40,33.40,33.05,33.05,-0.35,68,2718655
104/05/26,76060,33.05,33.35,33.05,33.10,+0.05,59,2520186
104/05/27,248000,33.00,33.00,31.85,31.85,-1.25,185,8000000
104/05/28,532909,31.85,34.05,31.20,34.05,+2.20,410,17301150
104/05/29,558471,34.05,35.80,34.05,35.25,+1.20,457,19680905
104/06/01,123020,35.35,35.35,34.30,34.85,-0.40,92,4281347
104/06/02,138140,35.15,35.70,34.85,35.60,+0.75,95,4866956
104/06/03,186620,35.90,36.45,35.00,35.00,-0.60,150,6671100
104/06/04,128100,35.20,35.20,33.40,33.60,-1.40,94,4371300
104/06/05,53000,33.50,33.60,33.25,33.60,0.00,39,1770650
104/06/08,51123,33.30,33.80,32.80,33.80,+0.20,35,1697582
104/06/09,142620,33.15,33.15,31.05,31.05,-2.75,89,4584508
104/06/10,77250,31.15,32.20,31.15,31.80,+0.75,45,2459975
104/06/11,39380,31.95,32.25,31.65,32.25,+0.45,33,1260898
104/06/12,27000,32.00,32.40,31.80,32.30,+0.05,18,865050
104/06/15,35000,31.90,32.40,31.85,32.00,-0.30,25,1122750
104/06/16,52020,31.85,32.25,31.70,31.95,-0.05,31,1662340
104/06/17,26000,32.20,32.25,32.00,32.10,+0.15,14,835650
104/06/18,52060,32.00,32.35,32.00,32.10,0.00,32,1674426
104/06/22,64700,32.10,32.35,32.00,32.10,0.00,40,2078280
104/06/23,59030,32.45,32.50,32.15,32.15,+0.05,37,1904773
