燦星旅,	2719
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,50050,24.50,24.90,24.00,24.80,+0.30,38,1218805
104/01/06,32001,24.30,24.50,24.30,24.30,-0.50,17,779224
104/01/07,18056,24.25,24.40,24.25,24.30,0.00,12,438910
104/01/08,58000,24.40,24.55,24.15,24.35,+0.05,36,1411700
104/01/09,23100,24.35,24.40,24.35,24.40,+0.05,11,562919
104/01/12,20099,24.40,24.40,24.05,24.05,-0.35,17,489115
104/01/13,17110,24.05,24.20,24.05,24.10,+0.05,13,413188
104/01/14,19002,24.15,24.15,23.90,23.90,-0.20,15,455998
104/01/15,23000,23.90,24.00,23.90,23.90,0.00,16,550550
104/01/16,18000,23.95,23.95,23.70,23.70,-0.20,13,428550
104/01/19,42220,24.00,24.20,23.85,23.85,+0.15,22,1015735
104/01/20,22109,24.10,24.10,23.70,23.70,-0.15,18,525449
104/01/21,3000,23.70,23.90,23.70,23.70,0.00,3,71300
104/01/22,9055,23.70,23.95,23.65,23.95,+0.25,8,215502
104/01/23,13003,23.90,23.90,23.65,23.70,-0.25,15,309019
104/01/26,29220,23.70,23.70,23.45,23.45,-0.25,26,688598
104/01/27,17165,23.45,23.75,23.40,23.75,+0.30,19,402967
104/01/28,9304,23.70,23.75,23.60,23.75,0.00,11,219992
104/01/29,22688,23.50,23.60,23.45,23.45,-0.30,16,533648
104/01/30,8000,23.50,23.50,23.40,23.40,-0.05,8,187600
104/02/02,7110,23.40,23.40,23.35,23.35,-0.05,9,166151
104/02/03,25165,23.65,23.90,23.45,23.45,+0.10,25,594402
104/02/04,10000,23.60,23.70,23.50,23.50,+0.05,10,236350
104/02/05,29000,23.50,23.80,23.40,23.50,0.00,14,682400
104/02/06,17375,23.55,23.55,23.30,23.30,-0.20,23,406151
104/02/09,7001,23.50,23.50,23.50,23.50,+0.20,4,164523
104/02/10,26002,23.30,23.30,23.00,23.20,-0.30,23,601696
104/02/11,21041,23.60,23.70,23.20,23.40,+0.20,61,493693
104/02/12,22006,23.30,23.30,23.10,23.15,-0.25,23,510988
104/02/13,46000,23.15,23.70,23.05,23.30,+0.15,25,1074750
104/02/24,21763,23.25,23.25,23.05,23.05,-0.25,22,502142
104/02/25,18056,23.15,23.25,23.15,23.20,+0.15,11,418138
104/02/26,39051,23.15,23.15,22.90,22.95,-0.25,25,898530
104/03/02,16001,23.00,23.05,23.00,23.00,+0.05,14,368323
104/03/03,6000,23.00,23.10,23.00,23.05,+0.05,6,138350
104/03/04,13040,23.05,23.05,22.95,23.00,-0.05,8,300166
104/03/05,13003,23.40,23.40,23.05,23.05,+0.05,15,301519
104/03/06,7055,23.05,23.05,22.75,22.90,-0.15,12,161557
104/03/09,13165,23.05,23.40,23.05,23.35,+0.45,16,307411
104/03/10,25025,23.35,23.40,23.10,23.10,-0.25,21,583525
104/03/11,15075,23.40,23.50,23.25,23.30,+0.20,18,351732
104/03/12,54002,23.45,23.80,23.45,23.55,+0.25,43,1279846
104/03/13,19065,23.70,23.85,23.60,23.60,+0.05,18,452086
104/03/16,309309,23.95,25.25,23.95,25.25,+1.65,174,7774099
104/03/17,460685,26.00,26.30,25.00,25.00,-0.25,302,11854535
104/03/18,75114,25.10,25.10,24.60,24.80,-0.20,49,1864564
104/03/19,62111,25.00,25.10,24.50,24.50,-0.30,59,1526553
104/03/20,41193,24.20,24.50,24.20,24.50,0.00,28,1006477
104/03/23,34002,24.50,24.65,24.30,24.65,+0.15,25,832298
104/03/24,40011,24.60,24.70,24.20,24.20,-0.45,33,977715
104/03/25,22118,24.00,24.35,24.00,24.10,-0.10,23,534164
104/03/26,2001,24.10,24.10,24.10,24.10,0.00,3,48224
104/03/27,10352,24.35,24.35,24.00,24.00,-0.10,13,249868
104/03/30,61013,24.00,24.00,23.35,23.35,-0.65,52,1436104
104/03/31,29002,23.50,23.55,23.15,23.55,+0.20,23,679046
104/04/01,13055,23.45,23.45,23.10,23.15,-0.40,11,302331
104/04/02,31250,23.20,23.80,23.20,23.20,+0.05,17,730125
104/04/07,10029,23.50,23.50,23.25,23.25,+0.05,12,233817
104/04/08,59601,23.70,24.80,23.70,24.05,+0.80,84,1439531
104/04/09,22100,23.55,23.95,23.55,23.75,-0.30,21,523300
104/04/10,25055,23.75,24.40,23.75,24.00,+0.25,17,603961
104/04/13,23002,24.50,24.50,23.90,24.20,+0.20,20,557698
104/04/14,60463,24.20,25.00,24.20,24.80,+0.60,52,1490886
104/04/15,50003,24.80,24.95,24.35,24.60,-0.20,28,1231822
104/04/16,37110,25.30,25.30,24.50,24.70,+0.10,22,926095
104/04/17,9001,24.70,24.70,24.30,24.60,-0.10,10,220824
104/04/20,6000,24.30,24.30,24.20,24.20,-0.40,5,145450
104/04/21,36001,24.20,24.20,23.55,23.55,-0.65,24,860723
104/04/22,22000,23.60,23.65,23.60,23.60,+0.05,10,519350
104/04/23,44000,23.95,24.35,23.95,24.30,+0.70,30,1065600
104/04/24,38275,24.50,24.80,24.05,24.40,+0.10,14,937705
104/04/27,28000,24.20,24.45,23.80,24.25,-0.15,22,675350
104/04/28,60160,23.80,24.15,23.60,23.80,-0.45,37,1427658
104/04/29,83000,23.90,24.90,23.90,24.15,+0.35,60,2022650
104/04/30,40000,24.15,24.50,24.00,24.10,-0.05,23,966150
104/05/04,28379,24.10,24.10,23.70,24.00,-0.10,19,676864
104/05/05,45001,24.40,24.50,24.20,24.40,+0.40,38,1098074
104/05/06,437232,24.45,26.10,24.40,26.10,+1.70,207,11310605
104/05/07,1550144,26.80,27.90,26.20,27.90,+1.80,828,42790352
