信立,	4303
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,104007,15.15,15.15,14.85,15.00,-0.15,33,1548955
104/01/06,40250,15.00,15.00,14.95,14.95,-0.05,22,602309
104/01/07,68006,14.90,15.00,14.85,14.85,-0.10,43,1013634
104/01/08,165003,15.20,15.20,14.80,14.85,0.00,54,2464242
104/01/09,150046,14.80,15.05,14.80,14.90,+0.05,45,2237790
104/01/12,249005,14.55,14.90,14.55,14.70,-0.20,67,3657220
104/01/13,188044,14.50,14.85,14.50,14.65,-0.05,59,2758784
104/01/14,111454,14.60,14.70,14.55,14.60,-0.05,45,1626227
104/01/15,117832,14.55,15.00,14.55,14.65,+0.05,39,1735911
104/01/16,88008,14.75,14.80,14.70,14.70,+0.05,31,1298462
104/01/19,154014,14.65,14.80,14.65,14.65,-0.05,41,2268096
104/01/20,191012,13.85,14.45,13.85,14.25,-0.40,43,2715371
104/01/21,158012,14.55,14.70,14.35,14.45,+0.20,38,2281068
104/01/22,142003,14.45,14.60,14.40,14.40,-0.05,28,2045442
104/01/23,141017,14.25,14.45,14.25,14.45,+0.05,41,2025838
104/01/26,137884,14.25,14.30,14.10,14.10,-0.35,54,1962476
104/01/27,148006,14.10,14.45,14.05,14.30,+0.20,39,2107634
104/01/28,101720,14.30,14.40,14.30,14.30,0.00,27,1454822
104/01/29,50016,14.35,14.50,14.35,14.35,+0.05,17,717878
104/01/30,49007,14.40,14.45,14.40,14.45,+0.10,19,706098
104/02/02,9010,14.45,14.55,14.35,14.55,+0.10,14,130541
104/02/03,4013,14.50,14.60,14.50,14.60,+0.05,17,58482
104/02/04,58008,14.45,14.60,14.45,14.60,0.00,21,842965
104/02/05,60002,14.45,14.55,14.45,14.50,-0.10,24,871478
104/02/06,77059,14.25,14.85,14.25,14.65,+0.15,45,1111802
104/02/09,23009,14.35,14.40,14.35,14.40,-0.25,13,331027
104/02/10,68163,14.20,14.50,14.20,14.40,0.00,37,980377
104/02/11,41035,14.30,14.50,14.30,14.50,+0.10,45,587990
104/02/12,74016,14.90,14.95,14.30,14.55,+0.05,29,1093074
104/02/13,47006,14.30,14.40,14.05,14.40,-0.15,20,676036
104/02/24,50019,14.15,14.70,14.15,14.35,-0.05,38,716766
104/02/25,103101,14.40,14.45,14.40,14.45,+0.10,40,1485646
104/02/26,132027,14.40,14.60,14.40,14.60,+0.15,41,1918337
104/03/02,128066,14.45,14.70,14.40,14.55,-0.05,54,1855495
104/03/03,142008,14.60,15.00,14.60,14.80,+0.25,43,2099712
104/03/04,121080,14.90,15.20,14.90,15.20,+0.40,57,1812463
104/03/05,114020,15.20,15.45,14.95,15.05,-0.15,51,1725800
104/03/06,210087,15.05,15.75,15.05,15.75,+0.70,81,3243512
104/03/09,321957,16.00,16.85,15.80,16.85,+1.10,110,5361623
104/03/10,467606,17.40,17.50,16.50,16.85,0.00,197,7896918
104/03/11,216770,16.30,16.45,15.70,16.40,-0.45,118,3493891
104/03/12,220970,16.05,17.20,16.00,17.00,+0.60,102,3738274
104/03/13,641817,17.10,18.15,17.10,18.15,+1.15,231,11468893
104/03/16,759251,18.50,18.70,17.20,17.20,-0.95,359,13432392
104/03/17,301145,17.10,17.60,17.05,17.20,0.00,159,5194677
104/03/18,214532,17.40,17.50,17.20,17.20,0.00,79,3713495
104/03/19,71705,17.20,17.50,17.15,17.30,+0.10,80,1239585
104/03/20,237045,16.80,17.30,16.35,17.10,-0.20,133,4015315
104/03/23,1502343,18.00,18.25,17.60,17.80,+0.70,460,27311374
104/03/24,410063,17.50,17.60,17.25,17.45,-0.35,188,7138986
104/03/25,143198,17.20,17.50,17.05,17.30,-0.15,100,2477215
104/03/26,96027,17.10,17.80,17.10,17.50,+0.20,65,1673508
104/03/27,57153,17.35,17.55,17.35,17.55,+0.05,63,1000654
104/03/30,131056,18.00,18.10,17.30,17.65,+0.10,118,2308352
104/03/31,113024,17.35,17.95,17.35,17.65,0.00,60,1998860
104/04/01,103015,17.45,17.80,17.40,17.45,-0.20,58,1805756
104/04/02,56026,17.30,17.55,17.30,17.55,+0.10,60,977742
104/04/07,98367,17.50,17.90,17.50,17.60,+0.05,101,1732653
104/04/08,86312,17.60,17.70,17.45,17.50,-0.10,80,1514456
104/04/09,204011,17.30,17.45,16.85,16.85,-0.65,88,3492587
104/04/10,31199,16.80,17.00,16.80,16.95,+0.10,28,527318
104/04/13,104016,17.00,17.10,16.95,16.95,0.00,66,1767806
104/04/14,214012,16.80,17.00,16.80,16.85,-0.10,74,3629492
104/04/15,20031,16.95,17.00,16.90,16.95,+0.10,40,339051
104/04/16,51343,16.70,16.85,16.70,16.70,-0.25,28,859991
104/04/17,44021,16.70,16.90,16.70,16.75,+0.05,29,739245
104/04/20,90088,16.60,16.60,16.45,16.50,-0.25,78,1486525
104/04/21,25007,16.50,16.50,16.45,16.45,-0.05,23,412312
104/04/22,103620,16.45,16.65,16.25,16.30,-0.15,45,1693691
104/04/23,163957,16.20,17.20,15.50,17.20,+0.90,74,2626614
104/04/24,83003,16.70,16.70,16.15,16.45,-0.75,42,1354948
104/04/27,21002,16.20,16.30,16.20,16.30,-0.15,11,342082
104/04/28,10831,16.30,16.30,16.00,16.10,-0.20,12,174296
104/04/29,82442,16.70,16.70,15.95,16.20,+0.10,40,1325616
104/04/30,201720,17.00,17.30,16.25,16.30,+0.10,112,3378000
104/05/04,83007,16.80,16.80,15.90,15.95,-0.35,53,1338155
104/05/05,160003,15.90,15.90,15.20,15.20,-0.75,73,2511495
104/05/06,138811,15.20,15.40,15.00,15.20,0.00,37,2116495
104/05/07,111002,15.35,15.90,15.35,15.60,+0.40,38,1732230
104/05/08,203061,15.35,15.50,14.95,15.00,-0.60,59,3102465
104/05/11,30009,15.00,15.10,14.70,14.70,-0.30,26,447926
104/05/12,297025,14.20,14.30,13.70,13.80,-0.90,95,4090979
104/05/13,162187,13.90,14.10,13.35,13.70,-0.10,64,2199788
104/05/14,104011,13.50,13.65,13.30,13.55,-0.15,42,1404843
104/05/15,238012,13.35,13.35,12.80,12.85,-0.70,82,3089396
104/05/18,75080,13.00,13.00,12.65,12.95,+0.10,79,959533
104/05/19,76002,13.00,13.80,13.00,13.80,+0.85,33,1011926
104/05/20,243000,13.85,14.75,13.85,14.70,+0.90,69,3489850
104/05/21,51060,14.60,14.95,14.50,14.70,0.00,39,751426
104/05/22,91001,14.60,14.70,14.60,14.60,-0.10,32,1331214
