新鉅科,	3630
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,490400,39.20,39.35,38.65,39.10,-0.15,347,19130828
104/01/06,1112180,37.50,38.45,37.50,38.20,-0.90,671,42279490
104/01/07,500277,38.20,38.50,37.90,38.20,0.00,332,19120912
104/01/08,1080202,38.40,39.20,38.05,38.05,-0.15,635,41705154
104/01/09,594160,38.50,38.50,37.50,37.85,-0.20,374,22502602
104/01/12,446470,37.85,38.00,37.20,37.30,-0.55,317,16724625
104/01/13,409395,37.30,37.75,37.30,37.35,+0.05,267,15330616
104/01/14,384137,37.70,37.85,37.35,37.85,+0.50,296,14441119
104/01/15,4351303,38.00,40.45,37.90,39.85,+2.00,2347,173621604
104/01/16,1825258,40.00,40.25,38.55,38.60,-1.25,1156,71478554
104/01/19,744770,39.10,39.15,38.00,38.00,-0.60,483,28697160
104/01/20,417692,38.10,38.75,38.10,38.45,+0.45,304,16077714
104/01/21,1167867,39.10,39.80,38.70,39.05,+0.60,802,45830129
104/01/22,631544,39.30,39.40,38.55,38.85,-0.20,419,24531503
104/01/23,1747495,39.10,40.20,38.90,38.90,+0.05,1132,69108997
104/01/26,485008,39.05,39.30,38.65,38.65,-0.25,286,18854704
104/01/27,677854,38.80,39.35,38.80,39.25,+0.60,445,26481496
104/01/28,2931292,39.25,40.90,39.05,39.95,+0.70,1746,117898100
104/01/29,964084,40.35,40.35,39.30,39.30,-0.65,632,38156199
104/01/30,802329,39.50,39.65,38.70,38.75,-0.55,454,31349827
104/02/02,505037,38.70,39.00,38.20,38.20,-0.55,342,19415328
104/02/03,344253,38.60,38.65,38.05,38.30,+0.10,235,13195937
104/02/04,522400,38.80,38.80,38.05,38.10,-0.20,320,20001800
104/02/05,504351,38.10,38.80,38.10,38.30,+0.20,348,19414627
104/02/06,582569,38.30,38.50,37.20,37.40,-0.90,402,21962063
104/02/09,507846,37.30,37.40,37.00,37.05,-0.35,294,18833827
104/02/10,320008,37.00,37.50,36.85,37.05,0.00,208,11882446
104/02/11,300158,37.05,37.30,36.80,36.80,-0.25,218,11114756
104/02/12,340693,37.00,37.20,36.10,36.35,-0.45,269,12442097
104/02/13,312394,36.65,36.70,36.30,36.35,0.00,209,11380340
104/02/24,281464,36.50,36.90,36.50,36.75,+0.40,213,10319930
104/02/25,390180,37.00,37.85,36.80,37.70,+0.95,311,14593245
104/02/26,386315,37.70,38.45,37.60,38.05,+0.35,299,14687465
104/03/02,239410,38.50,38.50,37.85,37.95,-0.10,201,9107338
104/03/03,390138,38.05,38.05,37.15,37.45,-0.50,268,14591681
104/03/04,460056,37.00,37.30,36.85,37.30,-0.15,342,17046626
104/03/05,303072,37.30,37.90,37.15,37.75,+0.45,228,11407350
104/03/06,504284,37.80,38.50,37.50,38.05,+0.30,380,19217525
104/03/09,394969,37.90,38.50,37.90,37.90,-0.15,306,15055543
104/03/10,230415,38.05,38.25,37.80,37.80,-0.10,182,8740142
104/03/11,690357,37.55,37.75,36.70,36.75,-1.05,508,25581513
104/03/12,406549,36.75,37.20,36.75,36.80,+0.05,234,15004210
104/03/13,1729453,36.30,36.30,35.45,35.50,-1.30,1012,61773469
104/03/16,633622,35.20,35.35,34.90,35.00,-0.50,425,22231756
104/03/17,436300,35.10,35.60,35.10,35.15,+0.15,300,15425900
104/03/18,1288511,35.30,36.75,35.05,36.55,+1.40,772,46741319
104/03/19,4270281,36.75,39.10,36.50,38.50,+1.95,2340,163776352
104/03/20,1934286,38.70,39.15,38.05,38.10,-0.40,1055,74583221
104/03/23,697725,38.10,38.80,37.65,37.75,-0.35,449,26654994
104/03/24,779494,37.85,38.55,37.80,37.80,+0.05,510,29720858
104/03/25,1018432,38.20,38.80,36.85,37.10,-0.70,936,38383236
