陸海,	5603
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1021881,21.80,22.40,21.80,21.95,+0.30,447,22578743
104/01/06,1531021,21.65,22.60,21.65,22.35,+0.40,713,34210107
104/01/07,4690971,22.50,23.90,22.50,23.90,+1.55,1295,111602738
104/01/08,2520669,24.40,24.50,23.40,23.60,-0.30,1017,60197266
104/01/09,3283270,24.30,25.00,24.05,24.80,+1.20,1400,80753299
104/01/12,3057012,25.05,25.80,24.35,24.35,-0.45,1205,76770584
104/01/13,1717444,24.50,25.00,23.80,24.20,-0.15,757,41986615
104/01/14,1060701,24.20,24.50,23.80,24.50,+0.30,542,25615905
104/01/15,1078004,24.50,24.50,23.70,24.00,-0.50,477,25862596
104/01/16,1965433,24.10,24.60,23.95,24.10,+0.10,794,47801228
104/01/19,1072120,24.10,24.35,23.75,23.95,-0.15,639,25862718
104/01/20,804099,24.20,24.60,24.10,24.20,+0.25,402,19558740
104/01/21,560644,24.40,24.55,24.00,24.20,0.00,280,13581664
104/01/22,541093,24.30,24.30,23.90,23.90,-0.30,273,12989159
104/01/23,556399,24.00,24.00,23.85,24.00,+0.10,230,13312666
104/01/26,396000,24.10,24.10,23.95,24.10,+0.10,182,9510394
104/01/27,1271130,24.40,24.70,24.20,24.20,+0.10,629,31119791
104/01/28,499120,24.15,24.20,23.90,24.00,-0.20,225,11998668
104/01/29,471613,24.00,24.15,23.70,24.15,+0.15,204,11277462
104/01/30,202164,24.20,24.25,23.85,23.90,-0.25,107,4855743
104/02/02,1128760,23.80,23.80,22.30,22.75,-1.15,472,25801589
104/02/03,880023,22.55,22.85,22.30,22.75,0.00,367,19808222
104/02/04,539814,22.50,22.75,22.45,22.75,0.00,280,12247834
104/02/05,164799,22.75,22.80,22.60,22.65,-0.10,80,3741015
104/02/06,352565,22.65,22.65,22.35,22.35,-0.30,137,7906075
104/02/09,505264,22.20,22.20,21.55,21.75,-0.60,225,11004487
104/02/10,255633,21.55,21.85,21.55,21.80,+0.05,114,5553684
104/02/11,173205,22.00,22.20,21.85,21.90,+0.10,91,3811946
104/02/12,199439,21.85,21.95,21.85,21.85,-0.05,56,4362997
104/02/13,373886,21.80,21.90,21.45,21.90,+0.05,147,8107660
104/02/24,238982,21.95,22.10,21.65,22.10,+0.20,100,5210952
104/02/25,265239,21.75,22.15,21.70,22.15,+0.05,103,5806908
104/02/26,276002,21.80,22.05,21.80,22.05,-0.10,95,6041744
104/03/02,289962,22.05,22.15,21.80,22.00,-0.05,116,6360370
104/03/03,295800,22.00,22.00,21.60,21.80,-0.20,110,6431978
104/03/04,560487,21.70,21.95,21.65,21.95,+0.15,189,12188963
104/03/05,461292,21.95,21.95,21.50,21.90,-0.05,166,9998435
104/03/06,228933,21.75,21.80,21.60,21.60,-0.30,97,4963202
104/03/09,387518,21.60,22.45,21.60,22.10,+0.50,184,8556897
104/03/10,198024,22.10,22.30,21.95,22.20,+0.10,86,4382778
104/03/11,195000,21.90,22.00,21.80,21.95,-0.25,101,4273200
104/03/12,791992,22.15,22.15,21.75,21.90,-0.05,128,17309375
104/03/13,256327,22.00,22.15,21.95,22.15,+0.25,113,5652794
104/03/16,204561,22.30,22.30,22.10,22.15,0.00,105,4537342
104/03/17,525786,22.30,22.45,22.20,22.40,+0.25,259,11755387
104/03/18,827465,22.50,23.25,22.50,23.00,+0.60,429,19016436
104/03/19,472173,23.20,23.25,22.75,22.90,-0.10,226,10823341
104/03/20,257548,22.90,23.10,22.85,23.00,+0.10,121,5910094
104/03/23,298578,23.10,23.15,22.85,23.00,0.00,143,6850694
104/03/24,1759923,23.60,23.85,23.20,23.75,+0.75,730,41409868
104/03/25,2342879,24.00,24.75,23.90,24.15,+0.40,1027,57209478
104/03/26,727601,24.00,24.00,23.45,23.65,-0.50,403,17210081
104/03/27,481000,23.65,23.65,23.25,23.30,-0.35,261,11257000
104/03/30,360366,23.50,23.55,23.05,23.30,0.00,178,8374550
104/03/31,420364,23.30,23.70,23.25,23.30,0.00,199,9829876
104/04/01,392160,23.30,23.50,23.00,23.50,+0.20,143,9130725
104/04/02,240279,23.40,23.50,23.25,23.45,-0.05,113,5612699
104/04/07,409001,23.45,23.45,23.10,23.20,-0.25,170,9475173
104/04/08,199718,23.20,23.35,23.20,23.30,+0.10,88,4641412
104/04/09,501428,23.35,23.80,23.35,23.65,+0.35,223,11823984
104/04/10,2311500,23.35,23.35,22.00,22.00,-1.65,712,51251400
104/04/13,362846,21.90,22.15,21.60,21.90,-0.10,207,7920084
