家登,	3680
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1258438,51.90,53.00,51.10,51.70,+0.70,882,65534257
104/01/06,786617,51.70,52.60,51.00,51.70,0.00,532,40759112
104/01/07,433450,52.20,52.50,51.40,51.50,-0.20,304,22470238
104/01/08,439850,52.50,52.50,51.30,51.50,0.00,316,22727489
104/01/09,1314470,52.20,53.60,52.00,52.40,+0.90,835,69513785
104/01/12,541620,52.40,53.20,52.40,52.60,+0.20,335,28562988
104/01/13,399098,53.00,53.10,51.50,51.70,-0.90,285,20799644
104/01/14,435549,51.70,52.00,51.10,51.60,-0.10,283,22388663
104/01/15,1148366,51.60,54.00,51.10,53.10,+1.50,713,60918298
104/01/16,1744482,55.00,55.40,52.20,52.20,-0.90,1139,94450308
104/01/19,391950,53.00,53.40,52.00,52.30,+0.10,285,20610500
104/01/20,470900,53.00,53.30,52.20,52.40,+0.10,316,24828760
104/01/21,397600,53.00,53.00,51.80,52.40,0.00,253,20835959
104/01/22,1359790,52.90,54.60,52.50,54.60,+2.20,911,73395796
104/01/23,1288701,55.20,55.60,53.80,53.80,-0.80,788,70562510
104/01/26,466450,54.00,54.20,53.10,53.10,-0.70,340,24998359
104/01/27,479332,53.50,54.50,53.20,53.80,+0.70,323,25800592
104/01/28,150503,53.80,53.80,53.10,53.50,-0.30,122,8037059
104/01/29,147137,53.50,53.50,53.00,53.20,-0.30,110,7836788
104/01/30,189563,53.50,53.80,53.10,53.10,-0.10,118,10114951
104/02/02,149000,52.80,53.10,52.60,52.70,-0.40,98,7869100
104/02/03,167458,52.70,53.30,52.60,52.80,+0.10,131,8840245
104/02/04,200650,53.80,53.80,52.50,52.90,+0.10,133,10613490
104/02/05,211200,53.70,53.70,52.60,53.00,+0.10,137,11212840
104/02/06,88450,53.60,53.60,52.80,52.80,-0.20,66,4683960
104/02/09,153650,53.00,53.10,52.00,52.00,-0.80,108,8083105
104/02/10,719430,52.00,52.00,49.45,49.45,-2.55,496,35911512
104/02/11,177580,48.80,49.70,48.80,49.40,-0.05,137,8779134
104/02/12,428430,48.80,49.20,47.00,48.00,-1.40,319,20585290
104/02/13,253300,48.00,48.40,47.50,47.70,-0.30,178,12089760
104/02/24,311450,48.50,49.55,48.50,49.50,+1.80,235,15314311
104/02/25,146920,49.50,49.60,49.05,49.50,0.00,118,7243813
104/02/26,298650,49.50,50.20,49.50,50.00,+0.50,203,14895388
104/03/02,379163,51.50,51.80,50.30,51.00,+1.00,278,19406764
104/03/03,312628,51.10,51.20,50.10,50.20,-0.80,192,15775900
104/03/04,240450,50.20,50.20,49.20,50.00,-0.20,188,11951037
104/03/05,368600,51.00,51.10,49.65,50.30,+0.30,249,18576130
104/03/06,241066,50.30,50.70,50.00,50.00,-0.30,145,12105100
104/03/09,218310,50.00,50.20,49.40,49.60,-0.40,145,10886388
104/03/10,534652,49.50,49.50,47.80,48.20,-1.40,364,25827996
104/03/11,243424,47.30,48.30,47.30,48.00,-0.20,162,11662902
104/03/12,280768,47.60,48.80,47.60,47.90,-0.10,188,13520636
104/03/13,139210,48.00,48.50,48.00,48.50,+0.60,99,6725042
104/03/16,217155,48.90,49.50,48.80,49.40,+0.90,174,10677490
104/03/17,926017,50.00,52.50,49.50,52.40,+3.00,725,47425883
104/03/18,637706,52.60,52.90,51.80,52.40,0.00,493,33347819
104/03/19,1001150,52.60,53.70,51.80,52.30,-0.10,569,52859985
104/03/20,555794,52.30,53.50,51.40,53.50,+1.20,347,29051337
104/03/23,368794,53.40,53.40,51.70,51.80,-1.70,231,19324090
104/03/24,202200,52.00,52.10,51.10,52.10,+0.30,126,10425480
104/03/25,207460,51.20,52.00,50.70,51.00,-1.10,140,10621922
104/03/26,157521,50.50,50.80,50.10,50.40,-0.60,130,7931200
104/03/27,132879,50.50,51.00,49.60,49.60,-0.80,115,6644768
104/03/30,344200,49.80,49.80,48.25,48.50,-1.10,203,16767840
104/03/31,233600,48.70,49.15,48.10,48.20,-0.30,164,11288810
104/04/01,151200,48.10,49.20,48.10,48.50,+0.30,106,7361580
104/04/02,127800,48.70,49.05,48.50,48.55,+0.05,87,6235490
104/04/07,134430,48.80,48.80,48.30,48.50,-0.05,89,6526448
104/04/08,198400,48.50,48.50,47.50,48.00,-0.50,122,9510270
104/04/09,212300,48.00,48.30,47.55,47.55,-0.45,143,10167940
104/04/10,194750,47.70,48.15,47.40,47.60,+0.05,143,9287475
104/04/13,262999,48.35,48.35,47.30,47.30,-0.30,185,12549952
104/04/14,217851,47.30,47.85,47.05,47.20,-0.10,125,10308278
104/04/15,190574,47.20,47.40,46.80,46.90,-0.30,126,8954319
104/04/16,172750,47.15,47.50,46.90,46.90,0.00,115,8130234
