意德士,	7556
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
109/10/30,650830,115.00,115.00,105.00,106.00,+18.00,555,71109680
109/11/02,471084,103.00,104.00,94.50,94.50,-11.50,383,46608114
109/11/03,335916,95.00,104.00,95.00,100.00,+5.50,268,33594920
109/11/04,162120,100.50,100.50,96.50,96.80,-3.20,139,15886100
109/11/05,128100,96.80,97.50,95.10,95.60,-1.20,123,12317240
109/11/06,260052,95.00,97.50,95.00,96.50,+0.90,119,24974552
109/11/09,152318,97.50,98.00,95.70,96.30,-0.20,129,14731563
109/11/10,417501,97.50,105.50,97.50,105.50,+9.20,317,42724180
109/11/11,441445,104.50,108.00,102.00,103.00,-2.50,318,46137630
109/11/12,87564,103.00,104.00,100.50,100.50,-2.50,91,8979904
109/11/13,303117,100.50,110.00,98.00,108.00,+7.50,266,31703634
109/11/16,575672,108.00,118.50,106.50,118.50,+10.50,442,66032730
109/11/17,726221,122.00,130.00,121.00,130.00,+11.50,578,92772020
109/11/18,338330,126.00,130.50,124.00,126.00,-4.00,314,42652323
109/11/19,216341,125.00,129.00,120.00,125.50,-0.50,207,26913740
109/11/20,243300,124.50,128.00,120.00,120.50,-5.00,211,29754349
109/11/23,147206,120.50,125.00,117.50,120.50,0.00,149,17732530
109/11/24,141709,120.00,122.00,116.50,118.00,-2.50,159,16794442
109/11/25,156587,118.00,118.50,112.00,113.00,-5.00,149,18080553
109/11/26,74532,113.00,117.00,112.00,116.00,+3.00,84,8541371
109/11/27,46237,115.00,116.00,113.00,113.00,-3.00,53,5290542
109/11/30,128898,113.00,115.00,110.50,112.50,-0.50,95,14501146
109/12/01,99410,112.50,112.50,110.50,110.50,-2.00,81,11024269
109/12/02,286887,111.00,121.50,109.50,121.50,+11.00,248,33804328
109/12/03,203350,121.50,123.50,114.50,116.50,-5.00,209,23900280
109/12/04,113668,116.50,120.00,115.50,115.50,-1.00,110,13338576
109/12/07,91377,119.00,119.00,113.00,113.50,-2.00,86,10500406
109/12/08,50110,113.50,116.00,113.00,115.50,+2.00,51,5725998
109/12/09,49231,113.00,115.00,112.50,112.50,-3.00,55,5582351
109/12/10,115287,112.00,112.00,107.00,107.50,-5.00,101,12566563
109/12/11,115280,104.00,108.00,100.00,102.50,-5.00,95,11918660
109/12/14,34140,101.00,106.00,101.00,103.50,+1.00,38,3530139
109/12/15,27073,102.50,102.50,100.00,100.00,-3.50,31,2733949
109/12/16,45049,102.00,107.50,102.00,105.00,+5.00,44,4754743
109/12/17,40000,106.00,106.00,103.50,104.00,-1.00,38,4190500
109/12/18,23010,103.00,106.00,102.00,102.00,-2.00,23,2377550
109/12/21,34109,100.50,102.00,99.00,102.00,0.00,53,3427242
109/12/22,31590,101.00,101.00,100.00,100.00,-2.00,38,3168000
109/12/23,34679,100.00,102.00,100.00,102.00,+2.00,35,3501567
109/12/24,21000,101.50,101.50,100.00,100.00,-2.00,20,2115500
109/12/25,146714,102.50,110.00,102.50,110.00,+10.00,134,15929254
109/12/28,147168,112.00,113.00,104.50,110.00,0.00,141,16217895
109/12/29,53004,110.00,111.50,106.00,108.50,-1.50,51,5725419
109/12/30,28138,109.00,109.00,106.50,107.00,-1.50,31,3028432
109/12/31,38192,108.50,110.00,106.50,106.50,-0.50,42,4110544
110/01/04,40000,106.50,108.50,105.50,106.50,0.00,38,4258000
110/01/05,55143,107.00,108.00,104.00,105.50,-1.00,54,5804945
110/01/06,128118,105.00,105.00,100.00,100.00,-5.50,109,13048182
110/01/07,49200,100.00,103.50,100.00,102.00,+2.00,49,5033000
110/01/08,49000,103.00,104.00,101.00,101.50,-0.50,46,5010000
110/01/11,121444,106.00,107.50,103.00,107.50,+6.00,102,12891508
110/01/12,34032,107.50,108.50,103.00,103.00,-4.50,35,3583840
110/01/13,45575,102.50,106.50,102.50,105.00,+2.00,45,4775882
110/01/14,30005,103.50,104.50,102.50,104.50,-0.50,30,3104530
110/01/15,569706,107.00,114.50,107.00,114.50,+10.00,421,64581824
110/01/18,260000,112.50,112.50,104.00,109.00,-5.50,232,28290000
110/01/19,87010,108.00,108.50,105.50,106.50,-2.50,79,9278585
110/01/20,135000,106.00,108.50,103.50,107.50,+1.00,125,14235500
110/01/21,96300,107.50,108.50,106.00,108.50,+1.00,91,10373410
110/01/22,409500,110.50,119.00,110.50,119.00,+10.50,273,48213500
110/01/25,552397,127.00,130.50,126.00,130.50,+11.50,366,71414307
110/01/26,832556,134.50,137.00,121.50,123.50,-7.00,653,108185673
110/01/27,722866,123.00,135.50,121.00,135.50,+12.00,598,95450840
110/01/28,878363,133.00,149.00,130.00,149.00,+13.50,697,125138941
110/01/29,1019599,160.00,161.50,142.00,143.00,-6.00,904,153935350
