榮創            ,	3437
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,536260,54.20,55.50,54.20,54.50,0.30,380,29354470
104/01/06,611296,54.00,54.10,52.10,52.80,-1.70,475,32402127
104/01/07,508066,52.70,53.20,52.30,53.00,0.20,391,26754304
104/01/08,1056235,53.20,55.20,53.00,54.50,1.50,676,57351407
104/01/09,1808656,55.80,56.80,54.60,56.30,1.80,1106,101298236
104/01/12,833187,56.30,56.50,54.80,55.70,-0.60,521,46396434
104/01/13,790000,55.50,56.30,54.90,56.20,0.50,478,43930199
104/01/14,2174800,56.10,58.10,56.00,58.10,1.90,1229,124372378
104/01/15,959515,58.00,58.00,56.80,56.90,-1.20,674,54894957
104/01/16,1255116,58.00,58.10,55.10,55.30,-1.60,847,70458125
104/01/19,943503,55.60,55.70,53.40,53.50,-1.80,633,51357559
104/01/20,517349,53.60,54.80,53.30,54.30,0.80,349,28056819
104/01/21,610507,54.50,55.60,54.20,54.50,0.20,427,33518131
104/01/22,998865,54.50,56.30,54.50,55.40,0.90,673,55482375
104/01/23,817000,55.70,55.90,54.00,54.30,-1.10,515,44812299
104/01/26,409644,53.50,54.80,53.50,54.00,-0.30,293,22164182
104/01/27,517102,54.00,54.20,53.50,53.90,-0.10,336,27831008
104/01/28,364576,53.80,55.00,53.70,54.20,0.30,273,19848244
104/01/29,397025,54.20,54.20,53.50,54.10,-0.10,246,21340543
104/01/30,293044,54.50,54.60,53.40,53.50,-0.60,230,15786354
104/02/02,303928,54.00,54.00,52.50,52.80,-0.70,220,16074697
104/02/03,329000,52.80,53.90,52.80,53.60,0.80,231,17585199
104/02/04,227859,54.40,54.40,53.50,53.50,-0.10,171,12247611
104/02/05,196101,53.50,53.70,53.20,53.60,0.10,120,10490323
104/02/06,216200,53.70,53.70,53.20,53.30,-0.30,174,11557100
104/02/09,198000,53.30,53.90,52.80,53.10,-0.20,123,10557700
104/02/10,276691,53.30,54.00,53.30,53.80,0.70,212,14866068
104/02/11,215777,54.60,54.60,53.20,53.50,-0.30,146,11559381
104/02/12,346665,54.30,54.50,53.70,54.00,0.50,210,18738343
104/02/13,254200,54.00,54.80,53.70,53.80,-0.20,184,13768300
104/02/24,284147,54.50,54.70,53.70,54.10,0.30,197,15352708
104/02/25,339316,54.20,54.30,53.50,53.60,-0.50,239,18265242
104/02/26,259933,53.60,54.00,53.20,53.70,0.10,184,13920902
104/03/02,281614,53.80,54.10,53.50,53.50,-0.20,163,15127764
104/03/03,353146,53.50,54.00,53.00,53.20,-0.30,194,18857296
104/03/04,443521,52.70,53.20,52.50,53.00,-0.20,308,23383002
104/03/05,213053,52.60,53.40,52.60,52.70,-0.30,153,11258993
104/03/06,878873,52.70,52.70,51.30,51.70,-1.00,627,45409970
104/03/09,404254,51.60,51.90,51.10,51.70,,271,20838030
104/03/10,866773,51.70,53.50,51.70,53.40,1.70,588,45784622
104/03/11,4867804,53.40,57.10,53.30,57.10,3.70,2283,273838206
104/03/12,8949578,58.10,61.00,58.10,60.90,3.80,4840,535447821
104/03/13,4339544,61.30,62.60,60.30,60.50,-0.40,2776,266425912
104/03/16,3855924,61.20,63.50,61.20,62.20,1.70,2474,240767565
104/03/17,2246391,63.20,63.20,60.70,61.30,-0.90,1406,138373051
104/03/18,3164321,62.00,63.30,61.50,61.60,0.30,1947,197289472
104/03/19,6177186,62.00,65.90,61.70,65.90,4.30,3743,397140131
104/03/20,3482428,65.90,66.30,64.50,64.80,-1.10,2376,227584432
104/03/23,1968859,65.00,66.10,63.70,63.70,-1.10,1294,127529215
104/03/24,1845400,63.70,64.20,62.20,62.70,-1.00,1303,116038219
104/03/25,3260770,62.80,63.80,58.50,59.30,-3.40,2099,197782114
104/03/26,1871103,58.50,60.90,58.20,60.10,0.80,1259,111895299
104/03/27,1292854,60.50,61.80,59.90,60.20,0.10,886,78517852
104/03/30,1140397,61.00,61.00,57.50,58.70,-1.50,847,67006242
104/03/31,945085,59.10,60.30,58.70,59.80,1.10,701,56145081
104/04/01,1002167,59.00,59.70,58.60,58.80,-1.00,592,59212869
104/04/02,914500,59.00,60.40,59.00,59.60,0.80,622,54621199
104/04/07,1412567,60.00,61.80,59.00,61.60,2.00,954,85738687
104/04/08,882560,61.60,61.70,60.10,60.20,-1.40,665,53536242
104/04/09,1022116,60.50,60.50,57.60,58.30,-1.90,780,60297828
104/04/10,549742,59.00,59.00,57.50,58.60,0.30,455,32037556
104/04/13,820100,58.50,58.50,57.00,58.00,-0.60,518,47227859
104/04/14,1452268,58.20,59.70,57.10,59.20,1.20,783,85217030
104/04/15,947533,59.10,59.50,57.20,57.50,-1.70,612,55031787
104/04/16,605544,57.70,58.40,57.10,57.20,-0.30,440,34867659
104/04/17,1028636,57.30,57.30,55.30,55.50,-1.70,726,57475632
104/04/20,505700,54.60,55.50,54.50,54.50,-1.00,386,27711139
104/04/21,1472022,54.50,55.20,50.70,51.80,-2.70,962,76854536
104/04/22,1804849,52.00,52.00,50.10,51.40,-0.40,1084,92072338
104/04/23,1031450,51.70,52.30,50.60,52.00,0.60,661,53255100
104/04/24,1320700,52.20,54.50,52.10,54.40,2.40,930,70631010
104/04/27,903358,54.80,54.80,53.20,53.30,-1.10,576,48424717
104/04/28,672717,53.80,54.20,53.00,53.60,0.30,449,36059659
104/04/29,498100,53.60,53.60,52.30,52.30,-1.30,357,26234130
104/04/30,649100,52.80,53.70,52.80,53.30,1.00,456,34614210
104/05/04,1446500,53.60,55.70,53.60,55.00,1.70,907,79267050
104/05/05,2841298,56.00,58.50,55.60,58.00,3.00,1666,163066890
104/05/06,3337646,58.00,59.70,57.20,59.00,1.00,2050,196873414
104/05/07,1271936,59.00,59.00,57.10,57.10,-1.90,831,73370052
104/05/08,729013,57.10,58.40,57.00,57.30,0.20,535,41897641
104/05/11,1288050,57.30,57.90,53.30,54.10,-3.20,868,70046289
104/05/12,865700,54.10,54.70,52.00,53.70,-0.40,642,45960508
104/05/13,824006,53.70,53.70,52.80,53.10,-0.60,540,43742521
104/05/14,661596,52.50,53.10,51.50,52.00,-1.10,488,34471211
104/05/15,495539,52.00,52.90,51.60,52.50,0.50,386,25887180
104/05/18,535400,52.50,52.70,50.90,50.90,-1.60,361,27558099
104/05/19,597969,50.80,52.70,50.60,52.40,1.50,495,31173088
