和康生          ,	1783
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,159002,40.90,40.90,40.00,40.35,-0.45,110,6431886
104/01/06,150000,40.35,40.35,39.60,39.70,-0.65,112,5974800
104/01/07,59074,40.00,40.00,39.70,39.70,,53,2353363
104/01/08,174003,40.05,40.05,39.05,39.50,-0.20,146,6868076
104/01/09,104005,39.90,40.00,39.20,39.60,0.10,85,4120410
104/01/12,136005,39.80,40.00,39.15,39.50,-0.10,99,5378310
104/01/13,119003,39.60,40.30,39.25,39.40,-0.10,81,4735226
104/01/14,72003,39.50,39.65,39.20,39.25,-0.15,51,2830023
104/01/15,108004,39.30,39.45,39.00,39.45,0.20,77,4224464
104/01/16,171004,39.45,39.45,38.20,38.30,-1.15,139,6604414
104/01/19,629106,38.50,38.60,35.65,35.70,-2.60,407,23066217
104/01/20,323003,35.70,36.35,35.50,35.90,0.20,217,11594964
104/01/21,533532,33.50,35.65,33.50,34.05,-1.85,348,18248969
104/01/22,181054,34.30,35.00,34.30,34.90,0.85,149,6291385
104/01/23,306061,35.30,36.55,35.25,36.45,1.55,238,11013567
104/01/26,110003,36.50,36.70,35.70,35.85,-0.60,67,3969214
104/01/27,172000,36.05,36.80,35.95,36.50,0.65,111,6224548
104/01/28,107113,36.40,36.40,35.90,35.90,-0.60,64,3863195
104/01/29,131388,36.80,36.80,35.95,36.25,0.35,100,4755619
104/01/30,55005,36.30,36.40,35.70,35.75,-0.50,55,1973835
104/02/02,69031,35.85,36.05,35.00,35.00,-0.75,56,2438085
104/02/03,75001,35.00,35.20,34.30,34.75,-0.25,57,2599587
104/02/04,101001,35.00,35.00,34.00,34.30,-0.45,72,3472136
104/02/05,137005,34.50,34.80,34.00,34.05,-0.25,86,4677830
104/02/06,98005,34.30,34.30,34.00,34.00,-0.05,71,3341325
104/02/09,87003,34.00,34.30,33.80,33.95,-0.05,54,2956558
104/02/10,58005,33.50,34.00,33.50,33.80,-0.15,51,1963322
104/02/11,78039,34.00,34.35,33.60,33.70,-0.10,76,2643704
104/02/12,78004,33.70,33.80,33.50,33.60,-0.10,63,2619040
104/02/13,129004,33.60,33.60,33.10,33.25,-0.35,104,4297990
104/02/24,83014,35.50,35.50,34.00,34.10,0.85,75,2859743
