凱羿-KY,	2939
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,8010,151.00,153.00,151.00,153.00,,9,1217030
107/06/04,30000,153.00,153.00,151.00,152.00,1.00,26,4550500
107/06/05,20001,153.00,153.00,152.50,152.50,0.50,18,3057652
107/06/06,62110,152.00,156.00,152.00,156.00,3.50,59,9599490
107/06/07,25040,156.50,156.50,154.00,156.00,,26,3902680
107/06/08,32036,154.00,156.00,154.00,156.00,,28,4965616
107/06/11,188050,156.00,165.00,156.00,165.00,9.00,150,30231150
107/06/12,165117,160.00,162.00,157.00,157.00,8.00,127,26114369
107/06/13,30000,157.00,158.00,156.00,157.00,,26,4699000
107/06/14,21002,156.00,158.00,155.00,157.00,,20,3282311
107/06/15,24000,154.50,157.00,154.50,157.00,,19,3719000
107/06/19,43000,155.00,160.00,154.00,156.50,0.50,40,6761000
107/06/20,25002,156.50,156.50,154.50,156.00,0.50,25,3885814
107/06/21,246090,156.00,169.00,156.00,163.00,7.00,194,40125620
107/06/22,47126,165.00,165.00,161.50,163.00,,42,7665849
107/06/25,181006,163.50,169.50,160.00,164.00,1.00,153,29632478
107/06/26,122200,163.00,166.00,160.00,165.00,1.00,99,19923000
107/06/27,40000,164.00,164.50,163.00,164.00,1.00,32,6541500
107/06/28,19000,162.00,165.50,162.00,162.50,1.50,18,3109000
107/06/29,50000,162.50,165.00,162.50,164.50,2.00,42,8193000
107/07/02,296010,158.00,162.00,153.50,153.50,11.00,221,46362555
107/07/03,105000,153.50,154.50,150.00,151.00,2.50,88,15919500
107/07/04,36017,133.00,137.00,133.00,134.00,X,36,4859363
107/07/05,43020,133.00,136.00,129.00,130.50,3.50,40,5652620
107/07/06,19101,130.00,130.00,128.00,129.50,1.00,16,2466130
107/07/09,44018,128.00,128.00,121.50,121.50,8.00,38,5432277
107/07/10,282301,121.50,122.00,109.50,113.50,8.00,239,31715969
107/07/11,112000,113.50,119.50,113.50,115.00,1.50,77,12994500
107/07/12,34004,114.00,115.00,113.00,113.50,1.50,34,3870962
107/07/13,60000,113.00,116.00,113.00,114.50,1.00,43,6877500
107/07/16,143401,114.50,120.00,114.00,119.50,5.00,105,16797517
107/07/17,93150,121.50,123.00,119.00,121.50,2.00,78,11313650
107/07/18,163331,122.00,130.00,122.00,126.50,5.00,138,20839368
107/07/19,55000,126.50,128.00,125.00,127.00,0.50,41,6966500
107/07/20,33066,126.50,126.50,125.00,125.00,2.00,30,4148382
107/07/23,45600,125.00,125.00,120.00,122.00,3.00,43,5584100
107/07/24,26053,122.00,123.00,120.50,120.50,1.50,26,3171939
107/07/25,38065,120.00,121.50,119.00,120.00,0.50,37,4556995
107/07/26,131050,120.00,125.50,120.00,123.50,3.50,103,16242300
107/07/27,12003,126.00,126.00,124.00,124.00,0.50,12,1498887
107/07/30,28001,125.00,125.00,123.00,124.00,,24,3474626
107/07/31,70385,124.00,127.00,123.50,126.00,2.00,48,8835510
107/08/01,106000,126.00,129.50,126.00,128.00,2.00,79,13587000
107/08/02,48000,126.00,129.00,126.00,129.00,1.00,37,6131500
107/08/03,244051,130.00,141.00,130.00,135.00,6.00,187,33085834
107/08/06,63001,136.00,137.50,134.00,137.50,2.50,55,8582136
107/08/07,158059,138.50,143.00,138.50,143.00,5.50,119,22269878
107/08/08,294678,144.00,156.50,144.00,148.00,5.00,221,44372946
107/08/09,218735,148.00,153.50,142.00,142.00,6.00,193,32416135
107/08/10,163001,144.50,144.50,135.00,141.00,1.00,134,22959142
107/08/13,145001,140.00,140.00,131.50,135.50,5.50,107,19594635
107/08/14,438266,136.00,149.00,134.00,146.50,11.00,296,63874968
107/08/15,430201,145.00,150.00,141.00,148.00,1.50,321,63044047
107/08/16,270265,147.50,151.00,146.50,148.00,,186,40341455
107/08/17,402101,150.00,153.00,144.00,145.00,3.00,273,60637746
107/08/20,275300,146.00,149.50,144.50,144.50,0.50,227,40459650
107/08/21,73000,146.00,147.50,144.50,146.00,1.50,57,10663500
107/08/22,280033,146.00,150.00,144.50,146.00,,225,41230785
107/08/23,224420,148.00,149.50,146.00,149.50,3.50,179,33154160
107/08/24,132100,149.50,150.00,147.00,148.50,1.00,107,19622250
107/08/27,130053,148.50,150.00,145.50,146.00,2.50,111,19238738
107/08/28,65000,147.50,147.50,143.50,144.00,2.00,60,9423500
107/08/29,100057,144.00,144.00,138.00,140.00,4.00,76,14113980
107/08/30,204002,140.00,146.00,137.50,143.00,3.00,139,29119786
107/08/31,39650,144.00,145.00,141.50,143.00,,34,5660300
107/09/03,74000,143.00,143.50,139.50,139.50,3.50,47,10479500
107/09/04,81226,141.00,141.00,135.00,135.50,4.00,71,11094510
107/09/05,33752,136.00,136.00,133.00,135.00,0.50,30,4539768
107/09/06,130508,131.00,138.00,131.00,138.00,3.00,93,17500096
107/09/07,117035,140.00,140.00,134.00,134.00,4.00,75,16058172
107/09/10,223448,137.00,146.00,134.00,134.00,,160,31526756
107/09/11,218000,135.00,137.00,129.00,134.00,,140,28876000
107/09/12,137085,134.50,136.00,128.50,130.50,3.50,93,18137092
107/09/13,105000,132.00,134.00,130.50,130.50,,49,13949500
107/09/14,38165,132.50,132.50,130.00,130.50,,32,4997532
107/09/17,9000,132.00,132.00,130.00,130.50,,5,1174500
107/09/18,15061,131.50,131.50,128.00,128.50,2.00,15,1935338
107/09/19,37040,130.00,130.00,126.00,127.50,1.00,37,4725620
107/09/20,31318,128.50,128.50,124.00,126.00,1.50,24,3944068
107/09/21,5000,126.50,126.50,126.00,126.00,,5,631500
107/09/25,58272,126.00,126.00,120.00,120.00,6.00,50,7091912
107/09/26,22000,121.00,121.00,119.50,120.50,0.50,21,2651500
107/09/27,34000,119.00,121.00,119.00,119.00,1.50,27,4079500
107/09/28,121111,119.00,119.00,110.50,112.00,7.00,95,13833543
107/10/01,41002,112.00,114.00,111.50,113.50,1.50,37,4632228
107/10/02,44050,113.50,113.50,111.50,111.50,2.00,37,4945100
107/10/03,21000,111.50,111.50,110.50,111.00,0.50,17,2329000
107/10/04,239000,111.00,116.50,109.00,113.50,2.50,160,26746500
107/10/05,61298,113.50,113.50,108.50,109.00,4.50,49,6767429
107/10/08,328341,108.00,119.50,107.00,117.00,8.00,219,38168556
107/10/09,248200,118.00,127.00,117.00,120.50,3.50,206,30401900
107/10/11,109156,116.00,118.50,108.50,109.00,11.50,94,12259925
107/10/12,51145,109.00,113.00,108.50,112.00,3.00,51,5673095
107/10/15,57025,113.00,113.00,106.00,106.00,6.00,51,6202175
107/10/16,16000,106.00,107.50,106.00,106.00,,14,1699000
107/10/17,16000,106.00,107.00,106.00,106.00,,14,1701500
107/10/18,13000,106.50,107.00,106.00,106.00,,13,1381000
107/10/19,11000,106.00,107.00,105.50,106.00,,11,1167500
107/10/22,20000,107.00,107.00,104.50,106.50,0.50,19,2117000
107/10/23,5000,105.50,105.50,105.00,105.00,1.50,5,526000
107/10/24,74000,105.00,107.50,102.00,105.00,,62,7763500
107/10/25,82000,106.00,107.00,104.00,104.00,1.00,53,8676500
107/10/26,58020,106.00,106.00,103.00,103.50,0.50,51,6049090
107/10/29,150000,104.50,105.50,102.50,104.00,0.50,93,15639500
107/10/30,182000,102.00,110.00,102.00,106.50,2.50,99,19384000
107/10/31,189021,104.50,108.50,101.00,105.50,1.00,162,19726236
107/11/01,176100,104.50,105.50,101.00,103.00,2.50,149,18106700
107/11/02,262000,102.50,107.00,101.00,104.50,1.50,169,27100000
107/11/08,89000,123.00,123.00,120.00,120.50,3.50,68,10788000
107/11/09,36002,120.50,120.50,119.00,120.00,0.50,34,4305738
107/11/12,70001,119.00,119.00,115.50,118.50,1.50,61,8199119
107/11/16,13000,113.50,114.50,113.00,113.00,1.00,12,1474000
107/11/19,21025,114.00,114.00,110.50,110.50,2.50,22,2350787
107/11/20,18000,110.00,111.00,110.00,110.00,0.50,17,1987000
107/11/21,17000,110.00,111.00,110.00,111.00,1.00,14,1879000
107/11/22,10000,111.00,111.00,109.50,109.50,1.50,10,1100000
107/11/23,48000,110.00,112.00,109.00,109.00,0.50,38,5304500
107/11/26,11001,109.00,110.50,109.00,109.50,0.50,12,1211610
107/11/27,0,--,--,--,--,,0,0
107/11/28,6000,109.50,111.00,109.50,110.00,X,6,662000
107/11/29,41000,111.00,114.00,111.00,113.00,3.00,32,4640000
107/11/30,167310,114.50,121.50,113.50,119.00,6.00,104,19778700
107/12/03,53028,120.50,122.00,119.00,119.50,0.50,42,6366874
107/12/04,50000,119.50,120.50,118.00,119.50,,33,5953500
107/12/05,40057,117.50,119.50,116.50,119.50,,35,4740368
107/12/06,40000,117.50,118.50,115.00,116.50,3.00,34,4669500
107/12/07,7017,116.50,116.50,116.50,116.50,,7,817497
107/12/10,21000,116.50,117.00,116.00,116.00,0.50,17,2448000
107/12/11,11000,116.00,117.00,115.50,115.50,0.50,10,1276500
107/12/12,5000,115.50,116.50,115.00,115.00,0.50,4,578500
107/12/13,102100,115.00,122.00,115.00,119.00,4.00,82,12113800
107/12/14,113000,119.50,122.00,116.50,120.00,1.00,62,13550000
107/12/17,58000,120.00,122.50,118.50,118.50,1.50,40,6992000
107/12/18,377027,120.00,127.00,120.00,123.00,4.50,246,46903321
107/12/19,259655,123.50,127.00,115.50,126.00,3.00,170,31853375
107/12/20,110049,125.00,128.00,123.50,126.50,0.50,86,13893625
107/12/21,15001,124.50,124.50,124.00,124.00,2.50,14,1863625
107/12/22,15100,123.00,123.00,121.00,121.00,3.00,13,1839500
107/12/24,32122,120.00,120.00,118.50,119.00,2.00,30,3833896
107/12/25,41010,118.50,118.50,116.00,116.00,3.00,34,4778150
107/12/26,7000,116.00,116.50,115.50,116.50,0.50,7,810500
107/12/27,39000,116.00,116.00,114.00,114.00,2.50,32,4476000
107/12/28,491090,113.00,113.00,103.00,104.00,10.00,370,51297770
108/01/02,149002,105.50,105.50,100.00,100.50,3.50,122,15203702
108/01/03,107000,108.50,108.50,103.00,103.00,2.50,83,11371500
108/01/04,20000,103.00,103.00,102.00,103.00,,20,2057000
108/01/07,26003,104.00,104.50,102.50,102.50,0.50,28,2684810
108/01/08,209040,102.50,102.50,99.00,100.00,2.50,149,20982840
108/01/09,22010,100.00,101.00,100.00,101.00,1.00,22,2218020
108/01/10,24000,100.50,100.50,99.70,100.50,0.50,20,2400600
108/01/11,40000,100.00,102.00,100.00,101.50,1.00,35,4051500
108/01/14,11000,101.00,101.00,99.70,99.80,1.70,10,1100600
108/01/15,30000,99.70,100.50,99.70,100.00,0.20,30,2998000
108/01/16,18000,100.00,100.00,99.80,100.00,,17,1799000
108/01/17,31000,100.50,101.00,99.20,99.20,0.80,29,3096200
108/01/18,77030,99.30,100.00,98.00,98.00,1.20,61,7592267
108/01/21,15000,98.10,98.90,98.10,98.50,0.50,14,1477300
108/01/22,75520,98.50,103.00,98.00,100.50,2.00,66,7574732
108/01/23,18081,100.50,101.00,100.00,100.50,,19,1816559
108/01/28,46050,101.00,101.00,99.60,99.90,0.60,45,4619585
108/01/29,21309,100.00,101.50,100.00,100.00,0.10,22,2145091
108/01/30,21000,100.00,101.00,99.20,101.00,1.00,21,2102800
108/02/11,39200,101.00,102.00,101.00,102.00,1.00,39,3991700
108/02/12,121056,102.00,102.00,100.00,100.50,1.50,93,12226712
108/02/13,239000,100.50,102.50,100.00,102.00,1.50,192,24086000
108/02/14,199000,102.00,103.50,100.00,101.00,1.00,185,20177500
108/02/15,37005,101.00,101.00,100.50,100.50,0.50,24,3722555
108/02/18,1237112,103.00,110.50,100.00,110.50,10.00,902,128787875
108/02/19,1410214,114.50,121.50,114.00,120.00,9.50,1029,166984680
108/02/20,1592593,117.50,128.00,115.00,125.00,5.00,1237,193492125
108/02/21,977011,124.00,125.50,116.50,124.00,1.00,734,118427375
108/02/22,930061,123.00,123.00,115.50,115.50,8.50,768,109480727
108/02/25,803000,118.00,123.00,117.00,121.00,5.50,614,96489500
108/02/26,560010,120.50,126.50,119.50,123.50,2.50,421,69388785
108/02/27,182000,123.50,124.50,122.50,123.00,0.50,153,22507500
108/03/04,160051,122.50,123.00,119.00,121.00,2.00,128,19299798
108/03/05,104005,121.00,122.00,119.50,121.00,,92,12542117
108/03/06,100080,121.50,121.50,119.00,119.50,1.50,81,11975180
108/03/07,63000,120.50,120.50,119.00,120.00,0.50,56,7540500
108/03/08,112000,120.00,120.50,117.50,120.50,0.50,93,13326500
108/03/11,30150,119.50,120.50,119.50,120.00,0.50,30,3618850
108/03/12,137104,119.50,119.50,116.50,118.00,2.00,124,16151323
108/03/13,114050,117.50,119.00,115.50,117.50,0.50,99,13349425
108/03/14,70050,116.00,117.50,115.00,116.50,1.00,59,8124975
108/03/15,40457,116.00,116.50,115.50,115.50,1.00,39,4689783
108/03/18,59156,116.00,116.50,115.50,115.50,,43,6864018
108/03/19,407500,115.50,126.50,115.50,122.00,6.50,297,50116500
108/03/20,95293,122.00,122.00,119.00,119.50,2.50,82,11428453
108/03/21,39114,119.50,120.00,118.50,119.50,,40,4676235
108/03/22,39010,120.00,120.50,119.00,119.00,0.50,34,4663700
108/03/25,38001,116.00,117.50,116.00,117.00,2.00,35,4436628
108/03/26,26090,117.00,118.00,117.00,117.50,0.50,25,3064075
108/03/27,32000,118.00,118.00,117.00,117.00,0.50,26,3762000
108/03/28,28002,118.50,118.50,117.00,117.00,,29,3308742
108/03/29,26003,118.00,118.00,117.00,118.00,1.00,25,3059357
108/04/01,22000,118.00,118.50,117.50,118.00,,19,2596500
108/04/02,32000,118.00,118.50,117.00,117.00,1.00,28,3772000
108/04/03,23000,117.00,118.00,117.00,118.00,1.00,22,2695500
108/04/08,40008,118.00,118.00,117.50,118.00,,34,4714460
108/04/09,46000,118.00,118.00,115.00,115.00,3.00,40,5330500
108/04/10,43242,115.00,116.50,115.00,116.00,1.00,34,5005451
108/04/11,12000,115.50,116.00,115.50,115.50,0.50,12,1387000
108/04/12,321049,115.50,117.00,106.50,113.00,2.50,274,35595012
108/04/15,46270,113.00,113.00,110.50,111.00,2.00,45,5143334
108/04/16,51100,111.50,111.50,108.50,108.50,2.50,48,5585200
108/04/17,34000,109.00,109.00,108.00,108.50,,31,3691000
108/04/18,82000,108.50,108.50,106.00,106.00,2.50,69,8757500
108/04/19,108069,106.50,111.00,106.50,109.00,3.00,101,11807090
108/04/22,180100,108.50,113.50,105.00,110.50,1.50,151,19515950
108/04/23,124010,110.00,110.00,106.50,107.00,3.50,123,13342570
108/04/24,696000,107.50,110.00,103.00,107.50,0.50,529,73962000
108/04/25,231040,107.50,112.50,107.00,110.00,2.50,181,25523420
108/04/26,39000,109.50,109.50,108.00,108.50,1.50,28,4249000
108/04/29,579056,108.50,108.50,102.50,107.00,1.50,445,60615436
108/04/30,38030,107.00,107.00,104.50,105.50,1.50,33,4010195
108/05/02,125007,107.00,110.00,107.00,107.50,2.00,89,13576259
108/05/03,23074,108.00,108.00,106.50,106.50,1.00,24,2469454
108/05/06,78000,106.00,106.00,104.00,104.00,2.50,55,8149000
