基士德-KY,	6641
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/09/21,1549686,85.50,86.50,82.60,83.00,X,1121,131071955
107/09/25,538131,81.50,81.50,76.00,76.00,7.00,411,42232680
107/09/26,207650,76.50,77.70,76.50,77.10,1.10,154,16025015
107/09/27,210050,77.50,78.20,76.50,76.50,0.60,149,16223700
107/09/28,183463,76.50,77.00,75.10,75.80,0.70,113,13949788
107/10/01,224133,75.30,79.00,75.30,78.40,2.60,155,17208173
107/10/02,129292,77.50,78.10,77.00,77.20,1.20,100,10011676
107/10/03,182930,76.80,76.80,74.40,74.50,2.70,160,13798015
107/10/04,56120,74.50,74.50,73.90,74.50,,49,4161760
107/10/05,75378,74.20,74.20,72.50,72.90,1.60,70,5513109
107/10/08,58250,73.50,76.90,73.50,74.80,1.90,48,4351500
107/10/09,27562,74.80,74.80,73.90,74.50,0.30,37,2052567
107/10/11,240468,73.00,73.00,67.10,67.10,7.40,200,16252924
107/10/12,95000,67.20,69.40,67.10,69.40,2.30,90,6497400
107/10/15,32000,68.50,69.00,68.00,68.70,0.70,36,2193398
107/10/16,40200,68.50,68.70,68.40,68.40,0.30,44,2753077
107/10/17,34000,69.30,69.30,68.20,68.20,0.20,38,2336400
107/10/18,23000,68.30,68.30,67.70,67.80,0.40,27,1563099
107/10/19,47000,67.10,67.10,63.20,66.90,0.90,50,3084100
107/10/22,52000,66.90,67.50,66.90,67.40,0.50,34,3497000
107/10/23,19000,67.00,67.20,66.80,66.90,0.50,30,1271698
107/10/24,9000,66.60,66.70,66.60,66.60,0.30,9,599800
107/10/25,42000,65.60,65.60,64.70,65.00,1.60,56,2729697
107/10/26,74000,64.80,64.80,59.50,61.20,3.80,69,4589600
107/10/29,33000,61.20,61.20,59.90,60.10,1.10,32,1991500
107/10/30,90000,60.00,60.00,56.90,57.50,2.60,87,5225600
107/10/31,52000,60.00,60.30,59.00,59.60,2.10,50,3108400
107/11/01,45000,59.80,61.00,59.80,61.00,1.40,32,2729900
107/11/02,29000,61.30,61.40,60.50,60.90,0.10,34,1765998
107/11/08,37000,61.00,61.20,60.50,60.90,0.10,39,2254396
107/11/09,50300,60.90,61.00,60.50,61.00,0.10,27,3062870
107/11/12,189235,63.20,64.50,62.50,63.00,2.00,89,11940693
107/11/16,81400,69.60,70.60,69.00,69.60,0.40,83,5676676
107/11/19,51000,69.00,69.60,68.80,69.30,0.30,45,3520900
107/11/20,38476,68.70,68.70,67.60,68.00,1.30,39,2614663
107/11/21,47100,67.50,67.60,66.80,67.60,0.40,39,3176200
107/11/22,27248,67.60,67.70,67.10,67.20,0.40,32,1835640
107/11/23,36000,67.00,67.00,66.50,66.70,0.50,42,2402199
107/11/26,12120,67.60,67.60,67.10,67.40,0.70,11,815536
107/11/27,36100,67.80,69.00,67.80,69.00,1.60,31,2471990
107/11/28,107056,69.50,71.90,68.00,69.70,0.70,73,7540392
107/11/29,75000,69.30,70.40,69.00,69.00,0.70,65,5227000
107/11/30,21000,68.70,69.80,68.70,69.00,,18,1453900
107/12/03,61000,69.50,70.00,69.50,69.80,0.80,38,4255800
107/12/04,28500,69.90,70.00,68.90,68.90,0.90,28,1971998
107/12/05,46000,68.00,69.00,67.50,68.20,0.70,38,3133599
107/12/06,38000,68.20,68.20,67.20,67.20,1.00,33,2567200
107/12/07,83150,67.20,67.60,67.00,67.30,0.10,30,5588075
107/12/10,29100,66.00,66.80,66.00,66.40,0.90,20,1936600
107/12/11,29100,66.40,66.50,66.30,66.30,0.10,25,1932500
107/12/12,24144,66.40,66.90,66.00,66.70,0.40,25,1602776
107/12/13,37110,66.50,66.90,65.90,66.30,0.40,32,2457014
107/12/14,31101,66.30,66.50,65.60,65.60,0.70,31,2053906
107/12/17,100600,65.00,65.30,63.00,64.00,1.60,96,6475300
107/12/18,67400,64.20,64.50,63.00,63.90,0.10,63,4280100
107/12/19,91300,64.50,64.60,63.00,63.50,0.40,56,5842300
107/12/20,47150,63.20,63.50,62.30,63.20,0.30,48,2966760
107/12/21,21250,63.00,63.00,62.30,62.80,0.40,30,1330699
107/12/22,28230,62.50,63.00,62.00,63.00,0.20,25,1753305
107/12/24,12100,63.20,63.20,62.10,62.80,0.20,12,761400
107/12/25,13150,62.80,62.80,61.60,62.00,0.80,15,813900
107/12/26,33250,62.10,62.10,61.40,61.40,0.60,50,2051600
107/12/27,41110,61.60,61.90,61.40,61.70,0.30,48,2528720
107/12/28,29142,61.40,61.60,61.10,61.40,0.30,36,1784560
