東森            ,	2614
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,4914355,11.10,11.30,10.90,11.10,,1425,54864663
104/01/06,4661829,10.90,11.25,10.90,11.00,-0.10,1224,51647569
104/01/07,3321146,11.00,11.20,10.90,10.90,-0.10,1086,36532217
104/01/08,4056549,11.10,11.15,10.75,10.75,-0.15,1177,44390996
104/01/09,3159774,10.90,10.90,10.65,10.65,-0.10,928,33937991
104/01/12,2632370,10.65,10.85,10.60,10.65,,788,28168566
104/01/13,6069344,10.65,11.00,10.55,10.85,0.20,1561,65634924
104/01/14,2897769,10.95,10.95,10.60,10.60,-0.25,876,30891536
104/01/15,5961577,10.75,11.00,10.65,10.85,0.25,1568,64701393
104/01/16,4224366,10.80,10.85,10.50,10.50,-0.35,1207,44928516
104/01/19,3092354,10.75,10.75,10.50,10.70,0.20,903,32886239
104/01/20,3189169,10.75,10.90,10.70,10.80,0.10,885,34479444
104/01/21,1898915,10.80,10.90,10.60,10.60,-0.20,609,20285690
104/01/22,2016717,10.65,10.75,10.60,10.65,0.05,530,21487652
104/01/23,11083676,10.70,11.25,10.70,10.85,0.20,2526,121975579
104/01/26,1957680,10.80,10.85,10.75,10.80,-0.05,584,21122209
104/01/27,2274770,10.85,10.85,10.65,10.65,-0.15,685,24326943
104/01/28,1210224,10.60,10.75,10.60,10.70,0.05,437,12897713
104/01/29,2210176,10.75,10.95,10.70,10.70,,643,23887915
104/01/30,1879845,10.80,10.85,10.60,10.60,-0.10,546,20080109
104/02/02,1306450,10.60,10.70,10.45,10.50,-0.10,471,13749144
104/02/03,1082582,10.50,10.60,10.45,10.50,,334,11392844
104/02/04,2679968,10.60,10.75,10.50,10.55,0.05,602,28491055
104/02/05,1691792,10.70,10.70,10.35,10.50,-0.05,579,17725525
104/02/06,2045533,10.50,10.50,10.20,10.30,-0.20,688,21109579
104/02/09,849259,10.30,10.40,10.20,10.20,-0.10,315,8704023
104/02/10,917498,10.20,10.35,10.15,10.15,-0.05,402,9368664
104/02/11,1012109,10.20,10.30,10.10,10.10,-0.05,381,10282837
104/02/12,1364425,10.10,10.15,10.00,10.05,-0.05,437,13718900
104/02/13,1602049,10.10,10.15,9.91,9.96,-0.09,551,16017982
104/02/24,1652269,9.98,10.15,9.96,9.98,0.02,481,16555689
104/02/25,2788815,9.98,10.25,9.98,10.15,0.17,729,28278478
104/02/26,1293631,10.15,10.15,9.99,10.00,-0.15,412,12965794
104/03/02,844691,10.00,10.05,9.96,9.97,-0.03,370,8438883
104/03/03,1849642,9.98,10.00,9.80,9.83,-0.14,605,18243166
104/03/04,1511718,9.80,9.98,9.80,9.85,0.02,535,14958695
104/03/05,9035261,9.86,10.50,9.85,10.45,0.60,2288,92059901
104/03/06,2479361,10.45,10.45,10.25,10.30,-0.15,732,25571973
104/03/09,5201969,10.25,10.60,10.20,10.35,0.05,1378,54537653
104/03/10,1225613,10.35,10.45,10.25,10.30,-0.05,443,12658420
104/03/11,5917906,10.20,10.70,10.15,10.65,0.35,1575,62060974
104/03/12,2036782,10.60,10.65,10.45,10.45,-0.20,663,21442563
104/03/13,8350387,10.50,10.85,10.45,10.55,0.10,1739,89373407
104/03/16,2829487,10.80,10.85,10.55,10.60,0.05,878,30133562
104/03/17,3082479,10.80,10.80,10.45,10.45,-0.15,859,32745528
104/03/18,3700274,10.45,10.60,10.35,10.35,-0.10,954,38675813
104/03/19,5696196,10.40,10.75,10.40,10.55,0.20,1228,60368438
104/03/20,2090051,10.55,10.60,10.40,10.45,-0.10,751,21903164
104/03/23,1535583,10.55,10.55,10.35,10.35,-0.10,472,16025085
104/03/24,7551198,10.35,10.55,10.25,10.50,0.15,1047,79278559
104/03/25,1931446,10.50,10.55,10.30,10.30,-0.20,609,20041124
104/03/26,2206678,10.25,10.40,10.20,10.25,-0.05,653,22657152
104/03/27,1733115,10.35,10.35,10.10,10.15,-0.10,575,17660552
104/03/30,2142561,10.20,10.20,9.99,10.00,-0.15,855,21546230
