本盟            ,	1475
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,35000,14.90,15.10,14.70,14.70,-0.30,20,517500
104/01/06,0,--,--,--,--,,0,0
104/01/07,17000,15.10,15.10,14.70,14.70,X,10,250600
104/01/08,8000,15.15,15.15,14.55,14.90,0.20,6,118750
104/01/09,8000,14.80,14.80,14.65,14.65,-0.25,6,117800
104/01/12,2000,15.10,15.10,14.80,14.80,0.15,2,29900
104/01/13,1000,14.80,14.80,14.80,14.80,,1,14800
104/01/14,6000,14.80,14.95,14.80,14.90,0.10,5,89350
104/01/15,16000,14.65,14.95,14.60,14.85,-0.05,11,236050
104/01/16,46000,14.55,14.85,14.10,14.40,-0.45,25,669900
104/01/19,28000,14.40,14.40,13.80,14.10,-0.30,22,390700
104/01/20,19093,14.00,14.00,13.95,13.95,-0.15,18,266856
104/01/21,106000,13.85,14.25,13.50,14.10,0.15,50,1476900
104/01/22,51000,14.10,14.10,13.70,13.90,-0.20,28,706600
104/01/23,28002,14.20,14.20,13.75,13.75,-0.15,15,386977
104/01/26,15003,13.95,13.95,13.55,13.70,-0.05,15,207190
104/01/27,49000,13.85,13.85,13.45,13.50,-0.20,33,664650
104/01/28,45003,13.50,13.95,13.45,13.50,,25,609190
104/01/29,18000,13.50,13.75,13.20,13.65,0.15,16,241850
104/01/30,57002,13.65,13.65,12.70,13.35,-0.30,32,737826
104/02/02,139000,13.40,13.50,12.45,12.65,-0.70,71,1757400
104/02/03,58000,12.45,12.80,11.85,12.50,-0.15,37,717200
104/02/04,11000,12.60,12.60,12.45,12.50,,11,137600
104/02/05,15002,12.65,12.80,12.20,12.80,0.30,11,190425
104/02/06,53000,12.90,12.90,12.45,12.60,-0.20,14,662500
104/02/09,19000,12.65,12.65,12.60,12.60,,8,240100
104/02/10,26000,13.00,13.00,12.30,12.80,0.20,20,331500
104/02/11,16000,12.75,12.90,12.75,12.85,0.05,13,205250
104/02/12,24099,12.25,13.20,12.25,13.00,0.15,16,310007
