富邦特,	2881A
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,28945,65.70,65.80,65.70,65.80,,32,1901995
107/06/04,186793,65.70,65.80,65.50,65.80,,29,12272140
107/06/05,218551,65.60,65.80,65.60,65.80,,57,14351132
107/06/06,84943,65.70,65.70,65.50,65.70,0.10,51,5573965
107/06/07,456049,65.70,65.70,65.60,65.70,,27,29941393
107/06/08,234084,65.60,65.70,65.50,65.70,,24,15356492
107/06/11,204500,65.50,65.70,65.50,65.70,,42,13412699
107/06/12,496999,65.60,65.60,65.50,65.60,0.10,52,32602834
107/06/13,239697,65.60,65.70,65.60,65.70,0.10,30,15732041
107/06/14,484867,65.60,65.60,65.50,65.60,0.10,171,31806614
107/06/15,161316,65.50,65.60,65.50,65.60,,43,10566632
107/06/19,321580,65.60,65.60,65.50,65.60,,80,21091945
107/06/20,406088,65.50,65.60,65.50,65.60,,86,26599754
107/06/21,274680,65.60,65.60,65.30,65.60,,94,17989734
107/06/22,1055280,65.60,65.60,65.50,65.60,,89,69204107
107/06/25,1249695,65.50,65.70,65.50,65.60,,117,81997739
107/06/26,238404,63.20,63.30,63.10,63.20,X,80,15064831
107/06/27,105439,63.20,63.50,63.20,63.50,0.30,49,6674844
107/06/28,116527,63.40,63.40,63.40,63.40,0.10,28,7387864
107/06/29,57593,63.30,63.40,63.30,63.40,,23,3648334
107/07/02,24634,63.30,63.30,63.20,63.30,0.10,24,1558067
107/07/03,264499,63.30,63.30,62.90,63.20,0.10,199,16663285
107/07/04,100035,63.20,63.20,63.00,63.10,0.10,63,6307305
107/07/05,170529,63.10,63.10,63.00,63.10,,51,10750720
107/07/06,150672,63.00,63.10,62.80,63.10,,53,9489463
107/07/09,150197,62.90,63.10,62.80,63.10,,44,9455070
107/07/10,29479,63.00,63.10,62.90,63.10,,14,1857981
107/07/11,70058,63.00,63.00,62.90,63.00,0.10,22,4412141
107/07/12,130349,62.90,63.10,62.90,63.10,0.10,29,8211787
107/07/13,147781,63.10,63.10,63.00,63.10,,32,9323780
107/07/16,30008,63.10,63.20,62.90,63.20,0.10,19,1893000
107/07/17,28439,63.20,63.30,63.10,63.30,0.10,15,1798357
107/07/18,114686,63.00,63.30,63.00,63.30,,31,7257118
107/07/19,43160,63.30,63.30,63.20,63.30,,20,2731063
107/07/20,79137,63.30,63.40,63.20,63.40,0.10,29,5009943
107/07/23,88078,63.40,63.40,63.30,63.40,,41,5579729
107/07/24,45192,63.40,63.50,63.30,63.50,0.10,27,2866013
107/07/25,98229,63.50,63.50,63.40,63.50,,33,6232141
107/07/26,44621,63.40,63.50,63.30,63.50,,32,2830168
107/07/27,28020,63.30,63.40,63.30,63.40,0.10,23,1775760
107/07/30,59509,63.20,63.30,63.00,63.30,0.10,30,3755616
107/07/31,147262,63.20,63.40,63.20,63.40,0.10,32,9320857
107/08/01,115919,63.40,63.40,63.30,63.40,,21,7348597
107/08/02,27386,63.40,63.40,63.30,63.40,,22,1735530
107/08/03,84152,63.30,63.40,63.20,63.40,,36,5325232
107/08/06,15791,63.30,63.30,63.10,63.30,0.10,17,998989
107/08/07,126538,63.30,63.40,63.10,63.40,0.10,20,8010445
107/08/08,5499,63.30,63.40,63.30,63.40,,7,348436
107/08/09,12101,63.40,63.40,63.30,63.40,,13,766463
107/08/10,60503,63.40,63.40,63.30,63.40,,19,3830788
107/08/13,57439,63.40,63.40,63.10,63.40,,34,3635043
107/08/14,343054,63.30,63.40,63.30,63.40,,28,21736610
107/08/15,225692,63.40,63.40,63.30,63.40,,26,14306862
107/08/16,292255,63.30,63.50,63.30,63.50,0.10,23,18529741
107/08/17,104403,63.40,63.50,63.20,63.50,,44,6614322
107/08/20,48736,63.40,63.50,63.30,63.50,,23,3088468
107/08/21,16041,63.40,63.50,63.40,63.50,,9,1017387
107/08/22,75132,63.40,63.50,63.30,63.50,,21,4763442
107/08/23,25179,63.40,63.40,63.30,63.40,0.10,13,1595926
107/08/24,48100,63.30,63.40,63.30,63.40,,23,3045039
