興泰            ,	1235
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,99000,26.50,26.90,26.15,26.90,0.20,60,2615600
104/01/06,103006,26.55,26.60,25.80,26.10,-0.80,74,2701208
104/01/07,136000,26.00,26.60,26.00,26.60,0.50,81,3560300
104/01/08,101000,26.60,26.60,26.05,26.20,-0.40,63,2645500
104/01/09,314322,25.80,25.80,25.45,25.45,-0.75,162,8042543
104/01/12,364509,25.20,25.20,23.85,24.00,-1.45,218,8874866
104/01/13,345000,23.90,24.75,23.45,24.40,0.40,180,8257450
104/01/14,178070,24.40,24.90,24.25,24.25,-0.15,105,4384310
104/01/15,83151,24.35,24.40,24.05,24.20,-0.05,47,2014503
104/01/16,61434,24.75,24.75,24.05,24.10,-0.10,48,1488322
104/01/19,89000,24.10,24.15,23.95,24.00,-0.10,39,2138800
104/01/20,40231,24.20,24.35,24.05,24.30,0.30,37,973662
104/01/21,39215,24.50,24.50,24.05,24.05,-0.25,29,951638
104/01/22,73000,24.50,24.60,24.25,24.45,0.40,43,1787900
104/01/23,59000,24.70,24.70,24.35,24.35,-0.10,19,1442300
104/01/26,54000,24.35,24.35,24.10,24.10,-0.25,29,1311550
104/01/27,106183,24.20,24.50,24.00,24.50,0.40,63,2576946
104/01/28,67124,24.50,24.50,24.05,24.30,-0.20,44,1623237
104/01/29,30060,24.30,24.30,24.05,24.05,-0.25,19,728207
104/01/30,106010,24.05,24.30,24.05,24.10,0.05,45,2554689
104/02/02,235001,24.00,24.05,23.00,23.30,-0.80,99,5509723
104/02/03,48000,23.60,23.90,23.40,23.40,0.10,39,1131750
104/02/04,32060,23.40,23.55,23.35,23.35,-0.05,24,750392
104/02/05,29000,23.50,23.55,23.35,23.40,0.05,18,681050
104/02/06,53000,23.45,23.45,23.30,23.35,-0.05,29,1239300
104/02/09,25090,23.30,23.45,23.20,23.40,0.05,21,584238
104/02/10,41003,23.30,23.40,23.00,23.15,-0.25,32,952969
104/02/11,60000,23.10,23.20,23.05,23.15,,28,1385050
104/02/12,19000,23.10,23.20,23.10,23.20,0.05,12,439900
104/02/13,56325,23.35,23.60,23.10,23.55,0.35,40,1319554
104/02/24,124000,23.90,24.60,23.70,23.80,0.25,65,2988000
104/02/25,129001,23.80,24.15,23.60,23.70,-0.10,46,3075223
104/02/26,93040,23.50,23.80,23.50,23.80,0.10,41,2203260
104/03/02,70236,23.90,23.90,23.50,23.80,,49,1660166
104/03/03,98022,23.80,23.85,23.50,23.75,-0.05,39,2326326
104/03/04,43020,23.55,23.65,23.50,23.60,-0.15,29,1013276
104/03/05,73000,23.60,24.00,23.55,23.95,0.35,48,1737850
104/03/06,558047,24.00,25.60,24.00,25.60,1.65,316,14070053
104/03/09,896707,26.60,27.35,26.20,27.35,1.75,449,24284184
104/03/10,1323900,27.60,28.60,26.85,27.00,-0.35,724,36602500
104/03/11,510500,26.30,27.30,26.30,27.30,0.30,256,13584872
104/03/12,243001,27.50,27.75,26.90,27.05,-0.25,161,6617276
104/03/13,221000,27.00,27.15,26.35,27.10,0.05,120,5927550
104/03/16,159101,26.75,27.05,26.40,26.40,-0.70,97,4237916
104/03/17,677208,26.40,28.00,26.40,28.00,1.60,285,18410291
104/03/18,233315,27.95,27.95,27.40,27.50,-0.50,144,6438048
104/03/19,297471,27.60,28.00,27.30,28.00,0.50,129,8230592
104/03/20,572000,27.80,27.90,27.25,27.40,-0.60,181,15677400
104/03/23,192000,27.70,27.80,27.10,27.10,-0.30,71,5260500
104/03/24,431010,27.00,27.70,26.75,27.00,-0.10,143,11753270
104/03/25,175030,27.10,27.10,26.60,26.60,-0.40,81,4699091
104/03/26,153000,26.60,26.90,26.30,26.40,-0.20,85,4065750
104/03/27,226199,26.80,26.80,26.30,26.50,0.10,79,5982523
104/03/30,93000,26.50,26.75,26.20,26.20,-0.30,50,2452550
104/03/31,223170,26.70,26.70,26.00,26.40,0.20,61,5858754
104/04/01,243200,26.00,26.00,25.25,25.90,-0.50,106,6205630
104/04/02,160420,25.90,25.95,25.00,25.95,0.05,102,4086993
104/04/07,170301,25.20,26.00,25.00,25.85,-0.10,80,4324678
104/04/08,58505,25.40,25.50,25.10,25.30,-0.55,32,1479573
104/04/09,75000,25.20,26.00,25.20,25.35,0.05,50,1917300
104/04/10,43090,27.00,27.00,25.30,25.90,0.55,34,1123913
104/04/13,117200,25.90,26.00,25.15,25.40,-0.50,71,2969679
104/04/14,103360,25.05,25.45,25.00,25.10,-0.30,71,2590175
104/04/15,46600,25.15,25.30,24.75,24.80,-0.30,39,1160110
104/04/16,317783,24.85,24.85,24.00,24.35,-0.45,150,7715148
104/04/17,139030,24.20,24.20,23.75,24.10,-0.25,83,3325072
104/04/20,216000,24.10,24.90,24.05,24.30,0.20,105,5256000
104/04/21,95623,24.30,24.50,23.70,23.70,-0.60,58,2290340
104/04/22,105051,23.60,24.00,23.50,23.50,-0.20,48,2485358
104/04/23,126132,23.40,24.00,23.20,23.55,0.05,78,2970808
104/04/24,162000,23.50,23.85,23.30,23.50,-0.05,64,3814200
104/04/27,113092,23.80,24.40,23.80,24.00,0.50,78,2732712
104/04/28,49060,24.40,24.40,23.95,23.95,-0.05,35,1180649
104/04/29,66148,23.90,24.25,23.85,23.90,-0.05,58,1587980
104/04/30,48051,24.10,24.15,23.75,23.95,0.05,37,1146980
104/05/04,42000,23.80,24.00,23.70,23.80,-0.15,31,999900
104/05/05,103000,23.60,24.05,23.50,23.85,0.05,60,2433550
104/05/06,76051,23.50,23.75,23.50,23.65,-0.20,43,1790755
104/05/07,73150,23.50,23.85,23.10,23.40,-0.25,42,1706990
104/05/08,118000,23.20,23.65,23.20,23.60,0.20,35,2772850
104/05/11,124002,23.75,23.75,23.20,23.70,0.10,57,2912397
104/05/12,309002,23.70,23.70,22.75,23.50,-0.20,75,7234197
104/05/13,114275,23.45,23.90,23.40,23.60,0.10,42,2699434
104/05/14,60000,23.20,23.50,23.15,23.50,-0.10,31,1394100
104/05/15,237000,23.20,23.40,22.75,23.20,-0.30,85,5420050
104/05/18,773004,23.20,23.20,21.60,21.60,-1.60,183,16756886
104/05/19,1082060,20.50,21.40,20.10,20.45,-1.15,294,21920088
104/05/20,275000,20.40,20.70,20.20,20.40,-0.05,117,5632850
104/05/21,532060,20.40,20.50,19.85,19.85,-0.55,170,10652450
104/05/22,160101,19.85,20.25,19.85,20.00,0.15,77,3202030
104/05/25,106240,19.85,20.20,19.80,20.00,,45,2119348
104/05/26,292000,20.20,20.20,19.50,20.00,,84,5766250
104/05/27,747030,19.90,20.15,19.30,20.00,,217,14626650
104/05/28,624321,20.15,20.15,19.50,19.85,-0.15,177,12245920
104/05/29,235269,19.80,19.95,19.75,19.95,0.10,103,4668624
104/06/01,232030,19.95,20.10,19.50,20.00,0.05,95,4566150
104/06/02,79123,19.90,19.90,19.60,19.90,-0.10,44,1562173
104/06/03,364060,19.90,19.90,19.10,19.35,-0.55,161,7034620
104/06/04,165001,19.35,19.35,18.60,18.60,-0.75,82,3123018
104/06/05,382002,18.80,18.85,16.80,17.85,-0.75,182,6705586
104/06/08,140030,17.65,18.00,17.20,17.65,-0.20,67,2457034
104/06/09,173180,17.40,17.90,16.40,17.15,-0.50,92,2968060
104/06/10,131000,16.80,17.75,16.80,17.50,0.35,70,2267600
104/06/11,34000,17.50,17.65,17.05,17.50,,27,590150
104/06/12,73000,17.40,17.45,17.10,17.40,-0.10,43,1258800
104/06/15,128010,17.50,18.30,17.45,17.80,0.40,50,2282026
104/06/16,125100,17.80,17.90,17.00,17.70,-0.10,76,2190270
104/06/17,156000,17.70,17.75,17.15,17.60,-0.10,75,2709550
104/06/18,35001,17.40,17.70,17.40,17.65,0.05,25,614167
104/06/22,44001,17.80,18.50,17.75,18.00,0.35,33,793317
104/06/23,82000,18.00,18.20,18.00,18.20,0.20,39,1482800
104/06/24,57000,18.10,18.50,17.80,18.50,0.30,30,1032550
104/06/25,72530,18.50,18.65,18.10,18.10,-0.40,32,1326890
104/06/26,71000,18.10,18.45,18.00,18.35,0.25,29,1286500
104/06/29,60000,18.10,18.30,18.00,18.25,-0.10,34,1088450
104/06/30,23057,18.25,18.40,18.25,18.35,0.10,14,422454
104/07/01,87000,18.50,19.20,18.50,18.80,0.45,56,1640400
104/07/02,61200,18.80,19.20,18.80,19.05,0.25,38,1169510
104/07/03,43021,19.05,19.40,18.80,19.40,0.35,32,820261
104/07/06,21000,19.60,19.60,19.20,19.35,-0.05,13,407650
104/07/07,87000,19.35,19.40,19.30,19.40,0.05,31,1684150
104/07/08,150000,19.20,19.50,18.75,19.35,-0.05,72,2860100
104/07/09,109001,19.15,19.15,18.80,18.85,-0.50,40,2064518
104/07/13,48000,18.75,19.00,18.70,18.90,0.05,26,904250
104/07/14,112100,18.95,18.95,18.65,18.90,,44,2105820
104/07/15,36000,18.95,19.20,18.85,19.20,0.30,16,680700
104/07/16,62030,19.10,19.10,18.85,18.90,-0.30,27,1173117
104/07/17,71000,19.50,19.50,18.60,18.95,0.05,40,1332900
104/07/20,43030,19.00,19.00,18.80,18.85,-0.10,20,811914
104/07/21,121000,18.50,18.90,18.35,18.85,,34,2238100
104/07/22,33000,18.95,18.95,18.35,18.75,-0.10,20,614150
104/07/23,79000,18.50,18.90,18.40,18.75,,36,1465200
104/07/24,34000,18.70,18.80,18.40,18.75,,22,631850
104/07/27,258000,18.70,18.75,18.00,18.70,-0.05,69,4712700
104/07/28,54000,18.20,18.80,18.10,18.70,,37,993550
104/07/29,25000,18.70,18.70,18.45,18.55,-0.15,17,465050
104/07/30,37000,18.80,19.20,18.70,19.20,0.65,20,698350
104/07/31,19000,19.05,19.05,18.80,18.80,-0.40,14,359000
104/08/03,41060,18.80,18.85,18.55,18.80,,25,771478
104/08/04,98000,18.50,18.90,18.10,18.85,0.05,47,1819700
104/08/05,41000,18.95,19.00,18.60,19.00,0.15,28,771650
104/08/06,15000,18.70,18.95,18.70,18.95,-0.05,10,281950
104/08/07,43000,18.65,18.95,18.60,18.95,,24,805950
104/08/10,34000,18.95,19.05,18.95,19.00,0.05,16,645950
104/08/11,57001,19.05,19.10,18.80,19.00,,30,1081619
104/08/12,36000,18.90,19.10,18.85,18.95,-0.05,14,680650
104/08/13,19000,18.95,19.10,18.90,19.10,0.15,7,361950
104/08/14,19163,18.65,19.10,18.65,19.10,,13,362578
104/08/17,20030,19.10,19.10,18.75,19.00,-0.10,15,379164
104/08/18,24020,18.80,18.85,18.70,18.70,-0.30,14,451028
104/08/19,89030,18.60,18.60,18.25,18.25,-0.45,32,1634011
104/08/20,85000,18.20,18.65,17.75,18.40,0.15,44,1528500
104/08/21,51000,17.95,18.40,17.95,18.40,,29,927900
104/08/24,108040,17.10,18.40,16.65,17.15,-1.25,52,1842750
104/08/25,67000,16.10,17.80,16.10,17.45,0.30,38,1147650
