政伸,	8481
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,11000,45.00,45.00,44.40,44.40,1.30,9,491100
107/06/04,8000,44.55,44.85,44.30,44.85,0.45,7,356250
107/06/05,3000,44.80,45.45,44.80,45.45,0.60,3,135700
107/06/06,2000,45.00,45.00,45.00,45.00,0.45,2,90000
107/06/07,15000,45.00,45.00,44.50,44.80,0.20,5,671900
107/06/08,7000,44.70,44.70,44.20,44.20,0.60,6,309900
107/06/11,21000,42.80,44.75,42.80,44.00,0.20,13,915650
107/06/12,23000,43.70,45.00,43.70,44.10,0.10,9,1013900
107/06/13,4000,44.10,44.10,44.00,44.00,0.10,3,176300
107/06/14,38020,45.40,45.40,44.50,44.50,0.50,8,1720440
107/06/15,9000,44.10,44.10,44.00,44.00,0.50,4,396100
107/06/19,3000,43.30,44.95,43.30,44.95,0.95,3,132250
107/06/20,7000,44.00,44.55,44.00,44.50,0.45,7,310200
107/06/21,1051,44.50,44.50,44.50,44.50,,3,46769
107/06/22,8000,44.50,44.50,44.30,44.30,0.20,4,355400
107/06/25,11068,44.30,44.30,44.00,44.00,0.30,7,489319
107/06/26,15000,44.30,46.70,44.30,46.70,2.70,13,689000
107/06/27,11055,45.55,46.20,45.50,46.20,0.50,8,504515
107/06/28,14000,46.20,46.90,45.30,46.00,0.20,12,644000
107/06/29,22000,46.00,46.50,46.00,46.00,,17,1015500
107/07/02,22000,46.00,46.00,45.95,45.95,0.05,14,1011850
107/07/03,4000,45.85,45.85,45.50,45.50,0.45,3,182350
107/07/04,6000,44.50,45.70,44.50,45.70,0.20,5,268200
107/07/05,7000,45.50,45.75,45.00,45.75,0.05,5,316750
107/07/06,24000,45.75,45.75,45.00,45.65,0.10,12,1084150
107/07/09,3000,45.65,45.75,45.65,45.75,0.10,3,137100
107/07/10,16000,46.00,46.00,45.20,45.20,0.55,8,728150
107/07/11,5000,45.30,45.30,45.00,45.00,0.20,3,225300
107/07/12,13000,44.80,45.00,44.80,45.00,,10,584800
107/07/13,54000,45.00,45.50,44.50,45.00,,35,2434900
107/07/16,28000,42.10,42.30,41.20,42.00,X,25,1167900
107/07/17,12000,42.30,42.30,42.00,42.00,,10,506150
107/07/18,14000,42.00,44.50,42.00,44.50,2.50,13,597100
107/07/19,4000,43.20,43.90,43.20,43.90,0.60,3,173800
107/07/20,4000,44.00,44.00,42.75,42.75,1.15,4,172250
107/07/23,8000,42.30,42.80,42.20,42.80,0.05,4,340700
107/07/24,4000,42.85,43.00,42.85,43.00,0.20,4,171550
107/07/25,11000,43.00,43.00,42.00,43.00,,7,467100
107/07/26,0,--,--,--,--,,0,0
107/07/27,2000,42.35,42.50,42.35,42.50,X,2,84850
107/07/30,22000,42.30,43.00,42.00,42.60,0.10,10,934400
107/07/31,8000,43.00,43.50,43.00,43.50,0.90,6,345000
