統一實          ,	9907
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1707180,19.90,19.90,19.65,19.90,-0.10,912,33821610
104/01/06,2344200,19.75,20.05,19.65,19.80,-0.10,1249,46537938
104/01/07,2735665,19.85,19.90,19.20,19.35,-0.45,1284,53495397
104/01/08,2106042,19.55,19.70,19.50,19.60,0.25,1009,41355616
104/01/09,2205188,19.80,19.90,19.65,19.90,0.30,906,43671117
104/01/12,1638114,19.85,19.85,19.50,19.50,-0.40,768,32105668
104/01/13,2796346,19.50,19.65,19.20,19.30,-0.20,1210,54270673
104/01/14,1277680,19.30,19.60,19.30,19.50,0.20,522,24885956
104/01/15,1183112,19.60,19.65,19.30,19.35,-0.15,533,22959659
104/01/16,1961657,19.35,19.50,19.05,19.05,-0.30,1025,37699996
104/01/19,817183,19.20,19.30,19.00,19.05,,383,15618813
104/01/20,1006614,19.20,19.20,19.10,19.15,0.10,483,19267091
104/01/21,2134359,19.20,19.75,19.20,19.75,0.60,1017,41695049
104/01/22,5528781,19.95,20.25,19.80,20.25,0.50,2172,111209625
104/01/23,8281461,20.50,21.10,20.35,20.70,0.45,3148,171820538
104/01/26,2986622,20.80,20.80,20.25,20.30,-0.40,1171,60928967
104/01/27,2182804,20.55,20.55,20.10,20.20,-0.10,843,44102314
104/01/28,3483718,20.15,20.55,20.00,20.30,0.10,1285,70714555
104/01/29,5046824,20.45,20.75,20.25,20.65,0.35,1554,103664827
104/01/30,3001169,20.80,20.85,20.35,20.35,-0.30,1078,61890486
104/02/02,1147857,20.35,20.40,20.25,20.35,,465,23318801
104/02/03,1126355,20.35,20.40,20.25,20.30,-0.05,446,22891334
104/02/04,3437169,20.35,20.85,20.35,20.65,0.35,1400,70969360
104/02/05,1862900,20.80,20.80,20.50,20.65,,661,38453827
104/02/06,1523674,20.70,20.75,20.50,20.65,,632,31406831
104/02/09,908713,20.60,20.65,20.50,20.55,-0.10,385,18673613
104/02/10,1231309,20.45,20.60,20.45,20.45,-0.10,553,25253676
104/02/11,11239310,20.80,21.85,20.70,21.85,1.40,3642,242871354
104/02/12,16625494,22.20,22.70,22.10,22.30,0.45,5540,372362755
104/02/13,6460112,22.35,22.40,21.80,21.80,-0.50,2431,142097988
104/02/24,5929573,22.00,22.70,21.75,22.70,0.90,2460,132214942
104/02/25,11809960,22.70,23.85,22.70,23.25,0.55,4812,276680705
104/02/26,4287850,23.30,23.40,22.85,23.35,0.10,1910,99315052
104/03/02,3480945,23.45,23.60,23.10,23.20,-0.15,1415,80875968
104/03/03,8645047,23.30,23.80,22.65,23.55,0.35,3361,202464595
104/03/04,5266828,23.50,23.70,23.10,23.20,-0.35,1926,123329720
104/03/05,8454368,23.20,24.05,23.10,23.95,0.75,3206,201154468
104/03/06,8045674,24.00,24.80,23.80,24.30,0.35,2890,196083070
104/03/09,3508102,24.10,24.60,24.00,24.55,0.25,1785,85115545
104/03/10,5816531,24.80,24.85,23.65,23.65,-0.90,2582,139742744
