技嘉            ,	2376
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1519331,37.00,37.45,36.80,37.45,0.45,765,56330587
104/01/06,3735736,37.30,37.65,37.00,37.60,0.15,1640,139854180
104/01/07,3341982,37.70,37.90,37.25,37.60,,1656,125914369
104/01/08,2768716,37.80,38.30,37.70,38.20,0.60,1266,105224441
104/01/09,3265750,38.05,38.05,37.20,37.35,-0.85,1497,122748257
104/01/12,1368781,37.25,37.85,37.15,37.50,0.15,704,51361665
104/01/13,2232364,37.30,37.85,37.30,37.85,0.35,1181,83811764
104/01/14,1893162,37.70,37.70,37.05,37.25,-0.60,1035,70518380
104/01/15,2197498,37.60,37.60,37.05,37.45,0.20,1208,82015545
104/01/16,1736787,37.45,37.55,37.20,37.20,-0.25,874,64946902
104/01/19,1299383,37.50,37.65,37.15,37.20,,738,48577306
104/01/20,600756,37.20,37.50,37.20,37.40,0.20,363,22457057
104/01/21,3369374,37.45,38.15,37.40,38.15,0.75,1571,127998359
104/01/22,6187430,38.25,39.65,38.20,39.50,1.35,2496,242285356
104/01/23,3833200,40.00,40.05,39.05,39.15,-0.35,1855,150941306
104/01/26,2586520,39.05,39.55,38.85,39.10,-0.05,1307,101314070
104/01/27,3052600,39.30,39.30,38.85,39.00,-0.10,1184,119099070
104/01/28,3282641,38.90,39.85,38.90,39.40,0.40,1375,129623436
104/01/29,1895693,39.40,39.40,38.80,38.85,-0.55,1151,73971806
104/01/30,1918403,39.10,39.50,39.00,39.10,0.25,892,75159878
104/02/02,2231553,38.80,39.05,38.60,38.60,-0.50,1111,86644081
104/02/03,2759331,38.70,39.20,38.70,39.10,0.50,1278,107742576
104/02/04,2609766,39.50,39.50,39.15,39.20,0.10,821,102481324
104/02/05,2093796,39.50,39.50,39.05,39.05,-0.15,1047,82326297
104/02/06,4291422,39.20,39.75,38.90,38.90,-0.15,1669,168828758
104/02/09,3369624,39.20,39.55,39.00,39.30,0.40,1389,132531194
104/02/10,3025320,39.50,39.50,38.90,38.95,-0.35,1282,118543313
104/02/11,2366884,38.60,39.15,38.60,38.80,-0.15,954,92044272
104/02/12,1890530,38.70,39.00,38.70,38.90,0.10,879,73352754
104/02/13,4473305,39.05,39.60,38.95,39.50,0.60,2055,176092933
104/02/24,2347435,40.00,40.00,39.45,39.75,0.25,1287,93160141
104/02/25,1702741,39.80,39.85,39.65,39.80,0.05,1015,67692135
104/02/26,3078160,39.85,40.65,39.80,40.00,0.20,1564,123938522
104/03/02,1238308,40.00,40.35,39.80,39.90,-0.10,829,49534467
104/03/03,1415726,40.00,40.20,39.60,39.70,-0.20,723,56250617
104/03/04,1966086,39.65,39.65,39.25,39.30,-0.40,1023,77326721
104/03/05,1183574,39.60,39.60,39.25,39.30,,579,46541337
104/03/06,1042253,39.35,39.55,39.20,39.25,-0.05,633,40984127
104/03/09,648208,39.20,39.60,39.05,39.60,0.35,452,25582085
104/03/10,2921959,39.10,39.30,38.40,38.50,-1.10,1737,113105354
104/03/11,2162397,38.20,38.50,37.75,38.15,-0.35,1055,82416409
104/03/12,1808992,38.10,38.50,37.95,38.15,,1024,69253985
104/03/13,1261529,38.15,38.50,38.00,38.50,0.35,767,48336758
104/03/16,2294463,38.50,38.70,38.40,38.50,,1409,88402969
104/03/17,1437158,38.80,38.90,38.50,38.65,0.15,1048,55615184
104/03/18,1306710,38.65,38.75,38.40,38.65,,784,50509540
104/03/19,2312318,38.65,39.15,38.65,38.95,0.30,982,90007238
104/03/20,3923065,39.05,39.05,38.15,38.40,-0.55,2059,150933836
104/03/23,1693337,38.40,38.65,38.40,38.60,0.20,1028,65243400
104/03/24,1223935,38.60,38.70,38.45,38.65,0.05,920,47215691
104/03/25,1904187,38.85,38.85,38.40,38.55,-0.10,1062,73526117
104/03/26,2042515,38.45,39.05,38.40,39.00,0.45,1411,79272835
104/03/27,1560345,38.95,39.10,38.70,39.10,0.10,991,60837805
104/03/30,1623805,39.30,39.45,39.00,39.40,0.30,1069,63815486
104/03/31,2427923,39.60,39.60,38.80,38.80,-0.60,1373,94881323
104/04/01,2797314,38.80,38.80,38.20,38.20,-0.60,1672,107417910
104/04/02,2442152,38.05,38.85,38.05,38.70,0.50,987,93723277
104/04/07,1842895,38.70,38.80,38.20,38.40,-0.30,1083,70815092
104/04/08,2824542,38.60,38.80,37.85,37.90,-0.50,1549,107729252
104/04/09,1722238,37.90,38.20,37.35,37.50,-0.40,916,65055052
104/04/10,2337867,37.80,37.85,36.90,37.10,-0.40,1558,86847967
104/04/13,1032972,37.15,37.70,37.15,37.60,0.50,764,38772380
104/04/14,1743292,37.60,38.70,37.60,38.70,1.10,1108,66814039
104/04/15,1849727,38.90,38.90,38.30,38.40,-0.30,1220,71245577
104/04/16,2305921,38.80,38.80,38.40,38.65,0.25,1209,88888754
104/04/17,818857,38.65,38.70,38.40,38.70,0.05,506,31562832
104/04/20,1256853,38.65,38.65,38.35,38.45,-0.25,910,48341308
104/04/21,1495496,38.35,38.65,37.45,37.55,-0.90,918,56600031
104/04/22,1465548,37.50,37.70,37.30,37.45,-0.10,739,54949242
104/04/23,1151216,37.55,37.85,37.40,37.50,0.05,563,43232996
104/04/24,2177668,37.80,38.40,37.80,38.20,0.70,1476,83096213
104/04/27,1681017,38.20,38.50,38.10,38.20,,1077,64250785
104/04/28,690764,38.50,38.50,38.20,38.45,0.25,482,26450217
104/04/29,1176277,38.45,38.45,37.55,37.55,-0.90,612,44598592
104/04/30,1068444,37.90,38.15,37.30,37.30,-0.25,617,40281824
104/05/04,684691,37.40,37.65,37.40,37.50,0.20,406,25699206
104/05/05,571147,37.65,37.70,37.25,37.50,,423,21352909
104/05/06,1317572,37.10,37.45,37.10,37.45,-0.05,1009,49059665
104/05/07,933087,37.45,37.45,37.00,37.00,-0.45,651,34636593
104/05/08,1006497,37.05,37.25,37.00,37.25,0.25,602,37328534
104/05/11,1306661,37.25,37.60,36.50,36.65,-0.60,774,48048811
104/05/12,2523390,36.35,36.50,34.70,35.50,-1.15,1435,89509653
104/05/13,982415,35.50,35.90,35.45,35.80,0.30,695,35110469
104/05/14,1932195,35.80,36.20,35.05,35.15,-0.65,1243,68171645
104/05/15,995840,35.15,35.70,35.15,35.70,0.55,637,35302693
104/05/18,1381863,35.00,35.25,34.60,35.15,-0.55,799,48349821
104/05/19,1131275,35.15,35.80,35.15,35.80,0.65,850,40194067
104/05/20,2476788,35.60,35.60,34.80,35.30,-0.50,1532,86764653
104/05/21,960549,35.00,35.10,34.80,34.90,-0.40,793,33579865
