上海商銀,	5876
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/10/19,18388029,35.00,36.90,34.50,36.90,X,7498,659237999
107/10/22,16668944,37.10,38.10,37.05,37.35,0.45,6210,628047691
107/10/23,7449672,37.35,37.35,36.45,36.55,0.80,2838,273810828
107/10/24,10424948,36.35,36.95,35.80,36.80,0.25,3913,380913268
107/10/25,7244735,36.00,36.65,35.95,36.20,0.60,2437,263744329
107/10/26,8669634,36.40,36.50,35.90,36.45,0.25,3307,313871598
107/10/29,11409335,36.35,37.50,36.15,37.35,0.90,4569,423308447
107/10/30,21778064,37.30,38.60,37.15,38.40,1.05,7482,833202479
107/10/31,7279065,38.35,38.80,37.80,38.45,0.05,3094,280126270
107/11/01,3759562,38.40,38.50,38.20,38.50,0.05,2053,144489120
107/11/02,6175326,38.50,38.60,37.80,38.60,0.10,2921,236877641
107/11/08,4998164,39.95,40.00,39.45,39.90,0.05,2009,198874559
107/11/09,2960793,39.90,39.90,39.50,39.55,0.35,1266,117218815
107/11/12,11486439,39.55,40.50,39.50,40.50,0.95,3748,460747361
107/11/16,7937008,39.05,39.20,38.55,38.55,0.50,2801,308326240
107/11/19,4491098,38.60,39.30,38.60,39.20,0.65,2488,174972337
107/11/20,2171221,39.10,39.10,38.80,38.90,0.30,1446,84424980
107/11/21,2809334,38.60,39.10,38.60,38.90,,1222,109312774
107/11/22,2523854,38.90,38.95,38.65,38.90,,1382,97976856
107/11/23,3658618,38.90,39.45,38.75,39.20,0.30,1418,143136802
107/11/26,9948035,39.25,40.00,39.25,39.95,0.75,3461,396185425
107/11/27,9411281,39.80,39.80,39.05,39.60,0.35,3471,370710318
107/11/28,5436214,39.50,39.50,38.85,39.10,0.50,2686,212301309
107/11/29,7126428,39.10,39.15,38.65,38.80,0.30,4241,276453343
107/11/30,7826386,39.05,39.95,38.50,39.95,1.15,3105,307967886
107/12/03,5309078,39.60,39.85,39.25,39.80,0.15,2011,210090182
107/12/04,3595239,39.50,39.60,39.10,39.20,0.60,2218,141346083
107/12/05,3483051,38.90,39.35,38.70,39.05,0.15,1449,135714784
107/12/06,5518187,39.05,39.05,38.40,38.80,0.25,2411,213419068
107/12/07,1229715,39.00,39.00,38.70,38.80,,475,47670373
107/12/10,3986116,38.95,39.25,38.80,38.95,0.15,2228,155457202
107/12/11,4004267,39.05,39.50,38.90,39.25,0.30,1634,156775836
107/12/12,3041573,39.50,39.50,39.20,39.25,,1283,119672628
107/12/13,4706043,39.25,39.70,39.20,39.65,0.40,1809,185831795
107/12/14,2233000,39.60,39.65,39.45,39.50,0.15,1191,88319143
107/12/17,3307838,39.50,39.80,39.35,39.65,0.15,1182,130790909
107/12/18,6568535,39.50,39.95,39.50,39.80,0.15,2409,261442869
107/12/19,8692057,39.80,40.15,39.70,40.15,0.35,3290,347786080
107/12/20,7523948,40.10,40.45,40.00,40.25,0.10,3266,303330749
107/12/21,18336973,40.15,40.45,40.05,40.40,0.15,2312,740213402
107/12/22,3086914,39.95,40.05,39.60,39.70,0.70,1208,122776062
107/12/24,3904466,39.70,39.90,39.50,39.65,0.05,1906,154957988
107/12/25,3972614,39.40,39.80,39.30,39.75,0.10,2163,157472644
107/12/26,2616261,39.75,40.00,39.60,39.85,0.10,983,104401237
107/12/27,4725486,39.95,40.15,39.95,40.15,0.30,1985,189297190
107/12/28,5776526,40.15,40.25,40.05,40.20,0.05,1905,232106140
108/01/02,4123541,40.20,40.25,39.95,40.10,0.10,2306,165242580
108/01/03,6946965,40.00,40.10,39.70,40.10,,3238,277490886
108/01/04,4751992,40.00,40.10,39.80,40.05,0.05,2493,190269820
108/01/07,4398278,40.05,40.25,39.90,40.20,0.15,2156,176445514
108/01/08,2892896,40.20,40.25,39.95,39.95,0.25,1698,116011079
108/01/09,10997695,40.00,40.90,40.00,40.70,0.75,4343,446923453
108/01/10,10558619,40.70,41.20,40.50,41.20,0.50,3675,433616587
108/01/11,10889509,41.20,42.05,41.20,41.60,0.40,4017,454312106
108/01/14,12690868,41.80,42.75,41.80,42.50,0.90,4635,538735620
108/01/15,11877035,42.50,43.50,42.50,43.20,0.70,5010,513755089
108/01/16,10411988,43.50,43.50,42.20,42.60,0.60,4448,443935719
108/01/17,5575982,42.80,43.30,42.80,43.05,0.45,2919,240261796
108/01/18,5367939,43.05,43.15,42.90,43.15,0.10,2078,231077448
108/01/21,10039269,43.15,43.80,43.10,43.75,0.60,3282,437856116
108/01/22,5225013,43.75,43.90,43.50,43.85,0.10,1878,228628382
108/01/23,7020510,43.85,43.95,43.50,43.95,0.10,2071,307494032
108/01/28,9988408,43.65,43.65,42.85,43.30,0.40,4343,429509522
108/01/29,2482223,43.20,43.40,43.00,43.30,,1255,107344786
108/01/30,9132753,43.30,44.00,43.10,43.90,0.60,2852,399147470
108/02/11,8974179,43.90,43.95,43.25,43.80,0.10,3827,392354806
108/02/12,48710774,45.00,46.00,44.60,44.70,0.90,14822,2204370422
108/02/13,22017730,45.00,45.10,44.80,45.00,0.30,6684,989014450
108/02/14,18427234,45.10,45.40,44.95,45.05,0.05,5965,830907273
108/02/15,14392748,45.00,45.15,44.75,45.00,0.05,4394,647664910
108/02/18,19015525,45.20,45.60,45.10,45.20,0.20,5042,862770457
108/02/19,19644372,45.50,45.70,45.10,45.20,,4190,892596146
108/02/20,20962196,45.30,46.30,45.25,46.30,1.10,5352,961188988
108/02/21,27079766,46.40,47.65,46.25,47.65,1.35,7566,1271526343
108/02/22,18303673,47.70,47.85,46.30,47.20,0.45,6060,863581128
108/02/25,26766428,47.20,47.20,45.30,45.70,1.50,10122,1228600038
108/02/26,20809307,45.70,45.70,44.65,44.90,0.80,8171,936265628
108/02/27,219234759,45.10,47.90,44.90,47.90,3.00,18537,10399175394
108/03/04,53126050,46.30,47.00,45.45,46.10,1.80,16483,2445699169
108/03/05,14281669,46.00,46.10,45.50,46.10,,3855,655634016
108/03/06,6918881,45.80,46.10,45.55,46.00,0.10,3827,316976076
108/03/07,6484608,45.75,45.80,45.15,45.50,0.50,3018,294601892
108/03/08,9825467,45.30,45.35,44.85,44.95,0.55,2486,444199947
108/03/11,10143620,45.00,45.35,44.90,45.10,0.15,3270,457597014
108/03/12,5939010,45.45,45.50,45.05,45.50,0.40,2097,269297281
108/03/13,14796391,45.20,46.50,45.15,46.50,1.00,5062,681211141
108/03/14,10209531,46.50,47.10,46.45,47.10,0.60,4648,478304887
108/03/15,7025530,46.50,47.30,46.45,47.30,0.20,2152,330837043
108/03/18,4201173,47.00,47.40,46.80,47.40,0.10,1639,198089262
108/03/19,4380178,47.35,47.50,47.20,47.50,0.10,1802,207662895
108/03/20,6853281,47.40,47.90,47.30,47.90,0.40,2982,326877224
108/03/21,6083897,47.90,47.90,47.00,47.50,0.40,2700,289172177
108/03/22,3795414,47.65,47.80,47.30,47.55,0.05,1672,180056066
108/03/25,5435498,47.00,47.00,46.70,46.95,0.60,2428,254448756
108/03/26,8627882,47.30,47.95,47.05,47.90,0.95,3572,412057697
108/03/27,3328433,47.80,47.80,47.40,47.55,0.35,2135,158413990
108/03/28,7842426,47.50,48.00,47.35,48.00,0.45,2697,374702848
108/03/29,12015103,48.00,49.00,47.60,48.70,0.70,3628,582267665
