遠百            ,	2903
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1887368,28.00,28.10,27.55,27.90,-0.30,1308,52338979
104/01/06,2977131,27.55,27.55,27.10,27.15,-0.75,1632,81197306
104/01/07,1739210,27.15,27.45,27.10,27.25,0.10,1082,47477991
104/01/08,1518025,27.30,27.55,27.25,27.50,0.25,884,41549066
104/01/09,1443684,27.55,27.65,27.30,27.30,-0.20,1056,39566878
104/01/12,812806,27.30,27.40,27.20,27.20,-0.10,611,22157465
104/01/13,1409918,27.20,27.45,27.15,27.25,0.05,864,38502643
104/01/14,2144440,27.25,27.30,27.00,27.00,-0.25,1406,58118590
104/01/15,1521017,27.20,27.25,27.00,27.05,0.05,814,41252759
104/01/16,2464655,27.05,27.10,26.80,27.00,-0.05,1353,66397885
104/01/19,1082165,27.20,27.30,27.10,27.25,0.25,723,29462715
104/01/20,1078857,27.30,27.40,27.25,27.35,0.10,662,29489091
104/01/21,1509151,27.40,27.50,27.35,27.50,0.15,1004,41405614
104/01/22,2033449,27.55,27.70,27.40,27.70,0.20,1215,56134599
104/01/23,1896143,28.00,28.00,27.65,27.65,-0.05,1051,52634875
104/01/26,901702,27.55,27.75,27.35,27.50,-0.15,585,24762634
104/01/27,1538329,27.60,27.65,27.30,27.50,,770,42197604
104/01/28,914265,27.50,27.65,27.35,27.65,0.15,638,25179578
104/01/29,2753988,27.50,27.60,27.05,27.35,-0.30,1313,74843803
104/01/30,2117709,27.40,27.40,27.00,27.00,-0.35,1094,57373343
104/02/02,1074661,27.00,27.20,26.95,27.10,0.10,649,29130048
104/02/03,762804,27.10,27.35,27.10,27.10,,463,20752126
104/02/04,3095867,27.25,28.00,27.25,27.30,0.20,1604,85049204
104/02/05,1332973,27.50,27.50,27.25,27.50,0.20,966,36571099
104/02/06,752957,27.50,27.50,27.30,27.45,-0.05,514,20649357
104/02/09,609518,27.35,27.50,27.25,27.50,0.05,333,16695503
104/02/10,1521718,27.35,27.55,27.25,27.30,-0.20,1009,41635551
104/02/11,1459222,27.30,27.40,27.10,27.15,-0.15,656,39721660
104/02/12,999725,27.15,27.20,27.05,27.10,-0.05,678,27110485
104/02/13,1527056,27.20,27.40,27.10,27.10,,918,41487801
104/02/24,4993987,27.30,27.45,27.00,27.05,-0.05,2589,135349716
104/02/25,3026585,27.05,27.20,27.00,27.10,0.05,1891,82009385
104/02/26,2614565,27.15,27.20,26.95,27.00,-0.10,1495,70631148
104/03/02,3200527,27.15,27.15,26.75,26.80,-0.20,1753,86140325
104/03/03,2288155,26.80,26.90,26.70,26.75,-0.05,1138,61275174
104/03/04,1545018,26.70,26.85,26.70,26.75,,924,41313560
104/03/05,1590227,26.75,26.90,26.65,26.80,0.05,1020,42620365
104/03/06,1908195,26.95,26.95,26.80,26.90,0.10,803,51292202
104/03/09,1647262,26.90,26.90,26.70,26.75,-0.15,1126,44096844
104/03/10,1645431,26.80,26.90,26.80,26.80,0.05,1219,44157137
104/03/11,2229186,26.70,26.90,26.65,26.70,-0.10,1187,59533848
104/03/12,1293845,26.85,26.85,26.65,26.75,0.05,719,34611882
104/03/13,1968427,26.90,26.95,26.80,26.85,0.10,708,52899675
104/03/16,1908444,26.90,26.95,26.70,26.80,-0.05,831,51262711
104/03/17,1601105,26.95,27.10,26.75,26.80,,895,43007492
104/03/18,1294170,26.80,26.90,26.70,26.70,-0.10,938,34650716
104/03/19,1466845,26.80,26.90,26.70,26.75,0.05,740,39321885
104/03/20,4664175,26.75,26.75,26.50,26.55,-0.20,1894,123939907
104/03/23,2165871,26.55,26.60,26.45,26.55,,1048,57490244
104/03/24,2956056,26.60,26.60,26.35,26.50,-0.05,1546,78229571
104/03/25,1883614,26.50,26.50,26.40,26.50,,887,49861706
104/03/26,2081012,26.50,26.50,26.40,26.50,,944,55122109
104/03/27,1764409,26.50,26.55,26.45,26.45,-0.05,765,46720933
104/03/30,1024843,26.45,26.50,26.40,26.45,,634,27125289
104/03/31,1502265,26.50,26.50,26.40,26.45,,808,39736985
104/04/01,5919136,26.45,26.45,25.60,25.70,-0.75,3360,153130186
104/04/02,11569335,25.70,25.75,25.00,25.10,-0.60,5627,292468000
104/04/07,2798580,25.10,25.40,25.10,25.35,0.25,1288,70636180
104/04/08,3548519,25.50,25.50,25.20,25.25,-0.10,1716,89895015
104/04/09,3040393,25.25,25.50,25.25,25.40,0.15,1357,77284238
104/04/10,6767025,25.45,25.45,24.80,25.05,-0.35,2952,169931415
104/04/13,6703154,25.05,25.15,24.70,24.70,-0.35,3328,166237588
104/04/14,4791869,24.70,24.80,24.60,24.60,-0.10,2428,118225949
104/04/15,4302810,24.60,24.80,24.60,24.75,0.15,2532,106141481
104/04/16,3228141,24.75,24.90,24.75,24.80,0.05,1651,80074927
104/04/17,3686144,24.80,24.85,24.55,24.60,-0.20,2122,90726199
104/04/20,2362986,24.60,24.70,24.50,24.65,0.05,1341,58070838
104/04/21,3062640,24.65,24.85,24.65,24.80,0.15,1367,75802260
104/04/22,3399606,24.80,24.85,24.70,24.80,,1554,84252963
104/04/23,9687775,24.80,25.05,24.80,24.95,0.15,3115,241850525
104/04/24,7510178,24.95,25.00,24.70,24.85,-0.10,2808,186808044
104/04/27,7560368,24.85,25.10,24.70,24.95,0.10,3840,188604795
104/04/28,7663570,24.95,25.30,24.95,25.20,0.25,2620,192810242
104/04/29,5374255,25.20,25.20,24.85,24.85,-0.35,2107,134081599
104/04/30,6066731,24.90,24.90,24.65,24.65,-0.20,2556,150234077
104/05/04,3285250,24.70,24.85,24.60,24.65,,1589,81233290
104/05/05,3287216,24.75,24.85,24.50,24.80,0.15,1222,81301790
104/05/06,2323358,24.70,24.85,24.60,24.75,-0.05,1138,57475756
104/05/07,3831679,24.60,24.80,24.60,24.65,-0.10,1811,94579462
104/05/08,3061288,24.65,24.85,24.65,24.85,0.20,1458,75886295
104/05/11,4306909,24.90,24.90,24.60,24.60,-0.25,1717,106438438
104/05/12,3124924,24.60,24.80,24.60,24.75,0.15,1932,77346964
104/05/13,13043823,24.50,24.50,23.85,24.05,-0.70,5543,314170158
104/05/14,13888782,24.05,24.05,23.20,23.20,-0.85,5191,325490264
104/05/15,9403135,23.30,23.80,23.10,23.55,0.35,4992,221668132
104/05/18,9081212,22.80,23.40,22.60,23.00,-0.55,4298,209108526
104/05/19,5077112,23.25,23.30,23.00,23.05,0.05,2190,117323521
104/05/20,12287568,22.90,22.90,22.10,22.55,-0.50,4960,274954830
104/05/21,10300167,22.55,23.45,22.30,22.95,0.40,3898,236502181
104/05/22,6442402,23.05,23.30,22.90,23.10,0.15,2240,148743375
104/05/25,3460565,23.00,23.15,22.80,23.10,,1173,79751057
104/05/26,5029029,23.10,23.15,22.60,22.60,-0.50,2472,114345428
104/05/27,7379829,22.80,23.50,22.60,23.40,0.80,3246,170874953
104/05/28,5674679,23.40,23.50,23.20,23.40,,3289,132755515
104/05/29,78554078,23.40,23.40,22.60,22.60,-0.80,7954,1779998366
104/06/01,14051155,22.90,23.10,22.45,22.75,0.15,4486,319242918
104/06/02,5283288,22.60,22.80,22.50,22.60,-0.15,2347,119669598
104/06/03,5769741,22.60,22.85,22.55,22.70,0.10,2556,131012402
104/06/04,15642856,22.50,22.55,21.40,21.60,-1.10,5470,340585805
104/06/05,6125635,21.60,21.70,21.05,21.05,-0.55,2805,130331614
104/06/08,13314892,21.00,21.00,19.80,20.00,-1.05,4128,267207056
104/06/09,9009927,20.00,20.05,19.90,20.00,,2644,179921390
104/06/10,10074539,20.00,20.15,19.60,19.65,-0.35,3862,199444156
104/06/11,16927682,19.75,19.75,18.55,18.80,-0.85,6230,320492261
104/06/12,9159204,18.80,19.10,18.70,18.70,-0.10,3519,172694844
104/06/15,6739796,18.80,19.15,18.80,19.00,0.30,3122,128400336
104/06/16,6756486,19.00,19.15,18.85,18.85,-0.15,2654,128445897
104/06/17,5491409,18.90,19.00,18.70,18.75,-0.10,2482,103270172
104/06/18,7935746,19.00,19.40,18.85,19.40,0.65,2607,151621359
104/06/22,13295833,19.55,20.50,19.40,20.00,0.60,4852,267281378
104/06/23,5962123,20.20,20.65,20.00,20.05,0.05,2205,120976261
104/06/24,2867250,20.20,20.20,19.80,19.85,-0.20,1500,57101763
104/06/25,2315950,19.85,20.00,19.80,19.80,-0.05,1128,46083146
104/06/26,2485751,19.95,20.00,19.65,19.65,-0.15,1395,49202228
104/06/29,3077746,19.65,19.65,19.15,19.25,-0.40,1361,59492730
104/06/30,3201203,19.25,19.60,19.20,19.25,,1411,61928247
104/07/01,4248016,19.25,20.15,19.25,20.10,0.85,1968,84488256
104/07/02,3836208,20.30,20.30,19.75,19.80,-0.30,1771,76746240
104/07/03,2955853,19.80,19.80,19.30,19.65,-0.15,1420,57781953
104/07/06,3158285,19.50,19.65,19.30,19.30,-0.35,1422,61358623
104/07/07,3331527,19.40,19.60,19.20,19.30,,1472,64531312
104/07/08,6822267,19.30,19.30,18.75,18.75,-0.55,3034,128932717
104/07/09,6237012,18.55,19.25,18.50,19.00,0.25,3236,117424978
104/07/13,4857626,19.10,19.10,18.55,18.80,-0.20,1976,91366705
104/07/14,4562975,18.90,19.05,18.65,18.65,-0.15,2834,85842022
104/07/15,2534583,18.80,18.80,18.60,18.65,,1289,47314992
104/07/16,1627868,18.65,18.80,18.65,18.75,0.10,780,30434665
104/07/17,2103033,18.85,18.90,18.70,18.80,0.05,901,39598360
104/07/20,2845045,18.95,19.20,18.75,18.75,-0.05,1163,53813538
104/07/21,6239318,18.90,19.45,18.85,19.15,0.40,2406,119528522
104/07/22,2375300,19.15,19.25,19.00,19.05,-0.10,992,45347822
104/07/23,3772140,19.05,19.25,18.65,18.70,-0.35,1428,71028640
104/07/24,4170604,18.70,18.85,18.45,18.50,-0.20,1540,77503278
104/07/27,8988664,18.45,18.45,17.40,17.65,-0.85,2674,160915005
104/07/28,3126971,17.65,17.95,17.60,17.80,0.15,1532,55685621
104/07/29,2422485,17.95,18.00,17.80,17.80,,948,43341175
104/07/30,2234590,17.75,18.10,17.75,17.95,0.15,1025,40184720
104/07/31,1561432,17.95,18.00,17.80,17.85,-0.10,705,27897144
