虹光            ,	2380
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,143544,9.03,9.03,8.96,9.03,0.01,68,1291526
104/01/06,153400,9.02,9.02,8.92,8.93,-0.10,72,1374091
104/01/07,2280259,9.27,9.55,9.02,9.55,0.62,476,21561602
104/01/08,2391480,9.99,9.99,9.50,9.50,-0.05,627,23379054
104/01/09,1153046,9.50,9.85,9.42,9.64,0.14,375,11133291
104/01/12,1983776,9.64,10.20,9.64,9.88,0.24,583,19721424
104/01/13,774478,9.97,9.99,9.74,9.78,-0.10,284,7638005
104/01/14,553843,9.90,9.90,9.70,9.73,-0.05,210,5424845
104/01/15,434865,9.82,9.88,9.67,9.67,-0.06,148,4230037
104/01/16,508095,9.67,9.67,9.34,9.38,-0.29,222,4814670
104/01/19,406357,9.39,9.78,9.38,9.44,0.06,163,3882105
104/01/20,410344,9.46,9.60,9.42,9.42,-0.02,158,3884728
104/01/21,268179,9.53,9.55,9.43,9.50,0.08,112,2544956
104/01/22,400036,9.51,9.55,9.45,9.46,-0.04,120,3791657
104/01/23,301028,9.46,9.60,9.46,9.50,0.04,119,2865324
104/01/26,337013,9.46,9.59,9.46,9.48,-0.02,112,3205012
104/01/27,807463,9.50,9.63,9.42,9.53,0.05,236,7709767
104/01/28,330031,9.53,9.58,9.50,9.54,0.01,117,3148314
104/01/29,1764110,9.55,9.75,9.45,9.65,0.11,366,17017949
104/01/30,693246,9.66,9.66,9.35,9.35,-0.30,270,6556531
104/02/02,390269,9.36,9.43,9.25,9.25,-0.10,140,3638834
104/02/03,194809,9.26,9.33,9.26,9.26,0.01,90,1807128
104/02/04,253180,9.28,9.33,9.21,9.23,-0.03,86,2343682
104/02/05,216775,9.23,9.27,9.16,9.23,,67,1995570
104/02/06,300000,9.23,9.23,9.14,9.15,-0.08,135,2750700
104/02/09,283483,9.10,9.12,9.03,9.04,-0.11,93,2572897
