泰福-KY,	6541
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,767001,113.50,113.50,110.00,110.00,1.50,574,85842617
107/06/04,618388,111.00,113.00,109.50,109.50,0.50,465,68597484
107/06/05,280000,110.50,112.50,110.00,110.00,0.50,230,31102000
107/06/06,514278,110.00,110.00,105.50,105.50,4.50,428,55230107
107/06/07,570110,106.00,110.00,104.00,106.50,1.00,449,60842325
107/06/08,442300,107.00,107.00,103.00,103.00,3.50,371,46237350
107/06/11,218100,104.50,104.50,102.00,102.00,1.00,177,22538300
107/06/12,193318,103.00,104.00,102.50,103.50,1.50,164,19929594
107/06/13,328200,103.50,104.00,100.00,100.00,3.50,292,33344400
107/06/14,326000,101.50,101.50,98.30,99.00,1.00,281,32387300
107/06/15,257460,99.00,103.00,97.60,103.00,4.00,205,25827650
107/06/19,177000,102.00,103.50,99.50,99.50,3.50,157,17797900
107/06/20,145120,99.50,101.50,99.50,99.60,0.10,122,14558580
107/06/21,381300,100.50,107.00,100.00,105.50,5.90,311,39842100
107/06/22,223100,104.50,106.50,103.00,104.50,1.00,180,23341500
107/06/25,311100,103.50,105.50,99.60,99.80,4.70,212,31908050
107/06/26,259149,100.50,102.00,99.70,100.00,0.20,190,25992973
107/06/27,219250,101.00,101.00,98.00,99.10,0.90,176,21896950
107/06/28,146000,99.50,101.50,99.00,99.10,,134,14610000
107/06/29,210199,99.50,103.00,99.50,102.50,3.40,183,21303498
107/07/02,215205,102.00,103.00,100.00,100.00,2.50,190,21724875
107/07/03,125300,100.00,101.00,99.00,99.00,1.00,104,12478449
107/07/04,478300,98.00,98.50,93.00,93.00,6.00,368,45342700
107/07/05,210073,93.80,94.80,90.20,90.20,2.80,156,19382189
107/07/06,155500,90.50,92.00,90.20,91.00,0.80,126,14133249
107/07/09,337000,91.30,98.00,91.00,95.20,4.20,243,31907000
107/07/10,234400,94.00,94.70,92.20,92.60,X,163,21849960
107/07/11,57789,92.00,94.00,92.00,92.60,,59,5372761
107/07/12,74000,93.90,94.00,93.00,93.10,0.50,66,6927400
107/07/13,191293,94.00,97.50,93.50,95.70,2.60,132,18223628
107/07/16,113004,97.00,97.20,94.10,94.10,1.60,81,10787980
107/07/17,90100,94.10,94.10,92.50,93.00,1.10,78,8402170
107/07/18,161010,93.00,95.00,92.40,94.30,1.30,124,15065535
107/07/19,190000,93.70,93.90,91.30,91.50,2.80,142,17527400
107/07/20,114100,91.60,92.60,91.00,91.60,0.10,98,10434400
107/07/23,219171,92.70,92.70,88.90,89.00,2.60,181,19716329
107/07/24,469100,88.80,90.20,87.50,88.40,0.60,312,41334939
107/07/25,281171,88.40,89.80,87.80,88.70,0.30,208,24960904
107/07/26,1081800,92.80,96.00,90.40,91.00,2.30,828,100863400
107/07/27,527222,91.30,92.00,89.00,89.50,1.50,395,47376380
107/07/30,234050,88.20,89.00,88.10,88.60,0.90,187,20745500
107/07/31,154750,88.10,89.80,88.10,88.50,0.10,106,13719900
107/08/01,253000,89.00,90.50,88.50,88.50,,181,22571400
107/08/02,288384,89.00,89.20,87.80,87.80,0.70,189,25487960
107/08/03,175453,88.80,88.90,88.00,88.60,0.80,132,15508413
107/08/06,211682,88.80,88.80,87.90,88.00,0.60,169,18651942
107/08/07,170164,88.00,88.10,87.60,87.80,0.20,124,14958363
107/08/08,138500,88.00,88.50,87.50,87.50,0.30,119,12158900
107/08/09,161000,87.50,87.90,86.80,87.00,0.50,129,14034500
107/08/10,216000,87.00,87.30,86.10,86.20,0.80,164,18684800
107/08/13,555338,86.20,86.20,84.70,84.80,1.40,369,47370668
107/08/14,116204,85.00,85.80,84.80,85.00,0.20,85,9890658
107/08/15,401001,86.40,86.40,84.90,84.90,0.10,307,34246685
107/08/16,342050,85.50,85.50,83.00,84.40,0.50,269,28830395
107/08/17,420111,84.40,86.80,84.40,85.10,0.70,319,35982246
107/08/20,198000,85.10,85.30,84.00,84.50,0.60,137,16767100
107/08/21,336157,85.10,85.60,84.90,85.00,0.50,215,28625107
107/08/22,161100,85.00,85.50,84.90,85.00,,133,13706050
107/08/23,165363,85.00,85.40,84.50,84.60,0.40,137,14026955
107/08/24,1006700,88.00,88.70,85.60,85.90,1.30,767,87798357
107/08/27,412400,85.90,85.90,84.20,84.70,1.20,305,34968100
107/08/28,288200,84.70,85.20,84.30,84.40,0.30,224,24410800
107/08/29,501100,84.50,84.50,82.70,82.70,1.70,361,41725270
107/08/30,179831,83.50,85.00,83.10,84.50,1.80,156,15133118
107/08/31,99100,84.50,84.60,83.80,84.00,0.50,75,8331540
107/09/03,122700,84.60,84.60,82.80,83.00,1.00,107,10240900
107/09/04,189001,83.30,83.90,81.70,82.10,0.90,159,15592083
107/09/05,2624476,77.00,81.80,77.00,81.00,1.10,1336,208195732
107/09/06,597033,80.50,81.00,78.50,79.10,1.90,441,47455873
107/09/07,593402,78.50,79.40,77.20,77.40,1.70,414,46419979
107/09/10,767209,77.10,77.10,72.90,73.50,3.90,557,57240479
107/09/11,378536,75.00,77.20,74.70,75.80,2.30,299,28726754
107/09/12,209517,76.50,77.30,75.60,76.30,0.50,176,16043143
107/09/13,576016,76.30,81.50,76.30,79.50,3.20,467,45749640
107/09/14,308375,80.10,80.10,78.10,78.30,1.20,209,24273025
107/09/17,166000,78.30,79.20,77.30,77.40,0.90,114,12943000
107/09/18,115000,77.40,77.70,76.10,76.30,1.10,92,8844000
107/09/19,123540,76.60,77.30,76.00,76.30,,111,9445780
107/09/20,255460,77.30,78.20,76.30,76.90,0.60,207,19791620
107/09/21,190400,76.90,77.20,76.10,76.10,0.80,134,14579460
107/09/25,208121,76.30,76.30,74.60,74.80,1.30,155,15608362
107/09/26,112101,74.80,75.80,74.80,75.30,0.50,90,8440564
107/09/27,320249,75.30,76.20,75.30,76.00,0.70,283,24309324
107/09/28,416318,78.00,78.10,75.40,78.00,2.00,311,32081589
