精誠            ,	6214
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,3714102,61.50,63.00,61.20,61.90,1.10,2518,231182824
104/01/06,3557116,61.20,62.50,60.20,61.20,-0.70,2479,218995148
104/01/07,2223599,61.30,61.50,59.80,60.60,-0.60,1391,134982354
104/01/08,1774247,61.30,61.70,60.60,60.80,0.20,1142,108198485
104/01/09,3040966,61.90,62.30,60.70,60.80,,1910,186462224
104/01/12,1557289,61.30,61.40,60.40,60.50,-0.30,952,94718679
104/01/13,2949957,60.80,61.00,59.30,59.40,-1.10,1853,175921636
104/01/14,2396597,59.40,60.50,59.40,59.80,0.40,1530,143919794
104/01/15,1033067,59.90,60.20,59.30,59.50,-0.30,706,61647680
104/01/16,2029375,59.50,60.00,57.60,57.80,-1.70,1498,118813550
104/01/19,2136892,58.80,60.00,58.50,58.70,0.90,1326,126665845
104/01/20,1411722,58.80,59.70,58.80,59.10,0.40,972,83793866
104/01/21,949957,59.20,59.60,58.60,58.60,-0.50,608,55929869
104/01/22,850502,59.00,59.50,58.90,59.10,0.50,633,50283462
104/01/23,3491337,60.00,60.80,59.70,60.20,1.10,2152,210286374
104/01/26,1521765,60.30,60.50,59.50,59.50,-0.70,1056,91173557
104/01/27,2058356,59.60,59.90,58.30,58.50,-1.00,1387,121065019
104/01/28,1582595,58.50,59.00,57.80,59.00,0.50,921,92183905
104/01/29,2102612,59.00,59.40,58.20,58.30,-0.70,987,123648296
104/01/30,864416,58.50,58.80,58.00,58.00,-0.30,523,50355097
104/02/02,1021107,58.00,58.10,57.00,57.10,-0.90,726,58511459
104/02/03,1284897,57.60,57.80,57.00,57.00,-0.10,937,73618365
104/02/04,998027,57.30,57.70,57.00,57.00,,776,57114128
104/02/05,1503922,57.40,58.50,57.10,58.20,1.20,1069,87237176
104/02/06,681012,58.50,58.60,57.50,57.60,-0.60,505,39363879
104/02/09,564911,57.60,58.10,57.20,57.30,-0.30,386,32564904
104/02/10,2183187,56.80,56.80,55.20,55.30,-2.00,1495,121418030
104/02/11,1990578,55.00,55.70,54.00,54.30,-1.00,1268,108733312
104/02/12,574169,54.30,54.70,54.10,54.70,0.40,437,31280386
104/02/13,760803,54.70,55.00,54.30,54.50,-0.20,496,41540936
104/02/24,800138,55.50,55.70,55.00,55.00,0.50,598,44282435
104/02/25,781729,55.10,55.70,54.80,55.40,0.40,554,43233362
104/02/26,1553064,55.70,56.80,55.50,56.30,0.90,1048,87460984
104/03/02,644317,56.70,56.80,55.50,55.80,-0.50,509,36015776
104/03/03,500345,55.80,56.00,55.20,55.20,-0.60,413,27700540
104/03/04,662071,55.20,55.70,55.00,55.40,0.20,460,36626825
104/03/05,1064235,55.40,56.20,55.30,55.40,,699,59238609
104/03/06,1019938,55.40,56.50,55.30,55.70,0.30,657,57155657
104/03/09,412935,55.70,55.80,55.20,55.40,-0.30,331,22911590
104/03/10,1885863,54.90,54.90,53.80,54.00,-1.40,1205,102205202
