聯鈞            ,	3450
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1202222,106.50,109.00,106.50,107.00,0.50,724,129263363
104/01/06,1152502,105.00,107.00,105.00,105.00,-2.00,766,121816212
104/01/07,1097210,105.50,107.50,105.00,106.50,1.50,739,116947760
104/01/08,1832514,107.00,107.00,104.00,104.50,-2.00,1092,192696725
104/01/09,1937216,105.50,105.50,101.50,103.00,-1.50,1286,199248853
104/01/12,736269,102.50,104.50,102.50,102.50,-0.50,487,75898207
104/01/13,1472720,102.00,106.00,102.00,104.50,2.00,980,153906880
104/01/14,852511,105.00,105.50,103.00,103.50,-1.00,598,88915884
104/01/15,857304,103.50,104.00,102.00,102.00,-1.50,634,88104961
104/01/16,1314470,100.50,104.00,100.50,102.00,,935,134788410
104/01/19,1232293,103.00,104.00,100.50,100.50,-1.50,715,125573233
104/01/20,1186226,102.00,103.50,100.50,103.00,2.50,871,120861662
104/01/21,1426676,103.50,106.00,102.50,104.00,1.00,977,149014963
104/01/22,925426,105.00,105.50,103.50,104.00,,615,96442088
104/01/23,1332782,105.00,105.50,103.00,103.50,-0.50,868,139162434
104/01/26,446125,103.50,105.00,103.00,103.50,,322,46347375
104/01/27,1158650,104.50,105.00,101.50,103.00,-0.50,753,119608950
104/01/28,761417,103.00,103.00,101.50,102.50,-0.50,436,77858740
104/01/29,665443,102.00,103.00,101.50,103.00,0.50,508,68110906
104/01/30,411440,103.50,103.50,102.00,102.00,-1.00,253,42279380
104/02/02,556020,102.50,102.50,101.00,101.50,-0.50,459,56475547
104/02/03,412130,102.50,103.00,102.00,102.00,0.50,324,42255953
104/02/04,3690736,103.00,108.50,103.00,108.00,6.00,2485,391475116
104/02/05,2009023,108.00,108.50,106.50,107.50,-0.50,1342,216105507
104/02/06,1073050,108.00,108.00,105.50,106.00,-1.50,757,114232321
104/02/09,1140056,106.00,106.00,103.50,103.50,-2.50,777,119077380
104/02/10,672299,103.50,104.50,103.00,103.50,,472,69694297
104/02/11,881069,104.50,104.50,102.00,102.00,-1.50,549,90679138
104/02/12,1136182,102.50,103.00,100.50,102.00,,887,115592835
104/02/13,1299905,103.00,103.00,101.00,102.50,0.50,832,132395215
104/02/24,1196621,104.00,104.00,101.50,101.50,-1.00,889,122627463
104/02/25,1249111,101.50,103.50,101.50,103.50,2.00,940,127909484
104/02/26,1136244,104.50,104.50,103.00,103.50,,676,117768750
104/03/02,9328757,105.00,110.50,105.00,109.00,5.50,3954,1016660120
104/03/03,2401900,109.50,110.00,107.50,108.50,-0.50,1403,260239700
104/03/04,5622562,108.00,113.00,108.00,110.50,2.00,3278,625567596
104/03/05,4786630,111.50,115.00,110.50,113.00,2.50,2793,541097371
104/03/06,6684770,113.00,119.50,112.50,118.50,5.50,3920,781281237
104/03/09,3989802,118.50,121.50,117.00,118.50,,2466,476039136
104/03/10,2654405,119.00,119.50,115.00,117.50,-1.00,1720,310368385
