福興            ,	9924
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,200120,30.40,30.60,30.15,30.60,0.30,140,6097864
104/01/06,511136,30.50,31.70,30.40,31.10,0.50,284,15868816
104/01/07,292187,31.30,31.40,31.00,31.25,0.15,146,9125891
104/01/08,991206,31.30,32.00,31.30,31.80,0.55,462,31526519
104/01/09,1396873,31.90,33.15,31.90,32.70,0.90,824,45584695
104/01/12,612400,32.70,33.10,32.00,32.40,-0.30,400,19929559
104/01/13,672413,32.75,32.80,32.05,32.45,0.05,481,21751279
104/01/14,630095,32.75,33.10,32.55,32.55,0.10,391,20666187
104/01/15,962944,32.50,33.30,32.40,32.80,0.25,510,31763520
104/01/16,673158,32.70,33.10,32.00,32.00,-0.80,435,21915731
104/01/19,402294,32.30,32.85,32.25,32.30,0.30,237,13041451
104/01/20,137600,32.30,32.70,32.30,32.65,0.35,80,4471659
104/01/21,1175600,32.90,33.25,32.60,33.10,0.45,528,38875940
104/01/22,3691895,33.35,35.40,33.35,35.05,1.95,1669,128258737
104/01/23,1278814,35.50,35.80,34.45,34.70,-0.35,690,44755091
104/01/26,1004762,35.20,35.50,34.80,34.80,0.10,640,35359212
104/01/27,2873748,35.00,36.80,34.85,36.20,1.40,1407,103482278
104/01/28,1051385,36.20,36.65,35.60,36.15,-0.05,573,37965420
104/01/29,1018959,36.15,36.15,34.85,35.35,-0.80,504,35998952
104/01/30,788720,35.25,35.45,34.85,35.10,-0.25,380,27686275
104/02/02,1108016,34.80,35.20,33.90,34.90,-0.20,602,38299154
104/02/03,987442,34.85,35.45,34.80,35.00,0.10,489,34598831
104/02/04,622000,35.30,35.40,34.40,34.50,-0.50,371,21750550
104/02/05,491725,34.10,34.45,34.05,34.10,-0.40,218,16825058
104/02/06,305250,34.10,34.55,34.10,34.20,0.10,180,10476425
104/02/09,310320,34.40,34.45,33.50,34.00,-0.20,189,10527931
104/02/10,197385,34.00,34.30,33.80,34.15,0.15,164,6716751
104/02/11,327181,34.60,35.00,34.30,34.60,0.45,204,11325210
104/02/12,235279,34.50,34.70,34.25,34.60,,156,8107553
104/02/13,267300,34.65,34.90,33.60,33.60,-1.00,160,9132490
104/02/24,773100,34.80,35.50,34.40,35.10,1.50,487,27127240
104/02/25,4068380,35.50,37.55,35.50,37.55,2.45,1095,151765153
104/02/26,4916451,37.80,39.05,37.65,38.50,0.95,2153,188534883
104/03/02,1706570,38.50,38.60,37.70,38.30,-0.20,786,65043870
104/03/03,3717078,39.00,40.95,38.80,40.05,1.75,1822,150132495
104/03/04,2325799,40.00,40.90,39.55,39.75,-0.30,1132,93469904
104/03/05,991868,39.75,40.00,39.45,39.45,-0.30,608,39421660
104/03/06,1433001,39.65,39.95,39.00,39.45,,762,56636486
104/03/09,1051424,39.30,39.30,38.70,39.05,-0.40,489,41005143
104/03/10,1849190,39.10,39.20,37.40,38.00,-1.05,926,70776985
104/03/11,2170899,38.00,40.40,38.00,39.10,1.10,1208,85587718
104/03/12,1175231,39.80,39.80,38.80,39.10,,737,46095209
104/03/13,1411242,39.50,40.30,39.20,39.20,0.10,802,56045548
104/03/16,429136,39.40,39.60,39.00,39.00,-0.20,282,16807324
104/03/17,612238,39.60,39.60,38.35,38.40,-0.60,408,23849711
104/03/18,447161,38.50,39.40,38.50,38.70,0.30,289,17394847
104/03/19,3160275,39.20,41.40,39.15,41.40,2.70,1588,128094980
104/03/20,5186611,41.50,43.65,40.20,40.75,-0.65,2653,218862531
104/03/23,1472059,40.90,40.90,39.20,39.25,-1.50,876,58559404
104/03/24,673640,39.30,40.15,39.30,39.60,0.35,436,26734822
104/03/25,916070,39.60,39.95,38.20,38.45,-1.15,546,35390743
104/03/26,724020,38.45,40.00,37.60,39.70,1.25,509,28081701
104/03/27,683263,39.90,39.90,38.30,38.80,-0.90,506,26559577
104/03/30,566632,37.75,38.50,37.70,38.10,-0.70,368,21577027
104/03/31,596084,38.10,38.95,38.10,38.30,0.20,404,22881316
104/04/01,491620,38.30,39.35,38.20,38.70,0.40,345,19098610
104/04/02,1351490,38.70,39.20,37.50,37.90,-0.80,858,51437068
104/04/07,983526,37.80,38.25,35.95,38.15,0.25,633,36589088
104/04/08,520300,37.50,38.60,37.50,38.00,-0.15,351,19852880
104/04/09,635601,38.00,39.05,38.00,39.05,1.05,495,24410027
104/04/10,351120,39.00,39.05,38.35,38.50,-0.55,233,13565069
104/04/13,384799,38.90,39.10,38.55,38.95,0.45,239,14962568
104/04/14,321020,39.30,39.30,38.80,38.80,-0.15,179,12536732
104/04/15,428894,39.00,39.20,38.60,38.90,0.10,293,16641175
104/04/16,378752,38.80,39.30,38.60,38.60,-0.30,238,14733726
104/04/17,494109,38.60,38.60,37.50,38.00,-0.60,304,18802728
104/04/20,400317,38.00,38.40,37.40,37.80,-0.20,270,15120242
104/04/21,824786,38.00,38.00,36.00,36.00,-1.80,466,30217838
104/04/22,659042,36.00,37.50,35.10,36.75,0.75,412,23782804
104/04/23,469678,36.75,37.60,36.75,37.50,0.75,310,17536892
104/04/24,359464,37.60,37.75,36.85,37.45,-0.05,243,13423299
104/04/27,273000,37.45,37.90,37.45,37.60,0.15,190,10286900
104/04/28,240177,37.65,37.95,37.45,37.95,0.35,176,9045615
104/04/29,648013,38.00,39.00,38.00,38.75,0.80,452,24993048
104/04/30,558477,38.90,39.20,38.15,39.10,0.35,329,21671204
104/05/04,928683,39.30,39.95,39.30,39.95,0.85,515,36836065
104/05/05,455424,40.30,40.50,39.30,39.45,-0.50,291,18080902
104/05/06,278065,39.00,39.40,39.00,39.05,-0.40,213,10897861
104/05/07,332125,39.00,39.30,38.05,38.30,-0.75,240,12871085
104/05/08,281352,38.30,38.95,38.30,38.40,0.10,170,10857321
104/05/11,441693,38.55,39.00,37.20,37.40,-1.00,281,16845604
104/05/12,567219,37.40,37.40,36.20,37.20,-0.20,362,20875472
104/05/13,406010,37.20,38.80,37.20,38.80,1.60,277,15473441
104/05/14,1550339,41.50,41.50,39.50,40.30,1.50,943,62602623
104/05/15,868510,40.50,40.75,39.10,39.10,-1.20,568,34499440
104/05/18,441118,39.40,39.50,38.50,39.10,,278,17274892
104/05/19,718350,39.50,40.60,39.45,39.85,0.75,470,28750296
104/05/20,443650,40.20,40.20,39.35,39.80,-0.05,299,17602801
104/05/21,363020,39.80,39.80,38.60,39.35,-0.45,241,14217994
104/05/22,903455,39.50,40.60,39.35,40.55,1.20,569,36342247
104/05/25,543183,40.70,40.70,39.70,39.90,-0.65,336,21811738
104/05/26,670773,40.40,40.65,39.65,40.05,0.15,405,27028770
104/05/27,3632265,40.05,42.85,40.00,42.85,2.80,1825,153383000
104/05/28,3225487,43.90,44.30,42.30,42.30,-0.55,1943,139424589
104/05/29,2341828,42.45,43.90,41.80,42.55,0.25,1414,101180854
104/06/01,2402831,42.80,45.65,41.40,45.10,2.55,1407,105402956
104/06/02,2274255,45.20,45.45,44.00,44.20,-0.90,1275,101461043
104/06/03,2171721,44.30,46.00,43.80,43.80,-0.40,1369,97555115
104/06/04,2180727,44.00,44.20,40.15,40.75,-3.05,1276,91699981
104/06/05,1171705,40.15,41.45,39.40,41.20,0.45,736,47528643
104/06/08,992100,41.40,42.80,40.60,41.70,0.50,682,41460570
104/06/09,783259,41.70,42.25,40.00,40.50,-1.20,514,32021716
104/06/10,489000,41.20,41.45,40.65,40.80,0.30,300,20048350
104/06/11,403383,41.00,41.40,40.30,40.65,-0.15,305,16442075
104/06/12,314200,40.55,41.20,40.45,40.70,0.05,213,12838980
104/06/15,320387,40.90,41.10,40.30,40.30,-0.40,214,13051611
104/06/16,755623,40.30,40.50,38.60,38.90,-1.40,466,29654956
104/06/17,663576,38.90,39.20,38.20,38.25,-0.65,443,25596437
104/06/18,533104,38.25,39.20,38.25,39.10,0.85,355,20706846
104/06/22,901351,39.30,40.10,39.30,39.80,0.70,552,35964323
104/06/23,802843,40.50,40.80,39.80,39.90,0.10,503,32335790
104/06/24,372563,39.90,40.40,39.90,40.15,0.25,253,14967481
104/06/25,374467,40.15,40.40,39.85,39.85,-0.30,241,15027899
104/06/26,1052130,39.80,40.10,38.50,39.00,-0.85,671,40982030
104/06/29,766406,38.50,38.50,37.25,37.50,-1.50,523,29064011
104/06/30,423500,37.40,38.40,37.30,38.20,0.70,333,16096323
104/07/01,389150,38.50,39.40,38.50,39.15,0.95,290,15177612
104/07/02,392003,38.90,39.00,38.10,38.80,-0.35,300,15087566
104/07/03,389351,38.80,38.80,37.80,37.85,-0.95,275,14836327
104/07/06,795211,37.80,38.00,36.50,36.90,-0.95,560,29542212
104/07/07,561109,37.10,37.70,36.50,37.00,0.10,379,20757654
104/07/08,978353,36.50,36.90,34.40,35.80,-1.20,701,34890163
104/07/09,671410,35.00,35.80,33.95,35.55,-0.25,427,23470442
104/07/13,1175001,37.20,38.80,36.95,38.45,2.90,819,44914038
104/07/14,962000,39.00,39.20,38.25,38.30,-0.15,662,37303350
104/07/15,1018031,38.70,38.90,37.85,37.95,-0.35,571,38889046
104/07/16,1282598,36.20,36.35,35.95,35.95,X,667,46356734
104/07/17,1130741,36.35,38.15,36.25,37.60,1.65,713,42221757
104/07/20,1889779,38.40,39.80,38.00,39.05,1.45,1139,73530607
104/07/21,987800,39.05,39.30,38.30,38.45,-0.60,625,38259789
104/07/22,1080892,38.45,39.20,37.95,38.75,0.30,690,41751662
104/07/23,1703652,38.90,38.90,36.35,37.30,-1.45,1158,63719268
