達興            ,	5234
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,391304,45.70,47.80,45.70,47.30,1.60,290,18378688
104/01/06,235204,47.10,47.40,46.35,46.65,-0.65,179,10996015
104/01/07,221847,46.65,46.70,45.30,46.00,-0.65,171,10192404
104/01/08,273200,46.70,47.95,46.45,46.60,0.60,212,12857300
104/01/09,353706,47.20,47.60,46.70,47.00,0.40,177,16684201
104/01/12,73204,47.00,47.00,46.40,46.50,-0.50,60,3412094
104/01/13,80546,46.30,47.50,46.30,46.55,0.05,52,3776679
104/01/14,118322,45.20,47.00,45.20,45.85,-0.70,76,5435782
104/01/15,87487,45.85,46.90,45.75,45.75,-0.10,66,4021827
104/01/16,165700,45.80,45.85,44.50,45.00,-0.75,127,7448489
104/01/19,46238,45.10,46.00,45.10,45.10,0.10,32,2102510
104/01/20,73150,45.50,46.10,45.30,45.30,0.20,48,3338100
104/01/21,82742,45.25,45.60,44.80,45.20,-0.10,52,3733440
104/01/22,75787,45.30,45.50,45.00,45.15,-0.05,66,3432491
104/01/23,185050,45.50,45.55,44.50,44.60,-0.55,106,8331064
104/01/26,71080,44.80,45.40,44.80,44.80,0.20,45,3195884
104/01/27,74472,45.00,45.05,44.55,44.55,-0.25,51,3330350
104/01/28,137400,44.55,45.00,43.90,44.85,0.30,105,6089448
104/01/29,17247,44.70,44.75,44.40,44.45,-0.40,22,767402
104/01/30,36250,44.45,44.60,44.10,44.15,-0.30,32,1610586
104/02/02,40300,44.15,44.20,43.60,43.60,-0.55,35,1761790
104/02/03,62250,43.65,44.15,43.65,43.90,0.30,43,2737636
104/02/04,22200,43.70,44.05,43.60,43.90,,18,973000
104/02/05,29000,43.70,44.00,43.50,44.00,0.10,15,1265200
104/02/06,368600,44.60,46.95,44.60,46.00,2.00,269,16913220
104/02/09,453378,46.50,47.80,46.50,46.85,0.85,310,21385564
104/02/10,243210,47.50,47.50,46.80,46.90,0.05,146,11475136
104/02/11,56350,46.90,46.90,46.35,46.60,-0.30,50,2625355
104/02/12,107000,46.65,47.20,46.65,46.90,0.30,76,5031350
104/02/13,103500,46.90,47.20,46.60,47.15,0.25,70,4871299
104/02/24,170741,47.30,47.60,46.10,46.35,-0.80,99,8050744
104/02/25,153000,47.00,47.50,46.35,46.35,,91,7121000
104/02/26,88727,47.00,47.00,46.00,46.00,-0.35,70,4100042
104/03/02,259075,45.50,45.50,44.50,44.55,-1.45,189,11632968
104/03/03,139100,44.55,44.60,43.90,44.05,-0.50,103,6143009
104/03/04,110060,44.20,44.65,44.20,44.20,0.15,80,4888851
104/03/05,214795,45.00,45.10,44.25,44.40,0.20,146,9611855
104/03/06,241250,44.80,44.90,44.30,44.80,0.40,157,10735200
104/03/09,205950,44.80,45.20,44.45,44.80,,125,9217065
104/03/10,147301,44.70,44.85,44.35,44.35,-0.45,98,6556874
104/03/11,90095,44.25,44.80,44.20,44.60,0.25,85,4012562
104/03/12,203550,44.60,46.30,44.60,45.40,0.80,167,9232670
104/03/13,177110,45.40,46.10,45.10,45.10,-0.30,134,8053761
104/03/16,196200,45.30,46.00,45.00,45.90,0.80,169,8914720
104/03/17,364050,46.10,46.20,44.90,44.90,-1.00,196,16549541
104/03/18,344910,44.90,46.00,44.80,45.90,1.00,220,15646087
104/03/19,981340,46.30,48.70,46.20,48.00,2.10,555,46724300
104/03/20,299530,48.30,48.50,47.30,47.30,-0.70,215,14317813
104/03/23,197410,47.30,47.50,46.55,47.00,-0.30,157,9280557
104/03/24,179050,47.25,47.40,46.70,47.10,0.10,123,8444647
104/03/25,84100,47.10,47.10,46.60,46.70,-0.40,60,3931855
104/03/26,211660,46.45,47.20,45.80,45.90,-0.80,183,9779039
104/03/27,168500,45.80,46.65,45.80,46.20,0.30,151,7788200
104/03/30,86151,46.85,46.85,45.60,45.60,-0.60,67,3949083
104/03/31,139500,45.70,46.30,45.50,45.60,,109,6388598
104/04/01,60050,45.55,45.75,45.45,45.60,,43,2739280
104/04/02,75400,45.90,46.15,45.85,46.00,0.40,53,3469029
104/04/07,211550,46.70,47.20,46.30,46.55,0.55,157,9917414
104/04/08,143283,46.55,46.55,45.50,45.60,-0.95,98,6586653
104/04/09,145200,46.20,46.20,45.30,45.35,-0.25,114,6618300
104/04/10,233722,45.80,45.80,44.45,44.65,-0.70,167,10497629
104/04/13,138500,44.80,45.05,44.60,44.95,0.30,88,6209900
104/04/14,121449,44.90,44.95,44.80,44.80,-0.15,66,5447455
104/04/15,326550,44.80,44.80,43.80,44.00,-0.80,226,14451155
104/04/16,271328,44.10,45.85,44.10,45.15,1.15,190,12272525
104/04/17,104000,45.15,45.35,44.60,44.80,-0.35,79,4663000
104/04/20,86064,44.80,45.25,44.45,44.45,-0.35,57,3839394
104/04/21,362600,44.95,44.95,42.00,42.50,-1.95,264,15633098
104/04/22,215100,43.50,43.50,42.35,42.50,,157,9173050
104/04/23,126600,42.50,43.50,42.50,43.35,0.85,116,5447509
104/04/24,172250,44.00,44.50,43.55,44.00,0.65,132,7587650
104/04/27,62160,44.00,44.00,43.40,43.80,-0.20,60,2716163
104/04/28,81200,43.40,43.80,43.40,43.70,-0.10,68,3542970
104/04/29,123000,43.55,43.70,43.00,43.20,-0.50,98,5345600
104/04/30,102300,43.50,43.50,43.20,43.50,0.30,71,4440074
104/05/04,24572,43.70,43.70,43.30,43.40,-0.10,23,1069147
104/05/05,110420,43.10,44.50,43.10,44.00,0.60,79,4819580
104/05/06,176650,43.95,44.65,43.80,44.45,0.45,116,7851590
104/05/07,174450,44.45,45.20,44.35,44.60,0.15,122,7798206
104/05/08,97050,44.55,44.55,43.30,43.60,-1.00,65,4243679
104/05/11,66300,43.20,43.70,42.70,42.70,-0.90,67,2860158
104/05/12,50501,42.70,43.00,42.60,42.80,0.10,46,2161916
104/05/13,86100,43.45,43.45,42.50,42.55,-0.25,58,3681180
104/05/14,51150,42.55,43.20,42.15,42.50,-0.05,45,2170131
104/05/15,177638,42.50,42.90,41.20,41.90,-0.60,73,7464630
104/05/18,176797,42.45,42.45,41.00,41.45,-0.45,80,7296883
104/05/19,67000,41.45,41.90,41.40,41.55,0.10,51,2784800
104/05/20,151200,41.60,41.60,41.00,41.05,-0.50,90,6214739
