台玻            ,	1802
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1259252,24.50,24.60,23.80,24.20,-0.50,683,30321106
104/01/06,1408209,23.50,23.60,23.20,23.20,-1.00,939,32920259
104/01/07,822152,23.15,23.25,23.05,23.05,-0.15,585,19016358
104/01/08,859541,23.35,23.75,23.15,23.70,0.65,473,20221619
104/01/09,384535,23.95,23.95,23.50,23.50,-0.20,194,9101388
104/01/12,706389,23.30,23.50,23.00,23.15,-0.35,335,16358982
104/01/13,772243,23.15,23.60,23.10,23.55,0.40,464,18072931
104/01/14,759216,23.55,23.60,23.20,23.25,-0.30,477,17709683
104/01/15,460901,23.25,23.35,23.10,23.15,-0.10,305,10694323
104/01/16,1234389,23.20,23.20,22.60,23.00,-0.15,865,28194424
104/01/19,491377,23.00,23.30,22.85,23.00,,352,11305979
104/01/20,479606,23.10,23.30,23.00,23.15,0.15,328,11109988
104/01/21,590186,23.25,23.45,23.20,23.40,0.25,526,13758921
104/01/22,749436,23.50,23.65,23.35,23.60,0.20,509,17638567
104/01/23,849007,23.65,23.70,23.40,23.70,0.10,446,20015656
104/01/26,487658,23.65,23.65,23.35,23.55,-0.15,255,11468290
104/01/27,1016227,23.60,23.65,23.10,23.25,-0.30,684,23632446
104/01/28,937405,23.00,23.50,23.00,23.50,0.25,557,21824900
104/01/29,802496,23.35,23.50,23.20,23.50,,393,18763100
104/01/30,973600,23.40,23.40,23.00,23.00,-0.50,591,22541200
104/02/02,418299,22.90,23.25,22.85,23.25,0.25,309,9669551
104/02/03,538001,23.25,23.45,23.05,23.35,0.10,429,12508217
104/02/04,683249,23.35,23.50,23.20,23.40,0.05,464,15936485
104/02/05,644744,23.40,23.40,23.15,23.40,,386,15031830
104/02/06,515133,23.20,23.35,23.10,23.35,-0.05,452,11964520
104/02/09,287723,23.40,23.40,23.05,23.20,-0.15,173,6651833
104/02/10,642094,23.20,23.40,23.10,23.30,0.10,388,14957771
104/02/11,485300,23.40,23.40,23.10,23.15,-0.15,329,11274450
104/02/12,868105,23.10,23.20,23.00,23.20,0.05,430,20042264
104/02/13,627249,23.20,23.35,23.10,23.35,0.15,347,14590723
104/02/24,649389,23.35,23.50,23.20,23.50,0.15,416,15191524
104/02/25,577701,23.55,23.65,23.35,23.45,-0.05,346,13555875
104/02/26,722491,23.40,23.50,23.20,23.30,-0.15,339,16862288
104/03/02,742076,23.30,23.35,23.10,23.15,-0.15,491,17203849
104/03/03,531141,23.15,23.20,23.00,23.15,,266,12248804
104/03/04,328209,23.05,23.20,23.00,23.05,-0.10,217,7570162
104/03/05,552571,23.00,23.10,22.85,22.85,-0.20,388,12664015
104/03/06,698742,22.85,23.05,22.80,23.00,0.15,255,16035423
104/03/09,506653,23.00,23.00,22.75,22.80,-0.20,330,11556484
104/03/10,921792,22.80,22.80,22.50,22.55,-0.25,625,20847303
104/03/11,1176864,22.35,22.50,22.25,22.25,-0.30,849,26244836
104/03/12,738814,22.25,22.45,22.20,22.40,0.15,578,16487453
104/03/13,567156,22.40,22.50,22.30,22.30,-0.10,476,12689600
104/03/16,1057973,22.30,22.35,22.00,22.05,-0.25,617,23422046
104/03/17,743394,22.20,22.65,22.20,22.30,0.25,500,16665591
104/03/18,1851260,22.30,22.95,22.25,22.90,0.60,1131,42025358
104/03/19,803334,22.90,23.00,22.80,22.90,,583,18415542
104/03/20,1270088,22.90,22.90,22.40,22.65,-0.25,480,28681678
