美律            ,	2439
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1851197,111.50,114.50,111.50,112.50,1.00,1326,209268160
104/01/06,2493670,111.00,112.50,109.50,111.50,-1.00,1623,276455702
104/01/07,3640835,112.00,115.00,111.50,111.50,,2388,411418185
104/01/08,3818667,112.50,114.00,111.50,112.00,0.50,2223,430124369
104/01/09,1428846,113.00,114.00,112.00,112.00,,942,160903829
104/01/12,1651230,112.00,113.00,110.00,110.50,-1.50,1085,183357030
104/01/13,1137848,110.50,112.50,110.50,111.00,0.50,718,126977628
104/01/14,1145494,111.00,112.50,111.00,111.50,0.50,816,127754334
104/01/15,5989819,111.50,115.00,111.00,112.50,1.00,3369,681871047
104/01/16,9650471,112.50,113.50,105.00,105.00,-7.50,5542,1029734955
104/01/19,12244295,105.50,106.00,97.70,98.00,-7.00,7483,1222463828
104/01/20,9134779,98.00,100.50,96.30,98.60,0.60,5987,901671108
104/01/21,6016245,99.10,101.50,99.10,99.30,0.70,3777,601210018
104/01/22,12871644,99.80,105.50,98.30,104.00,4.70,7187,1319708376
104/01/23,8153431,107.00,108.50,106.50,107.50,3.50,4810,877348828
104/01/26,3184570,107.50,108.50,105.50,107.00,-0.50,1944,340784272
104/01/27,2953534,107.50,109.00,106.50,108.00,1.00,1876,318021897
104/01/28,2273144,107.00,108.50,106.50,107.00,-1.00,1482,244615408
104/01/29,2978222,107.00,108.50,106.00,107.00,,1932,319992254
104/01/30,4800945,108.00,109.00,105.00,105.50,-1.50,2830,515033115
104/02/02,2529640,106.50,107.00,104.00,105.00,-0.50,1371,266559700
104/02/03,1607464,105.00,106.00,104.00,105.50,0.50,882,168846220
104/02/04,3728835,106.50,108.50,105.00,107.00,1.50,2144,398880923
104/02/05,1503856,107.00,107.00,105.50,106.00,-1.00,1010,159753301
104/02/06,4956381,107.00,109.00,106.00,106.00,,2454,533349073
104/02/09,2246088,107.50,108.50,106.00,106.50,0.50,1443,240521370
104/02/10,1803496,106.50,107.00,104.00,105.00,-1.50,1156,189967330
104/02/11,3028794,105.50,107.00,104.00,104.00,-1.00,1746,318456076
104/02/12,1488120,105.50,106.00,104.50,105.00,1.00,927,156500540
104/02/13,1611187,105.00,106.00,103.00,103.50,-1.50,1152,167517853
104/02/24,1444476,105.00,105.00,103.50,105.00,1.50,990,151122980
104/02/25,1037960,105.50,106.00,104.50,105.00,,820,108908800
104/02/26,5148177,104.00,108.50,103.50,108.00,3.00,3322,549736616
104/03/02,2869045,108.50,108.50,105.50,106.00,-2.00,1986,306245040
104/03/03,2326201,106.00,107.00,105.00,106.00,,1411,247270007
104/03/04,2868198,106.50,108.00,105.50,106.00,,1960,305970886
104/03/05,2241489,106.00,107.00,105.00,107.00,1.00,1482,237633323
104/03/06,2678333,107.50,107.50,105.00,105.50,-1.50,1834,283325298
104/03/09,3286050,105.00,105.50,103.50,103.50,-2.00,2274,341915700
104/03/10,2807470,104.00,105.50,103.00,105.00,1.50,1947,292108850
104/03/11,2187405,103.50,104.50,103.00,103.00,-2.00,1451,226194715
104/03/12,2086681,103.00,104.00,102.00,102.50,-0.50,1521,214506143
104/03/13,2901251,103.50,105.50,103.00,103.00,0.50,2057,302478104
104/03/16,1343132,103.50,104.00,102.50,102.50,-0.50,981,138262096
