愛山林          ,	2540
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,52900,39.15,39.15,37.55,37.85,-2.15,56,1997900
104/01/06,35115,37.70,37.80,36.70,36.85,-1.00,35,1304336
104/01/07,31127,36.60,36.85,35.05,35.55,-1.30,30,1128295
104/01/08,29079,35.60,37.70,35.60,37.70,2.15,29,1091276
104/01/09,21196,39.50,39.50,37.35,37.35,-0.35,21,811860
104/01/12,6000,37.35,37.35,37.00,37.00,-0.35,5,223400
104/01/13,15090,37.00,37.55,36.80,36.80,-0.20,11,556707
104/01/14,26205,36.60,37.35,36.40,37.35,0.55,18,969735
104/01/15,5080,37.35,37.35,36.75,37.30,-0.05,6,188956
104/01/16,12033,37.00,37.00,36.60,36.65,-0.65,14,441338
104/01/19,6049,37.40,37.40,36.30,36.30,-0.35,7,222391
104/01/20,32000,36.30,37.30,36.15,36.15,-0.15,26,1168000
104/01/21,13481,36.15,36.85,36.00,36.85,0.70,15,492895
104/01/22,6098,36.25,36.70,36.25,36.50,-0.35,7,222853
104/01/23,7315,37.00,37.00,36.95,37.00,0.50,12,270605
104/01/26,7150,36.60,36.60,36.00,36.00,-1.00,10,257925
104/01/27,21011,36.90,36.90,36.00,36.00,,14,757636
104/01/28,18384,36.00,36.00,35.60,35.95,-0.05,16,659151
104/01/29,7019,35.90,35.90,35.10,35.85,-0.10,8,249169
104/01/30,4000,36.50,36.50,36.40,36.40,0.55,4,145800
104/02/02,9127,36.35,36.35,36.30,36.35,-0.05,12,331608
104/02/03,34107,36.15,36.70,36.15,36.70,0.35,14,1250102
104/02/04,2099,36.50,36.70,36.50,36.70,,4,76723
104/02/05,7031,36.70,36.95,36.30,36.30,-0.40,7,257473
104/02/06,1988,36.80,36.80,36.80,36.80,0.50,3,71182
104/02/09,1098,36.70,36.70,36.70,36.70,-0.10,2,40193
104/02/10,14448,37.00,37.00,36.80,37.00,0.30,14,533205
104/02/11,6001,37.00,37.00,36.00,36.05,-0.95,7,219185
104/02/12,6236,35.30,36.20,35.15,36.20,0.15,9,222765
104/02/13,2008,36.60,36.60,36.25,36.25,0.05,4,73131
104/02/24,1600,36.00,36.00,36.00,36.00,-0.25,5,56818
104/02/25,4042,36.00,36.00,36.00,36.00,,6,145466
104/02/26,1267,36.90,36.90,36.90,36.90,0.90,3,46471
104/03/02,123,--,--,--,--,,2,4273
104/03/03,7039,36.30,36.30,35.65,35.90,X,8,252557
104/03/04,5099,35.80,35.85,35.70,35.85,-0.05,7,182215
104/03/05,1007,35.10,35.10,35.10,35.10,-0.75,2,35339
104/03/06,4098,35.20,35.20,35.10,35.10,,6,144036
104/03/09,16803,35.00,35.35,35.00,35.00,-0.10,14,587932
104/03/10,9144,35.00,35.00,34.25,34.30,-0.70,10,316202
104/03/11,30030,34.30,34.30,32.45,33.10,-1.20,31,992891
104/03/12,13146,33.10,33.15,33.10,33.15,0.05,11,435268
104/03/13,2128,33.15,33.20,33.15,33.20,0.05,3,70471
