台肥            ,	1722
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1758506,54.80,55.30,54.50,55.30,-0.50,1090,96780625
104/01/06,3008501,54.50,54.80,53.50,54.00,-1.30,1814,162829252
104/01/07,1753951,53.90,54.30,53.60,53.60,-0.40,1023,94328663
104/01/08,1150200,53.90,54.40,53.80,54.20,0.60,683,62261258
104/01/09,2047500,54.20,55.20,54.10,54.70,0.50,1007,112123042
104/01/12,1214506,54.70,54.70,54.30,54.30,-0.40,821,66235973
104/01/13,3158453,54.30,55.90,54.30,55.20,0.90,1732,174741954
104/01/14,1773701,55.60,55.60,54.80,54.80,-0.40,1078,97683104
104/01/15,1826282,54.80,55.00,54.10,54.10,-0.70,912,99389334
104/01/16,1920041,54.10,54.30,53.50,54.00,-0.10,976,103411914
104/01/19,910100,54.10,54.70,53.70,53.70,-0.30,622,49245333
104/01/20,1197070,53.70,54.30,53.70,53.80,0.10,662,64491061
104/01/21,1310200,54.00,54.30,53.60,54.30,0.50,962,70570800
104/01/22,1090880,54.30,54.70,54.10,54.70,0.40,767,59395965
104/01/23,1818765,55.00,55.40,54.70,55.00,0.30,1066,100120715
104/01/26,1052351,55.10,55.20,54.50,54.80,-0.20,660,57684388
104/01/27,939501,55.00,55.20,54.50,54.90,0.10,603,51447001
104/01/28,946256,54.90,55.00,54.40,55.00,0.10,636,51881643
104/01/29,847300,54.90,55.00,54.40,54.70,-0.30,518,46349902
104/01/30,2601308,55.50,56.10,55.00,55.00,0.30,1443,144374440
104/02/02,1244977,55.40,55.40,54.60,55.20,0.20,828,68340529
104/02/03,1258830,54.80,55.20,54.50,54.70,-0.50,1031,69035860
104/02/04,1085797,55.00,55.10,54.60,54.80,0.10,878,59515691
104/02/05,1184944,54.60,54.80,54.20,54.80,,730,64562739
104/02/06,1579271,54.90,54.90,54.20,54.80,,945,86007467
104/02/09,1723000,54.80,54.80,54.00,54.00,-0.80,1078,93779194
104/02/10,1165747,54.00,54.30,53.70,54.20,0.20,863,63047384
104/02/11,1158650,54.50,54.50,53.90,53.90,-0.30,821,62624321
104/02/12,1529657,53.80,54.00,53.60,53.90,,858,82175641
104/02/13,1077307,53.90,54.10,53.70,53.90,,664,58056478
104/02/24,1475928,54.30,54.50,53.80,54.10,0.20,921,79907295
104/02/25,1315896,54.60,54.90,54.30,54.40,0.30,816,71825931
104/02/26,1681932,54.50,54.50,54.20,54.50,0.10,652,91584159
104/03/02,1874720,54.80,55.10,54.50,54.80,0.30,1209,102603744
104/03/03,1642097,54.80,54.90,53.80,53.80,-1.00,1078,88786812
104/03/04,755465,53.80,54.20,53.60,54.10,0.30,567,40677696
104/03/05,1014055,54.20,54.20,53.70,53.70,-0.40,789,54628170
104/03/06,1277153,53.80,54.00,53.60,53.60,-0.10,499,68588762
104/03/09,2120258,53.60,53.60,53.00,53.00,-0.60,1231,112801155
104/03/10,1123736,53.00,53.40,53.00,53.00,,721,59674542
104/03/11,1996947,52.70,52.70,52.10,52.20,-0.80,1241,104654195
104/03/12,1452731,52.10,53.20,52.00,53.00,0.80,958,76550592
104/03/13,1084406,53.70,53.70,53.10,53.10,0.10,706,57953028
104/03/16,1735203,53.70,54.00,53.30,53.60,0.50,1137,93197591
104/03/17,1543958,54.00,54.20,53.60,53.60,,893,83196134
104/03/18,1839592,54.00,54.20,53.80,54.10,0.50,1313,99469520
104/03/19,2669294,54.40,54.60,54.10,54.60,0.50,1369,145216531
104/03/20,2301565,54.60,54.60,54.20,54.40,-0.20,1208,125218853
104/03/23,1202241,54.50,54.70,54.20,54.40,,739,65392648
104/03/24,986500,54.40,54.50,54.10,54.20,-0.20,724,53507392
104/03/25,872730,54.20,54.40,54.00,54.40,0.20,603,47303902
104/03/26,2015669,54.30,54.80,54.00,54.70,0.30,1193,109869528
104/03/27,1447700,54.90,54.90,54.30,54.50,-0.20,904,78993130
104/03/30,2075098,54.60,54.90,54.00,54.00,-0.50,1442,113008400
