慧友            ,	5484
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,75870,10.35,10.50,10.35,10.50,0.15,40,792535
104/01/06,166012,10.45,10.45,10.05,10.15,-0.35,68,1686821
104/01/07,295156,10.40,10.60,10.40,10.40,0.25,127,3097113
104/01/08,120145,10.40,10.40,10.25,10.25,-0.15,65,1238878
104/01/09,109054,10.35,10.45,10.30,10.30,0.05,49,1127552
104/01/12,169076,10.35,10.45,10.20,10.20,-0.10,65,1736369
104/01/13,462051,10.20,10.55,10.20,10.35,0.15,150,4821722
104/01/14,106384,10.35,10.35,10.25,10.30,-0.05,56,1096121
104/01/15,92450,10.30,10.35,10.25,10.25,-0.05,44,950689
104/01/16,67341,10.25,10.25,10.15,10.25,,40,686994
104/01/19,70844,10.30,10.30,10.20,10.25,,40,726706
104/01/20,33079,10.35,10.35,10.30,10.30,0.05,26,341303
104/01/21,181215,10.35,10.35,10.10,10.20,-0.10,53,1854491
104/01/22,336926,10.25,10.35,10.20,10.30,0.10,77,3463790
104/01/23,427551,10.25,10.35,10.25,10.30,,69,4393797
104/01/26,1567788,10.35,10.35,10.15,10.15,-0.15,258,16135646
104/01/27,1156066,10.20,10.30,10.00,10.05,-0.10,250,11749066
104/01/28,482130,10.05,10.15,9.97,10.10,0.05,121,4855210
104/01/29,217128,10.00,10.05,9.99,10.00,-0.10,71,2174642
104/01/30,198360,10.10,10.10,9.97,10.00,,52,1983679
104/02/02,235317,10.00,10.05,9.96,9.98,-0.02,58,2350750
104/02/03,251100,10.00,10.00,9.88,9.90,-0.08,107,2493387
104/02/04,139145,10.00,10.05,9.95,9.95,0.05,54,1390801
104/02/05,80926,9.95,10.00,9.87,9.91,-0.04,28,804375
104/02/06,125213,9.84,9.91,9.80,9.85,-0.06,76,1229392
104/02/09,71478,9.63,9.85,9.63,9.80,-0.05,45,696399
104/02/10,77770,9.86,9.87,9.71,9.71,-0.09,63,759803
104/02/11,373053,9.66,9.75,9.34,9.35,-0.36,173,3536113
104/02/12,121166,9.37,9.45,9.26,9.30,-0.05,65,1129028
104/02/13,132000,9.32,9.55,9.32,9.52,0.22,66,1249170
104/02/24,205909,9.52,9.80,9.41,9.71,0.19,101,1977079
104/02/25,123380,9.61,9.75,9.61,9.62,-0.09,21,1193726
104/02/26,40144,9.70,9.70,9.59,9.60,-0.02,28,386786
104/03/02,131022,9.60,9.70,9.60,9.60,,42,1265387
104/03/03,93487,9.60,9.61,9.56,9.61,0.01,33,897254
104/03/04,25275,9.67,9.67,9.54,9.61,,19,242748
104/03/05,238122,9.53,9.69,9.50,9.52,-0.09,103,2273589
104/03/06,210131,9.60,9.60,9.50,9.53,0.01,58,2001384
104/03/09,42275,9.51,9.58,9.51,9.56,0.03,37,403751
104/03/10,139311,9.56,9.58,9.47,9.49,-0.07,47,1326326
104/03/11,132860,9.45,9.46,9.43,9.43,-0.06,58,1254451
104/03/12,302608,9.46,9.46,9.04,9.16,-0.27,135,2794592
104/03/13,258021,9.20,9.40,9.20,9.39,0.23,105,2395834
104/03/16,70725,9.38,9.41,9.30,9.41,0.02,37,663452
104/03/17,200290,9.43,9.43,9.19,9.35,-0.06,72,1862074
104/03/18,83505,9.39,9.39,9.24,9.27,-0.08,40,775322
104/03/19,174548,9.31,9.33,9.22,9.25,-0.02,64,1620349
104/03/20,376204,9.23,9.35,9.21,9.35,0.10,117,3494193
104/03/23,87468,9.41,9.41,9.30,9.34,-0.01,87,819405
104/03/24,100304,9.16,9.28,9.16,9.28,-0.06,68,921291
104/03/25,88275,9.20,9.35,9.20,9.23,-0.05,360,818791
104/03/26,50229,9.20,9.35,9.19,9.26,0.03,195,464435
104/03/27,55330,9.30,9.30,9.19,9.23,-0.03,155,511762
104/03/30,119312,9.32,9.37,9.25,9.26,0.03,311,1110175
104/03/31,88305,9.31,9.31,9.14,9.17,-0.09,277,812240
104/04/01,247332,9.15,9.22,9.04,9.07,-0.10,249,2248756
104/04/02,319217,8.95,9.17,8.81,8.85,-0.22,252,2849925
104/04/07,450630,8.85,8.86,8.70,8.75,-0.10,386,3970182
104/04/08,498970,8.81,8.85,8.43,8.45,-0.30,358,4274215
104/04/09,246108,8.45,8.62,8.41,8.43,-0.02,256,2085725
104/04/10,231125,8.50,8.51,8.33,8.38,-0.05,216,1940273
104/04/13,154938,8.39,8.58,8.39,8.46,0.08,379,1309173
104/04/14,241363,8.46,8.46,8.35,8.38,-0.08,270,2025234
104/04/15,93620,8.40,8.47,8.36,8.40,0.02,237,784898
104/04/16,132307,8.40,8.47,8.36,8.40,,64,1114464
104/04/17,380228,8.40,8.92,8.37,8.72,0.32,216,3321632
104/04/20,529436,8.70,9.32,8.70,9.20,0.48,331,4821613
104/04/21,630017,9.20,9.20,8.56,8.56,-0.64,257,5485921
104/04/22,218656,8.54,8.54,8.37,8.48,-0.08,118,1840330
104/04/23,253200,8.54,8.57,8.37,8.39,-0.09,112,2132158
104/04/24,123866,8.41,8.58,8.39,8.58,0.19,75,1049318
104/04/27,123852,8.57,8.66,8.42,8.56,-0.02,68,1052342
104/04/28,882209,8.56,9.15,8.53,9.15,0.59,227,8010174
104/04/29,806030,9.42,9.43,9.10,9.15,,311,7449731
104/04/30,193621,9.24,9.29,9.02,9.02,-0.13,110,1764510
104/05/04,104909,8.99,8.99,8.87,8.89,-0.13,60,934299
104/05/05,230668,8.90,9.08,8.59,8.65,-0.24,96,2014622
104/05/06,602191,8.55,8.75,8.39,8.48,-0.17,239,5105287
104/05/07,260038,8.43,8.50,8.38,8.39,-0.09,87,2187127
104/05/08,189652,8.41,8.50,8.33,8.34,-0.05,73,1589797
104/05/11,211051,8.34,8.40,8.06,8.13,-0.21,88,1736082
104/05/12,257398,8.00,8.38,8.00,8.12,-0.01,81,2080261
104/05/13,269018,8.12,8.39,8.08,8.11,-0.01,98,2197445
104/05/14,323359,8.11,8.13,7.95,8.02,-0.09,111,2602272
104/05/15,211349,8.08,8.08,7.80,7.82,-0.20,92,1663973
104/05/18,345179,7.82,7.89,7.47,7.47,-0.35,167,2603689
104/05/19,404260,7.50,7.80,7.32,7.50,0.03,196,3025110
104/05/20,233933,7.50,8.02,7.46,8.02,0.52,96,1833064
104/05/21,243449,8.10,8.10,7.69,7.80,-0.22,127,1915602
104/05/22,324066,7.72,8.18,7.72,8.07,0.27,144,2599011
104/05/25,84982,8.07,8.07,7.93,7.93,-0.14,54,678651
104/05/26,155669,7.96,8.06,7.62,7.83,-0.10,88,1214939
104/05/27,83697,7.73,7.89,7.73,7.89,0.06,54,653908
104/05/28,49281,7.89,7.89,7.76,7.80,-0.09,31,383949
104/05/29,49110,7.80,7.91,7.79,7.90,0.10,36,385762
104/06/01,127388,8.02,8.15,7.97,8.00,0.10,64,1025884
104/06/02,156524,7.30,8.17,7.30,8.13,0.13,72,1246443
104/06/03,121123,8.13,8.13,7.96,8.07,-0.06,56,974384
104/06/04,41709,7.94,7.98,7.92,7.96,-0.11,38,331432
104/06/05,216001,7.92,7.95,7.73,7.80,-0.16,77,1690127
104/06/08,88450,7.82,7.90,7.68,7.76,-0.04,44,688283
104/06/09,126324,7.74,7.74,6.99,6.99,-0.77,68,907948
104/06/10,1138938,6.30,6.75,6.30,6.32,-0.67,257,7195115
104/06/11,592541,6.25,6.25,5.91,6.06,-0.26,196,3595236
104/06/12,1050625,6.15,6.30,5.97,6.00,-0.06,193,6318136
104/06/15,281140,6.19,6.19,5.99,6.00,,82,1695467
104/06/16,1768100,5.90,6.00,5.40,5.40,-0.60,356,9683479
104/06/17,1707706,5.40,5.51,5.01,5.26,-0.14,483,8797057
104/06/18,689940,5.26,5.50,5.18,5.50,0.24,178,3718589
104/06/22,502800,5.50,5.66,5.39,5.52,0.02,153,2786839
104/06/23,191461,5.55,5.55,5.42,5.44,-0.08,64,1056436
104/06/24,222004,5.45,5.62,5.45,5.47,0.03,106,1223941
104/06/25,209000,5.48,5.57,5.48,5.53,0.06,84,1155800
104/06/26,186004,5.53,5.54,5.41,5.44,-0.09,69,1015981
104/06/29,341601,5.32,5.43,5.21,5.21,-0.23,102,1827810
104/06/30,239833,5.21,5.50,5.21,5.44,0.23,112,1297558
104/07/01,233054,5.50,5.80,5.40,5.59,0.15,121,1305464
104/07/02,163001,5.64,5.65,5.50,5.61,0.02,57,914355
104/07/03,98000,5.55,5.67,5.46,5.64,0.03,42,540060
104/07/06,155290,5.63,5.67,5.40,5.44,-0.20,42,860134
104/07/07,117145,5.45,5.56,5.35,5.36,-0.08,42,639169
104/07/08,245023,5.34,5.46,5.20,5.26,-0.10,75,1293467
104/07/09,156015,5.20,5.26,5.14,5.17,-0.09,59,809378
104/07/13,101164,5.23,5.45,5.15,5.25,0.08,43,531122
104/07/14,431671,5.22,5.60,5.22,5.60,0.35,117,2358513
104/07/15,201330,5.70,5.75,5.60,5.73,0.13,56,1135706
104/07/16,81683,5.73,5.73,5.55,5.55,-0.18,38,456413
104/07/17,118555,5.61,5.70,5.51,5.53,-0.02,46,663370
104/07/20,24001,5.53,5.60,5.33,5.52,-0.01,10,130545
104/07/21,93439,5.40,5.40,5.18,5.34,-0.18,34,492815
104/07/22,117000,5.18,5.40,5.18,5.23,-0.11,56,617050
104/07/23,386126,5.20,5.34,4.90,5.12,-0.11,92,1945932
104/07/24,127878,5.10,5.10,4.95,5.07,-0.05,34,639550
104/07/27,261079,5.05,5.48,4.70,5.48,0.41,81,1340745
104/07/28,179001,5.20,5.23,5.00,5.00,-0.48,60,912224
104/07/29,90429,5.00,5.05,4.79,4.95,-0.05,42,443698
104/07/30,162024,4.70,4.89,4.70,4.79,-0.16,76,773944
104/07/31,59180,5.17,5.17,4.82,4.85,0.06,23,290923
104/08/03,253011,4.80,4.85,4.41,4.51,-0.34,85,1142408
104/08/04,214229,4.51,4.51,4.15,4.17,-0.34,77,923468
104/08/05,446201,4.15,4.19,4.02,4.10,-0.07,130,1823001
104/08/06,376668,4.11,4.11,3.95,3.97,-0.13,96,1509322
104/08/07,286813,3.95,3.98,3.92,3.94,-0.03,89,1134406
104/08/10,94680,4.00,4.07,3.95,4.04,0.10,40,378606
104/08/11,224015,4.06,4.15,3.93,4.00,-0.04,77,895502
104/08/12,90012,3.93,4.00,3.84,3.95,-0.05,41,356101
104/08/13,98595,3.95,4.03,3.95,3.98,0.03,36,392370
104/08/14,503952,4.30,4.37,4.06,4.35,0.37,146,2156187
104/08/17,200100,4.22,4.51,4.10,4.38,0.03,69,862091
104/08/18,215896,4.38,4.58,4.30,4.35,-0.03,61,949119
104/08/19,532000,4.21,4.26,3.93,4.00,-0.35,96,2146010
104/08/20,177502,4.02,4.15,4.01,4.05,0.05,41,718468
104/08/21,215001,3.95,4.00,3.90,3.94,-0.11,44,844683
104/08/24,685000,3.90,3.90,3.55,3.55,-0.39,109,2464840
104/08/25,456737,3.55,3.80,3.52,3.80,0.25,97,1664937
104/08/26,438001,3.70,4.01,3.69,4.01,0.21,47,1672654
104/08/27,236270,4.25,4.25,4.00,4.06,0.05,74,964137
104/08/28,652009,4.07,4.35,4.07,4.20,0.14,89,2702557
104/08/31,94740,4.10,4.21,4.10,4.20,,33,393400
104/09/01,108684,4.20,4.20,4.10,4.18,-0.02,28,449703
104/09/02,192798,4.19,4.30,4.05,4.11,-0.07,41,796961
104/09/03,305279,4.11,4.24,4.10,4.21,0.10,63,1263166
104/09/04,750246,4.30,4.63,4.30,4.63,0.42,128,3442748
104/09/07,512324,4.59,4.59,4.23,4.50,-0.13,136,2246888
104/09/08,253012,4.32,4.50,4.32,4.40,-0.10,45,1118281
104/09/09,274002,4.51,4.52,4.43,4.46,0.06,59,1228088
104/09/10,86234,4.48,4.52,4.46,4.52,0.06,37,386872
104/09/11,309144,4.42,4.70,4.36,4.47,-0.05,81,1364851
104/09/14,144631,4.43,4.50,4.42,4.50,0.03,41,646211
104/09/15,65090,4.58,4.58,4.45,4.48,-0.02,31,291996
104/09/16,84180,4.57,4.57,4.47,4.50,0.02,40,380737
