彰銀            ,	2801
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,7427406,18.15,18.15,17.90,17.95,-0.20,1745,133722446
104/01/06,8468695,17.75,17.85,17.65,17.70,-0.25,2823,150081473
104/01/07,6041858,17.70,17.85,17.55,17.60,-0.10,2031,106485676
104/01/08,3450906,17.75,17.95,17.60,17.95,0.35,1224,61618744
104/01/09,3426283,18.00,18.05,17.80,17.80,-0.15,1257,61330337
104/01/12,2634562,17.80,17.90,17.75,17.80,,1111,46894653
104/01/13,5487322,17.80,18.05,17.75,18.00,0.20,1263,98454984
104/01/14,4755464,18.00,18.05,17.75,17.75,-0.25,1806,84868600
104/01/15,3958328,17.75,17.85,17.75,17.75,,937,70347320
104/01/16,7149032,17.75,17.85,17.40,17.50,-0.25,2188,125464791
104/01/19,3773072,17.60,17.80,17.60,17.80,0.30,1410,66808643
104/01/20,5152522,17.75,18.00,17.75,17.90,0.10,1781,92377560
104/01/21,4638322,18.00,18.05,17.90,18.05,0.15,1877,83385281
104/01/22,6076029,17.95,18.20,17.95,18.10,0.05,2575,109824922
104/01/23,10463482,18.20,18.30,18.15,18.30,0.20,3226,190987821
104/01/26,3930170,18.30,18.30,18.00,18.05,-0.25,1753,71167666
104/01/27,3405008,18.10,18.10,18.00,18.10,0.05,1500,61437044
104/01/28,3563530,17.95,18.05,17.95,18.00,-0.10,1276,64122382
104/01/29,7187490,17.95,18.00,17.85,17.90,-0.10,1594,128758938
104/01/30,6089942,17.95,18.00,17.85,17.85,-0.05,1333,109040039
104/02/02,2158948,17.80,18.00,17.80,18.00,0.15,902,38781691
104/02/03,3963978,18.00,18.05,17.95,18.00,,1134,71278077
104/02/04,9857374,18.00,18.25,17.95,18.20,0.20,2631,178844919
104/02/05,4865169,18.20,18.25,18.10,18.25,0.05,1073,88510977
104/02/06,2814962,18.25,18.25,18.15,18.25,,1310,51291687
104/02/09,1754704,18.20,18.25,18.15,18.25,,610,31926695
104/02/10,2870660,18.15,18.20,18.05,18.10,-0.15,1081,52045980
104/02/11,4937061,18.10,18.15,18.05,18.05,-0.05,1847,89332105
104/02/12,3377383,18.10,18.15,18.00,18.15,0.10,1062,61086679
104/02/13,4361782,18.15,18.20,18.10,18.20,0.05,1266,79267012
104/02/24,9618071,18.20,18.50,18.15,18.45,0.25,3439,176829449
104/02/25,6645980,18.50,18.50,18.30,18.50,0.05,2323,122743445
104/02/26,11373501,18.50,18.55,18.35,18.45,-0.05,2499,209814699
104/03/02,5250457,18.40,18.45,18.35,18.45,,1409,96669647
104/03/03,5382447,18.50,18.55,18.40,18.50,0.05,2233,99484436
104/03/04,3632867,18.50,18.50,18.40,18.45,-0.05,1771,67050967
104/03/05,6234330,18.45,18.55,18.35,18.50,0.05,2365,115107288
104/03/06,6419459,18.50,18.55,18.45,18.55,0.05,1507,118819221
104/03/09,2946703,18.50,18.50,18.30,18.35,-0.20,1050,54167287
104/03/10,3714897,18.35,18.40,18.10,18.15,-0.20,1428,67600508
104/03/11,5066997,18.00,18.15,18.00,18.00,-0.15,2291,91370996
104/03/12,4018615,18.15,18.20,18.00,18.20,0.20,1676,72806744
104/03/13,3898613,18.15,18.20,18.05,18.05,-0.15,1113,70518534
104/03/16,2757720,18.00,18.15,18.00,18.05,,920,49775285
104/03/17,4334522,18.05,18.25,18.00,18.05,,1413,78491246
104/03/18,6124520,18.05,18.25,18.05,18.25,0.20,2435,111205422
104/03/19,8287777,18.25,18.50,18.25,18.50,0.25,2744,152469233
104/03/20,14049501,18.45,18.45,18.10,18.10,-0.40,1863,255243369
104/03/23,2209467,18.20,18.25,18.15,18.25,0.15,761,40188930
104/03/24,5680336,18.20,18.25,18.05,18.20,-0.05,1389,103086552
104/03/25,5736941,18.15,18.20,18.00,18.00,-0.20,1718,103531988
104/03/26,7165517,18.00,18.20,17.95,18.15,0.15,1624,129520508
104/03/27,6594637,18.05,18.15,18.00,18.10,-0.05,1870,119175916
104/03/30,8654666,18.10,18.10,17.95,18.05,-0.05,2168,156018254
104/03/31,8293044,18.10,18.15,17.95,18.10,0.05,1886,149727492
104/04/01,4819607,18.10,18.20,18.00,18.20,0.10,1651,87371900
104/04/02,8012686,18.20,18.45,18.15,18.40,0.20,2547,147062847
104/04/07,6022988,18.40,18.50,18.35,18.50,0.10,1787,111006879
104/04/08,4295070,18.45,18.45,18.25,18.40,-0.10,1431,78837748
104/04/09,5848047,18.40,18.50,18.35,18.50,0.10,1313,107967971
104/04/10,7017635,18.50,18.55,18.45,18.55,0.05,1598,129860776
104/04/13,3149600,18.50,18.55,18.40,18.45,-0.10,888,58175151
104/04/14,6818207,18.45,18.55,18.35,18.55,0.10,1505,126051224
104/04/15,8625190,18.45,18.50,18.05,18.15,-0.40,2609,157216014
104/04/16,3170449,18.25,18.35,18.15,18.35,0.20,1062,58002253
104/04/17,3653685,18.35,18.40,18.25,18.35,,1007,66947828
104/04/20,3698521,18.30,18.35,18.20,18.35,,1298,67671828
104/04/21,2391801,18.40,18.40,18.20,18.30,-0.05,620,43723596
104/04/22,3978944,18.35,18.35,18.20,18.35,0.05,1148,72752687
104/04/23,33176910,18.40,18.85,18.40,18.60,0.25,6547,617672563
104/04/24,15611322,18.70,18.85,18.50,18.60,,3590,291288770
104/04/27,34369484,18.70,19.30,18.70,19.00,0.40,4976,652920464
104/04/28,30251213,19.00,19.10,18.80,18.95,-0.05,4267,572141598
104/04/29,21386234,18.95,19.00,18.65,18.75,-0.20,3209,401827583
104/04/30,23441412,18.75,18.80,18.70,18.75,,3406,439442432
104/05/04,21763784,18.85,19.00,18.80,18.90,0.15,2938,411293459
104/05/05,14477155,19.00,19.00,18.70,18.80,-0.10,2274,272275477
104/05/06,10911997,18.75,18.75,18.55,18.65,-0.15,1703,203248206
104/05/07,9942387,18.60,18.60,18.30,18.35,-0.30,2211,183017812
104/05/08,9361609,18.40,18.50,18.30,18.30,-0.05,1592,171666262
104/05/11,8096863,18.40,18.45,18.25,18.30,,1448,148276089
104/05/12,10652696,18.30,18.45,18.20,18.30,,2707,194856016
104/05/13,15673237,18.30,18.30,18.10,18.20,-0.10,3481,285076662
104/05/14,17133320,18.20,18.20,17.90,18.00,-0.20,6780,309310049
104/05/15,8162881,18.10,18.10,17.95,18.10,0.10,2218,147150458
104/05/18,5908282,18.10,18.15,17.95,18.00,-0.10,1387,106338526
104/05/19,6628529,18.10,18.25,18.05,18.10,0.10,1941,120390362
104/05/20,9187785,18.10,18.10,17.90,17.90,-0.20,2916,165382805
104/05/21,13785449,17.85,17.95,17.75,17.90,,4153,245949251
104/05/22,4101226,17.90,18.00,17.85,17.95,0.05,1826,73566426
104/05/25,3974501,17.90,18.00,17.80,18.00,0.05,1004,71328888
104/05/26,5183086,18.10,18.10,17.90,17.95,-0.05,1636,93266260
104/05/27,5329123,17.90,18.10,17.90,18.05,0.10,1798,96067778
104/05/28,9318384,18.10,18.15,17.95,18.00,-0.05,2990,168225737
104/05/29,39528932,18.00,18.10,17.90,17.95,-0.05,2834,709624083
104/06/01,9757881,17.95,18.05,17.80,17.80,-0.15,2717,174207404
104/06/02,10878469,17.80,17.85,17.70,17.75,-0.05,2250,193337995
104/06/03,13942975,17.80,17.85,17.65,17.75,,3029,246848480
104/06/04,20425621,17.75,17.80,17.45,17.50,-0.25,4105,359228053
104/06/05,9685401,17.50,17.65,17.40,17.50,,2350,169561305
104/06/08,6951806,17.50,17.60,17.40,17.60,0.10,2220,121753438
104/06/09,7781713,17.50,17.60,17.45,17.55,-0.05,2336,136323515
104/06/10,9230304,17.65,17.70,17.45,17.60,0.05,2267,162356460
104/06/11,5142001,17.65,17.65,17.45,17.60,,1950,90131801
104/06/12,5817751,17.55,17.65,17.45,17.60,,1891,101973782
104/06/15,6406355,17.55,17.60,17.45,17.45,-0.15,2276,112132452
104/06/16,7193233,17.45,17.55,17.40,17.50,0.05,2618,125534291
104/06/17,10523967,17.50,17.60,17.40,17.45,-0.05,3897,184043058
104/06/18,7297015,17.50,17.55,17.40,17.40,-0.05,1924,127372294
104/06/22,8285320,17.55,17.70,17.50,17.55,0.15,2881,146046935
104/06/23,6294283,17.70,17.80,17.60,17.75,0.20,2520,111514129
104/06/24,5526624,17.75,17.80,17.60,17.70,-0.05,2541,97563959
104/06/25,8835799,17.70,17.90,17.70,17.90,0.20,2398,157357601
104/06/26,5280797,17.80,17.90,17.70,17.75,-0.15,2276,93910032
104/06/29,6485838,17.60,17.60,17.50,17.55,-0.20,2501,113776257
104/06/30,10077423,17.50,17.70,17.45,17.70,0.15,3243,177142926
104/07/01,4621158,17.60,17.80,17.55,17.75,0.05,2009,81834182
