南帝            ,	2108
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,99280,16.20,16.20,15.95,16.15,0.05,63,1594604
104/01/06,115984,16.05,16.10,15.95,16.00,-0.15,63,1857594
104/01/07,172236,16.00,16.25,16.00,16.20,0.20,82,2778796
104/01/08,148863,16.20,16.25,16.10,16.20,,84,2408689
104/01/09,153003,16.20,16.50,16.20,16.45,0.25,90,2494544
104/01/12,225437,16.45,16.65,16.45,16.50,0.05,128,3727811
104/01/13,141720,16.55,16.70,16.50,16.60,0.10,98,2357108
104/01/14,146155,16.65,16.70,16.50,16.60,,91,2426173
104/01/15,100496,16.60,16.70,16.50,16.50,-0.10,69,1667079
104/01/16,83958,16.50,16.50,16.30,16.35,-0.15,77,1373114
104/01/19,61684,16.50,16.60,16.20,16.45,0.10,49,1006947
104/01/20,82333,16.45,16.55,16.40,16.55,0.10,58,1356971
104/01/21,131453,16.55,16.55,16.20,16.50,-0.05,83,2147127
104/01/22,81154,16.50,16.50,16.25,16.30,-0.20,64,1327056
104/01/23,94577,16.30,16.40,16.25,16.25,-0.05,60,1540569
104/01/26,93771,16.35,16.35,16.15,16.15,-0.10,71,1524395
104/01/27,52680,16.15,16.25,16.15,16.15,,54,853328
104/01/28,76458,16.15,16.30,16.10,16.30,0.15,42,1237116
104/01/29,71625,16.20,16.25,16.15,16.25,-0.05,43,1159190
104/01/30,93268,16.25,16.35,16.10,16.35,0.10,72,1510653
104/02/02,55016,16.35,16.35,16.15,16.25,-0.10,39,892212
104/02/03,124701,16.15,16.25,16.10,16.20,-0.05,70,2018402
104/02/04,116754,16.20,16.25,16.15,16.15,-0.05,56,1891384
104/02/05,107365,16.15,16.20,16.10,16.15,,49,1733124
104/02/06,137595,16.15,16.25,16.15,16.20,0.05,84,2231831
104/02/09,103872,16.20,16.20,16.10,16.10,-0.10,69,1674986
104/02/10,190880,16.15,16.25,16.05,16.10,,99,3078199
104/02/11,158770,16.15,16.15,16.05,16.10,,121,2554820
104/02/12,94740,16.10,16.10,16.00,16.05,-0.05,70,1518175
104/02/13,283671,16.00,16.00,15.95,16.00,-0.05,87,4537536
104/02/24,221292,16.10,16.10,15.85,15.90,-0.10,105,3527847
104/02/25,149212,15.90,15.90,15.80,15.80,-0.10,79,2366244
104/02/26,132780,15.80,15.85,15.80,15.85,0.05,78,2101599
104/03/02,264268,16.05,16.10,15.90,16.00,0.15,129,4225348
104/03/03,140601,15.90,16.10,15.90,16.00,,80,2251116
104/03/04,136601,16.00,16.15,16.00,16.00,,95,2192016
104/03/05,451478,16.05,16.10,15.95,15.95,-0.05,129,7224494
104/03/06,1077905,16.00,17.00,16.00,16.95,1.00,487,17953587
104/03/09,531531,17.00,17.10,16.80,16.95,,279,9010234
104/03/10,709105,17.10,17.30,16.95,17.05,0.10,282,12134965
104/03/11,212234,16.90,17.00,16.85,16.95,-0.10,137,3587407
104/03/12,271478,17.00,17.10,16.90,16.90,-0.05,126,4614475
104/03/13,163558,17.00,17.00,16.85,16.85,-0.05,95,2769790
104/03/16,341506,16.85,16.85,16.55,16.65,-0.20,186,5699488
104/03/17,232388,16.50,16.75,16.50,16.50,-0.15,107,3849851
104/03/18,236266,16.50,16.65,16.50,16.60,0.10,137,3917044
