大洋            ,	1321
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,163000,36.30,36.30,35.90,36.15,,109,5882100
104/01/06,164000,36.15,36.15,35.70,35.70,-0.45,85,5878950
104/01/07,171000,35.65,36.55,35.65,36.20,0.50,129,6197350
104/01/08,144000,36.05,36.35,35.90,35.90,-0.30,75,5215400
104/01/09,582000,35.90,36.00,35.65,35.85,-0.05,158,20844450
104/01/12,163002,35.80,36.30,35.70,35.70,-0.15,85,5867470
104/01/13,85000,35.70,36.05,35.70,36.00,0.30,59,3052650
104/01/14,380520,36.00,36.10,35.80,36.00,,67,13655466
104/01/15,98522,36.00,36.10,35.75,35.75,-0.25,54,3528681
104/01/16,406000,35.75,35.75,34.75,34.90,-0.85,222,14351350
104/01/19,397004,35.30,35.40,33.95,34.00,-0.90,224,13629137
104/01/20,170008,34.00,34.45,33.95,34.25,0.25,104,5794672
104/01/21,94000,34.25,34.60,34.10,34.50,0.25,69,3229900
104/01/22,73000,34.35,34.55,34.25,34.25,-0.25,55,2511500
104/01/23,166455,34.35,34.45,33.70,33.70,-0.55,114,5657320
104/01/26,138019,33.80,34.15,33.50,33.50,-0.20,97,4657342
104/01/27,180346,33.55,34.20,33.50,33.95,0.45,106,6089998
104/01/28,60000,33.80,33.95,33.70,33.75,-0.20,29,2026950
104/01/29,68000,34.20,34.20,33.70,34.10,0.35,43,2307050
104/01/30,48009,34.10,34.25,33.75,34.20,0.10,32,1637610
104/02/02,73001,34.20,34.20,33.65,34.10,-0.10,49,2475433
104/02/03,132000,34.25,34.25,33.80,34.00,-0.10,49,4484500
104/02/04,132000,34.00,34.10,33.70,33.80,-0.20,68,4465850
104/02/05,51000,34.00,34.00,33.70,33.80,,36,1725900
104/02/06,110000,33.70,34.10,33.70,34.00,0.20,80,3736250
104/02/09,119240,34.00,34.35,33.90,34.10,0.10,62,4061686
104/02/10,157000,34.25,34.30,34.00,34.30,0.20,103,5368050
104/02/11,43000,34.40,34.40,34.10,34.20,-0.10,28,1469450
104/02/12,67001,34.20,34.20,33.80,33.80,-0.40,40,2274234
104/02/13,265104,34.00,34.75,34.00,34.45,0.65,128,9134856
104/02/24,257000,34.75,35.00,34.75,34.90,0.45,125,8977450
104/02/25,79001,34.95,35.15,34.60,34.70,-0.20,38,2754885
104/02/26,56000,34.70,35.00,34.65,35.00,0.30,31,1956700
104/03/02,121312,34.60,35.15,34.55,35.00,,74,4225003
104/03/03,51000,35.00,35.00,34.70,34.70,-0.30,35,1777200
104/03/04,109816,34.55,34.75,34.55,34.60,-0.10,81,3806368
104/03/05,70000,34.55,34.80,34.50,34.75,0.15,48,2425100
104/03/06,104000,34.80,35.10,34.80,34.95,0.20,79,3639150
104/03/09,63004,34.80,35.10,34.70,35.10,0.15,42,2197340
104/03/10,114001,35.10,35.15,34.70,35.10,,76,3979285
104/03/11,72001,35.10,35.10,34.70,34.85,-0.25,54,2509734
