吉祥全          ,	2491
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,174088,12.30,12.70,12.30,12.50,0.30,92,2178780
104/01/06,96823,12.40,12.40,12.25,12.25,-0.25,45,1193206
104/01/07,118299,12.25,12.30,12.15,12.15,-0.10,60,1442450
104/01/08,83967,12.20,12.25,12.15,12.20,0.05,46,1022204
104/01/09,47807,12.30,12.30,12.10,12.15,-0.05,41,582734
104/01/12,86918,12.15,12.30,12.15,12.25,0.10,47,1059397
104/01/13,120971,12.25,12.40,12.20,12.25,,69,1491338
104/01/14,45234,12.25,12.30,12.20,12.25,,44,554248
104/01/15,34446,12.20,12.40,12.20,12.20,-0.05,24,420867
104/01/16,588040,12.15,13.05,12.15,13.05,0.85,240,7604596
104/01/19,310369,13.95,13.95,13.95,13.95,0.90,110,4329638
104/01/20,124397,14.90,14.90,14.90,14.90,0.95,68,1853509
104/01/21,92480,15.90,15.90,15.90,15.90,1.00,76,1470419
104/01/22,2740679,17.00,17.00,14.90,15.20,-0.70,1013,44096316
104/01/23,1044900,14.90,15.50,14.75,15.00,-0.20,434,15711399
104/01/26,610169,15.00,15.15,14.35,14.50,-0.50,314,8922393
104/01/27,408529,14.60,14.65,14.00,14.00,-0.50,215,5809956
104/01/28,332621,13.80,14.20,13.80,14.00,,180,4682824
104/01/29,562727,13.95,14.95,13.90,14.95,0.95,321,8240406
104/01/30,1048746,15.95,15.95,15.00,15.20,0.25,458,16307952
104/02/02,521702,14.20,14.75,14.20,14.40,-0.80,226,7520437
104/02/03,779408,14.30,15.40,14.20,15.35,0.95,368,11842011
104/02/04,346370,14.55,15.25,14.50,15.10,-0.25,214,5196600
104/02/05,288752,14.90,15.50,14.90,14.90,-0.20,142,4334650
104/02/06,216221,15.00,15.30,15.00,15.00,0.10,107,3266283
104/02/09,161419,15.00,15.10,14.70,14.75,-0.25,90,2398954
104/02/10,169999,14.75,15.10,14.75,14.85,0.10,85,2528181
104/02/11,133091,14.85,14.90,14.65,14.70,-0.15,84,1961203
104/02/12,287959,14.65,14.65,14.15,14.25,-0.45,132,4130076
104/02/13,104617,14.20,14.70,14.20,14.40,0.15,75,1512188
104/02/24,200283,14.60,14.60,14.00,14.25,-0.15,100,2828630
104/02/25,94389,14.30,14.40,14.15,14.30,0.05,65,1342996
104/02/26,521671,14.20,15.30,14.20,15.30,1.00,257,7871550
104/03/02,571557,15.70,16.00,15.10,15.45,0.15,270,8879839
104/03/03,397516,15.10,15.60,14.80,14.80,-0.65,182,6032730
104/03/04,148551,14.80,15.35,14.80,15.35,0.55,111,2240434
104/03/05,152893,15.35,15.35,15.00,15.05,-0.30,98,2307004
104/03/06,156748,15.05,15.25,14.95,15.00,-0.05,89,2361939
104/03/09,571326,15.00,15.30,14.85,14.95,-0.05,142,8582817
104/03/10,96000,14.95,15.15,14.95,15.00,0.05,61,1440893
104/03/11,99283,14.85,15.25,14.65,14.90,-0.10,70,1489453
104/03/12,668041,15.00,15.90,15.00,15.45,0.55,260,10444618
104/03/13,385108,15.25,15.60,14.90,15.10,-0.35,161,5843270
104/03/16,107010,15.20,15.35,15.00,15.25,0.15,64,1621145
104/03/17,326391,15.30,15.50,15.10,15.15,-0.10,119,4999328
104/03/18,105995,15.10,15.30,15.10,15.10,-0.05,68,1605412
104/03/19,121240,15.15,15.25,15.10,15.15,0.05,65,1835800
104/03/20,142606,15.50,15.50,15.15,15.45,0.30,80,2186355
104/03/23,248515,15.45,15.50,15.15,15.30,-0.15,104,3805725
104/03/24,2937878,15.40,16.35,15.40,16.20,0.90,704,47891419
104/03/25,1746891,15.75,16.05,15.50,15.60,-0.60,393,27503688
104/03/26,811557,14.55,15.20,14.55,14.80,-0.80,296,12025430
104/03/27,472648,14.80,15.20,14.40,14.60,-0.20,224,7020135
104/03/30,319547,14.70,14.75,13.80,14.20,-0.40,167,4573446
104/03/31,713283,13.35,14.20,13.25,13.50,-0.70,291,9676687
104/04/01,536221,13.40,13.65,12.80,12.80,-0.70,199,7142887
104/04/02,344154,12.80,13.20,12.60,12.90,0.10,181,4425212
104/04/07,502379,12.90,13.20,12.50,12.50,-0.40,169,6489245
104/04/08,518921,12.70,12.70,11.65,11.80,-0.70,220,6238767
104/04/09,348975,11.80,12.20,11.75,11.75,-0.05,187,4198302
104/04/10,160123,11.80,11.95,11.65,11.70,-0.05,85,1888168
104/04/13,496391,11.70,11.70,11.05,11.10,-0.60,152,5609901
104/04/14,453892,10.90,11.25,10.75,11.15,0.05,183,5017599
104/04/15,247602,11.20,11.30,11.00,11.15,,169,2769298
104/04/16,279701,11.15,11.30,10.85,10.85,-0.30,116,3112453
104/04/17,578930,10.85,10.85,10.10,10.20,-0.65,246,5991790
104/04/20,663548,10.10,10.10,9.49,9.49,-0.71,238,6337023
104/04/21,761169,9.10,9.39,8.83,8.83,-0.66,279,6793430
104/04/22,477221,8.70,9.39,8.43,9.36,0.53,262,4303854
104/04/23,472154,9.36,10.00,9.30,10.00,0.64,249,4615690
104/04/24,666016,10.65,10.70,10.20,10.70,0.70,294,7087665
104/04/27,239125,11.00,11.40,11.00,11.40,0.70,139,2691566
104/04/28,968021,12.15,12.15,11.00,11.10,-0.30,446,11242431
104/04/29,221993,10.85,11.30,10.75,11.00,-0.10,151,2444969
104/04/30,307774,11.75,11.75,11.25,11.50,0.50,199,3550113
104/05/04,162517,11.30,11.30,10.80,10.80,-0.70,104,1788031
104/05/05,244808,10.50,10.90,10.40,10.50,-0.30,110,2603849
104/05/06,134321,10.45,10.80,10.30,10.50,,90,1416598
104/05/07,355453,10.90,10.90,10.30,10.35,-0.15,91,3717360
104/05/08,368648,10.30,10.45,10.00,10.25,-0.10,94,3783023
104/05/11,99490,10.80,10.80,10.10,10.10,-0.15,71,1038695
104/05/12,436959,10.30,10.45,9.41,10.35,0.25,174,4293389
104/05/13,152558,10.20,10.30,9.86,9.91,-0.44,83,1525438
104/05/14,295668,10.00,10.35,9.89,10.35,0.44,142,2982873
104/05/15,148007,10.10,10.15,9.85,9.85,-0.50,65,1477683
104/05/18,69850,9.86,10.05,9.64,9.64,-0.21,49,689555
104/05/19,373472,9.94,9.94,9.45,9.77,0.13,87,3582470
104/05/20,132955,9.80,9.90,9.37,9.46,-0.31,73,1262913
104/05/21,467074,9.14,9.50,9.14,9.39,-0.07,82,4328470
104/05/22,164569,9.39,9.40,9.12,9.13,-0.26,65,1514308
