裕豐            ,	1438
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,66000,6.31,6.50,6.31,6.49,0.02,18,427930
104/01/06,5000,6.49,6.50,6.36,6.36,-0.13,4,32340
104/01/07,194420,6.50,6.80,6.50,6.51,0.15,37,1305217
104/01/08,94080,6.51,6.65,6.37,6.65,0.14,29,610778
104/01/09,4181,6.50,6.58,6.41,6.58,-0.07,4,27051
104/01/12,19400,6.58,6.70,6.41,6.60,0.02,14,126280
104/01/13,18000,6.50,6.65,6.50,6.52,-0.08,7,117290
104/01/14,40000,6.40,6.40,6.37,6.39,-0.13,15,255300
104/01/15,34000,6.83,6.83,6.42,6.60,0.21,15,227350
104/01/16,25000,6.40,6.50,6.33,6.50,-0.10,19,159100
104/01/19,18000,6.32,6.46,6.31,6.46,-0.04,11,113890
104/01/20,37217,6.32,6.49,6.32,6.46,,10,237496
104/01/21,117000,6.32,6.58,6.20,6.50,0.04,14,739900
104/01/22,49000,6.50,6.50,6.48,6.50,,10,318460
104/01/23,9887,6.36,6.36,6.35,6.36,-0.14,5,62631
104/01/26,64511,6.36,6.36,6.35,6.36,,10,409478
104/01/27,15096,6.36,6.36,6.36,6.36,,4,95989
104/01/28,82096,6.15,6.45,6.06,6.37,0.01,24,510745
104/01/29,12000,6.33,6.38,6.33,6.38,0.01,5,76010
104/01/30,73110,6.38,6.38,6.20,6.35,-0.03,11,463661
104/02/02,33000,6.34,6.35,6.18,6.35,,10,208880
104/02/03,184815,6.20,6.50,6.20,6.50,0.15,25,1186142
104/02/04,139356,6.36,6.51,6.36,6.41,-0.09,24,901176
104/02/05,368110,6.45,6.45,6.27,6.45,0.04,32,2333584
104/02/06,284110,6.39,6.45,6.34,6.45,,23,1820688
104/02/09,21000,6.41,6.42,6.41,6.41,-0.04,9,134710
104/02/10,144000,6.49,6.85,6.42,6.67,0.26,25,958710
104/02/11,23487,6.34,6.95,6.34,6.50,-0.17,12,155676
104/02/12,25000,6.36,6.45,6.36,6.45,-0.05,5,160800
104/02/13,19462,6.60,6.60,6.40,6.55,0.10,10,125879
104/02/24,1231,6.40,6.40,6.40,6.40,-0.15,4,7877
104/02/25,2000,6.30,6.30,6.30,6.30,-0.10,1,12600
104/02/26,8388,6.60,6.72,6.37,6.55,0.25,9,55040
104/03/02,18000,6.57,6.57,6.32,6.36,-0.19,11,116000
104/03/03,41000,6.29,6.42,6.29,6.29,-0.07,18,258620
104/03/04,17000,6.40,6.40,6.26,6.26,-0.03,10,107280
104/03/05,93000,6.30,6.69,6.29,6.68,0.42,27,607580
104/03/06,48000,6.48,6.75,6.41,6.50,-0.18,14,313500
104/03/09,19000,6.42,6.50,6.39,6.50,,14,122540
104/03/10,46550,6.52,6.60,6.41,6.60,0.10,16,302957
104/03/11,40400,6.60,6.60,6.36,6.37,-0.23,26,261208
104/03/12,33189,6.47,6.47,6.37,6.47,0.10,12,214156
104/03/13,6000,6.47,6.47,6.33,6.40,-0.07,5,38590
104/03/16,31000,6.25,6.45,6.21,6.25,-0.15,16,194320
