F-世芯          ,	3661
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,565723,100.00,100.50,98.90,99.60,-1.40,399,56428224
104/01/06,820300,99.00,99.40,98.10,98.20,-1.40,484,80927978
104/01/07,2573961,100.00,105.00,100.00,105.00,6.80,1536,268987405
104/01/08,2250820,105.00,107.50,102.00,104.00,-1.00,1415,235774280
104/01/09,1617528,106.00,109.00,105.50,107.50,3.50,1185,173151496
104/01/12,1249352,107.50,108.50,103.00,105.00,-2.50,978,131800460
104/01/13,687350,104.00,106.00,103.50,104.00,-1.00,478,71791550
104/01/14,1233367,104.00,104.00,99.90,100.50,-3.50,902,124157167
104/01/15,556595,100.50,101.00,98.20,100.00,-0.50,442,55490800
104/01/16,789200,101.50,101.50,96.50,96.90,-3.10,651,77766619
104/01/19,2129012,97.00,97.60,90.20,90.20,-6.70,1413,195885480
104/01/20,3238334,90.00,92.00,83.90,91.90,1.70,2228,279302025
104/01/21,1639448,90.00,90.50,87.10,88.30,-3.60,1170,145692472
104/01/22,800400,88.00,90.40,88.00,89.50,1.20,638,71491300
104/01/23,680487,90.30,90.50,88.50,88.80,-0.70,543,60787390
104/01/26,660100,89.80,90.50,89.30,89.90,1.10,513,59431229
104/01/27,856381,90.10,92.20,90.10,91.30,1.40,597,78041661
104/01/28,596500,90.50,90.90,89.30,89.60,-1.70,461,53576799
104/01/29,383002,88.80,89.90,87.90,88.20,-1.40,321,33883476
104/01/30,1110111,88.20,88.70,83.90,84.50,-3.70,885,94793378
104/02/02,1979200,84.50,84.90,78.60,78.60,-5.90,1425,157530700
104/02/03,1035325,78.70,80.20,76.80,79.00,0.40,784,81463502
104/02/04,504075,80.40,80.50,79.20,79.30,0.30,389,40144209
104/02/05,351614,79.30,79.90,78.00,78.30,-1.00,301,27680299
104/02/06,1229096,78.00,78.00,74.00,74.60,-3.70,934,92393858
104/02/09,1224575,74.20,74.20,71.30,72.50,-2.10,832,88835729
104/02/10,982359,72.50,75.40,72.20,75.10,2.60,810,73176504
104/02/11,634403,76.30,76.30,73.80,73.80,-1.30,508,47355142
104/02/12,553200,73.90,74.30,71.80,72.60,-1.20,412,40147359
104/02/13,584170,72.60,73.30,71.80,72.20,-0.40,463,42269293
104/02/24,744252,72.20,72.80,68.60,70.00,-2.20,585,52520788
104/02/25,1476000,71.00,72.30,67.90,72.00,2.00,1112,103307500
104/02/26,562574,71.90,72.00,70.70,71.00,-1.00,434,40021813
104/03/02,471400,71.00,71.00,68.90,69.60,-1.40,373,32937538
104/03/03,1175578,69.50,73.50,69.00,72.80,3.20,926,85062218
104/03/04,657843,71.80,73.00,71.30,71.50,-1.30,506,47408857
104/03/05,1263425,72.50,75.40,72.00,74.30,2.80,944,93831450
104/03/06,1152300,73.20,75.00,73.00,74.40,0.10,838,85200369
104/03/09,1229050,69.20,74.10,69.20,72.60,-1.80,920,88203810
104/03/10,638100,72.00,72.10,70.30,70.40,-2.20,508,45211090
104/03/11,728300,69.10,69.90,68.40,68.80,-1.60,600,50262250
104/03/12,436390,68.80,69.60,68.50,68.70,-0.10,353,30076710
104/03/13,432500,69.40,69.70,68.50,68.90,0.20,336,29820100
104/03/16,1315520,69.40,69.60,64.50,65.40,-3.50,1021,87091620
104/03/17,1483915,65.40,66.50,61.70,62.20,-3.20,1091,93245287
104/03/18,766975,62.50,64.00,62.00,63.00,0.80,561,48493439
104/03/19,938593,63.80,63.80,60.80,61.70,-1.30,710,57793924
104/03/20,724102,61.60,62.00,60.60,60.60,-1.10,553,44153042
104/03/23,492058,60.60,61.00,59.70,60.00,-0.60,367,29580509
104/03/24,465200,60.00,62.00,59.70,61.10,1.10,376,28480620
104/03/25,408157,61.10,62.20,60.80,61.00,-0.10,306,25068355
104/03/26,244135,60.70,61.50,60.10,61.00,,187,14902087
104/03/27,477100,61.10,61.30,59.80,60.10,-0.90,239,28818270
104/03/30,952481,60.10,60.70,55.90,56.00,-4.10,671,54589917
104/03/31,1178100,56.20,58.20,53.60,57.60,1.60,808,66153619
104/04/01,527200,56.50,58.70,56.00,56.30,-1.30,357,30099259
104/04/02,1229062,56.50,57.70,54.40,55.20,-1.10,704,68949427
104/04/07,1543278,56.50,59.00,56.20,59.00,3.80,738,89341402
104/04/08,2271360,59.90,62.90,59.70,62.00,3.00,1389,138708907
104/04/09,1355701,62.50,63.40,61.00,61.00,-1.00,939,84347989
104/04/10,578460,61.00,62.00,59.10,59.20,-1.80,445,34696970
104/04/13,703022,57.00,58.40,56.50,57.00,-2.20,494,40257315
104/04/14,445200,56.50,59.00,55.80,59.00,2.00,345,25627100
104/04/15,495000,58.90,60.30,58.60,59.10,0.10,381,29529400
104/04/16,368200,59.10,59.70,58.40,59.20,0.10,242,21674800
104/04/17,1214400,59.30,62.10,59.30,61.50,2.30,900,74118800
104/04/20,488276,61.20,62.00,60.70,61.10,-0.40,384,29985174
104/04/21,734500,61.20,61.50,58.50,58.60,-2.50,531,43807300
104/04/22,263100,58.50,59.20,57.50,58.60,,215,15385300
104/04/23,1034200,56.00,61.30,55.70,60.20,1.60,709,61386100
104/04/24,458030,60.00,61.00,59.20,59.50,-0.70,308,27461182
104/04/27,481530,60.00,61.40,59.70,60.10,0.60,284,29205552
104/04/28,346530,61.00,61.00,60.00,60.00,-0.10,200,20921900
104/04/29,355087,59.80,60.80,59.60,60.00,,239,21404528
104/04/30,268000,60.60,60.60,59.20,59.80,-0.20,189,16015800
104/05/04,301500,60.30,60.30,58.50,59.20,-0.60,198,17845899
104/05/05,298000,59.20,59.20,58.30,58.60,-0.60,172,17525100
104/05/06,454000,58.30,60.10,57.50,58.60,,278,26743500
104/05/07,232000,58.00,59.60,57.80,58.30,-0.30,161,13620500
104/05/08,338278,58.60,59.10,57.10,57.10,-1.20,234,19587385
104/05/11,868110,57.10,57.70,53.60,53.60,-3.50,540,47902351
104/05/12,1638800,54.30,57.30,54.20,55.00,1.40,629,92356880
104/05/13,1782399,54.80,54.80,51.20,51.30,-3.70,964,92231966
104/05/14,965173,51.30,51.30,48.00,49.50,-1.80,675,47061168
104/05/15,478254,50.50,50.70,48.55,49.70,0.20,358,23821023
104/05/18,594418,49.70,49.70,46.25,46.70,-3.00,413,28019311
104/05/19,398850,45.70,47.10,45.10,46.50,-0.20,314,18442175
104/05/20,355000,47.00,47.60,46.35,47.25,0.75,248,16670700
104/05/21,349000,46.80,47.90,46.00,46.30,-0.95,229,16397500
104/05/22,315100,46.40,46.40,45.20,45.30,-1.00,251,14398834
104/05/25,458150,45.30,45.30,43.00,43.00,-2.30,349,20062200
104/05/26,979200,42.70,43.50,40.30,41.80,-1.20,742,40969450
104/05/27,561050,41.60,43.50,41.05,42.95,1.15,435,23838030
104/05/28,286250,43.65,43.80,42.70,43.00,0.05,191,12346900
104/05/29,1079400,43.50,46.00,43.10,44.20,1.20,742,48300000
104/06/01,341000,44.30,44.40,42.70,42.75,-1.45,260,14883600
104/06/02,226100,42.70,44.00,42.55,43.20,0.45,174,9858590
104/06/03,308000,43.20,44.55,42.50,42.70,-0.50,223,13327850
104/06/04,1100000,42.75,43.60,41.00,43.30,0.60,548,46765700
104/06/05,648180,43.30,45.25,42.65,44.70,1.40,438,28524342
104/06/08,273100,44.70,44.70,43.45,44.25,-0.45,203,12048149
104/06/09,603500,44.00,44.20,41.05,42.00,-2.25,370,25757325
104/06/10,201200,41.85,42.50,41.70,41.80,-0.20,163,8464950
104/06/11,476119,42.80,44.95,41.85,43.80,2.00,278,20685736
104/06/12,105000,43.60,43.95,43.15,43.50,-0.30,85,4581450
104/06/15,455440,44.00,45.70,43.80,45.50,2.00,285,20458788
104/06/16,292100,45.00,46.10,44.80,45.85,0.35,177,13328405
104/06/17,427119,45.85,47.45,45.85,46.05,0.20,247,19913450
104/06/18,487200,46.05,47.30,46.05,46.80,0.75,231,22852010
104/06/22,278307,46.90,46.90,45.20,45.90,-0.90,174,12749372
104/06/23,133000,46.45,46.45,45.90,46.20,0.30,84,6120900
104/06/24,242000,46.10,46.30,45.50,46.00,-0.20,86,11089850
104/06/25,125180,46.00,46.20,45.60,45.60,-0.40,67,5758999
104/06/26,198250,46.20,47.35,46.00,46.60,1.00,148,9299175
104/06/29,151000,46.20,46.20,44.90,45.10,-1.50,112,6847850
104/06/30,114250,44.50,45.60,44.50,45.50,0.40,54,5168550
104/07/01,428900,48.00,50.00,48.00,50.00,4.50,257,21228000
104/07/02,1296250,52.90,53.90,51.10,51.50,1.50,814,67574225
104/07/03,368357,51.50,52.00,50.10,51.40,-0.10,256,18692242
104/07/06,302500,51.30,51.40,49.00,49.90,-1.50,181,15214225
104/07/07,310706,50.00,50.90,48.90,50.60,0.70,179,15509770
104/07/08,484000,50.00,50.10,48.30,49.50,-1.10,212,23617750
104/07/09,505000,48.60,50.00,47.25,49.00,-0.50,239,24865300
104/07/13,463200,51.00,52.00,49.80,51.00,2.00,267,23533620
104/07/14,256090,51.00,51.70,48.85,48.90,-2.10,185,12683978
104/07/15,157000,48.60,49.55,48.50,48.90,,109,7675650
104/07/16,175500,49.00,49.45,48.50,48.50,-0.40,113,8556125
104/07/17,98000,48.60,48.80,48.00,48.45,-0.05,76,4737750
104/07/20,218050,48.75,49.35,47.50,47.50,-0.95,106,10543435
104/07/21,154000,47.50,47.70,46.65,47.40,-0.10,90,7259200
