首利            ,	1471
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,122415,9.20,9.20,9.05,9.15,0.05,74,1114394
104/01/06,384277,9.00,9.05,8.89,8.96,-0.19,147,3438267
104/01/07,257139,8.90,9.04,8.90,9.00,0.04,108,2315008
104/01/08,615237,9.00,9.21,9.00,9.12,0.12,226,5631948
104/01/09,290721,9.14,9.20,9.09,9.09,-0.03,121,2649041
104/01/12,694122,9.05,9.20,8.95,9.20,0.11,191,6301146
104/01/13,370330,9.20,9.25,9.10,9.10,-0.10,170,3394810
104/01/14,969891,9.05,9.38,9.05,9.36,0.26,329,8957208
104/01/15,1137754,9.40,9.47,9.22,9.22,-0.14,332,10652265
104/01/16,888831,9.22,9.36,9.11,9.11,-0.11,247,8239189
104/01/19,412041,9.11,9.27,8.81,8.81,-0.30,153,3710575
104/01/20,465386,8.81,8.90,8.62,8.87,0.06,171,4081269
104/01/21,250259,8.90,8.98,8.75,8.78,-0.09,131,2212946
104/01/22,226189,8.86,8.86,8.79,8.85,0.07,101,1996447
104/01/23,162486,8.95,8.98,8.86,8.91,0.06,98,1447791
104/01/26,355228,8.91,9.08,8.91,8.96,0.05,104,3191267
104/01/27,166546,9.04,9.05,8.91,8.96,,84,1497799
104/01/28,237692,8.96,8.99,8.87,8.97,0.01,112,2123209
104/01/29,457447,8.91,9.15,8.83,9.14,0.17,156,4116457
104/01/30,919024,9.16,9.18,8.96,8.96,-0.18,222,8379406
104/02/02,179779,9.05,9.05,8.81,8.87,-0.09,86,1591087
104/02/03,127731,8.83,8.87,8.80,8.85,-0.02,71,1130059
104/02/04,131613,8.90,8.90,8.82,8.84,-0.01,65,1165349
104/02/05,169128,8.86,8.89,8.80,8.81,-0.03,77,1490751
104/02/06,152721,8.61,8.80,8.61,8.78,-0.03,87,1329728
104/02/09,109235,8.77,8.79,8.70,8.70,-0.08,47,954557
104/02/10,345211,8.70,8.80,8.60,8.64,-0.06,119,2997641
104/02/11,160601,8.71,8.71,8.53,8.55,-0.09,88,1383261
104/02/12,321412,8.54,8.55,8.45,8.45,-0.10,94,2727272
104/02/13,133010,8.45,8.60,8.45,8.48,0.03,64,1131582
104/02/24,370214,8.70,8.70,8.47,8.53,0.05,120,3165575
104/02/25,104447,8.63,8.63,8.54,8.56,0.03,70,894260
104/02/26,351978,8.57,8.72,8.57,8.65,0.09,112,3041634
104/03/02,235293,8.66,8.71,8.60,8.60,-0.05,113,2035853
104/03/03,185869,8.62,8.66,8.62,8.65,0.05,76,1606024
104/03/04,270799,8.65,8.75,8.63,8.65,,100,2346414
104/03/05,209335,8.70,8.70,8.64,8.65,,99,1813037
104/03/06,377018,8.75,8.91,8.72,8.79,0.14,184,3313116
104/03/09,611418,8.75,9.06,8.72,9.00,0.21,244,5458785
104/03/10,381558,9.02,9.08,8.85,8.85,-0.15,166,3426438
104/03/11,315524,8.80,8.80,8.68,8.73,-0.12,162,2752459
104/03/12,137011,8.75,8.82,8.70,8.76,0.03,84,1197902
104/03/13,183490,8.77,8.89,8.71,8.73,-0.03,114,1609235
104/03/16,167624,8.89,8.89,8.65,8.65,-0.08,94,1463580
104/03/17,232991,8.67,8.73,8.61,8.61,-0.04,109,2022413
104/03/18,398285,8.63,8.66,8.61,8.61,,110,3432704
104/03/19,421301,8.66,8.66,8.59,8.60,-0.01,171,3631516
104/03/20,570701,8.61,8.70,8.61,8.62,0.02,187,4935240
104/03/23,2430989,8.74,9.20,8.68,8.98,0.36,777,21860578
104/03/24,714456,8.97,9.01,8.83,8.83,-0.15,271,6356008
104/03/25,396129,8.83,8.92,8.72,8.75,-0.08,165,3488738
104/03/26,388398,8.70,8.80,8.67,8.76,0.01,138,3391823
104/03/27,263829,8.78,8.78,8.66,8.66,-0.10,152,2297824
104/03/30,446727,8.66,8.72,8.55,8.55,-0.11,359,3854695
104/03/31,284034,8.56,8.60,8.43,8.54,-0.01,192,2424795
104/04/01,348446,8.50,8.58,8.35,8.35,-0.19,187,2933821
104/04/02,230316,8.44,8.49,8.37,8.40,0.05,155,1943869
104/04/07,248190,8.45,8.50,8.41,8.46,0.06,169,2093418
104/04/08,253783,8.46,8.65,8.42,8.50,0.04,189,2158277
104/04/09,386479,8.50,8.68,8.42,8.55,0.05,216,3320575
104/04/10,189013,8.61,8.62,8.44,8.49,-0.06,115,1606995
104/04/13,119557,8.50,8.53,8.45,8.48,-0.01,135,1014943
104/04/14,316673,8.48,8.67,8.45,8.65,0.17,186,2701273
104/04/15,373602,8.70,8.70,8.53,8.68,0.03,219,3220385
104/04/16,338283,8.70,8.75,8.62,8.62,-0.06,195,2937540
104/04/17,331263,8.83,8.84,8.63,8.72,0.10,232,2893951
104/04/20,223417,8.70,8.74,8.51,8.58,-0.14,242,1927430
104/04/21,349125,8.75,8.75,8.52,8.67,0.09,261,3019784
104/04/22,271328,8.66,8.66,8.47,8.54,-0.13,230,2316989
104/04/23,398987,8.56,8.63,8.45,8.45,-0.09,208,3391364
104/04/24,208806,8.53,8.58,8.45,8.46,0.01,136,1776863
104/04/27,289595,8.46,8.50,8.41,8.43,-0.03,145,2444417
104/04/28,339073,8.45,8.50,8.38,8.41,-0.02,146,2862983
104/04/29,278052,8.40,8.47,8.37,8.37,-0.04,170,2336878
104/04/30,597776,8.40,8.42,8.26,8.42,0.05,238,4978074
104/05/04,265479,8.47,8.50,8.27,8.32,-0.10,146,2214811
104/05/05,270674,8.28,8.32,8.14,8.28,-0.04,108,2230721
104/05/06,393547,8.26,8.28,8.12,8.22,-0.06,160,3222699
104/05/07,482584,8.20,8.22,8.03,8.03,-0.19,180,3913312
104/05/08,324953,8.06,8.11,8.00,8.07,0.04,131,2616291
104/05/11,765898,8.10,8.16,7.61,7.88,-0.19,246,6007267
104/05/12,219290,7.85,8.20,7.84,7.87,-0.01,135,1738758
104/05/13,159175,7.89,8.00,7.86,7.98,0.11,114,1261793
104/05/14,156250,7.98,8.05,7.87,7.88,-0.10,89,1241135
104/05/15,201631,7.98,8.15,7.81,7.82,-0.06,117,1594363
104/05/18,413025,7.82,8.10,7.80,7.92,0.10,178,3245917
104/05/19,161551,7.93,7.93,7.81,7.85,-0.07,125,1266362
104/05/20,178290,7.85,7.94,7.80,7.80,-0.05,75,1398527
104/05/21,375673,7.81,8.05,7.70,7.87,0.07,147,2937188
104/05/22,294345,7.87,7.99,7.79,7.95,0.08,152,2318722
104/05/25,860031,7.87,8.38,7.87,8.10,0.15,287,7015488
104/05/26,456797,8.23,8.23,8.00,8.02,-0.08,188,3683016
104/05/27,684702,8.00,8.11,7.94,8.11,0.09,112,5539045
104/05/28,486076,8.11,8.30,8.11,8.28,0.17,215,3993269
104/05/29,737750,8.28,8.34,8.20,8.25,-0.03,164,6097554
104/06/01,93233,8.27,8.29,8.13,8.14,-0.11,57,762875
104/06/02,2772009,8.20,8.67,8.11,8.44,0.30,670,23264824
104/06/03,638124,8.32,8.42,8.06,8.06,-0.38,251,5249564
104/06/04,969445,8.07,8.10,7.60,7.72,-0.34,393,7567254
104/06/05,1964178,7.52,7.66,7.20,7.21,-0.51,508,14362306
104/06/08,1990680,7.21,7.21,6.65,6.70,-0.51,569,13469684
104/06/09,3038156,6.69,6.69,6.03,6.03,-0.67,595,18850043
104/06/10,1177903,5.80,6.30,5.80,6.08,0.05,551,7141123
104/06/11,3706704,6.03,6.03,5.48,5.48,-0.60,868,20660581
104/06/12,3159566,5.51,5.70,5.51,5.62,0.14,752,17664982
104/06/15,1698332,5.62,5.62,5.49,5.56,-0.06,389,9399482
104/06/16,1398103,5.60,5.60,5.48,5.48,-0.08,327,7699565
104/06/17,3035143,5.48,5.75,5.48,5.56,0.08,679,17251514
104/06/18,1546845,5.63,5.83,5.60,5.78,0.22,461,8882770
104/06/22,1600596,5.83,5.88,5.73,5.78,,414,9342205
104/06/23,439026,5.84,5.90,5.78,5.78,,162,2558330
104/06/24,636151,5.79,5.82,5.58,5.63,-0.15,245,3614073
104/06/25,684632,5.64,5.76,5.59,5.69,0.06,276,3881561
104/06/26,290039,5.69,5.75,5.66,5.67,-0.02,141,1654135
104/06/29,516553,5.65,5.65,5.49,5.49,-0.18,157,2856283
104/06/30,275716,5.52,5.63,5.50,5.57,0.08,113,1533236
104/07/01,379304,5.59,5.77,5.58,5.69,0.12,148,2157066
104/07/02,508931,5.74,5.81,5.70,5.72,0.03,176,2929948
104/07/03,466130,5.79,5.80,5.64,5.72,,154,2668701
104/07/06,528001,5.73,5.77,5.51,5.52,-0.20,158,2959645
104/07/07,337344,5.66,5.66,5.42,5.50,-0.02,140,1866406
104/07/08,1166343,5.55,5.55,5.00,5.07,-0.43,389,6022785
104/07/09,593033,5.00,5.04,4.76,4.95,-0.12,196,2911415
104/07/13,343204,5.01,5.12,5.00,5.06,0.11,153,1736611
104/07/14,372238,5.24,5.25,5.06,5.12,0.06,170,1904660
104/07/15,180779,5.12,5.18,5.08,5.13,0.01,71,924024
104/07/16,459640,5.10,5.14,4.93,5.01,-0.12,161,2312780
104/07/17,124011,5.02,5.10,4.96,4.96,-0.05,66,621202
104/07/20,293306,5.07,5.07,4.89,4.89,-0.07,105,1451746
