豐興            ,	2015
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,510380,38.85,38.90,38.55,38.70,-0.15,387,19739160
104/01/06,454800,38.65,38.70,38.40,38.50,-0.20,332,17511009
104/01/07,299213,38.40,38.90,38.40,38.60,0.10,212,11555859
104/01/08,246521,38.70,38.90,38.60,38.90,0.30,149,9554219
104/01/09,423499,38.80,39.05,38.50,38.80,-0.10,229,16414661
104/01/12,131301,38.80,38.90,38.70,38.70,-0.10,116,5090689
104/01/13,203107,38.70,39.00,38.70,38.90,0.20,123,7898931
104/01/14,376100,39.35,39.35,38.70,39.05,0.15,221,14646104
104/01/15,327211,38.80,39.00,38.60,38.70,-0.35,209,12688473
104/01/16,498248,38.70,38.70,38.30,38.35,-0.35,294,19147722
104/01/19,121406,38.50,38.50,38.25,38.35,,98,4654238
104/01/20,224180,38.35,38.60,38.30,38.40,0.05,139,8614774
104/01/21,264309,38.90,38.95,38.40,38.85,0.45,195,10242888
104/01/22,374762,38.90,38.90,38.55,38.70,-0.15,301,14495625
104/01/23,307275,38.70,38.80,38.60,38.70,,147,11898075
104/01/26,254848,38.70,38.70,38.50,38.50,-0.20,171,9826586
104/01/27,250031,38.95,38.95,38.45,38.55,0.05,200,9640746
104/01/28,314056,38.40,38.55,38.40,38.45,-0.10,160,12085961
104/01/29,166528,38.45,38.60,38.40,38.60,0.15,106,6411558
104/01/30,195502,38.75,38.75,38.60,38.70,0.10,109,7559627
104/02/02,386255,38.75,39.05,38.70,39.00,0.30,243,15051795
104/02/03,264488,39.05,39.05,38.90,38.95,-0.05,162,10311329
104/02/04,245564,39.00,39.20,39.00,39.05,0.10,147,9601934
104/02/05,162625,39.20,39.20,38.80,38.85,-0.20,103,6326155
104/02/06,275087,39.10,39.10,38.90,39.00,0.15,197,10722957
104/02/09,130831,39.10,39.10,39.00,39.10,0.10,92,5108215
104/02/10,317639,39.10,39.20,38.90,39.00,-0.10,215,12410071
104/02/11,150157,39.00,39.15,38.75,39.00,,99,5842137
104/02/12,104069,39.00,39.10,38.85,38.95,-0.05,74,4050707
104/02/13,187050,39.00,39.00,38.85,38.95,,123,7279200
104/02/24,325054,39.00,39.10,38.85,39.05,0.10,233,12665006
104/02/25,667761,39.00,39.10,38.90,39.00,-0.05,258,26063871
104/02/26,251022,39.10,39.15,39.00,39.00,,163,9795812
104/03/02,204605,39.00,39.15,39.00,39.05,0.05,141,7996073
104/03/03,178895,39.05,39.15,39.00,39.05,,129,6990555
104/03/04,660003,39.05,39.15,39.00,39.15,0.10,317,25783617
104/03/05,386268,39.20,39.20,39.05,39.10,-0.05,249,15118367
104/03/06,388191,39.00,39.20,39.00,39.20,0.10,202,15182096
104/03/09,293403,39.10,39.15,39.00,39.05,-0.15,160,11459332
104/03/10,255739,39.00,39.15,39.00,39.10,0.05,208,9995550
104/03/11,347553,39.00,39.05,38.90,38.90,-0.20,300,13547471
104/03/12,366423,38.90,39.05,38.90,39.05,0.15,257,14269871
104/03/13,409245,39.10,39.25,38.95,39.25,0.20,262,16009689
104/03/16,349997,39.25,39.25,39.00,39.05,-0.20,232,13673330
104/03/17,490356,39.05,39.15,38.90,38.95,-0.10,312,19105099
104/03/18,999973,38.90,39.10,38.65,38.70,-0.25,728,38798199
104/03/19,2175503,38.70,38.70,37.85,38.00,-0.70,1279,83142517
104/03/20,3695533,38.00,38.00,37.55,37.60,-0.40,1229,139127304
104/03/23,1079589,37.60,39.75,37.60,38.65,1.05,759,41888971
104/03/24,496596,38.50,39.00,38.40,38.70,0.05,264,19170856
104/03/25,483133,39.00,39.00,38.60,38.85,0.15,309,18753417
104/03/26,596145,38.85,38.95,38.75,38.95,0.10,482,23149955
104/03/27,480531,38.95,39.05,38.75,39.05,0.10,285,18680139
104/03/30,288715,39.10,39.20,39.00,39.20,0.15,225,11295714
104/03/31,431451,39.20,39.30,39.10,39.30,0.10,251,16923971
104/04/01,202725,39.30,39.30,39.15,39.20,-0.10,131,7950191
104/04/02,314273,39.30,39.30,39.20,39.30,0.10,208,12341220
104/04/07,285195,39.35,39.60,39.30,39.60,0.30,201,11246918
104/04/08,552223,39.60,40.40,39.50,40.35,0.75,355,22014033
104/04/09,776998,40.35,40.90,40.20,40.80,0.45,480,31587962
104/04/10,552956,40.85,40.90,40.45,40.60,-0.20,289,22491261
104/04/13,424776,40.60,40.75,40.50,40.65,0.05,212,17254699
104/04/14,323715,40.65,40.80,40.50,40.75,0.10,189,13175074
104/04/15,747503,40.75,41.10,40.70,41.00,0.25,457,30606529
104/04/16,553311,41.20,41.20,40.65,40.95,-0.05,290,22684579
104/04/17,449582,40.95,41.15,40.85,41.15,0.20,281,18424867
