潤泰材          ,	8463
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/07/13,5740000,40.00,40.00,37.95,37.95,X,3835,219834850
104/07/14,2936500,38.10,39.70,38.10,39.00,1.05,1777,114159100
104/07/15,2676100,39.30,39.45,38.50,39.10,0.10,1305,104811550
104/07/16,1138000,39.10,39.10,38.80,38.90,-0.20,591,44282000
104/07/17,1048000,38.90,38.95,38.70,38.90,,556,40725300
104/07/20,670782,38.60,38.75,35.55,35.60,-3.30,499,24457892
104/07/21,642000,35.00,35.00,32.25,33.10,-2.50,431,21381150
104/07/22,632108,33.00,33.00,31.25,31.70,-1.40,382,20151339
104/07/23,793466,31.30,31.35,29.20,30.00,-1.70,494,23907680
104/07/24,407200,30.00,31.75,29.10,30.35,0.35,260,12317020
104/07/27,319456,29.40,29.75,28.60,28.80,-1.55,210,9285724
104/07/28,426200,28.00,28.90,27.00,28.15,-0.65,255,12007200
104/07/29,212000,28.30,28.70,27.90,28.05,-0.10,111,5952550
104/07/30,243050,28.50,29.00,28.15,28.30,0.25,129,6952550
104/07/31,135465,28.60,28.60,27.30,27.30,-1.00,100,3773087
104/08/03,136600,27.50,27.50,26.50,26.50,-0.80,92,3662100
104/08/04,189010,27.10,27.10,25.30,25.40,-1.10,126,4909613
104/08/05,227009,25.40,25.50,24.80,24.90,-0.50,161,5695032
104/08/06,195000,25.00,25.20,24.85,24.85,-0.05,110,4870700
104/08/07,160100,24.95,24.95,24.50,24.80,-0.05,93,3950950
104/08/10,405100,25.20,27.25,25.20,27.25,2.45,268,10890425
104/08/11,443380,27.50,27.70,26.50,26.55,-0.70,278,12086675
104/08/12,148170,26.10,26.65,25.90,26.05,-0.50,109,3881373
104/08/13,110000,26.30,26.90,26.10,26.20,0.15,82,2909450
104/08/14,128400,26.25,26.90,26.25,26.60,0.40,94,3418050
104/08/17,100210,26.60,26.60,25.70,25.85,-0.75,67,2596160
104/08/18,89001,25.70,25.75,25.20,25.30,-0.55,60,2264525
104/08/19,304450,25.10,25.10,23.70,24.40,-0.90,202,7403735
104/08/20,115000,24.40,24.40,24.00,24.05,-0.35,75,2780900
104/08/21,182158,22.90,23.80,22.55,22.90,-1.15,119,4186930
104/08/24,1044100,22.80,25.15,20.65,24.15,1.25,524,23653645
104/08/25,443100,24.15,24.50,22.65,23.40,-0.75,271,10421670
104/08/26,183000,23.05,24.70,23.00,24.00,0.60,129,4383850
104/08/27,178050,24.20,24.80,24.00,24.40,0.40,122,4326820
104/08/28,384131,24.80,25.50,24.80,25.10,0.70,269,9698017
104/08/31,329103,26.40,26.40,25.15,26.15,1.05,232,8511858
104/09/01,191000,26.10,26.10,25.55,25.85,-0.30,129,4921050
104/09/02,152385,25.70,25.80,24.95,25.70,-0.15,117,3868360
104/09/03,112080,26.15,26.20,25.50,25.70,,80,2881464
104/09/04,133000,25.60,25.60,25.05,25.10,-0.60,108,3360700
104/09/07,61100,25.00,25.75,25.00,25.50,0.40,46,1547430
104/09/08,55000,25.50,25.60,25.25,25.40,-0.10,36,1397100
104/09/09,111000,26.00,26.00,25.55,25.60,0.20,81,2852950
104/09/10,627119,25.70,28.15,25.65,28.15,2.55,399,17361898
104/09/11,609125,27.40,27.70,26.90,27.30,-0.85,386,16686050
104/09/14,224051,27.40,27.55,26.70,26.90,-0.40,167,6038397
104/09/15,261290,26.55,27.80,26.55,27.70,0.80,182,7138883
104/09/16,358050,28.00,28.50,27.55,27.65,-0.05,243,10038165
104/09/17,167400,27.65,27.90,27.10,27.45,-0.20,133,4617780
104/09/18,143001,27.90,28.10,27.50,27.95,0.50,113,3987727
104/09/21,154214,28.10,28.10,27.05,27.45,-0.50,121,4214513
104/09/22,238000,27.45,28.30,27.45,27.95,0.50,169,6654250
104/09/23,237000,27.90,27.90,27.00,27.00,-0.95,162,6453000
104/09/24,196000,27.40,27.40,25.65,26.25,-0.75,151,5162200
104/09/25,177000,26.20,26.55,25.70,25.70,-0.55,143,4590600
104/09/30,96050,25.65,25.70,25.20,25.50,-0.20,63,2439870
104/10/01,139000,25.95,26.00,25.50,25.75,0.25,68,3575300
104/10/02,115050,25.75,26.55,25.75,26.15,0.40,97,3008750
104/10/05,80000,26.20,26.30,26.15,26.15,,54,2097200
104/10/06,151050,26.25,26.55,26.15,26.15,,90,3976007
104/10/07,73000,26.15,26.20,26.10,26.10,-0.05,51,1907750
104/10/08,113386,26.10,26.10,25.50,25.70,-0.40,72,2914919
104/10/12,86000,25.70,25.70,25.40,25.50,-0.20,70,2197350
104/10/13,170000,25.70,25.70,25.30,25.40,-0.10,103,4331300
104/10/14,100000,25.60,25.60,25.40,25.50,0.10,61,2548900
