天仁            ,	1233
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,56021,47.15,47.15,46.80,46.85,-0.30,27,2629779
104/01/06,15000,47.00,47.00,46.80,46.85,,12,702850
104/01/07,6242,46.95,47.10,46.95,47.00,0.15,7,293286
104/01/08,26012,46.95,47.00,46.85,46.95,-0.05,21,1220765
104/01/09,29319,47.00,47.00,46.80,47.00,0.05,28,1374043
104/01/12,28202,47.00,47.00,46.80,46.90,-0.10,27,1322112
104/01/13,21000,47.00,47.05,46.80,46.90,,18,986300
104/01/14,18030,46.80,46.80,46.75,46.80,-0.10,17,843760
104/01/15,14322,47.00,47.00,46.80,46.80,,20,671053
104/01/16,23000,46.80,46.85,46.75,46.75,-0.05,19,1076500
104/01/19,12093,46.75,46.95,46.70,46.95,0.20,15,565521
104/01/20,7100,46.95,46.95,46.90,46.90,-0.05,8,333260
104/01/21,14886,46.85,47.00,46.85,47.00,0.10,17,699206
104/01/22,43155,47.20,47.20,46.80,47.00,,29,2026353
104/01/23,29000,47.10,47.10,46.80,46.80,-0.20,23,1361000
104/01/26,23756,46.80,47.30,46.70,46.80,,26,1113329
104/01/27,43292,46.90,47.00,46.80,46.80,,30,2029563
104/01/28,17001,47.00,47.00,46.80,46.90,0.10,16,796499
104/01/29,14320,47.00,47.00,46.75,46.90,,16,670785
104/01/30,29135,46.90,46.90,46.75,46.80,-0.10,14,1365745
104/02/02,16001,46.80,46.80,46.75,46.80,,10,748347
104/02/03,27121,47.00,47.00,46.80,46.80,,25,1270999
104/02/04,31200,46.80,46.90,46.80,46.80,,19,1460300
104/02/05,18886,46.80,46.80,46.75,46.75,-0.05,17,883518
104/02/06,14655,46.75,46.85,46.50,46.85,0.10,17,683435
104/02/09,46110,46.85,46.85,46.70,46.85,,16,2158920
104/02/10,47500,46.85,47.20,46.80,47.10,0.25,23,2230649
104/02/11,65200,47.10,47.10,46.80,47.10,,32,3057000
104/02/12,26380,47.10,47.10,46.80,46.90,-0.20,18,1238160
104/02/13,21300,46.80,47.05,46.70,47.05,0.15,20,997634
104/02/24,110299,47.05,47.10,46.80,47.05,,51,5181693
104/02/25,160885,47.00,47.00,46.55,46.80,-0.25,63,7523558
104/02/26,95211,46.80,47.30,46.80,47.30,0.50,35,4461680
104/03/02,164472,47.20,47.20,46.90,47.10,-0.20,50,7724726
104/03/03,40200,47.10,47.10,47.00,47.00,-0.10,28,1890579
104/03/04,21509,47.00,47.00,47.00,47.00,,15,1011075
104/03/05,10011,47.00,47.15,47.00,47.00,,10,470670
104/03/06,10003,47.00,47.00,47.00,47.00,,10,470141
104/03/09,53200,47.00,47.05,47.00,47.00,,22,2500450
104/03/10,17001,47.00,47.05,47.00,47.05,0.05,17,799547
104/03/11,51595,46.90,46.90,46.60,46.80,-0.25,55,2413563
104/03/12,16131,46.70,47.00,46.70,46.80,,18,756007
104/03/13,23000,47.00,47.00,47.00,47.00,0.20,12,1081000
104/03/16,87076,47.00,47.10,47.00,47.00,,46,4096054
104/03/17,45500,46.80,47.10,46.80,47.00,,31,2136750
104/03/18,59322,47.00,47.20,47.00,47.20,0.20,45,2789915
104/03/19,43164,47.20,47.20,46.90,46.95,-0.25,37,2028558
104/03/20,22001,46.90,47.15,46.90,47.15,0.20,12,1034647
104/03/23,38117,47.15,47.15,47.00,47.10,-0.05,40,1792565
104/03/24,47590,47.15,47.30,47.00,47.00,-0.10,31,2238130
104/03/25,54056,47.00,47.00,46.80,46.80,-0.20,33,2535925
104/03/26,22006,47.00,47.20,46.90,47.20,0.40,23,1035782
104/03/27,32004,47.00,47.15,47.00,47.00,-0.20,23,1505888
104/03/30,20042,47.20,47.30,47.00,47.15,0.15,23,945129
104/03/31,15100,47.30,47.30,47.15,47.20,0.05,13,712720
104/04/01,94043,47.20,47.20,46.75,46.75,-0.45,51,4404533
104/04/02,42159,46.90,47.10,46.75,47.00,0.25,37,1976023
104/04/07,39521,47.00,47.10,46.80,47.10,0.10,34,1854487
104/04/08,24045,47.00,47.00,46.95,47.00,-0.10,28,1129868
104/04/09,31000,47.00,47.00,46.90,47.00,,20,1456500
104/04/10,62001,46.90,46.90,46.70,46.80,-0.20,36,2901147
104/04/13,39000,46.80,46.95,46.70,46.70,-0.10,33,1825000
104/04/14,15101,46.90,46.90,46.70,46.70,,15,706317
104/04/15,32094,46.80,46.90,46.60,46.60,-0.10,38,1499536
104/04/16,36004,46.60,46.90,46.60,46.65,0.05,33,1679684
104/04/17,33160,46.60,46.90,46.50,46.90,0.25,32,1544970
104/04/20,17307,46.90,46.90,46.65,46.80,-0.10,14,809571
104/04/21,14320,46.85,46.85,46.60,46.80,,13,668244
104/04/22,70142,47.00,47.00,46.50,46.75,-0.05,49,3271601
104/04/23,41100,46.80,46.85,46.60,46.60,-0.15,38,1920800
104/04/24,35456,46.60,46.90,46.60,46.85,0.25,38,1659634
104/04/27,103250,46.90,47.20,46.90,47.10,0.25,85,4857024
104/04/28,28344,47.15,47.15,47.00,47.15,0.05,31,1334717
104/04/29,92001,47.15,47.20,46.90,47.00,-0.15,65,4328247
104/04/30,55000,47.10,47.10,46.70,47.00,,43,2581800
104/05/04,36500,47.00,47.00,46.80,46.80,-0.20,26,1714998
104/05/05,222470,46.70,46.70,45.50,46.10,-0.70,193,10245093
104/05/06,82751,46.00,46.45,46.00,46.45,0.35,86,3834169
104/05/07,42074,46.45,46.60,46.40,46.55,0.10,42,1955844
104/05/08,33238,46.50,46.55,46.20,46.55,,29,1540677
104/05/11,64707,46.55,46.55,46.10,46.30,-0.25,70,2994223
104/05/12,24002,46.30,46.80,46.30,46.55,0.25,24,1116544
104/05/13,76001,46.50,46.50,45.80,46.20,-0.35,47,3505897
104/05/14,16310,46.25,46.25,46.20,46.20,,18,753621
104/05/15,27201,46.30,46.35,45.85,45.85,-0.35,25,1252405
104/05/18,74003,45.85,45.85,45.20,45.50,-0.35,64,3364688
104/05/19,41507,45.50,45.70,45.30,45.70,0.20,42,1889015
104/05/20,27170,45.70,45.70,45.40,45.40,-0.30,30,1237085
104/05/21,39738,45.50,45.50,45.20,45.20,-0.20,39,1801503
104/05/22,25353,45.20,45.35,45.20,45.35,0.15,23,1148102
104/05/25,84010,45.10,45.10,44.50,44.60,-0.75,79,3756250
104/05/26,44000,44.60,44.80,44.50,44.60,,41,1960950
104/05/27,20000,44.50,45.70,44.50,45.05,0.45,18,898800
104/05/28,22242,45.05,45.45,45.00,45.40,0.35,22,1003012
104/05/29,23173,45.65,45.85,45.40,45.50,0.10,25,1055479
104/06/01,32374,45.50,45.50,44.90,44.90,-0.60,31,1458716
104/06/02,24560,45.00,45.00,44.90,44.90,,23,1105182
104/06/03,36160,45.00,45.00,44.80,44.80,-0.10,32,1623731
104/06/04,24350,44.85,44.85,44.50,44.50,-0.30,26,1087930
104/06/05,68050,44.50,44.50,44.05,44.10,-0.40,38,3020750
104/06/08,47050,43.80,44.40,43.65,43.70,-0.40,37,2059564
104/06/09,21056,43.80,44.00,43.70,43.95,0.25,19,924492
104/06/10,20056,43.95,44.00,43.65,43.80,-0.15,21,879847
104/06/11,35200,43.80,44.00,43.45,43.70,-0.10,29,1537810
104/06/12,7210,43.65,43.70,43.65,43.70,,9,314908
104/06/15,32046,43.70,43.90,43.65,43.65,-0.05,25,1400868
104/06/16,26000,43.85,43.85,43.65,43.70,0.05,24,1135300
104/06/17,50393,43.70,43.95,43.00,43.10,-0.60,48,2189583
104/06/18,18000,43.60,43.60,43.10,43.30,0.20,16,777650
104/06/22,34190,43.45,43.45,43.30,43.40,0.10,30,1483489
104/06/23,27000,43.70,43.85,43.70,43.80,0.40,16,1182150
104/06/24,13692,44.00,44.00,43.80,43.80,,17,600592
104/06/25,16046,43.80,44.50,43.80,44.45,0.65,18,705843
104/06/26,45790,44.60,44.65,43.90,44.60,0.15,31,2018460
104/06/29,67109,44.50,44.50,43.90,44.05,-0.55,28,2967461
104/06/30,8012,44.10,44.45,44.10,44.20,0.15,7,355033
104/07/01,16090,44.30,44.60,44.30,44.55,0.35,17,714368
104/07/02,15082,44.60,44.60,44.00,44.50,-0.05,14,669660
104/07/03,27130,44.55,44.55,43.40,44.00,-0.50,28,1187889
104/07/06,35050,43.95,44.30,43.90,44.00,,20,1541529
104/07/07,7586,44.90,45.00,44.80,44.80,0.80,11,340593
104/07/08,30156,44.80,44.80,43.80,44.20,-0.60,29,1333688
104/07/09,24050,43.60,43.80,43.20,43.80,-0.40,24,1046139
104/07/13,44830,43.85,44.40,43.60,44.40,0.60,35,1972115
104/07/14,47750,43.45,43.45,42.30,42.40,X,54,2035574
104/07/15,23020,42.50,42.50,42.40,42.50,0.10,23,976717
104/07/16,34500,42.50,42.60,42.00,42.00,-0.50,33,1453024
104/07/17,48347,42.50,42.90,42.00,42.05,0.05,38,2040678
104/07/20,31267,42.05,42.30,42.00,42.00,-0.05,25,1314364
104/07/21,23568,41.80,42.00,41.70,41.80,-0.20,24,984884
104/07/22,14000,41.80,41.95,41.80,41.95,0.15,10,586350
104/07/23,10100,42.45,42.45,41.95,42.00,0.05,9,425025
104/07/24,8050,42.00,42.00,41.80,41.80,-0.20,9,337512
104/07/27,32208,41.80,42.00,41.00,41.00,-0.80,25,1336297
104/07/28,26823,42.00,42.00,40.90,41.95,0.95,27,1110730
104/07/29,12148,41.95,42.00,41.80,42.00,0.05,12,509380
104/07/30,7752,42.00,42.00,40.05,41.00,-1.00,11,317657
104/07/31,10010,41.00,41.00,40.90,40.90,-0.10,11,410260
104/08/03,19000,41.00,41.95,40.80,40.90,,16,780050
104/08/04,12000,41.70,41.70,40.50,40.70,-0.20,12,488500
104/08/05,25044,40.70,41.50,40.50,41.00,0.30,25,1027992
104/08/06,3062,41.00,41.00,40.70,40.70,-0.30,6,125291
104/08/07,16300,40.55,41.00,40.55,41.00,0.30,15,665530
104/08/10,7061,41.00,41.50,40.80,41.30,0.30,8,290431
104/08/11,19188,41.00,41.30,40.80,41.30,,22,787482
104/08/12,4089,41.30,41.30,40.95,41.00,-0.30,4,167961
104/08/13,25316,39.55,40.50,39.55,40.10,-0.90,24,1011800
104/08/14,21441,40.10,40.60,40.10,40.15,0.05,19,865631
104/08/17,112510,40.00,40.00,38.60,38.95,-1.20,64,4417098
104/08/18,24206,39.50,39.50,39.10,39.20,0.25,23,950375
104/08/19,82900,39.20,39.20,37.50,38.00,-1.20,74,3173588
104/08/20,31343,38.20,39.20,38.20,39.20,1.20,27,1217479
104/08/21,22300,39.20,39.20,37.60,38.50,-0.70,20,858300
104/08/24,117109,38.00,38.30,37.00,37.00,-1.50,87,4400285
104/08/25,32400,37.00,37.60,37.00,37.05,0.05,23,1205700
104/08/26,153270,36.80,37.50,36.00,37.50,0.45,67,5578502
104/08/27,53000,37.60,37.60,36.90,37.30,-0.20,46,1971800
104/08/28,47102,37.50,38.50,37.40,38.50,1.20,39,1784370
104/08/31,35100,38.00,39.00,37.85,38.50,,28,1345920
104/09/01,35005,38.30,38.35,38.00,38.30,-0.20,20,1333145
104/09/02,11429,37.80,38.20,37.70,38.00,-0.30,16,432486
104/09/03,11000,38.00,38.45,37.70,38.00,,11,418050
104/09/04,6080,38.30,38.30,37.80,37.80,-0.20,6,230440
104/09/07,12100,38.00,38.00,37.70,37.70,-0.10,12,457300
104/09/08,60,--,--,--,--,,3,2280
104/09/09,21417,38.00,38.00,37.90,38.00,X,24,813546
104/09/10,8008,38.00,38.10,37.70,38.10,0.10,9,304216
104/09/11,14002,37.50,37.90,37.50,37.80,-0.30,12,528426
104/09/14,35000,37.70,37.70,37.40,37.40,-0.40,19,1313600
104/09/15,13060,37.20,37.80,37.10,37.50,0.10,11,490404
104/09/16,7001,37.50,37.50,37.50,37.50,,6,262537
104/09/17,22000,37.50,37.80,37.50,37.70,0.20,17,827150
104/09/18,11180,37.70,38.00,37.70,38.00,0.30,14,424672
104/09/21,25000,38.00,38.00,37.45,37.45,-0.55,23,939250
104/09/22,7450,37.50,37.50,37.40,37.40,-0.05,8,279105
104/09/23,14001,37.20,37.40,37.05,37.10,-0.30,15,519837
104/09/24,5159,37.40,37.40,37.10,37.10,,6,192078
104/09/25,5525,37.50,37.50,37.45,37.50,0.40,8,207137
104/09/30,3000,37.50,37.50,37.50,37.50,,3,112500
104/10/01,6440,37.40,37.40,37.20,37.30,-0.20,11,241077
104/10/02,8300,37.80,38.00,37.70,37.70,0.40,12,314108
104/10/05,19049,37.60,38.00,37.60,37.60,-0.10,18,720290
104/10/06,17253,37.60,37.70,37.25,37.25,-0.35,18,648340
104/10/07,3052,37.60,37.60,37.50,37.50,0.25,6,114576
104/10/08,12000,37.60,37.95,37.60,37.95,0.45,10,454050
104/10/12,27210,38.00,38.50,38.00,38.40,0.45,27,1043835
104/10/13,7056,38.50,38.50,38.40,38.40,,10,271326
104/10/14,15000,38.40,38.75,38.40,38.50,0.10,13,577850
104/10/15,20030,38.70,38.80,38.20,38.80,0.30,18,770870
104/10/16,6090,38.80,38.80,38.50,38.75,-0.05,8,235442
104/10/19,27155,38.75,38.80,38.30,38.50,-0.25,19,1050289
104/10/20,14050,38.60,38.60,38.45,38.50,,14,540985
104/10/21,25391,38.80,39.00,38.50,39.00,0.50,27,985949
104/10/22,8050,38.90,39.00,38.70,39.00,,10,313079
104/10/23,29365,38.70,38.80,38.50,38.80,-0.20,21,1134760
104/10/26,32100,38.70,39.00,38.50,38.50,-0.30,25,1239440
104/10/27,15200,38.50,38.50,38.35,38.35,-0.15,12,584750
104/10/28,25030,38.40,38.60,38.35,38.60,0.25,17,963120
104/10/29,8237,38.55,38.55,38.30,38.30,-0.30,10,316324
104/10/30,8000,38.15,38.50,38.00,38.50,0.20,7,305450
104/11/02,25244,38.50,38.50,38.50,38.50,,13,972186
104/11/03,7000,38.50,38.70,38.50,38.55,0.05,7,270300
104/11/04,49092,38.70,39.00,38.55,39.00,0.45,37,1904147
104/11/05,11136,39.00,39.00,38.55,39.00,,13,431972
104/11/06,20004,39.00,39.00,38.50,38.50,-0.50,19,771910
104/11/09,10200,39.00,39.10,38.70,38.90,0.40,11,396600
104/11/10,17062,38.90,38.90,38.50,38.50,-0.40,13,658593
104/11/11,18154,38.50,38.70,37.60,38.60,0.10,21,697659
104/11/12,13937,38.35,38.35,37.80,37.80,-0.80,16,529556
104/11/13,6000,37.80,37.80,37.80,37.80,,4,226800
104/11/16,9000,37.90,37.90,37.60,37.60,-0.20,8,339100
104/11/17,50000,37.70,38.00,37.60,38.00,0.40,20,1889850
104/11/18,12000,38.20,38.20,37.50,37.50,-0.50,11,453100
104/11/19,13168,37.10,37.30,37.10,37.30,-0.20,16,489866
104/11/20,17050,37.50,37.60,37.30,37.60,0.30,18,639584
104/11/23,15000,37.60,38.00,37.60,38.00,0.40,10,567800
104/11/24,18000,38.00,38.00,37.50,38.00,,10,682600
104/11/25,15265,38.00,38.00,37.60,37.60,-0.40,11,579207
104/11/26,9103,37.60,37.65,37.60,37.65,0.05,11,342464
104/11/27,9000,37.60,37.90,37.60,37.60,-0.05,8,338700
104/11/30,5010,37.50,38.00,37.50,37.50,-0.10,6,188378
104/12/01,16000,37.50,37.60,37.20,37.45,-0.05,16,599400
104/12/02,38328,37.50,37.50,37.20,37.20,-0.25,27,1430732
104/12/03,24000,37.50,37.50,37.00,37.00,-0.20,22,889700
