超眾            ,	6230
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,541000,84.80,84.80,83.70,84.40,-0.40,396,45441400
104/01/06,386000,83.90,84.30,83.40,83.50,-0.90,303,32312800
104/01/07,475800,83.50,84.40,83.20,83.50,,383,39775279
104/01/08,479744,84.00,85.50,84.00,84.30,0.80,351,40643520
104/01/09,549026,85.00,85.60,84.30,85.60,1.30,374,46791924
104/01/12,2329546,86.10,88.60,86.10,86.50,0.90,1553,204071228
104/01/13,805060,87.00,87.80,86.70,87.00,0.50,622,70335389
104/01/14,2134123,87.20,90.20,87.10,88.10,1.10,1456,189946635
104/01/15,1127330,88.10,89.40,87.00,89.20,1.10,874,99294904
104/01/16,938330,89.00,89.20,87.40,87.40,-1.80,820,82655775
104/01/19,524000,88.30,88.70,86.60,86.90,-0.50,410,45931500
104/01/20,448000,87.00,88.40,86.60,88.00,1.10,344,39295900
104/01/21,458000,87.90,88.40,87.60,87.70,-0.30,326,40277500
104/01/22,327210,88.20,88.60,87.80,87.90,0.20,272,28828554
104/01/23,440512,88.50,88.50,86.90,87.20,-0.70,346,38550544
104/01/26,380150,87.00,87.60,86.20,86.30,-0.90,292,32988944
104/01/27,383177,86.90,87.80,86.60,87.20,0.90,332,33464522
104/01/28,566300,87.80,88.60,87.20,88.40,1.20,462,49864880
104/01/29,2969259,89.40,91.70,89.00,90.00,1.60,1935,269387410
104/01/30,1272280,90.10,91.70,89.60,90.00,,931,115592695
104/02/02,423001,90.00,90.50,89.00,89.10,-0.90,339,37774989
104/02/03,217600,89.80,90.00,89.20,89.60,0.50,161,19487358
104/02/04,506000,90.10,90.80,89.00,89.10,-0.50,361,45353800
104/02/05,200180,89.10,89.50,88.90,89.00,-0.10,171,17847436
104/02/06,265500,89.50,89.60,89.10,89.20,0.20,170,23694849
104/02/09,269276,89.20,89.40,87.60,87.70,-1.50,195,23765026
104/02/10,374643,87.70,88.10,86.50,86.80,-0.90,289,32592418
104/02/11,580456,86.80,87.70,85.60,85.60,-1.20,446,50090877
104/02/12,204000,86.00,86.20,85.30,85.30,-0.30,167,17462000
104/02/13,212522,85.60,86.00,85.30,85.60,0.30,172,18183981
104/02/24,230700,86.60,86.70,86.00,86.00,0.40,177,19892549
104/02/25,169590,86.30,86.90,86.10,86.80,0.80,155,14672815
104/02/26,184284,87.20,87.20,86.10,86.70,-0.10,156,15908109
104/03/02,137000,86.90,87.50,86.50,87.00,0.30,119,11914300
104/03/03,211490,87.50,87.50,86.00,86.40,-0.60,145,18299234
104/03/04,2897775,90.00,92.40,90.00,92.40,6.00,1462,267414808
104/03/05,3883153,94.00,96.50,93.60,95.10,2.70,2670,368877142
104/03/06,1937536,95.20,96.50,95.00,95.60,0.50,1335,185289639
104/03/09,3769517,95.60,101.50,95.10,100.50,4.90,2497,375872600
104/03/10,2598471,101.00,102.00,98.50,100.00,-0.50,1645,260351900
104/03/11,2665826,100.00,104.00,99.10,100.50,0.50,1795,271455400
104/03/12,1809500,101.50,103.00,100.00,102.50,2.00,1212,184775000
104/03/13,1490431,103.50,105.00,102.00,102.50,,1034,153912962
104/03/16,845644,103.00,103.50,100.50,100.50,-2.00,603,85740220
104/03/17,1004740,101.00,102.00,99.40,99.40,-1.10,662,100432154
104/03/18,2354891,100.00,103.50,99.60,103.50,4.10,1763,239950715
104/03/19,2191110,105.00,107.50,104.00,104.00,0.50,1389,230913550
104/03/20,1567770,104.00,107.00,103.00,105.50,1.50,952,165082350
104/03/23,645923,106.00,106.50,104.00,104.00,-1.50,447,67744875
104/03/24,753645,104.00,104.50,101.00,102.50,-1.50,540,77263080
104/03/25,1107727,103.00,103.50,99.60,100.00,-2.50,732,111371300
104/03/26,811100,98.50,101.50,98.50,101.00,1.00,610,81609350
104/03/27,666010,102.00,102.50,99.30,99.90,-1.10,479,66989699
104/03/30,541297,100.50,101.00,98.50,99.10,-0.80,434,53784630
104/03/31,678630,100.50,102.50,99.70,102.00,2.90,480,68749743
104/04/01,1711345,101.50,105.00,100.50,104.00,2.00,1069,176289070
