太空梭          ,	2440
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,69000,10.50,10.50,10.20,10.45,-0.25,18,718400
104/01/06,17000,10.30,10.45,10.20,10.45,,9,176500
104/01/07,6372,10.30,10.40,10.30,10.30,-0.15,7,65793
104/01/08,9714,10.50,10.50,10.35,10.35,0.05,11,101196
104/01/09,25812,10.35,10.40,10.35,10.35,,12,267791
104/01/12,98966,10.30,10.90,10.30,10.55,0.20,32,1055798
104/01/13,37161,10.55,10.85,10.55,10.55,,18,398590
104/01/14,12148,10.50,10.90,10.50,10.55,,12,128411
104/01/15,17100,10.80,10.80,10.35,10.35,-0.20,10,179655
104/01/16,27089,10.30,10.45,10.30,10.35,,21,281219
104/01/19,5174,10.40,10.50,10.40,10.45,0.10,7,54024
104/01/20,9615,10.55,10.55,10.30,10.30,-0.15,10,100372
104/01/21,35518,10.35,10.50,10.30,10.30,,15,366533
104/01/22,24033,10.30,10.50,10.20,10.20,-0.10,16,247741
104/01/23,76191,10.20,10.80,10.20,10.50,0.30,44,809757
104/01/26,14346,10.35,10.40,10.35,10.35,-0.15,11,148528
104/01/27,28026,10.30,10.50,10.25,10.25,-0.10,14,290513
104/01/28,31006,10.25,10.25,10.20,10.20,-0.05,12,316310
104/01/29,12607,10.15,10.35,10.15,10.25,0.05,11,128578
104/01/30,8009,10.25,10.25,10.15,10.25,,9,81790
104/02/02,85551,10.25,10.30,10.05,10.30,0.05,26,866392
104/02/03,0,--,--,--,--,,0,0
104/02/04,43427,10.10,10.55,10.10,10.55,X,22,445090
104/02/05,4000,10.50,10.50,10.45,10.45,-0.10,4,41900
104/02/06,161,--,--,--,--,,1,1642
104/02/09,7797,9.91,10.40,9.91,10.25,X,9,78950
104/02/10,19895,10.25,10.35,10.10,10.30,0.05,22,203750
104/02/11,53323,10.05,10.10,10.05,10.05,-0.25,16,536584
104/02/12,7095,10.20,10.20,10.10,10.10,0.05,4,71845
104/02/13,91989,10.25,10.65,10.25,10.65,0.55,43,962385
104/02/24,8167,10.65,10.65,10.20,10.50,-0.15,8,85861
104/02/25,22064,10.20,10.20,10.15,10.15,-0.35,11,224993
104/02/26,7016,10.20,10.25,10.20,10.25,0.10,6,71712
104/03/02,35000,10.20,10.20,10.00,10.00,-0.25,16,351000
104/03/03,10208,10.20,10.20,9.99,10.05,0.05,12,102418
104/03/04,17516,10.15,10.15,10.00,10.00,-0.05,17,176018
104/03/05,15720,10.05,10.05,10.00,10.00,,8,157350
104/03/06,27135,9.93,10.30,9.93,10.30,0.30,17,271380
104/03/09,11258,10.30,10.35,10.10,10.30,,12,115655
104/03/10,19303,10.30,10.30,10.00,10.30,,14,195759
104/03/11,31398,10.30,10.30,10.00,10.20,-0.10,26,318518
104/03/12,340,--,--,--,--,,1,3417
104/03/13,2010,10.20,10.20,10.20,10.20,X,2,20500
104/03/16,9024,10.20,10.20,10.05,10.05,-0.15,4,91138
104/03/17,18001,10.05,10.05,9.90,9.90,-0.15,12,180109
104/03/18,34048,9.81,10.10,9.81,9.90,,13,336529
104/03/19,16724,10.05,10.15,10.00,10.00,0.10,13,168501
104/03/20,18258,10.10,10.10,10.00,10.00,,8,183206
104/03/23,12221,9.92,10.00,9.90,10.00,,12,121106
104/03/24,3147,10.15,10.15,9.90,9.90,-0.10,4,31642
104/03/25,18280,9.84,10.05,9.82,10.00,0.10,10,180222
104/03/26,17003,10.00,10.00,9.80,10.00,,14,168150
104/03/27,29170,10.00,10.00,9.98,10.00,,20,291524
104/03/30,24000,9.86,9.99,9.85,9.86,-0.14,16,237220
104/03/31,14058,9.85,9.90,9.85,9.90,0.04,8,138917
104/04/01,15649,9.90,9.90,9.73,9.73,-0.17,9,153241
104/04/02,8052,9.60,9.96,9.60,9.96,0.23,8,77663
104/04/07,29661,9.92,9.92,9.67,9.67,-0.29,12,288195
104/04/08,11873,9.65,9.91,9.65,9.91,0.24,11,115381
104/04/09,12000,9.80,9.90,9.80,9.80,-0.11,7,118280
104/04/10,5000,9.75,9.89,9.75,9.89,0.09,4,49170
104/04/13,7835,9.22,9.80,9.22,9.77,-0.12,8,74912
104/04/14,21529,9.09,9.74,9.09,9.50,-0.27,16,198626
104/04/15,30204,9.50,9.50,9.20,9.49,-0.01,23,283527
104/04/16,20708,9.16,9.66,9.16,9.16,-0.33,13,192011
104/04/17,38000,9.11,9.39,9.11,9.39,0.23,29,348940
104/04/20,11000,9.60,9.60,9.17,9.56,0.17,5,104820
104/04/21,12000,9.87,9.87,9.77,9.77,0.21,5,118140
104/04/22,4001,9.35,9.35,9.35,9.35,-0.42,5,37409
104/04/23,20239,9.21,9.36,9.00,9.36,0.01,20,186191
104/04/24,25779,9.34,9.59,9.34,9.54,0.18,24,245302
104/04/27,23345,9.82,10.00,9.67,9.70,0.16,20,226546
104/04/28,17500,9.98,10.00,9.90,9.90,0.20,17,173999
104/04/29,36002,9.98,10.05,9.80,9.95,0.05,35,358728
104/04/30,13710,10.00,10.00,9.98,9.99,0.04,11,136928
104/05/04,1308,10.00,10.00,10.00,10.00,0.01,4,12986
104/05/05,8206,9.80,9.80,9.65,9.68,-0.32,9,79676
104/05/06,45767,9.68,9.96,9.68,9.96,0.28,36,455026
104/05/07,24921,9.96,9.99,9.65,9.96,,23,244341
104/05/08,19100,10.00,10.05,9.90,10.05,0.09,15,190700
104/05/11,58000,10.05,10.30,10.00,10.00,-0.05,26,589500
104/05/12,21001,10.00,10.15,9.70,9.99,-0.01,9,210779
104/05/13,2707,10.10,10.10,10.10,10.10,0.11,2,27163
104/05/14,3001,10.10,10.10,9.90,9.90,-0.20,3,29909
104/05/15,3357,10.05,10.05,10.05,10.05,0.15,5,33261
104/05/18,18616,9.82,9.99,9.42,9.98,-0.07,13,177968
104/05/19,15307,9.98,9.98,9.46,9.86,-0.12,16,147666
104/05/20,26697,9.22,9.83,9.22,9.35,-0.51,20,252733
104/05/21,19400,9.14,9.48,9.14,9.18,-0.17,16,178151
104/05/22,23000,9.10,9.14,9.00,9.00,-0.18,15,209330
104/05/25,31028,9.00,9.00,8.65,8.68,-0.32,25,270930
104/05/26,10095,8.50,8.88,8.50,8.88,0.20,7,88067
104/05/27,28146,8.79,9.24,8.70,8.72,-0.16,23,252178
104/05/28,15348,8.50,9.10,8.50,8.61,-0.11,14,132820
104/05/29,36323,8.50,8.55,8.32,8.50,-0.11,23,307533
104/06/01,13200,8.68,8.90,8.53,8.78,0.28,10,115288
104/06/02,54565,8.65,9.25,8.63,9.25,0.47,15,481055
104/06/03,13294,9.09,9.09,8.73,8.74,-0.51,14,117971
104/06/04,38831,8.67,9.17,8.00,8.00,-0.74,31,332213
104/06/05,97000,8.40,8.40,7.55,7.55,-0.45,51,754780
104/06/08,44470,7.41,7.65,7.22,7.22,-0.33,25,328123
104/06/09,38000,7.54,7.54,7.31,7.33,0.11,24,279230
104/06/10,12000,7.58,7.58,7.38,7.54,0.21,9,89920
104/06/11,44000,7.40,7.40,7.00,7.21,-0.33,33,312250
104/06/12,31000,7.19,7.20,7.02,7.02,-0.19,20,219800
104/06/15,9565,7.03,7.04,7.02,7.02,,10,67266
104/06/16,23000,6.85,7.20,6.85,7.10,0.08,20,162540
104/06/17,122347,7.00,7.00,6.76,6.84,-0.26,56,846401
104/06/18,106000,6.88,7.51,6.88,7.13,0.29,33,762310
104/06/22,20548,6.81,7.50,6.81,7.12,-0.01,14,141894
104/06/23,61489,7.12,7.40,7.01,7.01,-0.11,24,441797
104/06/24,22000,7.01,7.24,7.01,7.24,0.23,11,157890
104/06/25,14999,7.08,7.30,7.08,7.20,-0.04,11,108522
104/06/26,35774,7.20,7.51,7.20,7.51,0.31,12,267889
104/06/29,34000,7.80,7.80,7.23,7.50,-0.01,27,251350
104/06/30,15000,7.45,7.75,7.45,7.45,-0.05,7,112050
104/07/01,1441,7.70,7.70,7.70,7.70,0.25,3,11007
104/07/02,13098,7.68,8.00,7.68,7.70,,16,101854
104/07/03,43146,7.68,8.00,7.40,8.00,0.30,26,335828
104/07/06,10000,8.05,8.69,8.05,8.10,0.10,7,83970
104/07/07,13308,8.00,8.67,8.00,8.67,0.57,9,108307
104/07/08,36352,8.65,9.23,8.65,9.00,0.33,34,324661
104/07/09,66000,9.25,9.35,8.95,8.95,-0.05,27,609970
104/07/13,3000,9.15,9.37,9.04,9.04,0.09,3,27560
104/07/14,34909,8.94,9.30,8.94,9.30,0.26,23,318623
104/07/15,2452,9.74,9.74,9.01,9.01,-0.29,4,22767
104/07/16,2400,9.74,9.74,9.64,9.64,0.63,3,23140
104/07/17,28500,9.02,9.70,9.02,9.50,-0.14,14,267699
