今皓            ,	3011
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1304561,10.55,10.95,10.55,10.90,0.40,501,14103085
104/01/06,6169067,10.90,11.65,10.80,11.40,0.50,2002,70048506
104/01/07,1808100,11.10,11.30,11.00,11.10,-0.30,688,20062815
104/01/08,1007800,11.20,11.30,11.00,11.15,0.05,421,11208969
104/01/09,663188,11.25,11.25,11.00,11.00,-0.15,266,7358986
104/01/12,944101,10.90,11.25,10.90,11.00,,308,10468211
104/01/13,583200,11.10,11.10,10.80,10.85,-0.15,204,6385179
104/01/14,585500,11.00,11.00,10.65,10.75,-0.10,240,6312125
104/01/15,4622793,10.75,11.50,10.75,11.50,0.75,1413,52659268
104/01/16,3274300,11.50,11.65,10.90,10.95,-0.55,1248,36884014
104/01/19,875001,11.00,11.15,10.70,10.80,-0.15,376,9504060
104/01/20,568201,10.80,11.00,10.80,10.90,0.10,266,6180619
104/01/21,528700,10.90,10.95,10.70,10.75,-0.15,223,5699224
104/01/22,582079,10.75,10.95,10.70,10.85,0.10,248,6304103
104/01/23,2292981,10.95,11.30,10.80,11.05,0.20,919,25539591
104/01/26,7182859,11.05,11.80,11.05,11.80,0.75,2278,84015836
104/01/27,3821895,11.90,12.10,11.35,11.35,-0.45,1318,44543556
104/01/28,1211500,11.20,11.60,11.20,11.30,-0.05,529,13791050
104/01/29,664421,11.40,11.45,11.25,11.35,0.05,265,7546747
104/01/30,651561,11.40,11.40,11.05,11.10,-0.25,280,7288083
104/02/02,519000,11.25,11.25,10.90,10.90,-0.20,236,5682800
104/02/03,553606,11.00,11.25,10.95,11.05,0.15,231,6119766
104/02/04,571254,11.20,11.20,10.95,10.95,-0.10,231,6281981
104/02/05,421136,10.90,10.95,10.80,10.85,-0.10,171,4576731
104/02/06,333039,10.85,10.95,10.80,10.80,-0.05,138,3609473
104/02/09,244399,10.80,10.90,10.75,10.75,-0.05,100,2637189
104/02/10,299711,10.70,10.85,10.65,10.65,-0.10,137,3219186
104/02/11,373584,10.70,10.80,10.60,10.60,-0.05,171,3977439
104/02/12,274244,10.60,10.70,10.45,10.50,-0.10,123,2888649
104/02/13,324356,10.55,10.70,10.05,10.05,-0.45,132,3339231
104/02/24,411000,10.30,10.65,10.30,10.60,0.55,209,4317550
104/02/25,314045,10.60,10.85,10.60,10.70,0.10,159,3367231
104/02/26,188280,10.70,10.70,10.50,10.60,-0.10,101,1990167
104/03/02,326855,10.50,10.60,10.30,10.40,-0.20,169,3410598
104/03/03,199052,10.45,10.55,10.45,10.50,0.10,101,2090892
104/03/04,585545,10.55,10.80,10.35,10.80,0.30,234,6226258
104/03/05,2404906,10.75,11.25,10.75,11.00,0.20,806,26623818
104/03/06,459901,10.95,11.10,10.90,10.95,-0.05,194,5037720
104/03/09,1138101,10.90,11.15,10.75,10.90,-0.05,366,12497561
104/03/10,510923,10.95,11.10,10.85,10.90,,202,5609212
104/03/11,394556,10.85,10.90,10.70,10.75,-0.15,186,4247547
104/03/12,202791,10.75,10.80,10.65,10.80,0.05,107,2177863
104/03/13,499091,10.80,10.95,10.70,10.95,0.15,190,5394191
104/03/16,2260032,11.00,11.25,10.85,11.10,0.15,561,25159208
104/03/17,3547503,11.30,11.55,11.05,11.25,0.15,1169,40319632
104/03/18,676000,11.15,11.30,11.00,11.00,-0.25,263,7514800
104/03/19,582330,11.05,11.20,11.00,11.00,,194,6445063
104/03/20,555186,11.00,11.15,10.90,11.10,0.10,187,6102685
104/03/23,510270,11.20,11.20,10.80,10.85,-0.25,206,5580114
104/03/24,322381,10.90,10.90,10.75,10.80,-0.05,140,3485432
104/03/25,277032,10.95,10.95,10.60,10.70,-0.10,145,2966888
104/03/26,372106,10.60,10.70,10.50,10.60,-0.10,146,3934363
104/03/27,432083,10.60,10.70,10.35,10.35,-0.25,247,4519234
104/03/30,330070,10.35,10.45,10.15,10.15,-0.20,237,3393900
104/03/31,225850,10.30,10.45,10.15,10.30,0.15,190,2321186
104/04/01,321716,10.25,10.45,10.10,10.30,,209,3307620
104/04/02,1068301,10.40,10.85,10.30,10.65,0.35,511,11372530
104/04/07,410049,10.70,10.70,10.45,10.45,-0.20,219,4306940
104/04/08,220914,10.50,10.65,10.30,10.30,-0.15,144,2299057
104/04/09,252105,10.35,10.50,10.30,10.40,0.10,120,2611331
104/04/10,188854,10.45,10.45,10.20,10.25,-0.15,97,1945258
104/04/13,228855,10.25,10.30,10.15,10.20,-0.05,150,2336480
104/04/14,188131,10.15,10.30,10.15,10.20,,97,1920126
104/04/15,243050,10.20,10.25,10.15,10.20,,109,2481806
