晶華            ,	2707
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,89058,335.00,335.00,330.00,331.00,-7.00,110,29537198
104/01/06,226242,331.00,331.00,320.50,322.00,-9.00,192,73278150
104/01/07,98489,322.50,324.50,320.00,323.00,1.00,106,31776447
104/01/08,124200,324.00,327.50,321.00,322.50,-0.50,130,40248600
104/01/09,119630,323.00,327.50,323.00,323.00,0.50,120,38803990
104/01/12,80609,327.00,327.00,323.50,326.00,3.00,65,26184034
104/01/13,128360,323.50,327.00,323.50,326.00,,108,41786860
104/01/14,95305,326.50,326.50,321.00,322.00,-4.00,91,30774820
104/01/15,122575,320.50,322.00,320.00,320.50,-1.50,116,39267650
104/01/16,111230,320.50,320.50,317.00,318.50,-2.00,99,35432870
104/01/19,52855,319.50,324.00,318.50,318.50,,62,16946245
104/01/20,141523,326.00,326.00,319.50,321.00,2.50,119,45465883
104/01/21,63727,320.00,322.50,320.00,322.50,1.50,73,20456594
104/01/22,149902,325.00,326.00,322.50,323.00,0.50,141,48544650
104/01/23,99522,327.00,327.50,323.00,323.00,,106,32274821
104/01/26,47577,324.00,325.00,322.50,325.00,2.00,57,15406871
104/01/27,85303,325.00,325.00,321.00,322.00,-3.00,96,27491213
104/01/28,83155,320.00,321.50,320.00,321.00,-1.00,86,26662065
104/01/29,78985,319.00,322.50,319.00,322.50,1.50,85,25403661
104/01/30,69584,323.00,324.50,320.00,320.00,-2.50,75,22341464
104/02/02,45177,320.00,323.50,320.00,322.50,2.50,57,14557817
104/02/03,77877,323.00,323.50,320.50,321.00,-1.50,91,25060517
104/02/04,122196,322.00,322.50,321.00,322.50,1.50,119,39316207
104/02/05,61257,321.00,323.00,320.00,320.50,-2.00,78,19649863
104/02/06,126743,320.50,322.50,320.00,322.50,2.00,117,40740409
104/02/09,70393,325.00,325.00,321.00,321.00,-1.50,78,22702797
104/02/10,84500,323.00,323.00,320.00,320.00,-1.00,88,27120500
104/02/11,134538,322.50,322.50,319.00,319.00,-1.00,117,43000543
104/02/12,71918,321.50,321.50,318.50,319.00,,71,22959096
104/02/13,197831,321.00,321.00,318.00,318.50,-0.50,136,63106251
104/02/24,157912,321.00,323.50,317.00,319.50,1.00,156,50554840
104/02/25,73880,321.50,323.00,320.50,321.50,2.00,98,23767916
104/02/26,367900,323.00,328.50,322.50,328.50,7.00,284,119829745
104/03/02,193951,328.50,329.00,325.00,329.00,0.50,163,63539428
104/03/03,114146,330.00,330.00,327.00,329.00,,114,37514460
104/03/04,85837,329.00,330.00,325.00,326.00,-3.00,93,28051362
104/03/05,70361,326.00,329.00,326.00,328.50,2.50,84,23053408
104/03/06,141310,328.50,329.00,326.00,328.50,,117,46363334
104/03/09,81510,327.50,329.50,325.50,329.00,0.50,89,26695290
104/03/10,149696,329.50,331.00,329.00,330.00,1.00,154,49387329
104/03/11,164551,330.00,330.00,326.50,327.50,-2.50,155,53941398
104/03/12,83526,325.50,329.00,325.50,327.00,-0.50,90,27340606
104/03/13,106904,327.50,328.00,324.50,327.00,,112,34874608
104/03/16,92341,326.00,328.00,325.00,327.50,0.50,93,30213507
104/03/17,101456,327.50,331.00,327.50,329.00,1.50,90,33369293
104/03/18,73349,331.00,331.00,328.50,329.50,0.50,95,24164972
104/03/19,124673,329.50,332.00,329.00,330.50,1.00,118,41171917
104/03/20,101716,330.00,331.00,329.50,331.00,0.50,81,33582280
104/03/23,92562,331.00,331.00,327.00,329.00,-2.00,96,30438274
104/03/24,106053,327.50,330.00,326.50,328.00,-1.00,116,34785884
104/03/25,66587,327.00,329.50,327.00,327.50,-0.50,73,21819738
104/03/26,190054,328.50,333.00,328.50,328.50,1.00,200,62845734
104/03/27,162486,328.50,328.50,325.00,326.50,-2.00,164,52991422
104/03/30,87316,332.00,332.00,328.50,330.00,3.50,112,28832280
104/03/31,135475,331.00,331.00,327.00,330.50,0.50,150,44584750
104/04/01,50459,328.50,329.00,327.50,328.00,-2.50,63,16564511
104/04/02,57441,328.00,330.00,327.00,328.50,0.50,65,18875089
104/04/07,52527,327.00,329.50,327.00,328.00,-0.50,70,17253383
104/04/08,80127,327.00,329.50,327.00,328.50,0.50,100,26241216
104/04/09,93365,325.00,329.00,325.00,327.50,-1.00,107,30525220
